-0.0485156125106728+3.99074500406014e-17i,-0.040913512512905-1.42876660012871e-17i,0.174711461990524+1.42489178881502e-16i,-0.00556768577403199-4.44351593825584e-17i,-0.0127584452287459+6.46570654002344e-17i,-0.0971042096400088+2.74325709497042e-17i,0.00101203882719204-9.1258055572144e-17i
-0.00531361300482047+1.77818559340918e-17i,0.0095417478966276+4.42534293755376e-17i,-0.0183431804932638-6.58698361962453e-17i,-0.0535344935004816+2.54501064184937e-17i,0.0824896824833546-2.30914719548954e-17i,-0.0646918025682935+1.60329034479342e-18i,0.0291342019656783+4.44578429152732e-18i
0.0241856438281681-1.28945104965717e-17i,0.0415126169497996-4.77751803445684e-17i,-0.0349983392350691+3.13668917117372e-17i,0.0326236345395909-2.70860341969328e-17i,0.0570086789391831+1.71923127774212e-17i,-0.0655694914020062+1.43713320816154e-17i,-0.0177277448700903+2.64178323830095e-17i
0.0333601633721316+2.91262065988548e-18i,-0.0101333813539702-1.51800656944887e-17i,-0.0270484728622945-1.96435215497715e-17i,0.009649693764871-7.83481964414511e-19i,0.048433640531306-2.86049400331755e-17i,-0.0607698778713958-1.08740215115561e-18i,-0.0495438179837826+2.07545098161652e-17i
-0.0209719676388594+2.87984905495036e-17i,-0.0409644797867432+8.13353693506394e-17i,0.0324905383512253-2.57823541441696e-17i,-0.0296882011117382+3.14323151001984e-17i,0.0147722801996692-1.76942572540585e-19i,0.0108063813190317-5.13370911507227e-18i,0.0619535930409096-5.2209256597472e-17i
0.0294948539492789-2.61375290209128e-17i,0.0216000559223676+1.57868767958e-18i,-0.0238317006025686-1.37556259113553e-17i,-0.018800808786258-9.84049604177828e-19i,-0.0291687194131304-1.25487543437786e-17i,-0.0432497420933951-1.49881396454001e-17i,0.0105232917906759+1.39159934947667e-17i
0.0213636490771617-7.9728808326621e-18i,0.00814582293710354-1.96799237628529e-17i,0.000330380547241259-2.1817678932917e-17i,-0.0329487974347636+2.19871380330629e-18i,-0.0572773384480235-5.70675690096681e-17i,0.0255585887321285+6.76728196622171e-18i,-0.0884296119552261+1.50798761162254e-17i
0.010939755110064-1.67376798137564e-17i,0.0205383448610436+4.23512089911037e-17i,-0.03284667213231-5.28981719599084e-17i,0.00294524093728873+2.48148702654597e-17i,-0.0402756567679347-3.78852962534986e-17i,0.0386424480016698+3.95080388684454e-18i,0.00193402313996212+3.58050438898732e-19i
-0.0453465093205813+3.44974644587336e-17i,-0.0622849961674281-2.06891981579123e-17i,0.0637417802200191+4.36438216203304e-17i,-0.0206785224899571-3.28473244833648e-18i,0.0200655565774073+1.33431392491275e-17i,-0.000245674319558643+8.65961620087588e-18i,-0.0139550851745238-3.6540425457263e-17i
-0.0462228767846463+5.72983505753739e-17i,-0.0250792560991703+5.98650151231515e-17i,0.0486846997938143-5.21506937092229e-18i,-0.0401079945366767+3.07829204588929e-17i,0.106132539219049+6.5609755544837e-18i,0.0693964947690374+2.07151033186891e-17i,0.0462459197913015-4.76003857185993e-17i
-0.000329094634972493+6.25330057761544e-18i,0.0304017899275057+6.5955732582585e-17i,-0.034195111812658-6.78722784964079e-17i,-0.0797916370063421+2.49083335986385e-17i,0.0553528479006869-2.99037970849271e-17i,0.0552512468883483-9.53601565199559e-18i,0.027114698079866+1.61739497577029e-17i
-0.014686872084076-1.53275385743451e-17i,-0.0297447313177941+5.29850236356747e-18i,0.0388392891575333+2.85128366162039e-17i,0.0705932612400819-1.01323114759755e-17i,-0.0950836560998165+2.41524124469197e-17i,0.00722061890262633+1.18157228839779e-18i,0.0137604190504315-2.19666593711744e-17i
