0.00441436462308046-2.7747751393413e-17i,-0.00196899802897691+9.78856820068851e-17i,-0.0526533847077711-3.28522032899621e-17i,-0.0150393486399749-1.70017646812821e-17i,0.0239904930496284-4.842046569637e-17i,0.0134658135975083+6.23312941059141e-17i,-0.0260297372332134+3.92409450438566e-18i
-0.00656109507868459-6.25411406810525e-18i,0.014563348214983+5.33427669050246e-17i,-0.0113136306483909+1.76177374307655e-17i,-0.0315844996679019+1.14353595278935e-17i,0.0484622596906386+2.99593185047151e-17i,0.0386539921070925-2.18956047499612e-17i,-0.0135866544893038-3.49208330718144e-18i
0.00600452236279181-2.92543860120672e-18i,-0.0154015319121155+6.61105066887254e-17i,-0.00776732327395749+1.63353029884227e-18i,0.0385999904213907+2.84775141158735e-17i,-0.0665715674830415-3.05860895669028e-17i,-0.0109823935785116+1.60935394821589e-17i,0.0183492713541797-8.99892490014013e-17i
-0.0169413425946048+2.73019605443098e-17i,0.0429565979254534-1.39643537922676e-16i,0.0480740818315027+2.12637565100452e-17i,0.00649476160689198+2.95410074831352e-17i,0.0587499146308896+6.83386472514234e-17i,0.0291934839890576-5.50931399945457e-18i,0.0124033785575597+5.27310827883714e-17i
-0.0086622644613996+2.02409656146503e-17i,0.0183021351170878-1.23252702961955e-16i,0.0742137275794557+7.20918659122266e-17i,-0.0178250914383193+1.51127704798553e-19i,0.0164630514168621+4.69958226629964e-17i,-0.00162334340100007-2.8776668734583e-17i,0.012784356792797+3.37357497789844e-17i
0.0133341812494163-3.30360966504164e-18i,-0.0732087305582629+7.18974229722033e-17i,-0.0118493431203338+7.68090600941731e-17i,0.0127663908705507+1.17330783631531e-16i,-0.0338467377496236+3.43716658742065e-17i,0.0362275470773819-3.33258846891217e-17i,-0.0169195070509942-1.0544733148468e-16i
-0.0117379732507055+7.90797630015995e-18i,0.0366075220351738+7.65162661264337e-18i,0.0300759590164429-5.31576867449359e-18i,0.00191370789167886+1.02761584801655e-17i,-0.0411724569552539+1.52130747038575e-17i,0.00313623313548703-5.54982111446528e-18i,0.052953601745551-6.63505083171039e-17i
0.00423772522251477+1.57660934876042e-18i,-0.0296878958708736-1.4888181209408e-16i,0.0505702710256587+5.50399991352884e-17i,0.0254080586893626+3.73429474428168e-17i,0.0131078638284241-5.49612203669893e-18i,0.000315735556833684+7.32772476074426e-17i,-0.0276008005337353+7.02676536682608e-17i
0.0213924274305252-4.11380595980071e-17i,-0.0522587021461869+1.57704717338066e-16i,-0.10700235269414-4.1555414862751e-17i,0.025276823091901-5.75263637817221e-17i,-0.0143541239619577-7.16605342963868e-17i,-0.0476004159932303+3.85241868809966e-17i,-0.0349105978332481+2.03882360967267e-17i
-0.00406544281220527+9.24683777116572e-18i,0.00966808151245821-3.83622826712668e-17i,-0.0151681097102999-3.69845936725128e-17i,0.00784122792632712-5.09078084631021e-17i,-0.000927188178122241-5.74506105774348e-18i,-0.0266071476699061-4.73140830162862e-17i,0.0233036781750463+4.6741678393524e-17i
-0.00416647368927078+3.68354258926775e-17i,0.0154492101809195-1.68164326956207e-16i,0.0338365364199682-1.33218556257468e-17i,-0.0215465264649409+8.99113043657683e-18i,0.051274334298247+5.01305295704784e-17i,0.000828250636019854-4.39929535311462e-17i,-0.00927644544955476+9.3563179165476e-17i
0.00151179545308718+1.43304899968618e-17i,-0.00522597165977016-5.02516144617719e-17i,-0.00974553151308795-8.53132490646701e-18i,-0.0188005816161242-6.35344728753361e-18i,0.0366578043002702+1.96691213896973e-17i,-0.00665143521173057-5.16292594482696e-17i,-0.0146250027422307+6.66440691177985e-17i
-0.0212217662264547+2.02313127897476e-17i,0.0613900782622324-7.4567691439145e-17i,-0.00971511532755374-8.50696084247287e-17i,-0.0114532817099676+4.33331356974872e-17i,0.0521418914981413+7.26642279317942e-17i,0.0657792004125302+9.1773342381805e-18i,0.0236047882716582+3.79103259877921e-17i
-0.00424899488040241-2.24350279303131e-17i,0.0399704886290318+8.34939354445971e-17i,-0.0624277514038251-1.03974442275055e-16i,0.0191044692747856-8.14378002950071e-17i,0.00770874704232414-4.62449397257679e-17i,-0.0175048493216598+7.46228194267081e-17i,0.0111899107987022+1.28448418775416e-17i
-0.0249881352051274+7.49495332395939e-18i,0.0543446760425455+1.4862080247713e-18i,0.0166555564346709-4.37213047868092e-17i,-0.0270524347844058+6.26390730783887e-17i,0.0430252756765676+4.12722464960476e-17i,0.0735749496118315+7.17619229310647e-18i,0.0278852887546766-2.77977719734529e-17i
0.0158076873778004-2.5002718209307e-17i,-0.00500485463827685+1.00145677183132e-16i,-0.00373479305755216-1.51357790093732e-18i,-0.0438234026349398-1.25714799210323e-16i,-0.0179007449900525-9.58773488836742e-17i,-0.0592278456333852-4.73721250671147e-18i,-0.0485526087478605+2.00461033649657e-17i
0.0158056457156025-1.92341518608369e-17i,-0.0554039168895763+5.92896326638269e-17i,-0.0184669318701512+6.33932783076601e-17i,0.0139218116109663-9.31159397375057e-18i,-0.0131292426527119-3.36928288223749e-17i,-0.0182137384919411+1.7429993782763e-17i,-0.0363292369263363-1.8393563009007e-17i
-0.0206303722950321+9.25455308704955e-18i,0.0822294042965668-8.97669297902031e-18i,0.0200908829195087-7.05101410963256e-17i,-0.0271933161202774-7.75665866264003e-17i,0.0408567524266181-1.54556640545885e-18i,-0.00868572867800192-2.32431753676396e-17i,0.0244115076715712+4.91876903390811e-17i
-0.000813094501200571+6.12483501269967e-18i,-0.00848859876226466-1.36870698186444e-17i,0.000546024182483853+5.00969738211989e-18i,0.0173737659496826+6.02045463797152e-17i,0.000264643194383668+1.12332700212169e-17i,0.0387446434657982+1.58744530812104e-17i,-0.00732636170004839-2.18007066571522e-17i
0.0123740970672767-1.73373168345407e-17i,-0.0576678520323221+1.00948241011088e-16i,-0.0480005460687266+1.02861452998244e-17i,0.026894210470249+4.02997830865533e-17i,-0.0443897036398425+1.79473521226522e-18i,-0.0140910599864124-1.59029442115303e-17i,0.0102222814161201-6.27544177157812e-17i
-0.0124123904846707+1.90533134970952e-17i,0.0659360690271266-3.42354635967825e-17i,0.0238772874054249-5.87569797238282e-17i,-0.0462001781672427-3.76768076052647e-17i,0.0185917485156179+3.33152403440339e-17i,0.00273092541813253-5.04679554696577e-17i,0.0171277084228445+2.92389086272995e-17i
