0.0932409745236914-2.85007537922395e-17i,0.0144585254087812+7.21835088828702e-18i,-0.0831575697811832+1.78130966076331e-17i,0.0203704161787243-1.15508917584397e-17i,-0.113828100076047+3.43882519506634e-17i,0.0572499203144444-2.07851393808725e-17i,0.075206254572322-4.6350707257413e-17i
0.0333332424861356+1.37334472960539e-17i,0.0261235068529288-1.41758157683769e-17i,-0.111082346837273-2.69653414789292e-17i,-0.0170129989634163-5.59074295194728e-18i,-0.0329452675129976-2.78530895958132e-17i,-0.0579826547874244-3.87717503244947e-18i,-0.0707218655311126+2.35401825713493e-17i
-0.0173225538731507-1.01305307476635e-18i,0.0606329308286907+1.68785991324378e-17i,0.0445451812273967+1.47691818270211e-17i,0.0248992330719286-8.00727438787949e-18i,0.0533184139258609+8.54032826352249e-18i,-0.0144497303657334+1.12687344321622e-17i,0.032988353657214-3.66905873585447e-18i
-0.0274658535627204-3.17399274846544e-18i,-0.00242198516326812-4.41595393042034e-18i,0.00647910482487074+7.85044327314937e-19i,0.0441212602810433+1.35639641124355e-17i,0.0133891082424302+2.3537426651236e-18i,-0.000891051909410519+5.81296157999109e-18i,-0.00991117583246635-1.90823340310398e-18i
-0.0324858550031273+2.37570627667732e-18i,-0.0608492934896947-6.99679537112597e-18i,0.00769550783973223+8.11759313287989e-18i,0.0268306200423264+2.15952280168195e-17i,0.0148018373468498-3.92987916715754e-18i,-0.000112165253031883+2.6338984960156e-17i,-0.00941373097854667-1.74257911716348e-17i
0.00488409176664745+1.59554094647488e-18i,0.0264380495646716-7.61570432978023e-18i,-0.0188923105328261-1.81921717768237e-17i,0.00629988905567383+2.82065635941214e-17i,0.0113843336290684+2.07524760370265e-18i,0.0551190908959949-1.8614059014971e-17i,-0.0675683001441269+2.46775811672932e-17i
0.00762285412959925+6.8308276413387e-18i,-0.0173389020510454+9.63089550362685e-18i,0.00092940721906474+6.47133010479696e-18i,0.00180705916688922+4.75309443601431e-19i,-0.0458251332625818-3.13802394527541e-18i,0.0219273437856794+3.63073230397446e-18i,-0.0215310872925111-2.01730288839681e-17i
-0.00400552221975882-5.2590304295208e-18i,-0.0345324713130638+1.86071931704713e-17i,0.0368700198124962+1.56190902012654e-17i,0.0125000065909072-1.3171586497552e-17i,-0.027992236203843+8.46565049946151e-18i,0.0437437225593624-1.23058563651799e-17i,0.00422568543735373-1.11754924736839e-17i
-0.00627862935560364-1.17085780787911e-17i,0.0163173021949617+8.93379129749827e-18i,0.00426143785491118+1.65542925834483e-17i,-0.0026000734071595+9.04407806916054e-18i,-0.0111998439074511+1.46465327282702e-17i,0.00448631614713591+1.56472064633945e-17i,0.0276464274506941-1.98358419775869e-17i
0.00512942852185342+9.08525684757983e-18i,0.00876097452917703-7.05876692484383e-18i,-0.0104151369883748-8.84082497751191e-18i,-0.00108794653044265+1.92235612980103e-18i,0.00298569428857581-1.17211202604061e-17i,-0.0119458590013684-4.42220465514609e-18i,-0.00785570470439486+6.04125542191079e-18i
-0.0439620646992698+1.13844752126924e-17i,-0.0207619926745613-3.02677024657747e-19i,0.0442312875995812-2.5967656557689e-21i,0.0570985218700507+4.38426525261523e-18i,0.0423283809810294-1.02602881244415e-17i,0.0196709580851509+1.59527345158426e-17i,0.00607127284894486+3.52843467730668e-18i
0.0194954406817003-2.34753598045551e-17i,0.0118322470655439+1.41752560357924e-17i,-0.0323629930872604+1.31419924875052e-17i,0.0236942610948383-5.64251904575256e-18i,0.00624203485965403+3.00430872311865e-17i,0.00289395382094189-1.45665215022943e-17i,0.0495603473962746-4.70079455208473e-18i
0.0089802729612149-1.16998279298781e-17i,-0.0211886895102197-1.283118783279e-17i,0.00406544846078866-1.12289907812207e-17i,0.00977637725499727-4.42311901354232e-18i,0.00169899376727613+1.08454858286488e-17i,0.0293802435742984-1.8213010525288e-17i,0.0144014416656703+1.15378274971033e-17i
0.044894573088808+1.37680802482807e-18i,0.0370913925570082+1.58096346460185e-17i,-0.058421322010228+5.97381358060376e-18i,0.0351975134318115+2.13024449535853e-18i,-0.0098741251470309+5.40780997807245e-19i,0.041201227033426-1.18514372799688e-17i,-0.0680661444915877-5.29830544142316e-18i
0.00434597452035155-1.34350648904294e-17i,0.00297205492472594-1.40901898097063e-17i,0.0204369125764131-5.33054413393895e-18i,0.00513005968229011-9.18811221163494e-18i,-0.0415190178175132+2.02390384607204e-18i,-0.0202783066281229-2.47901276596539e-17i,-0.0332198087768806+1.43178165529514e-17i
-0.015051334748401+6.57558766593888e-18i,-0.0169713499185094-1.41073228255796e-17i,0.0449038317344259-1.18288878990284e-17i,0.00443984202707287-3.44115846860037e-19i,-0.035257495630443-3.08088159656107e-18i,-0.0334921428118912+8.47552338623456e-18i,0.0261344338636904-2.73070182009901e-18i
-0.00941551195963064+1.50307237247783e-17i,0.00831483699859317-8.71074093652341e-18i,-0.028578542177511-2.80580598043514e-17i,-0.031416297472466+4.16594396823326e-18i,0.0487703176660305-6.3507109181542e-18i,-0.0212336222969303-1.89176108859111e-18i,-0.0242236892779991+3.07138833436174e-17i
-0.00926601344295112-4.30577892319459e-18i,-0.045401570230825+8.84034919875659e-18i,0.031000274793733+9.80755999022407e-18i,-0.0055776660526039-3.94432056073772e-18i,-0.0130613565659865+1.42367903661346e-17i,0.0296315042685884-2.05069165434342e-18i,0.065256531369919-1.83355128183936e-17i
-0.00291520397237834-1.1655806392932e-17i,-0.0208790136406588+4.06821766389694e-18i,0.00885607838351998+4.13639083886995e-18i,0.00557408345346981-1.99923323895695e-19i,0.000266732723974296+2.10213828797908e-17i,0.033908217400107-5.22989504095976e-18i,0.0641818878320519-1.63555732573026e-17i
-0.0258557170800122+1.9506641359297e-17i,0.0452313841408866+3.42072114615273e-19i,0.00507977956481986-1.43016168282536e-17i,-0.0156953769860058-9.97133624120903e-18i,0.0106189137589349-2.69332903288899e-17i,-0.0451101980252557+1.09417050564255e-17i,0.00983128568846916+1.87334426595571e-17i
-0.0291418278608165+2.07055536395215e-17i,-0.0181213688887643+1.44201243140605e-17i,0.0349911363464439-6.84715277031582e-18i,-0.0156088621542776-6.30911135792157e-19i,0.0566426268654518-1.11139602250743e-17i,0.0198568556027028-4.68878180242494e-18i,-0.0144568789085008+1.62109985323805e-17i
-0.012083256259763-2.59863127738368e-17i,-0.00458519848823782+1.70046582211725e-17i,-0.027293597965776+2.47991507303066e-17i,-0.0142317988639628-2.11518650484912e-17i,-0.0117663700016062+2.28360518991155e-17i,-0.00345061618749547-2.30180375854759e-17i,0.0665719768135923-1.79014764232277e-17i
0.0289894325155628+9.75963964930542e-18i,0.0213515438623493+5.81278585829614e-18i,-0.058773155431605+5.85927647109363e-18i,-0.00886484830959567-1.57900859994327e-17i,-0.0550839058296287-3.40275099960117e-17i,-0.0268984962255489-1.40733256521049e-18i,-0.0881559340488428+5.81907971563249e-18i
-0.0197596316884529+2.89315765545629e-18i,-0.0238401503473369+2.47662478872915e-18i,-0.0071581659043593-5.95255778632615e-18i,0.0106491739600228+7.22574406599174e-20i,0.00551178168238933+9.75963778030329e-18i,-0.00418214367074817-8.10062029467731e-18i,-0.00089245572325239-6.99429644457239e-19i
0.00883150845408778-7.00081269121558e-18i,-0.00327598308479385+2.2225706095404e-17i,0.0112962165803446+2.26696886802909e-17i,-0.00592711095800748-4.16229191667449e-18i,-0.0351617424165308+1.86376257649075e-17i,0.0140456194465443+1.18725030927878e-17i,0.0616302613555977-3.90856232768602e-17i
0.0589948988546571-5.23708147834605e-18i,0.0467328255321669+1.4054097215968e-17i,-0.0241597252493117+1.53842492150637e-17i,-0.0128169185806371+5.41053579199403e-18i,-0.0389205074625482+5.11003549757997e-18i,0.0297059079322137+9.9874463674644e-18i,0.00705259257149733-2.03897468438234e-17i
-0.0726224738117619-1.54770472376611e-17i,-0.0595351976812971-1.58623337380261e-17i,0.07997943909017-2.10094113861774e-18i,-0.00477253338059175+6.29638893450495e-18i,0.0135189341161978+1.11453028381679e-17i,-0.0574446125890742-1.43320960634802e-17i,0.0501186139707694+6.45640072897147e-18i
0.0178487351821579-7.87390300201188e-18i,-0.0296752687273655-3.67162400587868e-18i,-0.0196520393921575+1.26507222925134e-17i,0.010227510934922-1.39026320600318e-18i,-0.00636590424596223-1.6844492611741e-17i,0.00786163024178409-1.35777297803113e-17i,-0.06289196447214+2.6999750052537e-18i
-0.0443178088337338-1.37073063553155e-17i,-0.0398577278262801-8.11742477253663e-18i,0.0800974855556247+7.67112053982439e-18i,0.012904671918282-1.0320254347343e-17i,0.0301014929512782+8.82981906337535e-18i,-0.0477893886655645-1.32984596982811e-17i,0.0397173308610507+4.81823921201905e-18i
0.0534857651149156+6.17669927116968e-18i,-0.0284470699564258-9.78102446259896e-18i,-0.100331605514132-1.29706852679486e-17i,0.0931800391122835+2.45478627041513e-17i,-0.0176820747310934+1.45523721022456e-17i,0.0356729874480409+2.13106622685976e-17i,-0.0250262511104189-2.13166432372247e-17i
0.037641596354977+3.36039582880701e-18i,0.0485465680395046-8.86284114324792e-18i,-0.0491345742153721-1.49998923943678e-17i,-0.00207975251663671+8.67828254292398e-18i,-0.0288495840917381-5.74909794278539e-18i,-0.00160595739682785+6.13784075139717e-18i,-0.0160282236698992+3.82898598302508e-18i
