-0.0144254769761227-2.62031478527183e-17i,0.0440169879292236-1.5761814616825e-17i,0.0210247877801168+3.96375700086933e-17i,0.0842178545212707-3.13387561409354e-17i,-0.0756997793665816+3.20317611097894e-17i,-0.030915997054954+2.36417525851991e-17i,0.0338436731550439-2.3477326090133e-17i
-0.0413264425129135+7.2553605293004e-17i,-0.0819376718528469+9.04405736869706e-17i,0.138462522083784+2.20574649181189e-17i,-0.066302545679525+2.46791793813558e-17i,0.0610226671792193+3.34230116086637e-17i,-0.0351132220020861+4.21149857369844e-18i,0.0518517019889184-6.53232208833045e-17i
0.00614678638650649+4.45368138926468e-17i,0.000405328559893511+4.27681113825467e-18i,-0.00327703068975227-7.82787790492966e-17i,-0.0467310581434374+5.6089427559553e-17i,0.109896811471182-9.16570884656148e-17i,-0.00180911324936925+4.85706141112364e-19i,-0.130349799967335+3.70586008628057e-17i
-0.0755933550589455+1.53674775885765e-16i,-0.198189188074283+2.15202762539563e-16i,0.336268045082822+8.07896895941794e-17i,-0.0839402855392926+5.3461562785093e-17i,0.160679634199685+1.01828649940097e-16i,-0.0115355801528848+3.94119563543135e-17i,0.158611895854148-1.92297347876884e-16i
0.0422979563633566-8.22664083496094e-17i,0.00709236016873423-9.73120468912382e-17i,-0.180226283313514-5.24434063201922e-17i,0.0363309367023847-4.68904849143985e-18i,-0.11692686183639-6.08597663825469e-17i,0.0283306739879506-2.98012002072905e-17i,-0.0938366097506951+6.34859636128918e-17i
-0.00400366560077368+1.47973352935488e-17i,-0.0426331319265374+1.78506809124217e-17i,0.0336383215130683+6.50460926748927e-18i,-0.0441036474944041-1.62660158039695e-18i,0.0102013027185886-4.94682282624131e-19i,-0.0137991005661108-1.11560586116466e-17i,0.00531651542199087-1.40403907715585e-17i
-0.00751177056516866-3.22991679571683e-17i,0.070624866957159+2.02665301463469e-17i,-0.0174906510608896-4.28825336588832e-17i,-0.0142414387185087-2.44412269560213e-17i,0.0183435116142007-1.09826861178161e-18i,-0.0538423215467658-9.39661578392315e-18i,0.0390149989744903+2.90020384913024e-17i
-0.0419742327340048+1.80819414224416e-17i,-0.0254020801119458-5.16899255793306e-18i,0.12048061140469+8.50773533074098e-17i,0.00161024848498136-3.99899686032323e-17i,-0.0135287849819386+2.3209321401069e-17i,-0.0764656570083251+1.54053596780882e-17i,0.0179311384998986-5.96662145632961e-17i
-0.000387143825958556+1.63283810777735e-17i,-0.00702977844039898+2.96991694487513e-17i,0.00100786198151176-3.52773515022929e-17i,-0.045038545532475+7.90715202072301e-18i,0.0814846232823059+5.92670920157719e-18i,-0.0526182617341468+2.21157617536809e-18i,0.0299992879874365+1.41028511107203e-17i
0.0150422254492362-4.70408411045265e-17i,0.0897285405773414-8.028008049306e-17i,-0.116302486541025-3.71110025753775e-17i,0.0427385519634596-2.83983298379772e-17i,0.00265014522764929-2.98731238046845e-17i,-0.0484872008258382+7.12555967498847e-18i,-0.0439674273541152+7.51064605092724e-17i
0.0231375015388613-5.92963026858227e-18i,0.0101665803237588-5.11995958905493e-17i,-0.0499746640566753-1.98271160164286e-17i,0.0176757560494546-1.32837931881659e-17i,0.0144166527401918-3.12593143241524e-17i,-0.0427334590032812-1.28652704071985e-17i,-0.0536820461228959+4.36115171900444e-17i
-0.00834274445619388+2.49831375432872e-17i,-0.0504514343601746+6.24251006571848e-17i,0.0558753909818486+1.91470279758539e-17i,-0.0299166720550004+1.17111044127105e-17i,0.0295344093009467+2.74087611587443e-17i,0.00617432271966611+1.92550499294088e-18i,0.058077700870896-4.41257061137339e-17i
0.016272951774708-5.02297360563113e-17i,0.0680858772809272-5.8706447954226e-17i,-0.0845873264841463-1.13556532301836e-17i,-0.00549978855111706-2.6228716898407e-17i,-0.0633780964568414-1.53467039191573e-17i,-0.025160598946248-1.95822973037668e-17i,-0.0101709564827466+4.81322061631378e-17i
0.00802634988492434-6.31762461588361e-18i,0.0196529065943794-4.81140252427456e-17i,-0.0227492748955424-7.71113315745859e-18i,-0.02115332219086+4.87793990550883e-18i,-0.0648189168580549-5.42809488339721e-17i,0.0161732906812608-2.60476747847614e-18i,-0.0862174853728751+2.35470421263563e-17i
0.00739994872738206-1.04152742686972e-17i,0.0220713472307258-6.28872216569715e-18i,-0.023648312649514+1.69101805866746e-17i,-0.00456358602809417-1.83757346067359e-18i,-0.0337031882489+2.38525961605206e-18i,0.0264929813983205-3.29444153089161e-19i,-0.00612086332428181+9.52741363002303e-18i
-0.0359154556816362+5.24464416722125e-17i,-0.0954796011546832+4.5060987700572e-17i,0.11144560347533+1.95769797696088e-17i,-0.0391389788479129+2.55279844751253e-17i,0.0489032463291309+9.45661968346244e-18i,-0.0108109401754326+1.16834830161939e-17i,0.0228953971124201-6.42974121225591e-17i
-0.0269068487782691+4.18317407289693e-17i,-0.0301926326589389+3.6505856340072e-17i,0.0449191586389807+2.72526137385893e-17i,-0.036200350994221+1.6641033022449e-17i,0.101405569543343+2.26840172730789e-17i,0.0550917108907387+2.12664166461205e-17i,0.0468896754078043-2.62402348534809e-17i
0.00183700291757635-1.29005997818169e-17i,0.0516482571627261-4.44269229222394e-18i,-0.0751111605840503-2.25554845886047e-17i,-0.048449227475715-1.10451167303661e-17i,0.0288628809939237-1.44906544023523e-17i,0.0504659548602758-1.38759900990126e-17i,-0.001176255070081+5.57364981185633e-17i
-0.0113939126381224+1.35986843593035e-17i,-0.0584318796457497+4.19452092549248e-17i,0.0944141604760426+5.23025284632798e-17i,0.0437073466079753+1.9124228166161e-18i,-0.0454617934531753+4.33950999412418e-17i,0.00304384575250087+9.64174104778387e-18i,0.0421307550114978-6.83631291081634e-17i
0.0372342996027112-6.47533177595476e-17i,0.121485182325737-8.89803873856611e-17i,-0.1663671908971-5.64761170175826e-17i,0.0473340543065043-2.15489601502871e-17i,-0.0457921906083397-4.79109654399751e-17i,-0.00565531607302425-5.42874350399102e-18i,-0.0667152894005882+9.66187706290193e-17i
0.0300927113429786-5.26856850243407e-17i,0.095245558891308-1.13775506374718e-16i,-0.112543357178002-1.40524808903616e-17i,0.0371655788589184-2.83699681887041e-17i,-0.0910116513208757-6.16985921750637e-17i,-0.0115420904279972-1.75224604799656e-17i,-0.111071770314674+8.69773354957405e-17i
0.00624342597920992+7.32189122139099e-18i,-0.0942056358193666+2.42871768829892e-17i,0.00176588746748559-1.81448621748317e-17i,-0.00478033561828454+2.77359868790607e-17i,-0.0223378124190069+1.78438666549797e-18i,0.0361043275868754-3.8365358808742e-18i,-0.00562985083660379-2.61899614479803e-17i
0.000717957938302566-4.35768849566279e-17i,0.0862841045575098-8.80821328296964e-17i,-0.0314060492716099+4.39840751676041e-17i,0.0640002433662259-3.23089402462592e-17i,-0.125949813445309+5.86934848719568e-18i,0.0096443743245415-2.3295299135732e-18i,-0.018147582186585+1.48899120972905e-17i
0.0320805654959383-1.52869809717427e-18i,-0.000129640697574097-8.12945627585924e-17i,-0.0449363263607145-3.39073869708406e-17i,0.0820582100974218+7.4809687962375e-18i,-0.0140040039938246-6.98258461991281e-17i,-0.0190659856600831+5.73579302075542e-18i,-0.124172576129051+3.97565627276056e-17i
-0.0611798913031702+1.12832075460345e-16i,-0.159906899713321+1.72282282124076e-16i,0.226381753188027+1.78311946387661e-17i,-0.0876068380340604+5.82661725256122e-17i,0.163377311081945+6.98116446453918e-17i,-0.0167426050749182+3.23365782899703e-17i,0.12812564876324-1.37589954161389e-16i
-0.00183523457549657-3.14098154756221e-18i,-0.00377430599926994+1.86516903592465e-17i,0.0205066838670947+6.03654897562134e-18i,-0.0193877976070761-2.22356797850451e-17i,0.00719570315820817+1.97108112214463e-17i,-0.0674770903782075+6.04762418759039e-18i,0.0328932224315816-6.01112064524876e-18i
0.039865600611262-5.76025877560112e-17i,0.059331970870108-8.27667484916861e-17i,-0.167109866552124-7.26110418945033e-17i,0.0323800903981993-2.07529735796901e-17i,-0.0138604940451379-5.86692584773178e-17i,-0.0430947572994228-2.04424845604697e-17i,-0.0777110595519025+9.67014001925118e-17i
0.0119681413692885-3.61471088560832e-18i,-0.0227266275203385+1.87808389060571e-17i,-0.0459234974086563-5.69426375499636e-17i,-0.0386292302799096+4.49047671454866e-18i,0.0464489662591003-5.76385198195802e-18i,-0.0356297796274329+1.25360603623197e-18i,0.00570216491771184+1.34894272814394e-17i
0.0119731432282307-8.95988844503574e-17i,0.160874233224064-8.80688079836061e-17i,-0.16491452532237-3.42230227898131e-17i,0.0526412884117911-3.77307809842321e-17i,-0.0475999016820157-5.1303925562083e-17i,0.0352570268185921+4.49002322273698e-18i,-0.0479435909800176+9.68852105166223e-17i
-0.0502311765879094+3.31287999762748e-17i,0.0205844609907827+4.85223182525794e-17i,0.114270159894279+5.007062894188e-17i,-0.0135953079975178-1.51894388613641e-17i,0.0647394799569843+6.59674243314196e-17i,0.013639598324148+3.46444554877249e-17i,0.0815304152645298-4.76431121892382e-17i
0.0316911785713639-4.56543783047071e-17i,0.115648668942261-8.33644971980531e-17i,-0.137761239373557+2.44195150615708e-18i,0.0316499149781839-1.78354274322196e-17i,-0.0252583028354474-6.96456269636881e-18i,0.077015559592384-5.75374331062699e-19i,-0.0169392017149767+7.69467180441527e-17i
-0.0369527953941669+8.40390843760495e-17i,-0.0706471190411116+1.13086265234289e-16i,0.153023411545447+1.18603533958418e-17i,-0.121563760583187+3.36315383832535e-17i,0.0909629094048503+1.31040505330481e-17i,-0.0087826796770099-8.58159586212862e-18i,0.0507382875390721-5.284131069718e-17i
-0.0175812646493858+6.03978201400435e-17i,-0.111657049221969+8.47535461689491e-17i,0.116027700312558+1.98436725781509e-17i,-0.0553881139900803+2.58990362869637e-17i,0.0677055415892996+2.6308739624021e-17i,-0.00548476914401866+5.93471723878364e-18i,0.0320888437177874-6.25607221744014e-17i
0.0108513562639528-2.36590042785701e-17i,0.109892155372918-2.19624473106394e-17i,-0.0457374602776554-5.53280771423949e-18i,-0.0148430415548814-2.85101223002443e-17i,0.00743884793593298+2.43156890891149e-17i,0.00282176763748543-1.41476186779682e-17i,0.0366668239333774+4.9039150562186e-17i
0.00980789386218054-9.72765388769311e-18i,-0.000254870219270249+3.05695855293924e-18i,-0.0338887091328648-1.75593999831756e-17i,0.0260810108333614+1.46270031761774e-17i,-0.0058892718417673-2.63656899330298e-17i,0.0180804415121238+8.97549466758007e-18i,-0.0203932133785627+6.25133499544869e-19i
-0.0168212771230149+4.21425534204983e-17i,-0.12369911190433+7.73747240349945e-17i,0.119545999016584+2.45790562395343e-17i,-0.0158885426226586+2.55794691751249e-17i,0.018376166226198+5.52090868876924e-17i,-0.0121430762319144+4.50868255890586e-18i,0.0689675832025565-8.71936822070079e-17i
