0.00253042523667934+6.39148426345731e-19i,0.0599286111633274-3.40257508999464e-17i,-0.0132018947243928-6.33512272151195e-17i,0.00891707229346613-3.3956114749006e-17i,0.00978873843560859-1.07994364170151e-17i,-0.0665236984599309-3.74494006431643e-17i,0.0287516787723083+1.01234424168744e-16i
0.0231039367520892+6.08089688915236e-18i,0.00951956158859199-2.3712170999826e-17i,0.00549573615835932-4.14173404696563e-17i,0.0135251694931773-6.98393092732739e-17i,-0.05135303337458-4.44754357139145e-17i,-0.0883369363885292+9.99333990712932e-18i,-0.023805363111166+3.9492028057455e-17i
0.00221250515154152-4.48485923344942e-17i,0.0181941675363737-5.21078118697947e-17i,-0.0384177824317941-2.8309796792206e-18i,-0.0039876015622354-6.38887663252686e-17i,0.0447274899677482+1.06270768826619e-17i,-0.0698843764442571-3.79300746687921e-17i,0.00537307287789076+9.49503837291521e-17i
-0.0165286824488841-5.38976004698462e-17i,0.0357580576016143-1.24667418654335e-16i,0.0305134331866089+3.3145931364965e-17i,0.0326273520350931+5.11736147219653e-18i,0.0596873684576682+4.07226409135041e-17i,-0.0434686130687605+2.08419344403003e-18i,0.0393174104115501+7.78781771406688e-17i
-0.00628653854207751-2.62618051614302e-17i,0.00948406070636075-1.10182457854205e-16i,0.0242173565497982+3.44979333193877e-17i,0.0116805358076585-2.65642420850459e-17i,0.0544858640948893+4.12354964999667e-17i,-0.014441340491866+3.17913983825556e-18i,-0.0113659877438459+6.31809835873882e-17i
0.00777763839430493+3.54587730003492e-18i,-0.0213915462396801+6.16844867160151e-17i,-0.0393170712564263-2.88541276947597e-17i,-0.00737976506117578-2.17581921938835e-17i,-0.0177777537721532-1.97149875023775e-17i,-0.0133775850313302-2.66365243797496e-17i,0.00936186283445516-2.59007550448461e-17i
-0.015193401927384+6.08179214430425e-18i,0.0189003324443395-1.07799978955782e-17i,0.0318006664251739-1.12946027089066e-17i,-0.0266470735976576+6.50799404552525e-18i,0.000497700000286833+9.83605778106394e-18i,0.00248249196012026-4.5862285724539e-17i,0.0494851747369552-1.05586548304334e-17i
-0.0102452228286469-2.93285028536678e-18i,0.000400860512084509-2.3412683261456e-18i,0.0693544153474499+7.99156369193242e-17i,-0.0554038932282997+5.6132861530438e-18i,-0.00526185580650466+3.00591923238729e-18i,0.0321370347062217+1.00498942215735e-17i,-0.0135275203303909-4.98240461245822e-17i
-0.00639478144396544+2.86627231186326e-17i,0.00941171700746636+5.6099064098172e-17i,0.0252650623334605+1.78758377873601e-17i,-0.0218490319893742+1.69732634315295e-17i,-0.0151906853048812-1.51337013280381e-17i,0.0387685427639412+8.69537573734994e-18i,0.00766555631004533-6.90557797849313e-17i
0.0339774556898418-1.33704211317634e-17i,-0.0302178452791129+5.75036177857678e-18i,-0.0511139036885469-5.1269955962268e-17i,-0.025772508162943-5.3020589855105e-17i,-0.028220373357284-1.88133413578058e-17i,-0.0547671196467206+1.33563046933514e-17i,-0.0489607975130981+2.79019060753058e-17i
0.00539889755810429+4.9872339031473e-18i,0.0162324181037626-1.07615423847634e-18i,-0.0636856197563144-1.4561972949842e-17i,0.0182867817137981-9.81314344211569e-18i,-0.00331898111877563-6.58512452712684e-17i,0.0199099159324557+5.51922536773564e-17i,-0.0179596931292213+3.11905729965188e-17i
-0.0217362100513408-4.15553349564565e-18i,0.0278645610779916+2.490613832541e-17i,-0.0167691611864955+3.00374338122974e-17i,-0.0222034684890556-4.0957575095424e-19i,0.0184063580545299-1.31509826275795e-17i,0.0489279295086783-2.50258123110962e-17i,0.0325703072747899-4.48101950658713e-18i
0.0225291405606828+3.92427431922393e-17i,-0.0416489446032033+7.68718382406553e-17i,-0.00886873351164929-4.62295405757956e-17i,0.0172774261704872+4.13576855124039e-17i,-0.0616749745429884-2.09840527644805e-17i,-0.00288184114587546+9.4441360587905e-18i,-0.0273669513204206-5.12627809352152e-17i
