0.00431532461873398-6.20613129356419e-18i,-0.0192933660596373+4.6783437597296e-18i,0.03731697207908+4.29398578501927e-18i,-0.0244904721339862+8.90377686587847e-19i,0.0123321311202571-3.65020394780952e-17i,0.0626234648565111-1.52076477898913e-17i,-0.0471706844105037+3.6485716911396e-17i
0.0801677382197517+4.7580305176848e-17i,0.014415868019026-2.85572740246542e-17i,0.0252662351006555-4.84216215457111e-17i,0.0127667576968797+3.05548523022982e-17i,0.0028156883344973-1.04570370368806e-16i,-0.0275429437312012-5.46373646864954e-17i,-0.00217373233618293+7.14123167584516e-17i
0.00956502677207785+4.06297940719038e-17i,-0.0463905372427322-1.60002804026529e-18i,0.0376162732791257-4.77745435441186e-17i,0.00873585592631384+1.6807835699007e-17i,-0.0700960035679981-1.77291067643148e-17i,-0.0314056403611199-3.73025998869917e-17i,-0.0438509124184328+1.94551824170664e-17i
0.0030285632227859+1.97561374316091e-17i,-0.0264061539703956-1.39532393392744e-17i,-0.063552715864539+1.11304540219346e-18i,0.0384915689771425-6.53028731514646e-18i,-0.0572094242080192-2.37209246263657e-18i,-0.0448576517517192+3.78880904980868e-18i,0.0105017116768843-4.54602320953222e-17i
-0.0084228202827419-4.56918552367994e-17i,0.0782059230510735+4.53506844109952e-17i,-0.0383943113622428+4.68962581513103e-17i,0.0192854408372849-6.91784837185753e-18i,0.0330562026419952+8.90829615480662e-17i,0.0823812430977349+1.4802565162032e-17i,0.044605779237836-3.67657299603094e-17i
0.0154679044612625+5.00498387814694e-17i,0.0346307368981318-4.44500331084107e-17i,-0.0577295247719011-5.53924222269171e-17i,-0.0163542627468701-1.40786747158606e-17i,-0.0796482881115372-5.07940628453969e-17i,-0.130401223150777-2.7871230560545e-17i,-0.0341255002796282+1.46994621445356e-17i
-0.0310287045731788-3.14525623678088e-17i,-0.0206355782018633+1.87413711092642e-17i,-0.0038765432297833-2.67331361117433e-18i,0.047187536177042-8.23686570783487e-18i,0.0970012335075177+6.44236940958537e-17i,0.047592544696013+3.05341330478143e-17i,0.0178448409299277+1.54726509602667e-17i
-0.0182065351603223-3.02409795713996e-18i,-0.0142960980474172+1.13789062806951e-18i,0.0257833807377683-3.81789534677009e-19i,0.0134424940129497+2.75343088815304e-18i,-0.00729278830948721+2.06576221359887e-17i,-0.0235352141983987+8.25596852824166e-18i,-0.0208522667517396-8.34920758151671e-18i
-0.00425455615546789+2.96033041194713e-17i,-0.0108163774542215-1.02074373111197e-18i,-0.0174359429264988+2.51530977650182e-17i,0.0251756566332654+3.24548712778935e-17i,0.034043616572283-6.10324442894383e-17i,-0.103547143850147+1.25672240071129e-17i,0.0144125420524446-3.02321185524678e-17i
0.00780045100868769+1.06082196287493e-17i,0.0995135599290135+2.69373289770762e-17i,0.0956594206628146-1.5789310810382e-17i,0.0644224046448569+4.74583585357203e-17i,-0.0323791493467464+3.97109728440931e-18i,-0.0456633186892839-7.15114218372298e-18i,-0.136514277584465+4.85007661750941e-17i
-0.0114084802987267+9.83746247677068e-18i,-0.00346535623840688+1.16941619249288e-17i,-0.0239186257621997+3.20177503858379e-17i,-0.0370210097004373-9.66766943843117e-18i,0.000429266134100822-1.69643731859772e-17i,-0.065103095610264+2.02152467296181e-18i,0.0236663251608709-3.91918054461782e-17i
0.00794027404748975+1.28245712958241e-18i,0.0184328776682216+5.20017228745611e-17i,0.0147361495915677+4.47358293843689e-17i,0.0872326034647612+1.29137803011957e-17i,0.0119640223600652+7.79367397247115e-18i,-0.0368647753265954-5.76030175494098e-18i,0.00143041337566821-2.70232884724484e-17i
-0.0325146872664564-2.05479508497787e-17i,0.0277086153646129+2.48943481417125e-17i,-0.0153553975741916+3.93949812222953e-17i,0.0165503214049807+4.95129959837935e-18i,0.0821209314712131+4.30162925887587e-17i,-0.078655431777891+2.5300136735225e-17i,0.026285278662991-3.03452389317454e-17i
0.00898297749662638+2.87617320542525e-17i,-0.0220213904434956-3.33579222094385e-17i,-0.0347278560820951-2.65351097536272e-17i,-0.0181656439525404-1.46933313995699e-17i,-0.0385336130794814-2.63343474590923e-17i,-0.00647505336042925-1.16503926007683e-17i,0.0396369333650045-1.69604934234812e-17i
-0.0289891334355104+2.97344944135096e-18i,-0.0189906326403193+8.85637205828021e-18i,0.0238153551553203+1.27130645773113e-17i,0.0378167588917834+5.06736724422004e-18i,0.0464452101209477-9.59432187700332e-19i,-0.0528317822054232+1.66877412419737e-17i,0.0200091592456507-7.43989370773503e-18i
-0.00485897077583096-3.21883544361072e-17i,0.0284376100310939+1.86889002855952e-17i,0.0381364081666717-4.62262653054513e-18i,-0.0198178834449554-3.18669126826101e-21i,-0.0123688879087045+7.0969958066194e-17i,0.0658782238958547+7.17836831610064e-18i,-0.00155854324694675+1.56430224434883e-17i
0.00823966863833094+1.14149270646038e-17i,-0.0557514775638887-7.03074904745448e-18i,-0.016933226293312-1.78734114985314e-17i,-0.00537905434244706-1.58160175076341e-17i,-0.0219424024611866-8.38579559947985e-18i,0.0828112659928248-3.04228522329036e-18i,0.0284884193809874-2.41657884077653e-18i
-0.00256406456363648-3.13207203824905e-17i,0.0270622904493421+2.08288154236811e-17i,0.00393391451963551+1.34693237836307e-17i,0.0611412844607681+6.68030199155467e-18i,0.0154076589109687+1.68505098749296e-17i,0.0613544784918209+6.56516520605679e-18i,-0.110646775495941+3.55010612368798e-17i
0.0239359551997094-1.0544443456111e-18i,0.0391578038299096-7.25857341109843e-18i,0.0168402631092209+1.18172976337311e-17i,0.0355471462495935-6.6749709639344e-19i,-0.0351591040023242-2.19068268901811e-17i,0.046626555692546-1.73221344759838e-17i,-0.0375393693045748+6.00267858389912e-18i
0.0111869531302686-2.55533365000927e-18i,0.00138776429339553-3.45687427197848e-17i,0.0111152873702512+1.50158839796047e-17i,-0.0703414319765303-1.22060720704308e-17i,-0.0668112733980088-1.47158549895251e-17i,0.0195962342700577+6.87983309979074e-18i,0.0711385320878862-4.13263892987704e-17i
-0.0050165332567328+9.72820599806211e-18i,-0.0478121768193637-1.21480523753495e-17i,-0.010642160086951-5.24801799008825e-17i,-0.0101232501802485+1.17507202470584e-17i,0.0130637391950841-2.19811763935874e-17i,0.0220845255272652-1.7220039760782e-17i,-0.053120149486861+6.32131394114818e-17i
-0.00415454680743249+4.02070146229516e-18i,-0.0375309919221005+1.57539447069396e-17i,-0.0139156926084829+1.30548356965046e-17i,-0.0161910824946406-7.46717709436348e-18i,0.00601365421784275+1.54814385931451e-17i,0.0164873539391144+2.62627001344369e-18i,0.0840183320551958-3.61769100637422e-17i
-0.00977057498541307-2.16183582225586e-17i,-0.00867833512515289+2.20392087901689e-17i,0.0466958022499794-1.65076805945529e-19i,0.00521839566986173+6.91693431150926e-18i,-0.00741690742141893+6.98382827216083e-17i,0.0459619261061279+8.11132322879399e-18i,0.0133926858199795-1.58099196694698e-17i
-0.0438485464364631-2.6034242397326e-18i,-0.0785980159374117-1.74156736011818e-17i,-0.0105971718983855-1.95021299171984e-17i,-0.0710103292603789-1.65637998264235e-17i,-0.0197873876568504+3.10181230667789e-18i,0.00424212521768019-8.18795326349638e-18i,0.0226607782512294+1.08088297596123e-18i
0.00818566612352525-1.7799383177907e-17i,0.00411146644859127+1.23082793924748e-17i,0.0924496030665344-2.40422363980428e-17i,-0.000970260430826966+1.46378406116736e-17i,-0.00955127553628854+2.95709264425013e-18i,0.0687179205287079-6.59163367448888e-18i,-0.0853277581299833+7.11855575631811e-17i
-0.040827069651375-4.22411052200859e-17i,-0.0196464421969746+5.6877847310785e-17i,-0.00118164178661718+2.90366492499858e-17i,0.0685861568583712-2.55760276308517e-17i,0.0835066774664798+9.83999143737441e-17i,-0.0102710751932779+1.2115347765691e-18i,-0.0236379090882765-3.77608950331413e-18i
0.00997939695739259+1.79084452423504e-17i,0.0236144804249532-1.44354270496398e-17i,-0.0323972859688169+5.89856238429705e-18i,-0.0109435975122367-2.36063912125187e-17i,-0.0651847254039675-5.31554074650104e-17i,-0.0717619114667763-1.95603763497394e-17i,-0.0548229789276857+1.65949351905714e-18i
-0.00259780351533886+4.91836611110075e-17i,-0.014648057065602+1.21338539822481e-17i,-0.0253278502829682-5.98320997942793e-18i,0.0186481665878935-6.29948249849005e-18i,-0.0229730956988438-1.35551757393288e-17i,-0.140037299307349-8.92792957059269e-18i,0.0390008116358807-4.12166043836789e-17i
-0.0205258464561337+1.41781533910267e-17i,-0.0250038799457242+3.6001015345784e-17i,-0.0596084704493645+3.4717245830788e-17i,0.0177462848398107-1.81279927370663e-17i,0.0358765497120401+4.34796769021937e-17i,-0.0673886926283058+2.56742983988406e-17i,0.108111419861263-8.71075614846561e-17i
-0.00104150049738965+1.00498344797513e-18i,0.0534215369995982+1.31880959387703e-17i,-0.0736260248874623+2.54816035155262e-17i,-0.0522981014646537-1.06119931220294e-18i,0.0369862633082668-1.30314945086984e-17i,-0.0389439120254217+2.13002011105593e-17i,0.0912522382844065-2.51417172549599e-17i
0.00968503086734351+1.08417930502236e-18i,0.027702617823911+1.11230213460326e-17i,0.0617175410000576+2.6488010032994e-17i,0.0325888705207149+1.04509710628858e-17i,-0.00863801074343275-1.00382964507926e-18i,-0.0690558934960219-1.42094946526537e-17i,0.0253272454432307-2.1887184682607e-17i
0.0525302256097275+3.5550472658529e-18i,0.0831758236679949-5.51199515172905e-18i,0.0317276607124675+8.40152207778792e-18i,0.0618402934047717+3.23103394100317e-17i,-0.0298043844873814-7.32425272789561e-17i,0.0199387443171557-3.78284563356263e-17i,-0.0921260552084733+5.02494484765585e-17i
0.0230586019990325-2.24075466234095e-17i,0.0268282086335351-5.95074339106568e-18i,0.0258840309496299+1.90173739498574e-17i,0.0206091156083398-3.70751265845411e-18i,0.0504712707002977-4.50752495439319e-18i,0.0247279285604858-1.12963372293759e-17i,0.035948836238382+1.60619315714819e-17i
