-0.030122088333975+2.38881371073516e-18i,0.0357980040281515+6.38615284231982e-18i,0.00401638062425385+3.6369595902093e-17i,-0.0588716425449506+1.48798070709171e-17i,-0.0698430931094284-5.9382167059737e-17i,-0.0891737404246385-5.52487413972847e-17i,-0.0592084633771071-2.01605743358879e-17i
0.0114141225638392+1.8779617223167e-18i,-0.013278515758987-8.66975938460433e-18i,-0.00694720740572432+1.00951891583128e-17i,0.0205951856990286+1.90363913955216e-17i,0.023518974601982+5.36692013486998e-18i,0.0242984886169684-2.96275429141443e-18i,0.00738903007124737+3.03053246501277e-17i
0.0166654179848886+1.98260874938391e-17i,-0.000256993580622047-1.25328623189297e-17i,-0.00284982199094951-5.36880235639827e-18i,-0.00179996637470205-2.61151796652927e-17i,-0.0197722214065681+3.37611701718395e-17i,0.123139223327597+1.10067299629618e-17i,-0.0140822959842478+2.33538831104e-17i
0.024779773535441+4.02832737391013e-17i,-0.0670596613931543-3.55086800967252e-17i,-0.0844549041739446-4.80666193740921e-17i,-0.00339145281575407-2.26290925279592e-17i,0.0280765473843801+1.09172351434475e-17i,0.0819956911115086-7.19560459940312e-18i,0.1229735368927+1.57025214373072e-18i
0.00257371982435167-1.69297433840599e-17i,-0.0118835153159424-1.47490948896239e-17i,0.0341474085983768-2.46290099143845e-18i,0.0358004258741223+5.40204754214383e-18i,-0.00516241431408869+1.92869923536771e-17i,0.0975951308061844-1.92812846707921e-18i,-0.0373682063810297+4.03615081391494e-17i
0.00108927989463488-4.37173010997746e-18i,-0.00838540734001563-2.57676211572821e-17i,-0.0412537440727645-9.20136735212221e-17i,-0.0643161340957133-2.98943251959144e-17i,-0.0508695754473473-3.33815014598893e-17i,0.0607364225152451-1.41982884929134e-17i,-0.0259232241664907+4.60150593767613e-17i
-0.00189080138298786-1.93110265669003e-17i,-0.0254317224174805-2.31772503481301e-17i,0.00741322848486665-3.14832972928036e-17i,-0.0284895645647558+3.582978857084e-18i,-0.074108277472375-5.86813097241929e-17i,0.0715048077170771-2.78849384100375e-17i,-0.0217539827227274+4.90323811336374e-18i
8.04497544387404e-05+7.47724439256187e-19i,0.032127194609647-8.52330090983862e-18i,0.0406323583271972+4.91224482575859e-17i,0.029061954595517+3.01662659546708e-18i,0.0297504609919854+3.01235354181917e-17i,0.00542595717114499+1.5529799257635e-17i,-0.0259675772724076+4.28184046526861e-17i
0.0137158428246214-4.97052394857558e-18i,0.00765775474532774+2.45074938076189e-18i,-0.0109625237822675+2.60508718401782e-17i,-0.00413058476222404-9.40814176097595e-18i,-0.0290613030049221-1.98691992406033e-17i,0.049447943127228-7.79090211690956e-18i,-0.0324380013675251-8.61773101616357e-19i
0.00465928183695783-5.61125740160719e-18i,-0.0601645440413356+8.01145016934871e-18i,-0.0433264110720463-1.53272734516255e-17i,0.0394474711227492-4.03443728235528e-18i,0.0155468832170582-3.75171670874304e-17i,-0.0840405624809287-2.57553114841554e-17i,0.0220815148555925-4.16617250060099e-17i
-0.0048773102152456+8.41594043664727e-19i,0.0298997649982089-1.08554537608431e-17i,0.0158863841431378+3.73969986851811e-17i,0.00319839483412292-4.78346480025235e-18i,0.0131287371907215-3.58718793386663e-19i,-0.0726690970869913-4.80574664505794e-19i,-0.0267092468044543-1.34248267715743e-18i
-0.00787738481047525+2.62891576998237e-17i,-0.0214139831365595-5.11624314311299e-18i,-0.00112205718556741-1.34955180086747e-17i,-0.0397888900946684-5.20846985292146e-18i,0.0128081928581656+1.17309790830365e-17i,-0.0223536936919729-2.45793932381058e-17i,0.0784886972715493-5.38767778447665e-18i
0.0143976386188591-1.31896465808241e-17i,-0.00715350841758932+3.98825120792299e-17i,-0.00111191677177381-2.29659359110645e-17i,-0.0463184533398995+1.90025641762847e-17i,0.0399114549559617+5.08443653646675e-17i,-0.0295957047663574+7.92620189445855e-18i,0.0251273223774083-5.67597795765964e-18i
0.0156919392473361-1.19504186597673e-17i,-0.0072186001455232+3.27609532571676e-17i,0.00181424294058108+1.04213102300718e-17i,0.051995791412575+2.93137571435178e-17i,0.0544084990716497+5.27536673657304e-17i,-0.0201869904638961+1.43102270456652e-17i,-0.0594470129137772+8.0075214020806e-18i
-0.0156437645158311+2.74664500442024e-17i,0.0455198326740886-8.80881077503525e-18i,0.00764325198631116+4.56457042553995e-17i,-0.00348884624755216-2.88006072000091e-18i,0.0114327278012819+2.02039257982899e-17i,-0.0335169630599209+2.16561147978228e-17i,0.0594386652603284-3.55370865014153e-17i
