-0.00322617566099267+3.78274054852576e-17i,-0.161809624365639-5.62504590674539e-17i,-0.0676983686831572-5.56630413286642e-17i,-0.10224970278666-2.70899968936965e-17i,0.0386347114172579-4.79203529165655e-17i,0.0252053449230005-2.29317007564069e-17i,-0.152695037343004+2.72248263650804e-17i
0.0757453463429696-9.84551399287489e-18i,0.0222609794014595+2.03808740588748e-17i,-0.000896375374392265+5.02104735055872e-17i,-0.0571385845794668-7.76025158396052e-18i,0.162444743016384+6.61383712998488e-17i,-0.0102549294714383+1.06428961193438e-17i,0.0337139663689576-6.96415054312257e-18i
-0.0297720234237324-3.56039751453347e-18i,0.0803581647987165+3.13880557651771e-17i,0.0878888791772431+1.69421183736125e-17i,0.0697159049272204-1.17974155898787e-18i,-0.0955843946273797+2.51374533274202e-17i,-0.00278500613436548+2.02942952687296e-17i,0.0189369441497866-2.26589393950942e-17i
-0.000453581555964451-1.25787996416512e-17i,0.0201215268928265-1.39396222473852e-17i,-0.00236951961540065+8.07188047007203e-18i,0.0600146694568393+5.78961536087896e-18i,0.0230097519565491-3.21987548665305e-18i,0.0635115596954373-4.49444950224566e-18i,0.00119171633420842+2.28280782095365e-17i
-0.0165604923419989-2.94582324667781e-17i,0.182530321654951+5.62157195822785e-17i,0.072975455730135+3.23859302436803e-17i,0.156567816791621+2.67509328983031e-17i,-0.119692392128924+3.27194994469064e-17i,-0.0418945535451811+1.7138718900101e-17i,0.152297807877964-3.32750266323228e-17i
-0.0212071683641575-2.26676000321765e-18i,0.0299866553409852+2.68387636217446e-17i,0.0631487078222647+1.40439512161165e-17i,0.10646437309037+1.42733908440357e-17i,-0.12137417573224-9.37418681183978e-18i,-0.0554687276061973+1.25667039456934e-17i,0.0304950324705004-3.89462311415389e-17i
-0.0423617425636557+2.17755862078768e-17i,0.0108323738945729-3.55655832151524e-18i,-0.0090915021960527-3.02133132033654e-17i,-0.000150882015294866-1.65075129739177e-18i,-0.038373936256232-2.64714636685305e-17i,-0.0436524758981816-2.6195652622424e-18i,0.0180888128834638+6.48488324570777e-20i
0.00046726599146374+1.26732449400603e-17i,0.0367637068694464-3.95249038955983e-17i,-0.00376210924630886+2.85281569382215e-17i,-0.0633499602153143-1.32426440793452e-17i,0.184975817455477+3.38817089912819e-17i,0.0318212650937161+1.84078512154392e-17i,-0.112178150546747+5.17928319583973e-17i
-0.0911378814616643+1.53012695741694e-17i,0.0638153113776627-3.33300887080087e-17i,-0.012513316991038-4.75188560641401e-17i,0.0348946668129631-7.63126924523539e-18i,-0.0725412411198632-6.86751770718033e-17i,-0.0300557038185857-2.71169057119567e-17i,0.0492807138829552+3.52605026330997e-17i
0.0630399034960376-1.42732525978304e-17i,-0.162193345381406+9.54852662882959e-18i,-0.0263977729500453+5.85999072010439e-19i,-0.0202355987311581+6.78347701470349e-18i,0.00613872817107221+3.1267099040545e-17i,0.0408397630872564+1.12319875647074e-17i,-0.0565586134345893-3.26677859467216e-17i
0.00404795969730426+8.22721989513543e-18i,-0.0361558892532314-1.14559721817934e-17i,0.0108520152409571-6.0675642134863e-18i,-0.0377774284989545-1.47221461645988e-17i,-0.0139360166183693-2.38150919446879e-17i,-0.0227847348916946-1.17921469613269e-17i,-0.017987060824002-2.44366547650363e-19i
-0.00820832605296223-2.62280289539938e-17i,0.0813890066800285-2.7547664849936e-18i,-0.00577937952709446+9.33519736591548e-18i,0.000654829513305614-5.47253696013163e-18i,0.0287003241791695+5.59401240314913e-18i,-0.100963492526479-1.30710703037039e-17i,0.0555609331503421+3.03959168760174e-17i
-0.0422149859233067-4.25969239350808e-18i,0.0550849619201686-2.61522843518578e-17i,0.0974317317242035+2.51520461342937e-17i,0.0621848058337528-1.94907852373689e-17i,-0.0826397945297536-2.4783039957808e-17i,-0.106315997682189+1.6843829252372e-17i,-0.0430012046678119-1.47912684849222e-17i
-0.000955220348409611+1.18609086031816e-17i,0.0350916215965874-2.01623509160314e-17i,-0.047505645806497-1.73470921761532e-17i,-0.0485473505537781-1.64695899622729e-18i,0.0710633053681644-2.14013274855693e-17i,-0.0824609408002656-3.0942042152749e-18i,0.0272864436002649+1.98689622451042e-17i
0.00775004348268347+9.71434495607837e-18i,0.0353514004585578+3.53410135755291e-18i,-0.00405727873148386+2.19314692736799e-17i,0.0491601647636244+7.39007128624618e-19i,0.0817935781216586+2.38913933128024e-17i,-0.0760157621747549+2.16275180412993e-17i,0.00202304806794167-1.30985635156711e-17i
0.0299062397303825+7.73644703734594e-18i,-0.0144972094684316-1.20853758209214e-17i,-0.0173241956589647+7.19548064521763e-18i,0.00254625840259114-2.05214550750199e-18i,0.0810231777608844+7.44543227130308e-18i,-0.0783768941119988+6.03603497849748e-18i,-0.0424148115962265+6.22032625505966e-18i
-0.0208287949473932+8.85701112779706e-18i,-0.006066865884778+1.96743344192568e-17i,-0.0268981155486962-1.58741136150292e-17i,-0.00777120304710601-9.92709727493976e-19i,-0.0262940805274365-1.68220662012489e-17i,0.0143223192205149-1.87890131542376e-17i,0.0603707337548724-1.26270930984188e-17i
0.0246163871102528-3.48736585035865e-18i,-0.0109674397480975+2.26712296927203e-17i,0.0123116315178477+1.15702117467916e-17i,-0.0275082264242472+2.71564494177302e-19i,-0.00413712578149863+1.0036829670276e-17i,-0.0595834958857675-8.79835990215534e-18i,0.0216227406820831-2.19213759544986e-17i
0.0241844024761485+1.27806577065254e-17i,-0.025926748992752-7.70162294078187e-19i,0.058519880821261+1.84039042470056e-17i,-0.0688848540654239-2.73017187865323e-18i,-0.0273439648849253+7.16845036648965e-19i,0.0386123604127418+1.51627056179374e-17i,-0.0824168718929955-1.45826972380309e-17i
0.00776193029726875+5.61720196036587e-19i,-0.019465414816805+2.98213443224781e-17i,-0.00171011659902025+3.30990270636856e-18i,-0.0140248623357883+6.3957817025688e-18i,-0.0232388384470753+7.87722394213655e-18i,0.0520835881060157+1.26466511202741e-17i,0.018025312913038-2.18470974074088e-17i
-0.0313763508957249-1.71836726174635e-18i,-0.0144391573661464-3.12711826474646e-17i,0.00467505129009765-2.62974150127208e-19i,0.0185527311051024-9.10302333295151e-18i,-0.0155545545767514-2.54708547128147e-17i,0.0113146668260599+8.52920581081971e-19i,-0.0517339083221506+1.20743846573551e-17i
-0.0489859189300437+2.0974141044229e-17i,0.0429772386725226-2.39827645917956e-17i,-0.0196919113232149-6.23366073586268e-19i,0.0130049244540803-7.50636134113871e-18i,0.0546863971949991-2.32343720256783e-17i,0.0849391715595918+8.69954050730004e-18i,0.0291311404241484+1.04776061032613e-17i
-0.00944252967565407+1.1159143583184e-17i,0.0289403559850072+1.19063312754158e-17i,-0.020336813627898+3.75336446063591e-18i,-0.0952161591765687-9.77905447329982e-18i,0.0506765589578672+3.62573900611439e-18i,0.0605042320646779-1.52054163029587e-17i,0.0498098529188642+7.37240387788792e-19i
-0.00449661825728482-1.90528458631138e-17i,-0.0355366299567143+6.63175377442816e-18i,0.0219959617253027-5.23174868868069e-18i,0.0723024580579123+1.41561531732531e-17i,-0.109940586531032-1.59253201867353e-17i,0.0119198237423495-1.05318419829038e-17i,-0.00977362667789644-2.30127546961774e-18i
0.0343982988174103+8.07721365602433e-18i,0.0114493452169416+2.46289449538079e-17i,-0.0106814745701019+1.69871373852145e-17i,-0.00971954002379011+1.03576575001476e-17i,0.0619172879956816+3.67540587217886e-17i,-0.0158766970971139+1.90683218508938e-17i,0.0158437688675174-2.26003222719618e-17i
0.0442168171811538-5.00243051103059e-18i,-0.0179958815196065+2.00713230368669e-17i,0.0577431178641659+3.31669121855907e-17i,-0.0180855462512247-1.47234216247919e-18i,0.00213460293599267+3.08394968992581e-17i,-0.00739133197585488+2.28970664221154e-17i,-0.0697843370794469-2.03796658754783e-17i
0.0186855957081802+3.33631738905802e-18i,-0.133451164228221-1.90111629580529e-18i,-0.0274872009169064-3.01458657277382e-17i,-0.0409166520491086+1.07721522942064e-17i,-0.0497527544592784-1.64529083637171e-17i,0.0400310429687174-1.33418236908534e-17i,-0.0264220319855079-1.38217689118681e-17i
0.0100712689549945-2.06488198108349e-17i,0.0216974081066251+1.1826302066904e-17i,0.087521456476552+2.04951736016688e-17i,0.0470875713018102+4.09361309288808e-18i,-0.103367822582929+1.5403545409925e-17i,0.0196284256938975+8.52049184338497e-18i,-0.0256279722336118-1.52141393605438e-17i
0.0471853331618188+1.05385776414622e-17i,-0.067202763768406-2.71131669453428e-17i,0.0247219535264709+2.26312446866236e-17i,0.0777169301473029-4.2217671347769e-18i,0.0698522142956083+9.7720099815723e-18i,-0.0268072984842364+3.01509668456601e-17i,-0.139222509397952+1.82475090285047e-18i
-0.0720092416011444+1.02024039868928e-17i,0.0426604329502731-4.4111555379059e-17i,-0.0413232676058661-3.91720346015892e-17i,0.000861762288135502-2.67658995373041e-19i,-0.0105468173535609-5.49675461744786e-17i,-0.0220986573864151-1.15208482211024e-17i,0.0364068942496965+3.62885402432502e-17i
