-0.0937831910276555+1.80997520279237e-17i,-0.0689831669539696+8.2196533748539e-18i,0.214034365911338-7.03691059426923e-18i,0.0607708389466239-1.28529018687378e-17i,0.0482232588664696+1.80681313949018e-17i,-0.0289609966493916-5.47773088172806e-18i,0.194849975895185-1.85665585249872e-17i
-0.129589975260073-7.23053597924282e-18i,-0.175625922895563-1.52664024602059e-17i,0.26803530302475+5.14319522515528e-18i,0.0360087288215948+1.40653761199048e-17i,0.156525188669194+3.06073062456877e-17i,-0.0316665208863136+2.16890116271917e-18i,0.114027936022841-1.60867948641858e-18i
0.0198155829183562+9.91556515536084e-18i,0.133188384958405+8.55126050855852e-18i,-0.0810947407137053-1.24182240028852e-17i,0.0360106845856643-3.89979132963768e-18i,-0.0442347616874981-2.32491699413287e-18i,0.0336610563793784+6.56836184660429e-18i,0.0643331256962345-1.00063848320123e-17i
0.0902533313861534+1.11395078617794e-18i,0.161121036690842+1.10436109141619e-17i,-0.144615770919779+4.67779073026785e-19i,0.00570602075269718-7.42085439527585e-18i,-0.102343930007626-7.8083893296255e-18i,-0.00606409615144226+8.65591391027069e-19i,-0.0326356567235391-6.31947044411419e-18i
-0.0839611659482871+8.55325581762193e-18i,-0.0970607684806255-5.10327061743377e-18i,0.20104343528566-6.31832000035815e-18i,0.0544712241143126+3.04479624375033e-18i,0.00954086689535154+1.30064717881833e-17i,0.00138501055139933+4.67833891425238e-18i,0.096354484276027-9.13777590146562e-18i
-0.0134442255883066-4.45042427540856e-18i,-0.0445153082511959+7.49770362462565e-19i,-0.0188764453224516+9.14712632362496e-18i,-0.0196547294171894+3.09781748521962e-18i,0.0559969327656271+1.01912205643138e-18i,0.00241414976138964-6.50137787904107e-18i,0.0196772360521254-1.30022630928887e-18i
-0.00755801290577985+3.70996729194362e-18i,-0.0156563208985808-1.76243677383133e-18i,0.016395817449107-5.3388384940473e-18i,-0.0341376601025677-4.07793556797181e-18i,-0.010619983780981+4.8835630145903e-19i,-0.0300905876731236-2.43531528829109e-18i,0.000394882366791095+1.01398599698209e-18i
-0.0344569094249444-4.4952606666177e-18i,-0.124737329957702-5.55352634322542e-18i,0.0683911431365068+7.26934573605855e-18i,-0.0672092525583999+8.83466431036813e-18i,0.104151140408454+4.82981061781943e-18i,0.0180755170974861+4.52079506413132e-19i,-0.0140159523983012+8.94578051318769e-18i
-0.0264124124663421-3.89316100797905e-18i,-0.0249628933342852-1.69773247313501e-18i,-0.0191405593809631+2.28197409189715e-18i,-0.0459239078675985+2.95509201642507e-18i,0.0580434656544929+3.60502552192225e-19i,0.0275606937005873+3.90397916976957e-19i,-0.00810009586322804+8.64365216760012e-18i
0.0129768852512224-1.74889666956141e-18i,0.0193871776465095+4.94456894547335e-18i,-0.0563125277776725+2.30123161437949e-18i,0.00484408513246303+2.57130164213037e-18i,-0.01538396527447-7.14058731472033e-18i,0.0223680747725637+2.01606076289346e-18i,-0.0463354561586861+1.0813461919199e-19i
0.0200526204230163+1.3231549327213e-17i,-0.00859110857671452+9.9322084864634e-18i,-0.0201039848356615-1.063539592593e-17i,0.0258605568268738-1.73664407497339e-17i,-0.0934519091416338+2.53843998695259e-18i,-0.00965324346089703-3.37505787660422e-18i,0.0635566547447137-1.48719580674322e-17i
0.0600384795842043-6.24281499308068e-18i,0.0399671810055204+1.76301601017954e-18i,-0.149826002051416+5.30731785731326e-19i,-0.0127170175890792+1.84126772503627e-18i,-0.0447867983778635-1.5282541053776e-17i,0.013898988366398-2.13207363705589e-18i,-0.104376490608779+1.41880727647627e-17i
-0.00939334716727699+8.573461986696e-18i,0.058051078222139+4.25563738959389e-18i,0.0659941604733055-1.93746699475944e-18i,-0.00818168302260529-4.37206837817113e-18i,0.0222989041383302-1.66573632577437e-20i,-0.0206932036092074+2.73465629507554e-18i,0.0522593105332945-5.5288816457889e-18i
0.000797935909018312-4.3993547137896e-18i,0.0139997092513166-3.64696253674215e-18i,-0.0251681972384273+2.32701766747807e-18i,0.0344687630930444+6.53447765350835e-19i,-0.00167934198130291+6.92395038905149e-19i,0.0128034918861205+9.97349722453429e-20i,0.00321695817065559-7.85368321403266e-19i
-0.0373600638752116+9.77578749001104e-18i,-0.0569444500124209-1.56533720372276e-18i,0.0306566424864783-7.3730026184792e-18i,0.0179428660684818+9.18705820202204e-18i,-0.000958097395359567+1.14195032074585e-18i,0.0442838537985947+1.00598998427445e-17i,-0.0157467863355501-5.57931024609458e-18i
