1.06112372336015e-05-2.77389837826595e-17i,0.128709623333909-1.03017050105142e-18i,-0.00211087587269192+3.71146887999502e-17i,0.041447465699032-3.23895099865153e-17i,-0.0795305632531682+5.21166405128193e-17i,-0.0133114516013762+3.34664195957705e-17i,0.0440755363507565-5.30622711176295e-17i
-0.0130898870192158-1.70957661631498e-17i,0.036822099670073+4.48101894898453e-18i,-0.00265776012892543-2.13117107073729e-18i,0.0591224615838478-1.75290736430865e-17i,-0.0259035703233016+1.9794815421154e-17i,-0.00506172714436789+3.25884921510574e-17i,0.0408920382679306-2.65703131276618e-17i
-0.0373073860992003+1.17054015291417e-17i,-0.0119301298681006+2.11136445754063e-17i,0.0554669726474992+9.18058795976795e-18i,-0.0279020520239516-1.92071168325946e-17i,0.0244950291285447-4.0028038529077e-18i,-0.00533405843647461-5.24166043542524e-18i,0.026827638158551+1.90666289169491e-17i
0.0040570387060618+1.47769524050734e-17i,-0.0118712139839958-3.17124608102768e-17i,0.0178766152486131+3.51793690726003e-18i,-0.0169183727736079+1.92849830464809e-17i,0.0592514624503246-7.55454149154028e-17i,-0.0326324854884592+7.38181359746911e-18i,-0.112649116335839+5.70303570031875e-17i
-0.0490616404022513+1.77319090917879e-17i,-0.0628376749175294+5.48045240148848e-17i,0.11389520805378+5.37033358096386e-17i,0.0235384014855037-3.14351371230366e-17i,0.0703470540844448+4.55602518942079e-17i,0.0580886893359967+1.60036297028382e-17i,0.108515343651611-2.43991968638257e-17i
0.0134367008422109-1.20724606382256e-17i,-0.0167912428582444-2.7417076107437e-17i,-0.0607534699527885-6.10165077725754e-18i,-0.036013935485354+3.03428966676983e-17i,-0.0812205070138768-3.29649573513571e-17i,-0.00366267675639349-2.77129990164875e-17i,-0.0583797781721915-3.4528323661905e-17i
0.00659967929486936-3.75052895443737e-18i,-0.0237637869469432+6.55036199921786e-19i,-0.00727924643996707+2.12890773921661e-18i,-0.0158146836641443-1.61413619478671e-17i,0.00363762979854855+6.97976004810729e-18i,-0.00340786808215037-1.71224991482186e-17i,0.0163048146843367+1.02488571808742e-17i
-0.00804474143370191+1.33029366872509e-18i,0.0516616103017838+1.16988785118433e-17i,-0.00740440562098408-5.01418175196137e-17i,-0.0176730672656469-2.43396047419018e-17i,0.010144110418898+1.13794874003135e-17i,-0.013087142557512-3.22404753740024e-17i,0.0162867399917558+3.48489087042702e-17i
-0.0216081060363685-1.90868273957199e-17i,-0.0149583576705212+8.18836600669877e-18i,0.00772152108212219-4.51029543873994e-18i,0.0147452429010846-5.39913370806424e-17i,-0.00677125294472433-1.56688222310037e-18i,-0.0385070759278316+6.00145124061096e-18i,0.062322060313878-2.11746038628977e-17i
0.00447713629837619+1.44712881684398e-17i,-0.00477859739361547-1.24602534224332e-17i,-0.008302393219462-2.52498795569302e-17i,-0.00447478794679712-1.48162832978583e-17i,0.0583117067987685+2.33314920101484e-17i,-0.0266727466235734-2.05622806138444e-17i,0.0140966743279388+5.51327178837348e-17i
