-2.14534785397615-0.000291362607591817i,0.0718815674910828-1.80241835393652e-05i,0.0329499299000197+4.36874414566019e-06i,-0.0416907526121534-0.000131888517177847i,0.045843361875521+2.61691103006142e-05i,0.00194093371037829+3.62647237647637e-05i,0.0364480177132617+0.000104196080598286i
-0.0106882922278836+1.2921969405211e-05i,0.00494278160613958-9.33142089526238e-06i,0.03190963622945+3.0474265567232e-05i,0.0677369337123334+9.8607660827002e-05i,0.0314812056426268-6.40550265690096e-05i,-0.0992086432924853+3.13087371317506e-05i,-0.0324837482383675-8.50193425284229e-05i
0.00184827318149114+5.59936967762616e-06i,0.013937069240917-1.01622747936777e-06i,-0.0239755003507232+1.15954462668664e-05i,0.0105037901838174+5.23926269680268e-06i,-0.0080912767523616-5.35391791143571e-06i,-0.0320372764192519-5.32342241289293e-06i,0.000386501897696492-5.97640815215058e-06i
-0.011597732565281+7.0332406748318e-06i,0.0249673244119006-1.49856156812519e-05i,0.00437323389289843+1.50862042006228e-05i,0.0668265625419092+5.95916260725813e-05i,-0.00642958032890825-1.83582014393499e-05i,-0.0409927142018007+1.51765754721116e-05i,0.0254442458088172-6.13746536575131e-05i
0.0325663036303801+1.46038733174269e-05i,-0.0440331140140048+7.03935536903508e-06i,-0.0659973991321446+3.29211233631348e-05i,-0.11944746422454+1.50358384524137e-05i,0.0918059961102655-8.81632111488585e-05i,-0.0747066026743598+4.36425735490897e-06i,-0.175476248051972+3.42735856812662e-06i
-0.0010858116793689-9.53015592557782e-06i,0.0351304047280776+1.88544468630279e-05i,-0.00118974493915587+2.04240857836328e-05i,-0.0676520773831061-0.000131164404067777i,0.0328761821862843+4.54525076537599e-06i,-0.0569989786186004-3.28062771783372e-05i,0.0118342327281268+0.000102225618667309i
-0.00258373407927565-2.96051340986749e-06i,0.00912102493913994+1.70598024883008e-05i,0.0240653686172572+4.39248430690617e-05i,-0.0308417574492305-9.90327507497949e-05i,0.0459361106363695-1.78937195007896e-05i,-0.121703205684577-2.79452352453244e-05i,-0.00323905517909555+7.18751047085381e-05i
0.161398274794265+4.47839260197e-05i,-0.0421434618257756-4.43232461727107e-06i,-0.0213285980333034+5.02087250336981e-05i,0.0138026438182923+3.28875744065963e-05i,-0.112137524143468-1.7714547067326e-05i,-0.184092619613126-2.18370450746963e-05i,-0.0673294809150418-3.07199629765065e-05i
0.0136476904434713+1.42832410518488e-05i,-0.0576578700769162+2.31092476408262e-05i,-0.0291612951565589+7.09615611635589e-06i,0.0682264228716018+6.87732190090625e-05i,-0.0310343814612323-2.52367093917971e-05i,-0.0473671913666062+6.41649608164096e-06i,-0.00378004052043531-7.35204923316803e-05i
0.00388792479832811+9.72914754976346e-06i,-0.0362567267962175-2.2805014639655e-05i,-0.0202268300418861-1.3678945003257e-05i,0.0284942460746038+8.8074800410153e-05i,-0.00463091158004761-1.17626067453243e-05i,0.0381499285643256+2.1463416760386e-05i,-0.0127092346372463-6.99603661208205e-05i
-0.126040097107284-3.36542399983773e-05i,0.036887925377114+4.29730303621289e-06i,0.0504504642880881-3.75414158167904e-05i,0.0262043519982015+8.22776424970687e-06i,0.09440285684697+1.00173773956025e-06i,0.116328997979469+2.85766220114125e-05i,0.0586013097579102-1.03514116163748e-05i
-0.0640789757382114-2.07493709248253e-05i,0.0402897851919161-2.35870099538424e-05i,0.0171718892878096-3.00526433452121e-05i,0.00398090340654662+7.37913068818751e-06i,0.110507791815967-6.52054084159477e-06i,0.0925905925127364+3.34637954223514e-05i,0.0303393522442315+7.3438955943892e-06i
-0.0548212180636578-1.21452510538067e-05i,0.071511037808802+4.22794499515161e-06i,0.0947465536572965+7.67071238141131e-06i,0.0930210001907432+1.25781770736184e-05i,0.0524573650744707-1.48907802102391e-05i,-0.0441086282884718+2.08246141283523e-05i,0.0809626798098763-2.94223661896787e-05i
0.0140682079951993-3.2990973646044e-06i,0.0106478812932614-1.24548915720455e-06i,-0.0634441701431865-3.58385616676787e-05i,-0.052400645881863+5.71555336277676e-06i,0.0160829644150296+2.59042955393832e-05i,0.145587378455285+8.2184012252263e-07i,-0.0123960461581676+1.4428526458165e-05i
0.0215439186095035-5.07811562582029e-06i,-0.0328337019662006-1.47951225778854e-05i,-0.0434757727816048-2.577235998285e-05i,-0.115297095627488-7.20770648507145e-05i,-0.0106592343369737+3.78528283116112e-05i,0.0953905017507923-2.40687155963848e-05i,-0.0258319870446722+7.61900863908749e-05i
-0.0311849756669896-9.927262392489e-06i,0.0283148115851839+2.61610821508293e-06i,0.0184275750565558+7.58251113896984e-06i,0.033079255315335+8.11074310256905e-06i,0.10225777836877-4.03126145426154e-05i,-0.00140057927648024+2.9813701186374e-05i,0.0127285322723292-1.29447774608979e-05i
-0.00234619770692168+9.74511754008569e-06i,-0.001433366955063-2.04011693465689e-05i,0.0156220850265075+5.10886998309818e-06i,0.0451190789940687+7.13565957020126e-05i,-0.0415152904852186-4.54851470478728e-06i,-0.0232924380340567+9.43175034923094e-06i,-0.00482660564690711-5.62235412293029e-05i
-0.00168198653874452-7.4415071033431e-07i,0.00985506208096356-6.57162416558836e-06i,-0.0200988003391256+1.63804808504556e-06i,0.00341909793894123-1.55698950223855e-05i,0.00702309181486642-2.74056000679724e-07i,-0.0277541860428551+1.7294006737796e-06i,0.00509446571659828+1.46366360111103e-05i
-0.0123488875197524+8.16430107331238e-06i,-0.028912907377438-5.88088614209119e-06i,0.0760213583356052+8.7537010736687e-06i,0.10069112900505+7.93098168368994e-05i,-0.0533274331895452-9.25189229721297e-06i,-0.081513838106518+1.43596173222312e-05i,0.0261322304690284-7.7837846308989e-05i
0.00523473310101458+1.14477811496568e-05i,-0.00543816329982992-1.39529736961546e-05i,-0.0161521974983814+8.45526035078896e-06i,0.0659205865304245+6.12208493698854e-05i,-0.0368268413886638+2.55653737656365e-06i,-0.0256116926369122+5.21725947142622e-06i,0.0230181668342028-5.53283756741754e-05i
0.0125799523335413+9.73162454060644e-06i,0.0092984793925285-6.82165148753636e-06i,0.00749472294902138+1.39267319740413e-05i,-0.00341166035966628+3.4864242160174e-05i,-0.030399118383647+8.61332336712421e-07i,-0.0177431855956056-7.94745270192662e-06i,-0.0260919329363627-2.49182820611626e-05i
0.00323928300058273+4.44460145438532e-06i,0.0226994161358639-1.23084033318536e-05i,-0.018723252371942+8.79804754398502e-06i,-0.0173440321997893+6.25910834105764e-05i,0.0549242181461644-4.573439844004e-05i,0.0162958339590718+2.86139999147905e-05i,-0.0720662231844822-3.67785231199974e-05i
0.024133896101699+1.33734581476695e-05i,-0.0161124954026823-7.94618569879393e-06i,-0.0203578156866158+2.27106308537671e-05i,-0.021391591770836+1.22743247542084e-05i,-0.0691524116266449+2.11826301124771e-06i,-0.0576489162620467-1.6619086987796e-05i,-0.0480174848491952-4.17265071902535e-06i
