-0.00436883608591884+2.53193455153727e-08i,-0.0247812316225495-1.21201861794855e-06i,0.0225358048314287-1.74801960109211e-06i,0.0218408542230902+1.33438244273769e-05i,0.0150770661444955-4.51663260119519e-06i,0.00595402873986367+3.84427434380223e-06i,0.000363040321237153-6.02420743125359e-06i
0.0191273074232762-2.70110547396737e-06i,0.0207760113105355-3.12419156928343e-06i,-0.0248385737850081-7.35184065238387e-07i,-0.0380078718348558-2.32311628191738e-05i,-0.0482152018997275+1.34975320453037e-05i,0.0117353969520414-2.03649094964706e-06i,0.013931731755058+1.93315427815586e-05i
0.0121109974914131+4.8492953842168e-06i,0.0128692389569799+1.45688638509973e-05i,0.00897100605442877+5.22199271161207e-06i,-0.0557030209408838-8.54434576969579e-05i,0.0755745247027086+1.736465965347e-05i,-0.00293213428707702-3.23739906829381e-05i,0.0476181017507195+5.61153772497549e-05i
-0.00327862061185126-1.30466675255076e-06i,0.0421881181075193-8.85569634392044e-06i,0.0130059168040929-4.07795191688938e-06i,0.0146061197969216+9.09758650899363e-06i,-0.0474101545986595+7.70491378392094e-06i,0.0180205597700428+8.5640344142685e-06i,0.0164999800732056-8.55501597644512e-06i
-0.000532683001535658+9.02285832453876e-07i,0.0335571522709273+9.3516642129535e-07i,0.00135562306424442-5.63148971081317e-06i,-0.0372966076365002-6.01664715646504e-05i,-0.0371486342846063+2.54737837795846e-05i,-0.0423248831636069-9.50305975658247e-06i,0.0430246820961839+3.44543307533548e-05i
-0.0140934935503367+1.44822430491851e-06i,0.024315095277323+5.31479118666652e-06i,0.0185439917050615+1.12595165942331e-07i,-0.0112752210476233-3.94020354859284e-05i,-0.0168665383041194+1.21736497806315e-05i,-0.0177885613856407-8.60103926388943e-06i,0.0448963801603707+1.50694516453341e-05i
-0.00334948353434648+1.77018688873104e-06i,0.0283620209844225+4.69395299055576e-06i,-0.00842530823752263-1.06664195120267e-06i,0.0138373944903031+3.53823717372692e-05i,0.0113069591437293-1.81958278533227e-05i,0.0185741807417948+5.06310053604102e-06i,-0.0462823819418756-2.30581440881959e-05i
-0.011984570216318+3.06307792313234e-06i,0.00941782913199346+3.7959492826979e-06i,-0.0315970708758523-2.61271424593104e-06i,-0.0161954754480012-1.96619071121928e-05i,0.0112856032046951-5.0316401996309e-07i,-0.0205698926742884-5.19403059611505e-06i,-0.00099111301507282+9.88876533434891e-06i
-0.0142866740603994-6.85608013413461e-07i,-0.0432169866205315-5.36313916589828e-06i,-0.00922446168337007+8.01851639300249e-07i,0.0158634438896781-2.99002138509672e-05i,0.0493647097741887+1.35022334297812e-05i,-0.0369034113469062-3.12947665799657e-06i,0.0464034864893793+1.94013011760768e-05i
-0.00788175064504065+3.16534043693992e-06i,-0.0107307547625693+6.92139522194163e-06i,-0.0423820783099976+4.94798871651216e-06i,0.0145054678547693+1.27922063546836e-05i,0.00840383529570905-1.31762954364747e-05i,0.00317059671503041-1.91298126469295e-06i,-0.00969427135360857-1.97683570725591e-05i
0.0139148322851929+1.92518758198546e-06i,0.0302427360078683+1.97266836560768e-06i,-0.0260498421108396+4.83577654421031e-06i,0.0390516736490577+3.73040568371106e-07i,0.0244781105223094-1.14691521668086e-06i,0.0145183526221264+1.19634562878523e-06i,0.0206539174177762-1.04899550471519e-05i
0.012790799105609+2.62387715166424e-06i,-0.01378319296839+7.66352779628284e-06i,-0.0262572843069647+5.53201281207178e-06i,0.0550570786324091+6.48823094361007e-05i,-0.0747891059451295-2.14516656677375e-05i,0.0686002088240329+1.06249309283592e-05i,-0.0204532199576617-6.38801495475764e-05i
0.0099316227967219-2.72135008127159e-06i,-0.0496099327086033-6.00203266478125e-06i,-0.016283566457719+1.99171484432826e-06i,0.0600572401290164+7.79382725957456e-05i,-0.0867496317329412-1.73982725192645e-05i,0.0261784342956145+2.458377706543e-05i,-0.0262881569955991-6.16898251797026e-05i
0.016333878943377-2.55585202935138e-06i,-0.000917970006383972-1.74415153235961e-06i,0.0200398141388756+2.56627421177547e-07i,-0.0373071827249478-6.31074610603049e-06i,0.068959512982623-1.17183044758994e-06i,-0.0067219792283369-5.80112300499259e-06i,-0.0386537712509126+2.72937471137556e-05i
-0.0104196254699943-1.32709659091309e-06i,-0.0105410916963385+1.80659446618979e-06i,0.018222167328472-1.1559695584314e-07i,-0.0193131045153913-1.68192441940499e-05i,-0.0520109640034173+8.97248997349901e-06i,-0.0416269026124317-1.71606536429885e-06i,0.0114743141512007+3.55157002280183e-06i
-0.0182350047553732-1.37337395757906e-06i,-0.00975801815345178-5.09118868771269e-06i,0.00225922909150185-2.60996246648842e-06i,-0.0296482850929-6.07681566037675e-05i,0.0267507833552636+2.36082817701794e-05i,-0.0688433812326128-8.6845673670733e-06i,0.046981796940642+4.26113565684984e-05i
0.00615000370934603+4.94234030270775e-07i,-0.0300929961657047+6.26430670823984e-06i,0.0638669913596396-1.99252365740033e-06i,0.0461395785227929+5.80151509787504e-05i,0.0243548477874356-2.72956130596441e-05i,-0.0241720843251947+1.34384180577582e-05i,-0.0641395669528659-3.54950808210215e-05i
-0.00132700759162027+1.66312350232644e-06i,-0.0153481186832714+5.44351471190466e-07i,-0.0304936591747034+1.70287881744139e-06i,-0.0619894679384467-5.53317471994615e-05i,0.0734181984369853+9.83367371921212e-06i,-0.0290167538556104-1.88777163705926e-05i,0.00121818676407102+4.79260411300922e-05i
-0.020679500254869-3.00060981431056e-07i,0.0221279762284342+2.01794112712605e-06i,0.0756635173191742-2.98876655042979e-06i,-0.0299683224161574-6.08717444867508e-05i,0.0119666539340105+2.44503140425151e-05i,-0.0517786814461535-1.31739275596613e-05i,0.0448302608615431+3.97472825383573e-05i
0.0258237026918848-1.61125413023929e-06i,0.0292369759596962-8.80732375927743e-06i,0.019883562933785-6.15278020536224e-06i,0.0361213952608754+5.44376555590209e-05i,0.00430997971422694-7.18475556474065e-06i,0.0768853795565377+1.29808837971478e-05i,-0.0262577121633513-2.22905062031462e-05i
-0.00205267178843563+1.60597208844589e-07i,0.0550585660300125+3.50678481291821e-06i,-0.0281777836880488+2.94693772804094e-06i,-0.0268617299430029-3.70322535441663e-05i,0.0267245460815651+9.14786936573606e-06i,-0.0149525428588869-9.81061471856814e-06i,0.0191765672507637+2.17709878906082e-05i
-0.0112624884570478-1.23322645434419e-07i,0.0646673177560234+4.49850505376994e-06i,-0.0250406498547181+4.18548657988687e-06i,0.00392641623839817-3.67977903725317e-05i,-0.0507527884923304+1.23246684699341e-05i,-0.0632331638617802-7.83829830278731e-07i,0.0446924821778694+4.27285000218135e-07i
-0.00204332624351113+5.4973637201877e-07i,0.0371464427723711-6.10295969944081e-07i,-0.0243693232762693+2.42027954807455e-06i,0.0351073509065484+7.00010843372912e-06i,-0.0486720832785969+4.1385191664038e-07i,-0.00500834421137937+7.83702501594181e-06i,0.0270620453908059-2.23848222912818e-05i
0.0108943017007469+1.01641146107988e-06i,-0.0465042282228319+1.21641281334411e-05i,0.00479628063770143+1.657454894351e-06i,-0.020203493151805-6.51417986970168e-07i,-0.087380331358501-2.24624027127694e-06i,-0.0137991889511804-3.62546798319474e-06i,-0.00700032438896765-1.4163191764651e-05i
0.0278099808977351-3.54989530323876e-07i,-0.034531551384846-1.37309787279299e-06i,-0.00888225812071007-3.10145175289704e-06i,-0.0289312852181647+3.96130975266895e-07i,-0.0181033612756023+6.30221622036131e-06i,0.0669127052439175-6.12534069269751e-06i,-0.00427833387603228+1.20933737173001e-05i
-0.0111648343479418+4.08045085772885e-08i,-0.0399267663969761+9.23351985414728e-07i,-0.0164859323990343-2.00970291997412e-06i,0.000765219140418809+4.78157489684937e-05i,-0.0860083192553252-1.31072663582354e-05i,0.0251226832683816+8.86683953668097e-06i,-0.0411871785631342-3.80801367438873e-05i
0.00206404521711159-2.03368024386782e-06i,0.00414468201543811-1.6193637861684e-05i,-0.0579995002343812-3.45881902129003e-06i,0.0546385514564687+3.5259988562306e-05i,0.00211960651488429-1.15664475745537e-06i,0.0624258123580874+1.64822078361898e-05i,0.0243516358620085-1.77286188431178e-05i
