0.011334019666966+2.24873190460047e-06i,-0.0246906038087626-7.73236394173659e-06i,0.020384004607862+4.41691689292948e-06i,-0.0406132236868553-3.35628867306332e-06i,0.0348473136877518-5.08298553276439e-06i,0.0156578168044164-2.26295966966972e-06i,-0.0241464668584324+1.10216004914721e-05i
-0.014039625947616-2.92324959086348e-06i,0.00579710503797389+5.51613462679752e-06i,-0.0188727806962868+6.45704572397826e-06i,-0.00228501533310612-1.68443904262734e-05i,-0.0397420997403694+5.62531007033386e-06i,-0.0353884054726043-6.21595763090007e-06i,-0.001363441987315+4.04531480506336e-06i
-0.00687915694725772-3.08403347828309e-06i,-0.022645585430203-9.65785899799753e-07i,0.00557727539952923+6.65062950418769e-06i,-0.0143010186945141-3.69953652450947e-05i,-0.00156784357516745+5.24914636498505e-06i,-0.0519283278082848-9.38041461114634e-06i,0.00914730447322346+2.40412809384498e-05i
0.00187368783954493-4.82136282140128e-06i,-0.0137668160580923+4.17560920444015e-06i,0.062995387351687+7.88408482195285e-07i,0.0282643735271806+6.64494267560779e-05i,0.00975156861406056-1.72522657877222e-05i,-0.0283122128625955+2.58822593271816e-05i,-0.0300720546524956-4.08518911465633e-05i
1.50172324357284e-05+6.42056198412784e-07i,-0.0169880936883253+1.01944708756317e-05i,-0.0201510987666815+4.06858063332638e-06i,-0.0475209587149528-1.47870917001592e-05i,0.0169077620610655-1.04956325397445e-05i,-0.00606457890927235-1.11360058920583e-05i,-0.0463411240339974+1.72235401881193e-05i
0.000598530132978028-1.08514717795717e-06i,-0.0101793096023572+2.90625672331826e-06i,0.0506530516149589+6.36548829368057e-06i,0.00131654964533653-3.70553999663625e-05i,0.00981084969844161+6.47141878144657e-06i,-0.050641382290939-1.05814692981162e-05i,0.0170294398932297+2.09613768369457e-05i
0.0173712386443256+6.8445191423051e-06i,0.0157522511622428-2.74567224438299e-05i,0.0204228411946932-1.28596061642188e-05i,0.0235085720459704+2.19784567730045e-05i,0.0465962523145105+1.13149277727252e-05i,0.0682220412455928+1.01016963115173e-05i,0.0259657483343702-5.71133878341223e-06i
0.0046299960544084+2.9024612083496e-06i,0.0209017087398522+1.81336896653786e-06i,-0.0455979186663375-1.99331186748256e-06i,-0.0128861783774283-4.50493713065262e-05i,0.0299777840620943-2.78875258545679e-06i,-0.000684203140792538-8.20530697187162e-06i,0.0190447685648229+3.10518012950508e-05i
-0.00832745946476938-2.06697698968006e-06i,0.0126534144335372+1.16321058967619e-05i,-0.034187750438165+7.23527817220424e-06i,0.0274845960765304-3.80120143673104e-05i,-0.0257564669127261-3.75974205345106e-06i,-0.0475907049925499-1.97003853692766e-06i,0.0394315654738263+1.1485886485914e-05i
-0.00292724597056943-2.37517056259241e-07i,0.046747994759364+2.09165639316941e-06i,-0.0289233642675508-1.96966104300785e-06i,0.0340124254433733-3.79138491019214e-06i,-0.025408726464681+3.59130847568015e-07i,-0.0100143657578683+5.1966984015672e-06i,0.0278320042025547-4.09576348977297e-06i
-0.0144489466367777+2.48589064806395e-06i,-0.0316159786344512+1.44478854019787e-05i,0.0132584595422538-7.81110568797094e-06i,-0.0276025526987185-2.58978030146904e-05i,-0.0765233660397566+9.57177217161163e-06i,0.00901462781754158-2.56660971322643e-05i,-0.0104451538958457+1.36740279985737e-05i
0.00981765601577333+8.96290940863778e-06i,-0.0196159660413301-1.33441712146761e-05i,-0.0112294343063625-1.53861375199491e-05i,-0.0418766207619099-3.33082253120645e-05i,-0.00643076365520917+1.96437357307735e-05i,0.073138218541036-2.27632564004067e-05i,0.00498985033624766+3.15063523422949e-05i
-0.0168790531160159-5.23541005966041e-06i,-0.0352785793312817+6.77590237296884e-06i,-0.0182401348894393-5.30807170489246e-06i,-0.00859329168008672+4.20032574288045e-05i,-0.0588201184139621+8.88948726547055e-06i,-0.00326647357211296+3.24179688750207e-06i,-0.0365449254303775-2.76256697644812e-05i
0.00903232900821648-9.32114158684221e-07i,0.00170328922480607-2.13980058620614e-05i,-0.0167772596501504-6.39751018808357e-06i,0.0253901689402252+1.84580002736555e-05i,0.0271088846159711+1.27036147642961e-05i,0.030849445802736+1.26838643413436e-05i,0.0428991705445357-1.05148892948676e-05i
0.00645641192639937-3.27551494731876e-07i,0.0217378594648478-6.31174797407084e-06i,0.0308407643573569+2.7718609479596e-06i,0.032565255493277+2.67808134785728e-05i,0.0290354998281344-2.99917892802816e-06i,0.0103809099005515+1.35040241766958e-05i,0.0155445766664959-2.03385459839973e-05i
-0.00705913302608394-1.25451832418662e-06i,-0.0350849320019126-2.89539439837881e-05i,-0.0467629777651016-2.44223736274163e-06i,-0.0281111855393931+9.42457275878908e-07i,-0.0193207019553518+2.52051812258341e-05i,0.0140742470685167-8.46424387728456e-08i,7.10604025765708e-05+5.50522780012701e-06i
-0.00157149930119714-1.09853631966718e-06i,9.51690918386071e-05+1.63358406924575e-05i,0.00875017245914667-2.33836000184376e-06i,-0.00157282098335995-2.26718573788634e-06i,-0.012412315633799-4.08350172337995e-06i,-0.0095988336787498-3.70218143248809e-06i,-0.00402434355922194-2.67720881048644e-06i
0.00947451255652438+2.35040529200934e-06i,0.0232971380355722-9.5394046184492e-06i,0.0384391975852486-1.16283093310249e-06i,-0.00143676164167537+2.69875224045585e-05i,0.0301341903414064-7.88633456948762e-06i,0.0147185646273251+9.97539856718393e-06i,-0.0240818137349346-8.66257333569983e-06i
