-12.2749449510162+1.23144957027161e-17i,0.0707134101884499-3.90011835802079e-12i,0.0707134241683569+1.85506775580592e-12i,0.0707134601816506+1.96095334390349e-11i,0.0707133912566746-6.14639030106468e-12i,0.0707133729853986+1.45658426415807e-11i,0.0707134267475595-2.59836577086667e-11i
-0.0907637465296117+1.43789188690183e-17i,-0.00152426451644135-2.65611271404173e-12i,-0.00152426399629241+1.78518053372863e-12i,-0.00152424451384359+7.8208250739339e-12i,-0.00152425985153808-2.57930325480443e-12i,-0.00152429790466317+6.73613880779638e-12i,-0.00152427353765294-1.11067138348629e-11i
-0.020533219945155+2.74849161880073e-18i,-0.00851184078251566-3.74117785685597e-13i,-0.00851184096751068+6.65517851649028e-14i,-0.00851184043784503+1.39406322408928e-12i,-0.00851185276201827-2.6348567803383e-13i,-0.008511847188164+8.02640353910397e-13i,-0.00851183824263058-1.62568042273601e-12i
-0.0949545336871877+8.80068059228894e-18i,0.00210451828645203-3.4900897857644e-12i,0.00210452640873071+1.02332897879463e-12i,0.00210455709304894+1.37734624296301e-11i,0.00210450620860234-3.48796071726152e-12i,0.00210451382978008+9.55575499263486e-12i,0.00210452779601722-1.7374477975546e-11i
0.0984326345670015+2.14547398659405e-17i,-0.0335830799872474+6.48749799765786e-12i,-0.0335830963138057+2.67052327270919e-13i,-0.0335831468424352-3.95489536765556e-11i,-0.0335830108042598+9.40674441670608e-12i,-0.0335830755461703-2.46406993838169e-11i,-0.0335831119932131+4.8028265393765e-11i
-0.0178878324146495+6.15637051625656e-19i,-0.0100060120070219+4.15371080324267e-12i,-0.0100060186994371-8.32900779912332e-13i,-0.0100060449654428-1.81209603717374e-11i,-0.010005996320764+4.89705127614461e-12i,-0.0100060211084913-1.24783227740665e-11i,-0.0100060186512634+2.23813884166173e-11i
-0.101484372620406+3.15178710654866e-18i,-0.0194505342139621+3.03207683028621e-12i,-0.0194505389901449+2.38049361704651e-15i,-0.0194505522866126-1.48492687176045e-11i,-0.0194505134043977+2.61930478794333e-12i,-0.0194505614964145-8.50844074317474e-12i,-0.0194505353929424+1.77038825569491e-11i
-0.0197744004231952-6.87812357357004e-19i,-0.105509351267747+2.04858790318423e-12i,-0.105509355899091-7.24335927203762e-13i,-0.105509375559114-1.27136509321239e-11i,-0.105509333014345+3.27070963991395e-12i,-0.105509329617046-8.4629466310197e-12i,-0.105509360359079+1.658123223771e-11i
-0.0339990188949013-4.84902362932918e-18i,-0.0226615110750703-2.28257529038144e-12i,-0.0226615122698616+9.02477914752854e-13i,-0.0226614955338501+1.15714479600353e-11i,-0.0226615240039015-2.37914488513525e-12i,-0.0226615196699537+8.3277035415344e-12i,-0.0226615134933938-1.61400146467166e-11i
0.0283983658232382+2.42337660224585e-18i,0.0018438789639257-1.9880702616772e-12i,0.00184387778042919+7.04080864314305e-13i,0.00184389148415498+7.36794342197104e-12i,0.00184387156554181-1.28800517411879e-12i,0.00184388256022733+4.8284298084111e-12i,0.0018438729424012-9.62436463917958e-12i
-0.0364156223807659-5.86338473964182e-18i,0.0843516521128125-3.43589498660741e-12i,0.0843516651701477+1.84063870044412e-12i,0.0843516949426539+1.626492791468e-11i,0.0843516390383976-4.79339919172541e-12i,0.0843516375488784+1.18320582489062e-11i,0.0843516695759412-2.17080105896798e-11i
