-11.0557017777242+6.76155513214674e-16i,0.176877704525129-3.81329511731832e-09i,0.176888940471397+1.69115152967211e-09i,0.176921103299126+1.78941173445918e-08i,0.176859540242635-5.38546087450661e-09i,0.176847342458+1.33574791567113e-08i,0.176890982815536-2.37439913723342e-08i
-0.0132105065264215-1.18426504646404e-15i,0.00587837620774384-1.83427645389589e-09i,0.00588050392673126+1.15937368157207e-09i,0.00589420601687177+6.05520267485299e-09i,0.00587910322889349-1.97885204754289e-09i,0.00585829850822117+5.02556589066868e-09i,0.00587667087183919-8.42701396475766e-09i
-0.0409672922161383+6.77398470352637e-15i,-0.0101473043531341-2.16115820444498e-10i,-0.0101467842663625+1.16988771587071e-11i,-0.0101457405084115+1.07861047833384e-09i,-0.0101521072826079-2.60594735527104e-10i,-0.0101507414065611+7.28851584720358e-10i,-0.0101458884162231-1.34244907192067e-09i
-0.00014238166451017-2.8310734794793e-14i,0.0111625715286067-2.32919331448153e-09i,0.011167761771408+7.75537957812859e-10i,0.0111865631330797+9.93277044254634e-09i,0.01115294989063-2.61056728593779e-09i,0.0111558711637654+6.98479203153241e-09i,0.0111684099200093-1.27533454789985e-08i
-0.182141881784297+5.3388080776494e-14i,-0.0590682508757898+4.96225117570425e-09i,-0.059079749181155-4.40426438887928e-10i,-0.0591170571005069-2.8098638856702e-08i,-0.0590218216196201+6.78806799750798e-09i,-0.0590637119369562-1.82622546067935e-08i,-0.0590875890166123+3.50510114197409e-08i
-0.0666790514821106+4.63328280168839e-14i,-0.0142624777832889+2.40764978189196e-09i,-0.0142661733672518-4.77797875206523e-10i,-0.0142817603585462-1.10064026065969e-08i,-0.0142507575637719+2.80319970415721e-09i,-0.0142666094080243-7.45427964901377e-09i,-0.0142662665196913+1.37276398935978e-08i
-0.136620405496194+5.87471750325596e-14i,-0.0219386758082029+1.64111324686213e-09i,-0.0219406234078217+5.69018526766259e-11i,-0.0219485433736841-8.5068285749373e-09i,-0.0219255475370569+1.49566012832778e-09i,-0.0219539061349091-4.86417002037843e-09i,-0.0219395333894676+1.01773350707948e-08i
-0.616152468704073-2.72207702504982e-15i,-0.157552919429855+1.55508384615228e-09i,-0.157556698012168-5.14483323972874e-10i,-0.157570076637284-8.39598520227892e-09i,-0.157541634508919+2.2112619966282e-09i,-0.157541116981335-5.83499380060747e-09i,-0.157558948588598+1.0979115484063e-08i
-0.128274493133353-2.06121008020726e-14i,-0.0306494128241344-1.61119620116062e-09i,-0.0306488407853236+5.59311691959944e-10i,-0.0306372352897144+7.77170928878462e-09i,-0.0306578362689093-1.75153083673225e-09i,-0.030654155068923+5.43650363442265e-09i,-0.0306487828977486-1.04048018695636e-08i
0.0167104126509248-3.52446896569518e-14i,0.000832703206029007-1.09081036578716e-09i,0.000832544907769728+3.0219058960644e-10i,0.000839896652361857+4.35315721215185e-09i,0.000828424416783302-8.27529051938283e-10i,0.000836257274651104+2.81899544685626e-09i,0.000830958487911899-5.55601087237667e-09i
0.483739918865526-1.16456208457545e-14i,0.13026746386043-2.43608672492801e-09i,0.130274749189325+1.11403801615155e-09i,0.130294450345409+1.12311925952193e-08i,0.13025703559128-3.23339107488085e-09i,0.130255349637721+8.1939929606982e-09i,0.130276392024211-1.48697477286647e-08i
0.366423309959886+7.87520779172776e-15i,0.0934793804883838-7.20826279190446e-10i,0.0934799737722911+4.35334481788578e-10i,0.0934855429034802+2.37589735599418e-09i,0.0934785785324332-7.13792484235309e-10i,0.0934724098282804+1.72344208505758e-09i,0.0934809671521535-3.10005325530552e-09i
0.219525581362587-7.8326383547408e-15i,0.0766476048693237-3.59510078558559e-09i,0.0766598507623604+1.62025821224919e-09i,0.0766869972597824+1.60261705765677e-08i,0.0766307429740527-4.77737933595969e-09i,0.0766233466956952+1.19137788424793e-08i,0.0766597751328462-2.11877288868852e-08i
0.169590125544361-1.33660853934474e-14i,0.013814712225225+1.89204456368652e-09i,0.0138103200588769-1.13469577217787e-09i,0.0137943637008579-7.6222372812924e-09i,0.013817458392058+2.77986513531286e-09i,0.0138369242286532-6.21696710755148e-09i,0.0138108530962889+1.03019878586129e-08i
-0.0369275552888221+6.62910858241672e-15i,-0.026393087364241+3.31338332003886e-09i,-0.0264015531581155-1.48870302534622e-09i,-0.0264266239196367-1.42745732904333e-08i,-0.0263796286374379+4.13885886753102e-09i,-0.0263717279892866-1.08018009391081e-08i,-0.0264028831950789+1.91128363768111e-08i
0.189561368234413+2.80769123161089e-14i,0.0586117967911415-6.55743764273816e-10i,0.0586127091555413+7.37551381521571e-10i,0.058619230173123+8.52381220757175e-10i,0.0586176768803643-6.82905021425068e-10i,0.0585960849113971+1.28182781618186e-09i,0.0586137840249483-1.5331058122551e-09i
-0.0256300318544894-1.77274510948336e-14i,-0.00286011976949844-1.61070320274888e-09i,-0.00285871399190176+2.86168768390555e-10i,-0.00284711179683499+7.91424120632644e-09i,-0.00287068797475039-2.06078667536302e-09i,-0.00286727552968679+5.46955289518113e-09i,-0.00285955578368538-9.99847661864385e-09i
-0.0394734102013352+7.35944295669538e-16i,-0.00474763822959455-1.90606606965348e-11i,-0.00474697168448876+2.23561132390048e-10i,-0.00474565033442057-2.55145300661335e-11i,-0.00474644933670159+3.41998698140839e-11i,-0.00474624286595444-2.13533900475284e-10i,-0.00474571506116023+3.48235711830379e-13i
-0.0862153422901569-3.61639083331527e-14i,-0.000556862001641588-3.64385040719756e-09i,-0.000550103739241241+1.32091041273352e-09i,-0.000523180271067451+1.72259761091742e-08i,-0.000575798090816391-4.92484266083459e-09i,-0.00057326829875811+1.26129832708609e-08i,-0.000551492127691448-2.25911840673174e-08i
-0.055656922771023-2.26808738537225e-14i,-0.011992396264427-1.76948859165688e-09i,-0.0119891283240461+2.35898514300927e-10i,-0.0119756517478118+8.97191536201682e-09i,-0.0120064793446932-2.14549274639525e-09i,-0.0119950916884187+6.17244198470131e-09i,-0.0119869933724648-1.1465279141614e-08i
-0.0687345910675041-4.33638941535397e-15i,-0.0214487626453841+3.07848179151128e-10i,-0.0214471966685634-2.86333890401732e-10i,-0.0214507145132845-1.58584819779657e-09i,-0.0214486724463835+2.81874261589913e-10i,-0.0214465962952042-8.09025488784016e-10i,-0.0214488607981034+2.09148419224033e-09i
0.0808040120292049+2.01905917080738e-14i,0.0124673672791604+1.23871152422312e-09i,0.0124613164930066-2.20263147266128e-10i,0.0124518556747397-8.38367449618416e-09i,0.0124838974942905+2.30502550562344e-09i,0.0124676746826756-5.9453720964552e-09i,0.0124598151489872+1.10055768655367e-08i
-0.236020972610786+7.8625214691874e-15i,-0.0587392356569403+8.69813363162526e-10i,-0.0587411312120516-5.62934611932236e-10i,-0.0587479643828126-3.70761860489615e-09i,-0.0587359137220713+9.18937531598955e-10i,-0.058735156826925-2.78665042537608e-09i,-0.0587413417419285+5.26845412651087e-09i
0.137973063848447-4.02561094271559e-15i,0.0310688834981043+4.57638712422037e-10i,0.0310685427552014-4.07807728994196e-10i,0.0310653922302809-9.33460664760421e-10i,0.0310663910918291+4.80865268655983e-10i,0.0310757052845952-8.99627981558997e-10i,0.031070114852398+1.30239168888043e-09i
-0.00382763979975733+1.00088985488252e-14i,-0.00244291243594939+5.86138743293678e-10i,-0.00244525899915434-3.25197771254013e-10i,-0.00244935055536781-2.41169241517771e-09i,-0.00244215503258186+7.36156599562726e-10i,-0.00244148216011222-1.84673992665696e-09i,-0.00244403305742569+3.26133673858904e-09i
-0.013989161504236-2.68448314921487e-15i,-0.00261335615222709-8.71025141167663e-10i,-0.00261049244665637+7.10466427565851e-10i,-0.00260447796439477+2.87695047459732e-09i,-0.00261464674799789-1.17567062823958e-09i,-0.00261927273789555+2.77665741969125e-09i,-0.00261066691938108-4.31737915661026e-09i
-0.0671734700568656-3.37839207425253e-14i,-0.0216234431998629-1.43956864955692e-09i,-0.0216205479751631+2.96920581875731e-10i,-0.021614131021531+6.06144335048594e-09i,-0.0216342196468703-1.34733419248889e-09i,-0.0216216987917475+3.97395251216425e-09i,-0.0216235315809832-7.54542045035419e-09i
0.00718097628980812+1.17142439292966e-14i,-0.00301538784649318+2.37081109121421e-10i,-0.00301723189848804+3.31642126716623e-10i,-0.00301922706291706-2.33183471938316e-09i,-0.00300752919943569+2.53406915322271e-10i,-0.00301884417359313-1.37756704874314e-09i,-0.00301851566944789+2.88727396484501e-09i
0.0658292917310444-1.39631672072343e-14i,0.0147406576100758-1.10351116614251e-09i,0.0147422983852937+5.760091179513e-10i,0.0147515929433833+3.39435646758573e-09i,0.0147441770492562-1.17633328212076e-09i,0.0147369212350635+2.54146441533505e-09i,0.0147411238695754-4.23198825999505e-09i
0.0623037425850882-1.14582220635212e-14i,0.0109418037195072+3.58248429462992e-12i,0.0109419911145576+3.89012286955464e-11i,0.0109422138011015-6.31376309015015e-10i,0.0109455945893783+4.21597229230798e-11i,0.0109432627583763-1.63103477870531e-10i,0.010940025165867+7.09834119386273e-10i
-0.0539234348853188+4.59933366151625e-15i,-0.00987332408909325+2.42998261468676e-10i,-0.00987408360751088-2.18470272786925e-11i,-0.00987390547088104-1.19656343578446e-09i,-0.00987151940023093+1.829429277066e-10i,-0.00987244427774842-9.68547697731292e-10i,-0.00987255256198094+1.76101787653835e-09i
0.0222058006588763-1.09472488398898e-14i,0.0120460283695009-1.35415240908576e-10i,0.0120481647867006-2.02257242929194e-10i,0.0120504137861023+8.81602028607713e-10i,0.0120448135150345-4.82141458156653e-10i,0.0120457545241232+9.09029568854925e-10i,0.0120469077252956-9.70819791995544e-10i
0.0652402339102808+1.29174480670494e-15i,0.0140349962783438+1.67075800623482e-10i,0.01403353757972-3.64102276377093e-10i,0.0140306073310077-2.84535501585106e-10i,0.0140343581646879+4.63933017047957e-10i,0.0140368745460406-7.03729178438173e-10i,0.0140328334203528+7.2135846315123e-10i
-0.000928713837111255+1.05038840259127e-15i,0.00575326848644045+2.98929344724526e-10i,0.00575369468088266-1.73081461681473e-10i,0.00575174085535013-6.14754866763973e-10i,0.00575098368461072+4.14711793180664e-11i,0.00575312329018662-5.41940457044596e-10i,0.00575281503151537+9.89376515089432e-10i
-0.0359601128108321-4.92737852314172e-15i,-0.0184102720350129+4.81208763042399e-10i,-0.0184103393653219-2.52106493681481e-10i,-0.0184155689955458-2.16866112688756e-09i,-0.0184099461737129+6.53396132278543e-10i,-0.0184058581695652-1.56489572234647e-09i,-0.0184119749358129+2.85105738942899e-09i
-0.0536878299787283+2.30666641764684e-14i,-0.0114119007156433+8.97082962668523e-10i,-0.0114139756373061-7.86604339861427e-11i,-0.011420273707309-5.28662836444453e-09i,-0.0114053279265413+1.21128298644389e-09i,-0.0114162055007338-3.43814788890265e-09i,-0.0114144648239052+6.69507536543423e-09i
0.0495128408414598+3.76298739989209e-14i,0.0126097413643579+9.06469676818483e-10i,0.0126073710698548+3.39175917407681e-11i,0.0126010557321075-4.23954425771522e-09i,0.0126137690627152+7.88208149269143e-10i,0.012600498638728-2.55838174047106e-09i,0.0126077942814204+5.06933815205865e-09i
