-0.0133184082095153-6.34912932862885e-07i,0.0261675712674475-4.45597866353009e-07i,-0.0258162233143079+1.40608714274017e-06i,-0.0249451656597102-1.48802718759273e-05i,-0.0145278771018001+6.28321085062525e-06i,-0.00564221082168434-3.6611253615228e-06i,0.000700196075036991+9.4073444480881e-06i
0.0405455534565199-1.01616995398709e-06i,-0.0203271965827605-2.77597304180855e-06i,0.0265954918271496+2.84987387456776e-06i,0.0353469820773027+1.83330679092457e-05i,0.0367614618829332-7.82782226748821e-06i,-0.00811906689429535+4.0355033177389e-06i,-0.00509268818610232-1.71155502749028e-05i
0.0626677747928194+2.78255468902799e-06i,-0.00327381413269754-1.10848831373142e-05i,0.0209814545555337-6.14217870429191e-06i,0.0409352552309344+6.21599164175409e-05i,-0.0613533099110853-1.89637011761129e-05i,-0.00244586900888579+2.3889546935589e-05i,-0.0497444394991572-4.07133628536765e-05i
0.0124238119183346-7.82738260632974e-07i,-0.015954525130383+2.52856271409027e-06i,-0.0178923648012947+3.27592924565594e-06i,-0.000848798833210577+3.88117720719052e-07i,0.0470254104762274-4.64912300375149e-06i,-0.0142675404457459-4.3705516907955e-06i,-0.0213675557946596+1.69413396156135e-08i
0.00782050575086166+9.17981004131889e-07i,-0.0245632937537265-2.19790657650091e-06i,-0.0029148538622009-2.27823222874022e-06i,0.0450704795435825+4.28547236163686e-05i,0.0544807623812444-2.02670587226733e-05i,0.0356639451241859+6.99798458885975e-06i,-0.0322963438622493-2.20105588624139e-05i
-0.0236310495374526+1.50699301333691e-06i,-0.0223032689122538-9.14445247005142e-07i,-0.00955702620086415-5.39299067386019e-06i,0.00681544058773867+2.5708371018532e-05i,0.0278565123702242-1.18227503595237e-05i,0.0226853879419385+2.07184390243564e-06i,-0.0368104124593627-5.15659644785971e-06i
-0.00272162831895011+7.74886111601489e-07i,-0.0242605868622844-2.682307441909e-06i,-0.0110127242600617-4.8196749616892e-07i,-0.00335139985625827-2.1722496855202e-05i,-0.00787558786722613+1.13033221530736e-05i,-0.0212320250956954+1.15187454778415e-07i,0.0315003058308404+1.4829196901534e-05i
-0.0317682795087803+2.00871667056829e-06i,-0.00957848548392368-6.66214874706885e-07i,0.0307218373780512-7.62080351068635e-06i,0.00825672211977151+1.07256493117867e-05i,-0.0004249096014456-1.82574112890861e-06i,0.0137355675886143+3.18944965127965e-06i,-0.00205338911727433+2.45854549881348e-06i
-0.0318762438850593-3.02528130286066e-07i,0.035032038124114+3.19967086450328e-06i,0.00628097112994248-2.62403308751209e-06i,-0.0238042034513574+1.09393602712088e-05i,-0.0225576444404384-5.58645631173545e-06i,0.0329363668273844-3.61623279428249e-06i,-0.0251948032417-3.58843859088528e-06i
-0.0288174412913932+2.63409154486408e-06i,0.0119489486132883-1.97260987743857e-07i,0.0315651739416157-4.75361113954182e-06i,-0.0116706605398549-7.25109966423622e-06i,-0.0155748729759989+4.00684058945275e-06i,-0.000241560581393516+8.85247513861343e-07i,0.0021600557117428+1.46604501549854e-05i
0.0533138703424532+8.51505951286283e-07i,-0.0195579765640773+1.66809892855341e-08i,0.0246388747468858-4.21381435601037e-06i,-0.0265557534732315+2.50770366191158e-07i,-0.0199746247573167-3.044209280321e-07i,-0.00403849473400366-1.69246132624176e-06i,-0.0215335893330145+9.24739193360262e-06i
0.0288603485383732+1.53080043719112e-06i,0.0155090743466298+8.56894525972286e-07i,0.0117547455825994-2.88417746254806e-06i,-0.0284624279900412-4.36334601019096e-05i,0.0432905763117559+1.52784746223868e-05i,-0.046798001537751-8.83821849299716e-06i,0.00857739285971867+4.27622000599979e-05i
-0.0104141934826221-1.55005079012433e-06i,0.0643073733249598+6.78821547187803e-06i,0.00690989399113108+4.50947917021087e-06i,-0.046124818769567-5.77472249613339e-05i,0.0473448800550805+1.72044561261242e-05i,-0.022721500739271-1.88419345150429e-05i,0.0216890859448052+4.20733067038518e-05i
0.0363445908153802-3.08374800958548e-06i,-0.0194960458557804-3.67626350824312e-06i,-0.0101759318479045+4.72390146565966e-06i,0.02096409344857+6.36970133935488e-06i,-0.0618725176572026+2.68543260055862e-06i,0.00164101957418608+7.46612500389302e-06i,0.0365340083266575-2.41980100132273e-05i
-0.0379672922394897-2.59722515829824e-08i,0.0215454232155347-1.42378826103773e-06i,-0.022607687551998+2.69013152063218e-06i,0.0223593316686795+1.0433665682085e-05i,0.0475987973543379-7.52435811052035e-06i,0.0337636177972932-3.19959365069712e-07i,-0.00353254410575726-4.3720151015343e-06i
-0.0484575341984745-7.550870513244e-07i,0.000126929972890777-7.69452224911259e-07i,0.00965434147113346-6.8743551259019e-07i,0.0156208126270378+3.9209711393912e-05i,-0.00395813291640378-1.63978545651006e-05i,0.0546677717837774+3.38702631511836e-06i,-0.0274403183786649-2.56152104034504e-05i
-0.00623355866572913-4.97126390014012e-07i,0.00302367520460877+2.8268766868599e-07i,-0.0448724348313777-4.73020553513658e-07i,-0.0516346174709506-5.46820038844949e-05i,-0.0265534907495236+2.46124269507787e-05i,0.0234733517294954-1.31100140714679e-05i,0.0607761287052019+4.1802268366495e-05i
-0.000366935816701711+1.1071350662109e-06i,0.0139780436577466-1.78048443737537e-06i,0.0420788785657861-3.31574290659628e-06i,0.0403443054970411+4.09374936311901e-05i,-0.0594763788783363-1.1689094477099e-05i,0.014926248531045+1.57297372446712e-05i,-0.00494461062706872-3.53535530099314e-05i
-0.0340525776820386+1.08366737495296e-07i,-0.0421058872769325-4.57998934414507e-06i,-0.0549995043388651+6.66507964944181e-07i,0.0238280253352665+4.57536662226949e-05i,0.0170932206935959-1.94249985423115e-05i,0.0557450703945107+5.70294134865125e-06i,-0.0353144116293301-2.75036905035402e-05i
0.0912323452107444-2.60082737194921e-06i,-0.0360387273194409+3.40103352897684e-06i,-0.0224005333970333+4.93905652699552e-06i,-0.020600712832178-3.17688481912714e-05i,0.000987248453527755+1.22627948333974e-05i,-0.0596686594986492-6.26373485552952e-06i,0.0168502947975902+9.86500461295619e-06i
0.00895392050844772+5.45119765778453e-07i,-0.0397358922356445-5.05715883160152e-06i,0.00899708430877678-1.8440966614612e-06i,0.0258444556252796+2.80106234857266e-05i,-0.00841595594201593-9.12948230983741e-06i,0.00468963493946917+8.91541565773181e-06i,-0.011949157322634-1.85526106714628e-05i
-0.0354172105268746+1.65335802425023e-06i,-0.0514048501168547-2.08760035182455e-06i,0.00865738245839298-3.01538720436423e-06i,0.00442514412143099+2.10178694888186e-05i,0.0571304081600046-1.29311667230779e-05i,0.0619138054621188-2.94148719076367e-06i,-0.0233197088884326+6.54168777446914e-06i
-0.00424926064953619+1.58159780665824e-06i,0.00507903950497174+2.99546772690551e-06i,0.00572270836857432-3.02219691187358e-06i,-0.0233456070138795-8.72621729242741e-06i,0.0382811987572736-9.95633844965339e-07i,0.00297871822317757-6.83309109980389e-06i,-0.0238974394608548+2.00468358046419e-05i
0.00186974854762203+2.13360079891202e-06i,0.0370409236027697-3.90937878279126e-06i,0.0181271225296293-1.72488685955196e-06i,0.0277093345494004+6.75204562105051e-07i,0.0579818328154983-1.80498552654895e-08i,0.0121370663254059+1.12131463861952e-06i,0.00708118085882792+9.62983178168392e-06i
0.0761719173343123-1.16313445617047e-06i,0.0271567004925124-1.35171249566584e-06i,0.013764934000181+4.06673087162198e-06i,0.0346915859643701+4.74284845912892e-06i,0.0092089865332139-3.91669253828803e-07i,-0.0603025283274844+7.55113664419797e-06i,-0.00120292137576705-1.79738244511204e-05i
-0.0576771065835875+5.22968697033108e-07i,0.024438182528683+3.26285707819528e-06i,0.00785602955550053-1.76219658291008e-07i,0.0108898523908413-2.59069689337253e-05i,0.0584471210325434+8.8945615194618e-06i,-0.0206611002773937-5.58466910274301e-06i,0.026207907577463+2.00862398737018e-05i
0.0133735134186803-2.10416312617518e-06i,-0.00513830916574827+8.74491045991472e-06i,0.0351699165653151+5.09696668236562e-07i,-0.0484576525946614-2.68878755822639e-05i,-0.00110394040647344+7.88578632853474e-06i,-0.0464171415907629-1.22341459647173e-05i,-0.0151559701137324+1.52600494126879e-05i
0.0103143889766621-8.19761706505152e-07i,-0.000795960805774191+2.20143966397338e-06i,-0.0297390841941685+1.79256046103048e-06i,-0.0337076599446201-2.18073190864193e-05i,-0.0147413763994979+8.24386665986073e-06i,-0.0196180447361103-6.44589441636417e-06i,0.00105676781016774+1.29228635446226e-05i
-0.0168254288867025-3.06193284946174e-06i,-0.0290070964518665+2.63183172129868e-06i,0.0372123888057689+6.70990964887184e-06i,0.0328202426670496+4.7860310661984e-06i,0.0538022324532607-3.99429975634753e-06i,-0.0250605609286468-2.06573875947836e-06i,0.00821230478222963-1.66131652042064e-05i
-0.00737635292552737+1.6149270090309e-06i,0.0223472035291287-2.84723938291908e-06i,-0.0282543609733281-2.92789953514275e-06i,-0.00381111310354416-1.41318006240706e-05i,0.00602619366747147+7.33982190647986e-06i,0.00762194727171095-6.77736705709412e-07i,0.0163506654053348+1.68429106716882e-05i
0.0254024001318547-1.56032034737144e-06i,-0.0046680469554109+1.32918256726437e-06i,-0.0309107598121952+2.30759816834583e-06i,-0.0116181329721963-1.30232475281791e-05i,-0.0516167668529105+7.45046719429227e-06i,-0.0182212128952135+8.53551025856418e-07i,0.0224328718065471-3.7355274240934e-06i
-0.00565124308323168+2.40376914293503e-06i,0.0103325635166337-1.44029758288694e-06i,0.0660917960179616-7.67270533062507e-06i,0.00403608206296892+1.593393942558e-06i,0.0208269234223838+1.21088259777046e-06i,0.0130009890220051-1.64105159284951e-07i,0.000577049971784722+1.39318526667943e-05i
-0.0134654042975778+3.79322200792027e-07i,-0.0194421801500187-8.83708004943571e-08i,-0.00936841412546029-6.96665500435932e-07i,0.00555724734815037-1.95924710403743e-06i,0.00139376339043494+1.23925659860987e-06i,0.0040056374278357+1.33934508040895e-06i,0.0118708899276137+2.66339685588515e-06i
0.0118115266282554+5.47622217958639e-07i,-0.00987698345399623-5.7055430481138e-07i,0.0137456541916155+4.2709165664099e-07i,-0.022758161436927-1.24438084339472e-05i,-0.0221840366766942+5.73601264599969e-06i,-0.0122657149110577-2.62307239712851e-06i,0.00227563477021193+1.02843198329772e-05i
0.0694220957530439-3.26775185276509e-07i,-0.0111214123952999+2.42044121921063e-06i,0.0359036086832073+2.20165895863926e-06i,-0.0145305365187296-3.06764561266055e-05i,0.00457861777040037+1.2568799487929e-05i,-0.00587361023775922-7.99822241470802e-06i,0.0381221846167121+1.96561335862716e-05i
-0.0352433293308509-3.26147872322212e-06i,0.0401200407716052+7.66220335721104e-06i,-0.00449175719622545+7.92013196890943e-06i,-0.00579158666800624-6.52082275939302e-06i,0.0190790929270056-2.24399981979074e-06i,0.0352347810134321-1.04537766595106e-05i,0.0118190029383167-7.76701962838382e-06i
0.0138579435623343+2.3767135372825e-07i,0.0283942241074126+3.29083475641055e-07i,0.0104375692199448-1.29772248236977e-07i,-0.0219710452492041-4.83340897534626e-05i,0.017274184906264+2.03148916265917e-05i,0.00329755211845935-1.03678120582489e-05i,0.0534673306265504+3.87615422863667e-05i
-0.0276368521164057-2.34998203281033e-06i,-0.00689395796912208+4.6787762178638e-07i,-0.0266633753312755+5.73060230551981e-06i,-0.026404727898829-1.97652683767373e-05i,0.00370865924883779+6.8543005686004e-06i,0.031993262930432-1.0907650641087e-05i,0.023448911868407+1.06262692453137e-05i
0.0201291805834735+1.2679341583796e-06i,-0.0298705913561863+3.74621817099237e-06i,-0.00560279022220587-2.0455116981396e-06i,-0.0642220512772851-4.57148079185322e-05i,-0.026126708807955+1.82899474073869e-05i,-0.0284859128919744-1.08176805560737e-05i,0.0134657477963941+3.95385161197384e-05i
0.0197745110956203-1.72217073099911e-07i,-0.0537842045948787+3.12482113648313e-06i,0.0281686218914084+2.78779480438425e-06i,-0.0259939643642313-3.74800549908345e-05i,0.0241092945487139+1.24482697497079e-05i,-0.0169815785337579-1.077483452555e-05i,0.0294644192661547+2.95665001211148e-05i
0.0112990741193726+2.79063970867515e-06i,-0.0399222376632837-6.87554927400094e-06i,0.0243404295677546-6.78094473771378e-06i,0.00674994961562618+2.45641838967157e-05i,-0.0714034498131715-1.69522186742469e-06i,0.0148714053108384+1.19363595884273e-05i,-0.0016948955748335-1.16034413715799e-05i
-0.0129398240886855+1.19105626758619e-06i,-0.00725908337496289+2.49555379549134e-06i,-0.000123505104287973+3.97199851292527e-07i,-0.00710079657311805-1.23179507893437e-05i,0.0468830248581177+3.33578521337836e-07i,0.00554210463969409-6.18852295809063e-06i,-0.00195451649192946+1.72249586818934e-05i
0.0374415958364417+8.92538172634833e-07i,0.00128854617833268+6.75451671091593e-07i,-0.0494381974601288-1.25298402264704e-06i,-0.033809902601684-9.33447267835385e-06i,-0.022625561587323+2.86628557768286e-06i,-0.0157183952064404-1.69911384563644e-06i,-0.020734546653923+1.11239941387757e-05i
-0.0167234081594362-1.35636774339366e-07i,0.0221038301391315-3.06211362941548e-07i,-0.0292674839931331+2.1038401130979e-06i,0.00291732602094578-2.99145563269473e-05i,0.0556153109831967+1.03246839910461e-05i,0.00651259532777249-7.61034965872293e-06i,0.0352517686854584+2.39692700298183e-05i
0.0343125048287432-2.4100004109053e-06i,0.0504884039433471+9.56018368192915e-07i,-0.0469045964688387+8.5558932958123e-06i,-0.0317892828254425-3.79794357731222e-05i,-0.0420136408767336+1.58708113324296e-05i,-0.00883538039916509-7.35545681032229e-06i,0.0390215185371959+1.15603324580884e-05i
-0.0366785014999065+5.01837653089657e-07i,0.012326833564984+7.66883568837124e-06i,0.0577876785004294-6.01543026264644e-06i,-0.0819407283659079-3.01574602863218e-05i,0.0464402034182645+5.61273915467298e-06i,-0.0101275005021619-2.12550147129422e-05i,-0.0475317525283643+4.42172090583441e-05i
0.010301139895959+2.58815295828289e-07i,0.0171734634212833+9.26737151271894e-06i,0.0855038437492791-2.97157220752586e-06i,-0.0507201765832494-4.16729274971566e-05i,0.0395357312276029+1.15882920803029e-05i,-0.00922204226898733-1.84800827264053e-05i,0.00450495213543666+4.13103251086267e-05i
0.0141324269528733-2.59671958930578e-06i,0.00195844447356294+4.9962388632131e-06i,-0.00747921670782649+5.5656452091702e-06i,0.00411199177462049-7.67977274370113e-06i,0.0158286610539556+5.31223690479589e-07i,-0.00466334838853086-4.88255169990035e-06i,0.0135611772431589-6.92371640188251e-06i
0.0677449986961761+1.06440527117504e-06i,-0.00722530455194194-3.93980092083641e-06i,-0.0110879949642833-4.29538474490783e-07i,0.0232641260662799+2.84529937849959e-05i,-0.03080576150951-8.60466184293626e-06i,-0.0514155575243086+1.36853917294294e-05i,-0.0370663768959813-2.63821895214657e-05i
-0.0409784781179288-1.23089639421169e-06i,0.00327264043005561+3.67457183281023e-06i,0.0361077608998673+3.23014718516981e-06i,-0.0133144757273343-1.63679777987195e-05i,0.00410299935938619+3.37014811914067e-06i,0.0390460015673719-8.63155970361245e-06i,0.0289368835748743+1.13564175877555e-05i
-0.0283860120191557+4.55964573504508e-06i,-0.0108345495340813-4.74539851096459e-06i,0.0310608263454993-6.74817187510474e-06i,0.028871417295539+2.67934855403065e-05i,0.0662818634261239-1.30555989383971e-05i,0.0123238955202367+5.55049840939319e-06i,-0.0387972436987188+4.42489675269104e-06i
0.086129311058305+7.7591389143573e-07i,-0.00986201852207976-4.00848841743771e-06i,-0.0472194958996004+2.6530151289066e-07i,0.0198277276675094+2.0525403618676e-06i,-0.0881577458400014+6.11031284374067e-06i,-0.0400329309711285+1.51448986239705e-05i,0.0272963507266206-1.73772974724709e-05i
0.000173762339136302+3.441895833037e-06i,-0.0241413704613446-4.24002996947319e-06i,0.0214928931253372-5.58937248919933e-06i,0.0085776376726983+9.09596177712274e-06i,0.0110621828697907-2.40519373311894e-06i,-0.0118488436482562+5.97180101388496e-06i,-0.0156733729005421+7.63232780881e-06i
0.0197906398833426-2.88051814806139e-07i,-0.0549723194293046-2.52885386901021e-06i,-0.0256026537608823-2.2795253475664e-07i,-0.00803909616511145-8.27548286431851e-06i,0.00164905606620043+4.42111360443899e-06i,0.0174415385393339-2.42359322921632e-06i,0.0195762471793087+9.72008906012513e-06i
-0.0094143829672733+1.02290722426266e-06i,0.0018338667100189-3.57020204967738e-06i,-0.00186744534505795-2.22454799430703e-06i,0.0285144027495881+1.84295418390099e-05i,-0.0235181519102195-4.00170289951785e-06i,0.00286185375066587+1.0410712739483e-05i,0.00486876889769299-1.52578975323945e-05i
0.016079776236965+2.1697086191298e-06i,0.00666120883862966-1.62590769159972e-06i,0.0090677401782881-2.78481546226629e-06i,-0.00281936207381384-1.31501739557028e-05i,-0.0148500014095763+7.67081862522222e-06i,-0.0413818550979704+3.63388891739755e-06i,0.00555114839374699+1.23550379341473e-05i
-0.0309811824516142+3.05457549968449e-06i,0.0327464437998707-6.65182103999325e-06i,-0.00531140669447572-5.45610875328051e-06i,0.0475553370693427+3.43345010057585e-05i,-0.0261738088239153-8.62152551545841e-06i,-0.00248474468510146+1.78842275382408e-05i,-0.00971820753769232-2.33125904751177e-05i
-0.00864538276422455+2.86188380862644e-06i,-0.0269738211442458-7.38358674622423e-06i,-0.0179552088780159-2.74910095734035e-06i,-0.00907673002835383-2.53895726610179e-05i,0.0142989035008962+1.33014135741555e-05i,-0.00765424544222428-1.89008227226388e-07i,0.028073699432858+3.04227308538637e-05i
0.0319233574508652+2.85214977212177e-07i,-0.0161446734818114-2.34072439782919e-07i,0.0242546398958517+8.18109506131142e-07i,0.0093454340659662-1.3376310142903e-05i,0.00471909093425176+6.60405785845228e-06i,-0.0639723128922409+3.01852085017942e-06i,0.00854288558963707+3.33948566515754e-06i
0.0775134130878971-1.0057469568784e-06i,-0.00571489689854326-1.38965971000001e-06i,-0.0394483473217126+3.48883471518082e-06i,0.0310755767802185+5.68928757752309e-06i,-0.01020780665399+8.73247286455061e-07i,-0.0893445619673278+1.09649107648246e-05i,-0.00903003204945053-2.34900745049722e-05i
-0.067936912863294-6.44141283148195e-07i,0.0345440670944927-6.11761627036494e-06i,-0.0840171180293291+5.56275561691488e-06i,0.0393644165791317+4.98130809306704e-06i,-0.00143179719780453-1.02695874005633e-06i,0.0980242776010702+3.74562124600402e-06i,0.0637829509007901-9.52322863723518e-06i
-0.0276129702485331+2.75848017462537e-06i,0.0414465334457403+1.33510779872412e-06i,-0.047409265285475-3.52810942590822e-06i,-0.0272568331830083-1.37002687381799e-05i,0.0460544311450151+5.52174161528316e-07i,0.019124204310103-8.26024372971008e-06i,-0.0226633606624412+2.81645379702036e-05i
0.0595368531578167+1.39544341260191e-06i,-0.00591706254767459-2.95819349937205e-06i,-0.00584528854660003-1.731046609416e-06i,0.0470036735467754+2.34968715496624e-05i,0.00438287265783871-7.3807202125628e-06i,-0.0429645749728759+1.3787894267942e-05i,-0.0138378533382346-2.12429568294539e-05i
-0.0172384412580571-8.46593027403152e-07i,0.0342505824637993+3.63393162183562e-06i,-0.0342720796445071+4.38371750174375e-06i,0.00291042710612784-4.76415302584504e-06i,0.0427009454393342-2.85120058931368e-06i,0.0123609639315663-5.47836493720037e-06i,-0.00388877331328906+1.54357440456879e-06i
0.0169542554770134+1.41800124593959e-06i,-0.000855597300121681-3.52286179499412e-07i,0.0764905597746365-7.76278102413253e-06i,0.000568789194333967+5.25214726815448e-05i,-0.0842197440192431-1.64238041579586e-05i,0.000419353554064541+1.26716366443816e-05i,-0.0587748486134118-3.58144220965511e-05i
