-0.0399296233322744+1.18227399056175e-06i,0.0455232987500432-1.13970324625114e-06i,-0.0426154941589573-5.91652516719398e-06i,-0.0290014198979493+1.098195531116e-05i,0.0941181114875914-1.32453902233429e-05i,0.00778139281241383-8.86772907482592e-06i,-0.0882265771378905+2.04941453902581e-05i
0.0670048949571741+6.29073381439555e-07i,-0.0329632504043533-4.80297408579494e-07i,-0.00831255067625383-4.09053785916777e-06i,-0.0217145912070396-2.31338382997043e-05i,-0.0605114167198076+1.41302121520458e-05i,-0.096664985091942+5.39431080516724e-06i,0.000895792575864473+9.73081099171632e-06i
-0.0638735754177879-4.53680600476725e-07i,0.007408262962066+4.17027347929294e-06i,0.011956434989327-1.07199897630145e-06i,-0.0336755798652254-1.07731659102429e-05i,-0.00517514849312761+2.54253736291917e-06i,0.0798050402864558-1.18227412474851e-05i,0.0185482918966343+1.58301790366542e-05i
-0.0218161128306516-6.25537066883046e-07i,0.0322478034874482-4.51795948042337e-07i,-0.0289801741321909+1.9222082742909e-06i,-0.0261166297852178-1.77441908911253e-05i,-0.0147071193632199+7.9221239458487e-06i,-0.00434049665084444-3.65186909016392e-06i,0.00409817101079023+1.07978811066374e-05i
0.0498252405660057-1.13602263802162e-06i,-0.0293268927366965-4.03093166903103e-06i,0.0257921577860291+4.36964429839181e-06i,0.0349980283716521+2.04505393712062e-05i,0.0341205681297492-8.19637023837189e-06i,-0.0144328939673652+5.40397718271981e-06i,-0.00903936077629125-1.94535973701557e-05i
0.056014488286128+2.47116833631965e-06i,-0.00539698405728955-1.3029491451755e-05i,0.0251035026866797-7.86821380282033e-06i,0.0397558330348775+7.27248687982458e-05i,-0.0704540924713838-2.4613162931113e-05i,-0.00167280350268809+2.35642315401573e-05i,-0.0674495083153753-4.48320197604933e-05i
0.00815488642568121-7.37559923940071e-07i,-0.0168020950424571+2.12867395237679e-06i,-0.0216469446213659+4.22052154138486e-06i,0.00218734866334599+4.50978078118889e-06i,0.0504983871965412-6.05366512640697e-06i,-0.0164569579128596-2.75677569388259e-06i,-0.026662913843015-3.67638844422415e-06i
0.0151977810605963+7.38187302604761e-07i,-0.0321464788639379-3.22854201273435e-06i,-0.0074283431924146-3.54268249778411e-06i,0.0543944598280255+5.19893841216233e-05i,0.0604001450948749-2.48076903868483e-05i,0.0362167869633269+8.45243282936583e-06i,-0.0396329477965367-2.66018703712399e-05i
-0.0271156169185237+1.4445397124967e-06i,-0.0234660322524713-8.48597089378373e-07i,-0.00696130385485808-7.16720147336221e-06i,0.0121312084958044+3.14264746491068e-05i,0.0353727501726838-1.54770235822954e-05i,0.0285545885474641+1.6491630430717e-06i,-0.0413723413334189-6.82810046367279e-06i
-0.00347547368563395+9.32756255951208e-07i,-0.0252849755363599-2.53397492789915e-06i,-0.0145698847554201-1.07516706830549e-06i,-0.00411678500243488-2.62919817714512e-05i,-0.00617925486492392+1.2580880004538e-05i,-0.0216729341418225-7.82841585576261e-07i,0.0362950792682583+1.88576763549685e-05i
-0.0221806788574075+2.16812963596602e-06i,-0.0103034706122308-1.3510488475768e-07i,0.0385722388662261-1.08888486913636e-05i,0.0102100700921329+1.01700141984698e-05i,0.00362952543540236-2.75220949877089e-06i,0.0169107855793233+1.60426106743096e-06i,-0.000101644360066215+6.23908728044227e-06i
