0.00628501185824957-7.28011867899144e-08i,-0.0115100654739297+9.06447117162777e-06i,-0.00573199150510103+3.40258171182817e-06i,-0.0369787257558307+1.12046828286418e-05i,0.0524039823311876-4.4271745417752e-06i,0.0603206525710093-1.50278528633941e-05i,-0.0407569194648066-2.1066791079338e-06i
0.00859062345498699-1.90010999363608e-06i,0.0654692329350737+6.64617305319884e-06i,-0.0292050405910193+1.44547128169646e-05i,0.0345200903870643+1.50041255052215e-05i,0.0306821272601719-1.7618635576269e-06i,0.0193792115662169+4.31263898246792e-06i,0.014163751703101-4.32140533758941e-05i
0.0315478533220467-1.4548122474633e-05i,-0.073463083063095-1.45581668990081e-06i,0.0632901542994384+1.29085173030638e-05i,-0.00456934723352697-3.05568134159386e-05i,-0.0869779572086161+3.0030289230305e-05i,-0.0502396253653531+2.86250148680302e-06i,0.114572905024398-3.18972046390047e-06i
-0.0175981418278338+6.12531071825698e-06i,0.0420338246885949-1.15988313595028e-06i,0.0564666707205783+6.12907189113963e-06i,0.103259221973163+3.76995849965966e-05i,0.0824317751607905-1.42181094301505e-05i,0.0631308593398195+1.24098748593544e-05i,0.0361818482449105-4.62344969319167e-05i
-0.00646292155529462+2.10978420749498e-06i,-0.0173862586386147+6.66737144657963e-07i,-0.0230167793445407-1.01341956864809e-06i,0.0283972791459362+1.7615430407995e-05i,-0.0136269898873223-6.13886667181416e-06i,-0.0777432787367434+1.15289833381697e-05i,-0.0424081725469974-2.04146998190186e-05i
-0.00752768805285743+4.02615912285012e-06i,-0.0628823610954499+4.17253098927123e-06i,0.0369753599806349-1.97143508985148e-06i,0.0481619651268965+2.85102970218317e-05i,0.0255107032804085-9.44285105899123e-06i,0.000159110991550202+5.27041826475534e-06i,-0.00459478574112277-2.36897540339785e-05i
0.0164231862204462-1.2392271330051e-06i,0.0651425849643119+5.13304462801984e-06i,-0.0319772969321594-8.3122245258012e-06i,-0.0630832158088242-2.28338607154384e-05i,-0.0184932429557898+1.57400508781885e-06i,0.0270105472543057-1.22705396188289e-05i,-0.0156321840694668+3.5974744155572e-05i
0.0205641082989516-1.28337061350232e-05i,0.00327501248923909+1.3490896520077e-05i,-0.0491802768205162+1.3117255781636e-05i,-0.00526562595388674-3.57581038383084e-05i,0.045619547865108+2.16995161910896e-05i,0.0402161895044539-1.54677338227725e-05i,0.0939242121031085+5.31248108752804e-06i
0.0146235540329347-3.59435553883342e-06i,0.025679435973221-2.76554416780058e-06i,0.0401097657746274-4.19492154205851e-06i,-0.0301609280922615-3.21836612302422e-05i,-0.0548845834129296+1.08201773214729e-05i,-0.00349667825399232-3.84333884311346e-06i,0.0466303676715825+3.24387687487376e-05i
0.0296255567857585-1.48589615862094e-05i,0.0770710317235932-2.484873185616e-06i,0.0116586785872618+1.35142632688161e-05i,-0.117509554496648-6.13913141195818e-05i,-0.109395746005537+2.88508076817266e-05i,-0.024112184237183-1.69818930243983e-05i,0.0390706357023351+4.16739148695305e-05i
0.0109391166479431-1.08184623307673e-05i,0.0456969784563844-4.70927488304699e-06i,0.000151074797323973+1.55033308706648e-05i,-0.0248175401992912-3.78574785513848e-05i,-0.0679781678225316+2.22228179625969e-05i,-0.0496276429826329-1.06840064727872e-06i,0.0592475981210173+7.02444839237007e-06i
-0.0185856083653577+3.57739423449714e-06i,0.0404234734796983+5.2257436418523e-06i,0.0432837135545972+3.02500655032626e-06i,0.0107211298208072+2.330546802001e-05i,-0.00293657613119463-8.49197481023258e-06i,0.00321554299998604+3.19168932119857e-06i,-0.033384578306099-3.03612343277538e-05i
-0.00443830377281803-6.09258849712673e-06i,0.0120864627888839-2.07312104555014e-06i,-0.0521035153840591+2.34692826046481e-05i,-0.0193620923323515-1.30986885439068e-05i,-0.0223789803312866+8.12612705000446e-06i,-0.0144823572975037-3.49432899086638e-06i,0.0106561260423015-1.34316164586659e-05i
