0.0479120447183722+4.10829355101397e-06i,0.0305426116037756+3.07988135784248e-06i,0.0613252704361018-9.89973989851522e-06i,-0.0168136714084629-1.96580187880129e-05i,-0.014092303786942+4.40369894575171e-06i,-0.00100453813957456-8.51974327133556e-06i,0.00811109913067942+3.23427697904152e-05i
-0.151726307858432+3.80341228415067e-06i,-0.040521934289403-4.3144553202736e-06i,0.0352328269521315-7.29275286082553e-06i,-0.0476041887640814+2.07748535858504e-05i,-0.0428070444385402-9.47293754540125e-06i,-0.0184195743271486-3.73262504439859e-06i,-0.0735218489344124+5.63218728913853e-06i
-0.0301149075007992+2.62406411598493e-06i,0.0157197693564186-1.1786488046644e-06i,0.000682852638141285-5.1106210774147e-06i,-0.0344760865617539-4.0896859609739e-05i,-0.001770578383063+1.36416802386279e-05i,-0.0446942540390855-8.57099700500802e-06i,0.00488008860714024+4.3242461838052e-05i
0.0661899193198728-6.18874441062364e-06i,0.104612568918318+6.13719625978438e-06i,0.00440244228979956+2.05458644819028e-05i,-0.0402336689718403-7.26811584558062e-05i,-0.00154817536798239+3.13166761353857e-05i,-0.0388900154304592-6.58486862583257e-06i,0.0578047210729238+1.86938008865316e-05i
-0.0418036602616333-2.80874404180579e-06i,-0.0357617171986226-3.13485865891452e-06i,-0.0280723975804385+1.35116328973509e-05i,-0.0178580735243391-2.11464070980534e-05i,-0.0429323698944805+1.50199530940053e-05i,-0.00683209922251283+1.95984074076848e-06i,0.0404857030941551-7.35856412400397e-06i
0.116221771231815-1.53878937629987e-06i,0.0396367173969146-3.4681033981802e-06i,-0.0448411819669836+8.38002346501611e-06i,0.0674450050954761+2.04191690253357e-05i,0.0575204145824812-1.06811345209153e-05i,0.0352746813959302+7.92296136509969e-06i,0.0205703345008576-2.31870909409243e-05i
0.0593306700285094-4.40322633083542e-07i,0.00570634050015994-3.44079645481339e-06i,0.0453746242415388-1.19761579198873e-06i,0.0417596623044089+6.02512529475113e-05i,0.0235001450106683-2.14951859695913e-05i,0.0549886968291518+7.9697547276749e-06i,-0.0344274241499911-4.23090049358083e-05i
-0.0991864360041489+2.32474678391178e-09i,-0.00981558780000861+7.00247882725467e-06i,-0.0633498115943637-2.01373925665723e-06i,-0.0610027188934601-9.02406631866397e-05i,-0.0320709997415481+3.72194452146213e-05i,-0.00128273096640676-1.50313602296721e-05i,0.0973452474698998+6.30824123469331e-05i
0.108007346046579+2.37545298647956e-06i,0.0271758771031791-1.18630103641754e-06i,0.0878013041891024-8.63639819871534e-06i,0.0174191238712216+3.055504426e-05i,-0.0317292639515139-1.14351000131156e-05i,0.0127059544891293+2.84109106070434e-06i,-0.0231526092264385-1.11760545614587e-05i
-0.0771218835356066+2.26041508784017e-06i,-0.0670931590600775-9.38159084431378e-06i,-0.0735445451887593-3.59721965633145e-06i,0.075005171380695+0.000100673499207666i,0.0566842139515829-4.34430615800805e-05i,0.0763389157097907+1.37232305101151e-05i,-0.0727215992798115-5.70638834443869e-05i
