-0.0642621277377927+1.24829273328181e-06i,-0.0623638619760106+5.25818090257283e-07i,0.0244583883372178-2.91534160954136e-06i,0.0532270330880547+2.20535007476256e-05i,0.0385930797476312-7.7710207759143e-06i,0.106065623871868-3.27438720773597e-06i,0.0478526571073357-9.18240756317633e-06i
-0.00478864414184055+2.99172238950283e-06i,0.0408441530350075-1.44126657043736e-05i,0.00530241614516058+2.68509718139615e-06i,0.0283909549750265+2.78198340788841e-05i,0.011210715582482-1.71528824500005e-06i,0.0777107704753437+6.24764668420608e-06i,0.016448880522997-1.78212194031841e-05i
0.0344782260779082-1.30343956204888e-06i,0.0175589168767454-7.8813934706354e-06i,0.00655359539198962+1.05913223064498e-05i,0.000454301260796898+8.35565949182299e-07i,0.020393270979302+8.19113718969302e-06i,0.0326606541487944+2.10018346027114e-06i,0.0189682007030805-1.03700322261116e-06i
0.0202517247677701+2.08927646788517e-06i,0.0166493138562527-4.7001682398707e-06i,0.0230819460498814+1.42255821580458e-06i,-0.0203760178907413+1.12612314998368e-05i,-0.015594988946918-2.75185120123162e-06i,-0.0886557739245864+1.36978006508066e-05i,-0.0714411365499384-1.00450916027425e-05i
0.0498593582700805-7.22967251267812e-07i,0.0423980391050939-1.29193959285272e-05i,0.065863824309069+3.25029546015387e-06i,0.0421281279087086-1.12558479472387e-05i,0.0230092086876714+1.11500088454016e-05i,-0.00805978936857032+1.01405361771377e-05i,0.0595119949759441+1.43461308086155e-06i
-0.00735962562009351+1.20719750584642e-06i,-0.0360834647251055+4.60328762191952e-06i,-0.0327275874792269-2.55671376608744e-06i,-0.0215047079976559+6.00438969232324e-06i,-0.050696214387775-5.31749287086249e-06i,-0.0259796009202829+1.80097315619651e-06i,-0.0328763822617756-7.20439932393971e-06i
0.00950111808517924+9.27441470236196e-08i,-0.00735881923519541+1.84767763567534e-06i,0.00709581304216267-5.26827381522668e-08i,-0.00609757070428624-2.61868440975973e-06i,-0.0100740808992609+6.25355732857656e-08i,-0.0148509787126102-2.23135142947873e-06i,-7.63455190206015e-05+1.55493425211262e-06i
-0.00898943154714361+1.34806337149792e-06i,0.0294338183165793+1.21538432585883e-05i,0.00934954131580518-5.59207889351057e-06i,0.0108799765024103+1.56492804243658e-05i,0.046231017293533-1.04487149612234e-05i,0.0372976902320655-8.80892678509294e-06i,-0.0154913760497386-6.06280759663059e-06i
0.0384838282847526-4.10384932869752e-07i,-0.00331005608147064-5.27178049171998e-06i,-0.0302106967950278+2.78352831704731e-06i,0.0398733438134857+2.33286578685432e-05i,0.018014798797424+2.52298225068376e-06i,0.0538731804949924+1.2855014388224e-05i,0.0311647094518536-1.94382256174644e-05i
0.016143787492646-1.9986706849908e-06i,-0.0425602871500415+1.4377038983618e-05i,0.00608715247457413+8.43775166260437e-07i,-0.0135838851653782-1.12589827553476e-05i,0.0283153859413879-3.35516437972075e-06i,0.00680576184140105-1.44194737353368e-05i,0.00305483956193209+1.3227505596013e-05i
-0.0122876201009679-1.07436083581809e-06i,0.00471990075831409+7.3885299344567e-06i,0.0100728338148654+1.46759444776655e-05i,-0.0151047388239402+1.73245158227196e-05i,0.0028911642851192-7.61289504596366e-06i,0.020358267751716-5.11511613870302e-06i,-0.0325913481710959-1.47738630802961e-05i
0.00603685838752928-1.82830435012026e-07i,-0.0111699480182991-6.54261249598845e-06i,-0.0229337424490257+7.79305937584641e-06i,0.00570525433995082+1.11940550967409e-05i,-0.0179585485474288+7.45938907069736e-07i,-0.0326300527319869+1.0792066578553e-05i,-0.0190443152300869-1.53145377240718e-05i
-0.00726592382662444-1.18021691953684e-06i,-0.00592189036950742-3.86899614627183e-06i,0.037271603752225+4.96079463973845e-06i,-0.0051908601537173-1.03604084026719e-05i,-0.00599338301957231+9.41007929081473e-06i,-0.0048098870708717-1.36670370606744e-06i,0.0221107295251411+5.49862178329986e-06i
-0.0194730051367158-3.12944768854651e-06i,-0.0134136844438181-1.45932895485694e-06i,-0.0164594174514021+2.16656745614144e-05i,-0.000319126316183391+5.90585889251843e-06i,-0.0256812875406383+3.50112317089561e-06i,-0.0180888060421543+4.30129418240291e-06i,-0.000283837039957101-1.68529897696193e-05i
0.00380466705841671+1.49604800147841e-08i,-0.00594453911035492+3.73395022095332e-06i,-0.00348670540220967+7.85277470851593e-07i,-0.00871422355844222+4.45326166854248e-06i,-0.0473114363688447-6.91784148539159e-06i,-0.0296498201378796+5.23916252182821e-06i,-0.023887411974491-8.03888945056671e-06i
-0.0129605975777516-1.3737767533811e-07i,-0.0260718532519493-1.2578982444356e-05i,-0.00578267647146214+6.25759206007697e-07i,-0.0048267159153406-5.89674380467493e-06i,-0.0131712640706753+1.14221602552394e-05i,-0.0155275533466511+1.10017791084554e-05i,0.00751919181914537+4.26433931278943e-06i
0.0458372950043726-1.48916743082662e-06i,-0.000395677017731117+5.75871596812106e-07i,0.00709538865718196+2.80675164610188e-06i,-0.003641521153258-1.9091108999309e-06i,0.0117921101220046+5.92294647860568e-06i,0.0128209896932393+8.54963627756326e-07i,0.0154982002358767+1.63831571347283e-06i
0.00713435236786227-1.27309801223256e-06i,0.000447664752299044-4.82587727837861e-06i,0.0170927821599458+3.11182312103019e-07i,-0.0229554612943715-2.33731473498789e-05i,0.0505717457560844+1.5019796829603e-05i,0.00395257310703371-3.95020647883878e-06i,0.0137609644546672+2.67245431917864e-05i
-0.00901934831113241+1.82824363105097e-06i,-0.05473316939383+1.39834946764044e-06i,-0.0125768937009233-1.32581015638213e-05i,-0.0357945378869595-2.70702345534726e-05i,0.0513309964539479+3.66400901329356e-06i,0.0216680359626283-1.59583107237978e-05i,-0.00116075252294778+4.05689456361572e-05i
0.00573326513739028+1.35539632091016e-06i,0.0569631861242321+3.02526258093274e-06i,0.0181435402993774-9.40047875758315e-06i,0.029360981511058+1.03257526871315e-05i,-0.0144222689796005-7.17079544609029e-06i,0.0180279034078892+9.46682957594268e-07i,0.0170462206247158-1.17995596541678e-05i
-0.0297528783136521+2.74240630576943e-06i,-0.0346413241354579-9.61019077708576e-07i,-0.00342052723210042-8.90499882212316e-06i,-0.0199175636605187+3.7739618837257e-06i,-9.89721908601665e-05-3.72434579278369e-06i,0.0053070590067569-1.1275462044486e-06i,-0.0319503649453819+6.55002843764675e-06i
-0.017481206909419-3.38744114531831e-07i,0.000477595307284069+7.1524530880205e-06i,-0.0399783572602858+1.90102121509218e-06i,-0.000595858806308569+1.49901252971182e-05i,-0.0395689287629377-1.25717125730946e-05i,-0.00764735939807685+2.94494262800301e-06i,-0.0319018346324096-1.66075582258201e-05i
0.0126169158607494-2.53776755107287e-07i,0.0428489645472457-1.10833354570012e-05i,-0.0209405689017571+1.00557444764719e-05i,-0.0149768193806024-6.73765283677784e-06i,-0.0331402086526392+8.34291845823087e-06i,-0.0209940341019126+1.39748141376888e-06i,0.00633356699959178-2.06905012340898e-06i
-0.0152644918043407-1.10716307687926e-06i,-0.0033269341725278+1.12066422948224e-06i,-0.0254887681468903+2.86706694289775e-06i,0.0288987596438353+1.61020890569375e-05i,-0.0228565467117371-2.28690354138587e-06i,0.021563250588941+8.42663729359932e-06i,0.0179793913886012-1.93199797347491e-05i
0.00545479369520537-1.35207931509758e-06i,0.0305916840644035+3.27819894334403e-06i,-0.0256924573295197+4.23403444273883e-06i,0.0033017818662065+1.54954558626592e-05i,-0.0570757505062234-6.52331984865662e-06i,-0.0532766917722124+9.47020487276635e-06i,-0.0297321956371823-2.45495653883447e-05i
0.0454080474428119-2.63362354821715e-06i,0.0606124360588515+1.20648918281899e-05i,0.0532326636808365+4.11139586879544e-06i,0.00562793817817002-1.86309974837329e-05i,0.0348832633010855-3.27730957565897e-06i,0.0113580392874216-1.49008875881705e-05i,0.0298601293022942+1.22896427567788e-05i
0.001618394801392+1.59828754208084e-06i,-0.0193837172981368-7.00795426491245e-07i,0.0440359974215842-4.56522055284605e-06i,0.0123828145700711+1.13962985341616e-05i,-0.00266354569190155-3.72900284389177e-06i,0.0152956794309068+4.74541663066506e-06i,-0.00243942050137563-7.63628043807724e-06i
-0.00771500551174979+2.78310511545154e-06i,-0.034304077633007-4.78596020522832e-06i,0.000878953268979578-2.71735158633442e-06i,-0.0231766129248821+1.62998560186094e-05i,-0.0115916602924944-1.67829408401776e-06i,-0.00864171010335609+7.31368197563746e-06i,-0.0505413895338168-8.14256789726137e-06i
