-8.42665721057263e-05-7.59229120164792e-06i,0.0823026186828728+2.21745350216257e-06i,0.0759289246472091+4.15258819493224e-07i,-0.0380418135467128-7.05744783312707e-05i,-0.089212986294856+2.43015908477647e-05i,-0.0886593212361342-3.97180003056158e-06i,0.0769337216908549+3.83119479438449e-05i
-0.00461752870008701+5.56319317856122e-06i,0.0699466338431286-7.01448644835001e-06i,0.0585838346106587-8.20102522366911e-06i,0.0626693479224311+4.57045597413556e-05i,0.0348453782683273-1.93644147308385e-05i,0.0507792114704116+1.60684300239366e-05i,-0.0178229623927094-1.56434971758313e-05i
0.00372304945413983-3.10401197238604e-06i,0.0739587937352288+7.01492529374136e-06i,-0.00235433901488314+3.51772695844645e-06i,-0.0354065468543472-3.22179704999907e-05i,-0.0220750897847373+7.05638134529562e-06i,-0.00461824118966933-9.53562988644481e-06i,0.0150179262158585+1.934075251348e-05i
0.0138956025174086-8.47330987887399e-06i,0.114185721181179+5.0848424449375e-06i,-0.0059367807999708+5.27629155604989e-06i,-0.0554177003627658-5.08751273633421e-05i,-0.108566358935739+2.3717371374737e-05i,-0.0887483899297015-3.63070144408883e-06i,0.0312427714663901+6.91933774590151e-06i
0.00796463569897706-1.94007262705301e-06i,-3.50100467388344e-05-2.03419867533527e-06i,0.00926906177832265+5.3404066923568e-06i,0.0041878677773648-1.28329559946865e-05i,-0.0400109735862689+1.13535339072636e-05i,-0.0163650596753731+2.16321665093318e-06i,0.0419336327481361-1.18996129181486e-05i
0.0270564192090782-2.99712063068722e-06i,-0.036570754739956+1.02057718315698e-05i,-0.0444693446194909+3.22880151996769e-06i,-0.0941836144478075-2.31778531609718e-05i,-0.0496624816787994+1.00073354207962e-05i,0.0116298607798105-1.78034156979043e-05i,-0.0196412380711562+7.00456885133355e-06i
0.0214238210494153+6.84241555958262e-07i,-0.0394164966859838-1.21284618692911e-06i,-0.0123657864321382-7.88145042991949e-06i,-0.0519362808989283-1.3793136889127e-05i,0.0193494420988729+2.10707850493012e-06i,0.0959081477404707-1.48670464463882e-05i,0.0142976225619731+3.60619085769466e-05i
0.00290379415152948+4.71592651975333e-07i,-0.0428454880036855-3.26680453309182e-06i,-0.0270587938288595+1.23791394708107e-06i,-0.0679017423933537+1.31516515835837e-06i,-0.05510692585024-7.06884608080734e-07i,0.017047677284995-6.31595664707793e-06i,-0.0472855993056494+6.64496279309562e-06i
-0.00559750240112637+2.35136776105354e-06i,-0.00830516099556354-1.6578989552591e-05i,-0.0472835919447221-1.98592455414328e-07i,0.0773672329621783+2.33511133367307e-05i,0.0384583692297469-8.25468930315928e-06i,0.0358855935595891+1.68504893096239e-05i,0.0297527610821688-3.76623066148333e-06i
-0.0131430453668697+3.16755303677619e-06i,-0.0103527923196652-1.93924591386581e-06i,0.0563628386098812-4.12036730406408e-06i,0.077428313013583+3.76727664210678e-05i,0.0299826727416068-1.16282723917943e-05i,0.000184394779374593+1.55281754834837e-05i,0.00274511270235283-2.67888335780354e-05i
0.0105564053020547-2.7252737447686e-06i,0.0659732781170702-9.47818626898115e-06i,-0.0639206136789107-1.42523610338243e-05i,-0.0893325513478757-3.70705812332697e-05i,-0.0651641108857195+7.10538573633158e-06i,0.0220837198715243-7.17171037434624e-06i,-0.018290893998737+6.84263676117917e-05i
-0.00130649825112204+1.30994713498737e-06i,-0.0412185490538857+9.84017809674063e-06i,0.0498618099207686+6.99338364358837e-06i,0.0029448400118061+2.51667549772801e-05i,-0.00428898695700994-8.28593515232835e-06i,-0.00654761700579766-1.00579149952994e-06i,-0.0325679725123885-3.22882119898109e-05i
-0.0180771360224143+6.36437465832777e-06i,0.00249174640300014-4.43901526026546e-06i,0.0452173713544334-3.41011559864498e-06i,0.0674442842116458+4.53940461875789e-05i,0.0669439810680709-1.86487832343011e-05i,0.0154569796360991+1.2525170362481e-05i,-0.0339539877378457-2.34872321849844e-05i
0.0174058653688691-4.19619706664727e-07i,-0.00929397061907236+5.03985691382018e-06i,-0.11715600858751+1.58203959381779e-05i,-0.039701384327037-1.33922511078294e-05i,-0.00497414452660616+1.77826437399556e-06i,0.0122873330071185-9.38665075086802e-06i,-0.0120819622565629-1.53654801263035e-05i
-0.0060310066163273+2.72673904688604e-07i,0.0319276778248657+6.52666568175237e-07i,0.02172515175356+4.71171235513926e-07i,-0.00797772145527339+6.51587181143414e-06i,-0.0144654337510738-1.28740058609993e-06i,-0.0174913373101239+2.26377027391747e-07i,-0.0272798956069846-6.66712642882847e-06i
-0.00689987991477868+1.48638499697389e-06i,0.00878688205747502+4.6825925792868e-06i,-0.0194064371955081-2.34819563159378e-06i,0.0485518560879577+2.53409818549351e-05i,0.0449401487676224-9.11083934603913e-06i,0.0106254129876073+6.72423226265852e-06i,-0.0088124429930812-1.98096347237655e-05i
0.0106917436412184+5.77542843770291e-06i,0.0450882420722613-3.43205335677685e-07i,-0.048046480525905-5.66127436880003e-06i,0.0178585680449791+4.6432561788179e-05i,0.0394841291365872-1.88767026284398e-05i,0.0287045249016433+9.70476071636965e-06i,-0.0738809888397932-2.95554548480128e-05i
0.0107632787713855+4.30375717420203e-07i,-0.0663923265235467-1.49655395769358e-05i,0.0138725375537878-1.47258452312592e-05i,-0.0267882745957278+8.66258997536074e-06i,-0.0308137579951815+1.39384168113018e-06i,-0.0212243538869864+4.52234086195547e-06i,-0.0423158546076882+3.59701034351091e-05i
0.00745825276147301+5.13049533613468e-06i,-0.047464756896787+9.79778394470228e-06i,-0.00538679117586939-1.32258536057236e-06i,0.0118004819415212+7.54373206619565e-05i,0.0226957752245825-2.54497904102159e-05i,0.0158140528406806+6.44833362900844e-06i,-0.114742718533274-5.41434594389055e-05i
-0.00737282380491129+3.32233140165567e-07i,0.015478289733902+3.00057823389961e-06i,0.0344185271354831-1.19690359182844e-05i,0.0383398022160366+3.98500601990519e-05i,-0.00366291093864955-1.21210721028416e-05i,-0.0525809538108226+1.4576759533732e-05i,-0.0598386649052851-1.04652149500159e-05i
-0.0238292507461484+6.85983556806499e-06i,0.0442816303486874-1.26317526616893e-06i,0.0151212842339564+3.78929750370721e-06i,0.12535009256097+6.48499727471154e-05i,0.0630419009528292-2.21533146564413e-05i,0.00282748464832629+2.57162642459458e-05i,-0.0144388497664204-7.4843769478848e-05i
-0.00354761670472022+2.73233246188256e-06i,0.106536050446366-6.6254496905758e-07i,-0.0361926952729929-7.63912305311153e-06i,0.0226484571719858+3.85204823463609e-05i,3.21701040552348e-05-1.18277521508454e-05i,-1.63643475092627e-05+1.3741463419459e-05i,-0.0583050632559984-2.99476650173449e-05i
