-0.00949693614556229+3.1644770095607e-06i,0.0127477027472796+2.69931089941022e-06i,-0.0436306839850129+3.62282689490162e-06i,-0.0173396237800139-2.35989157185281e-05i,0.00734125602863932+5.92789413670992e-08i,-0.0190634969329799-5.95707575609091e-06i,0.00144136492860983+5.75456209005978e-06i
-0.0107858157266281-9.42141038037721e-07i,-0.0531099121769141-6.41196959556674e-06i,-0.00977865819888971+2.3068892239674e-06i,0.0202596864087059-3.09872570454324e-05i,0.0484762817432007+1.30834135919444e-05i,-0.0428900914779161-1.76403839112338e-06i,0.0502721176985325+2.01375564670776e-05i
-0.00737549100002552+3.01346451523424e-06i,-0.0151637698624291+6.2580510278393e-06i,-0.0520971987001084+6.73555598949296e-06i,0.0186283317367922+1.43491538184311e-05i,0.0117041173643581-1.22934830193992e-05i,0.00662792934488843-7.50475469013313e-07i,-0.0099583971403246-2.42789443207459e-05i
0.00650732078540369+1.69823175518737e-06i,0.0370579940201796+1.32977084626257e-06i,-0.0331169284887634+6.18357088968905e-06i,0.0502175744664485-1.32459318248872e-06i,0.0349639323870448-1.08333978389654e-06i,0.0110918270099655+3.37631963012395e-06i,0.0316568889162972-1.36636915439116e-05i
0.0127879879884642+1.83334104905519e-06i,-0.0175951123148517+8.17673246784377e-06i,-0.0290118008841554+6.58115877667627e-06i,0.0588398873588406+7.23142146095518e-05i,-0.073963964655669-2.19255963837566e-05i,0.0768022846404519+1.35768125872642e-05i,-0.0239511127531416-7.18768111853859e-05i
0.0159981825304596-2.94378240057975e-06i,-0.0699733983083808-4.40874425521556e-06i,-0.0189335034090548-1.74137999891309e-06i,0.0635968053354452+9.24825714095062e-05i,-0.0870897163447021-1.96501487580915e-05i,0.0399505346984651+2.74292343521428e-05i,-0.040888492707969-6.58936802219997e-05i
0.00612686930502992-1.11408491916722e-06i,0.00964764959428455-1.35470915458562e-06i,0.0238382395937889-3.22724292570274e-06i,-0.0332090730030005-1.34256423921243e-06i,0.086596560758453-5.19540949415989e-06i,-0.00780093953272902-6.38926821636866e-06i,-0.0473289538813834+3.01375633068232e-05i
-0.000595279571058092-2.21703809903013e-06i,-0.0187289446190691+2.86210532821834e-06i,0.0294047442874282-2.34904742370677e-06i,-0.0374786221002004-2.13535040050685e-05i,-0.065654497072229+1.1912727400945e-05i,-0.0419216684308049-4.53921615075743e-06i,0.00833634849873178+9.82727308987557e-06i
-0.0113176647359984-1.98449950618123e-06i,-0.00760020383380812-5.18840412660899e-06i,-0.00487835525600481-2.06910529169222e-06i,-0.0382050171770357-7.035950432715e-05i,0.0200452999477122+2.59862654418834e-05i,-0.0757743863722205-1.09503827075448e-05i,0.0533664231653223+4.94420892424546e-05i
0.00191449997550583+2.39019969126585e-06i,-0.0303707029415408+5.80805404498134e-06i,0.0688413149188133-5.11999744374541e-08i,0.0643174232207546+7.91433807552015e-05i,0.0326907220374626-3.40527772099718e-05i,-0.0299370026117293+1.92400268201117e-05i,-0.0879808228413228-5.12595885241382e-05i
-0.00493315917395157+2.6192026158327e-06i,-0.015876672492003-1.63879406225827e-06i,-0.0434360415966366+2.64744467897048e-06i,-0.0660124329635582-6.40247454906321e-05i,0.0875680730468013+1.09388988788494e-05i,-0.0237182556933773-2.2251701047124e-05i,0.0103652888041923+5.36010425473658e-05i
-0.0159042631529518-1.43396588160735e-06i,0.0339788215212989+2.35899443105512e-06i,0.0849700753385856-2.89119855397199e-06i,-0.0384672840733131-7.64347526428975e-05i,-0.00555833400558674+2.88776917040854e-05i,-0.072837011810795-1.45785204668157e-05i,0.059224501268742+4.78965858026317e-05i
0.014157314951068-1.11630518108205e-06i,0.0400816783108199-7.91285793130838e-06i,0.0295253933068931-7.02340407614657e-06i,0.0497517712591013+6.31780757949383e-05i,0.00996456397926793-1.21690662739407e-05i,0.0785433613551832+1.65028873853836e-05i,-0.0291030699438386-2.59111445564007e-05i
-0.00394471445046424-5.46567557637183e-07i,0.0629244153152707+3.80399722114627e-06i,-0.0221001786572494+3.36967394296941e-06i,-0.0336737989452373-4.40409296022453e-05i,0.0228262751945659+1.15097635784336e-05i,-0.0158270756805107-1.25025639105454e-05i,0.023732469827283+2.58205113982849e-05i
-0.00260265296934931-2.23047984553499e-06i,0.0779765449358118+5.25826744575561e-06i,-0.024416914543333+4.72433769147762e-06i,-0.00955252854867312-4.57714656665507e-05i,-0.0698562796945271+1.79577157478372e-05i,-0.0737875623119692-2.48934601810976e-06i,0.0472940139755081+2.44632027307282e-06i
0.00119709639463305-1.31087565612914e-07i,0.0278646357606384-3.98207582137414e-07i,-0.0195031600957548+3.97453553855444e-06i,0.0339831026802636+3.83483511196324e-06i,-0.0566980711196732+3.04195365487687e-06i,-0.00505806221339389+7.8549942816361e-06i,0.0333281070736927-2.38076855219396e-05i
0.0189810402806499+3.76162181817479e-07i,-0.0464501985179277+1.23867375355658e-05i,-0.00728385093878608+2.36627934887313e-06i,-0.038557897407967-2.83273236649719e-06i,-0.0899794730060065-3.4533225668777e-07i,-0.0023896489682057-6.42836900323281e-06i,-0.0109266158959772-1.40084540041166e-05i
0.0229397725432624-2.70240580054557e-07i,-0.0344091852055941-5.24841823861943e-07i,-0.00797675221413095-4.90605836752314e-06i,-0.0351668982067562-6.54631641621478e-08i,-0.0110335097523268+4.25000322222904e-06i,0.0829370910673055-8.44460819977422e-06i,9.74597670397048e-05+1.62123550806774e-05i
-0.00186980469482147-5.77458020394754e-07i,-0.0447106416429534+1.26444038320454e-06i,-0.0225581572469341-6.63459902290683e-07i,-0.00929470265442855+5.17052048837325e-05i,-0.0990567225472292-1.32165381527768e-05i,0.0358152102734353+9.07264965318992e-06i,-0.0522367627224602-3.96004693274569e-05i
0.000701476430025719-2.51876132138998e-06i,0.0039248338853758-1.59551221143768e-05i,-0.068052609315964-2.06093827985948e-06i,0.0717604001499865+4.18714644337458e-05i,0.00211654008538092-4.11858706411206e-06i,0.0636305403242706+2.05612751839225e-05i,0.0252582746255161-2.14131263800509e-05i
-0.0048792489873975+6.05147962738495e-08i,-0.00392185589767307-2.90988946540426e-06i,0.0387966235566113-2.79313438808806e-07i,0.0504974141925686+3.45082338108198e-05i,0.0202441306133053-9.23882870027005e-06i,0.0222190076306839+1.02746313939195e-05i,-0.00353577328296898-2.11075989888527e-05i
0.0032028521127785-5.82743596265505e-06i,0.0317730876618205-1.43910891033448e-05i,-0.0617799106216839-8.91055685125844e-06i,-0.0393771099141267+1.14216127139037e-05i,-0.0754182189922955+1.01151210983617e-05i,0.0363865170404311+8.22033392908735e-06i,-0.0159362940287436+1.03266437401132e-05i
0.00116935796733638+1.64758882879186e-06i,-0.0283505420566693+1.15716562867778e-05i,0.0355680888836209+4.87027651480227e-06i,0.00245854737863484+1.43134699568662e-05i,-0.0116465466070369-1.11100808083296e-05i,-0.00760258081215787-2.65391932629345e-06i,-0.0210416405215376-1.98350978084203e-05i
-0.00296693278776052+2.00474199324033e-06i,0.00670552713325685-4.54866173869111e-06i,0.0551181306413749-4.20142443129624e-06i,0.0163745389139668+2.62428552422536e-05i,0.0646496706305541-1.29058195362282e-05i,0.0093627784166999+5.28690906947777e-06i,-0.0429378632165654+1.37000686986885e-06i
0.0112356839346933+2.31693020080684e-06i,-0.0185539702964666+8.17258084124619e-06i,-0.0833964484766948+5.6357742244385e-06i,-0.00870729587163537-1.33107196667207e-05i,-0.0231270247191611-3.13392787102988e-06i,-0.00965388876092255-3.7365820674598e-06i,0.00544788111190364-9.50534980761108e-06i
-0.00467433004993736+1.53400033938854e-07i,0.0315551080703781-5.15324697802023e-07i,0.00183422048795584+2.29969569996343e-06i,-0.010039400508677+3.8000543545294e-06i,-0.00820059797862177-4.36483387954206e-06i,-0.00734305978983125+2.14055146866954e-07i,-0.0173361247666713-4.55313944379628e-06i
0.00321697721401584-4.99955802408589e-07i,0.00934875499963383+1.6536966025106e-06i,-0.0260465148895257+3.61968335345034e-06i,0.033565732025265+2.49499647948179e-05i,0.0216434701620896-9.10841617882926e-06i,0.0196983522853792+5.15642672649417e-06i,-0.00416671079761698-2.04220994790367e-05i
0.0266006212298618+7.14410412205098e-07i,0.0231328864227198-6.27634737275328e-07i,-0.0412376431396501-3.01325497621249e-06i,0.0344046204359222+5.77558885085527e-05i,-0.00396956832059204-1.92574984956461e-05i,0.0139585524179964+1.72395706228504e-05i,-0.061604350249388-3.63528906715438e-05i
0.00334660993364957-5.02398379800493e-06i,-0.0245472373782919-1.92134925999356e-05i,0.000420803751559131-1.27773738817009e-05i,-0.0108011836141546+4.46818093901359e-06i,-0.0240607867353302+9.95044443051344e-06i,-0.0563975314819518+1.62746441297656e-05i,-0.0135962169149208+2.11597965026801e-05i
