-0.0115544305997723-1.66257166901051e-06i,-0.0040212659465687+6.9730082513201e-06i,-0.0118874202382026-6.80561622489559e-06i,-0.0393528056268563-1.98111540283793e-05i,-0.00341855175403457+5.54616441905271e-06i,0.0766323243579099-1.50725532237107e-05i,0.000552676010582015+2.47314994530062e-05i
0.000662815787948694-1.80909429652713e-06i,-0.00821347069636937+2.74896100542576e-06i,-0.0138731626192371+8.0790215986215e-07i,-0.00899335373060712-7.3338029447832e-06i,-0.0148609541765706-2.3471767374897e-06i,0.0057862207023853-3.9495145778458e-06i,-0.0048809352512111+8.49153082298363e-07i
0.00247113036863801+1.77841552294676e-06i,0.0100140676109491+1.04913671502227e-05i,0.0165978650349993+1.47778678117691e-06i,0.033529992335358+3.38373625653568e-05i,0.0339936462609822-1.07857358263908e-05i,-0.0220005475749081+5.9925308075031e-06i,-0.0229503693728677-2.69349058907816e-05i
0.0144172744387833+2.65582739227162e-06i,-0.00264944711133171-1.51089453383742e-05i,-0.0278674854927052+5.19444338380694e-06i,0.0431097962056333+5.85427172833313e-05i,-0.0149899148420228+8.19689363246586e-07i,-0.0335199513987713+2.29327093049399e-05i,-0.004454013107472-4.68278564638694e-05i
-0.00523746444279172+1.78786791930018e-06i,-0.0432142594828139+1.67034248363601e-05i,0.00565761914391233+2.16810797428496e-06i,-0.0215138802781601-2.31839286585341e-06i,0.00340114144553498-7.90761369040253e-06i,-0.00987206186660316-7.56261913807683e-06i,-0.023404907857551+5.20532069008187e-06i
-0.00838616444742306+3.63050518196944e-06i,-0.0103248440290951+2.15319769781652e-06i,0.0209862204462489+1.38406345487848e-05i,-0.00472095608275444+4.50545133956269e-05i,0.00941599495832628-8.72133853575152e-06i,0.0280439961406345+3.21289001596838e-06i,-0.0309302739788878-2.70261707575171e-05i
-0.00646699680546844+1.20938683696481e-06i,-0.0108127983892988-5.68550852150636e-06i,-0.0261343569449395+8.52060979786792e-06i,-0.00089297142701757+3.25045901518658e-05i,0.0014465670222605-6.0721070317571e-06i,0.0198809983779731+7.50980713001356e-06i,-0.0315372794892229-1.52101565499249e-05i
0.00120947132339575-7.58363361871647e-07i,-0.00738715977788013-2.24943333899235e-06i,0.0328487487082212+4.06230962826426e-06i,-0.0118800240562138-2.44184508502024e-05i,-0.0262368930140193+9.98967530325216e-06i,-0.0140210582527618-8.29159333034967e-06i,0.0248077861214313+7.83199918170806e-06i
-0.00391520827565307-3.88332876388166e-07i,0.00248954158324264-4.21074344749643e-06i,0.0127076045925121+1.45908362919262e-05i,0.00876548956143662+4.38282366792467e-06i,-0.00589742001103565+3.93520872559932e-06i,0.0329017848257018-1.58377030319303e-06i,0.0192329122532086-1.04888655902093e-05i
-0.00395707954994114-6.16980364855876e-07i,0.014974627120704+3.52701124642952e-06i,-0.00479730082262538+8.46456861676986e-07i,-0.0221424068034602+9.22701584976772e-06i,-0.0324458347940842-8.20536107067643e-06i,0.0419025187637154-6.18950134151757e-07i,-0.0243597399246066-2.01445516144338e-07i
-0.000285208375432571-9.59453812944411e-07i,0.00106286220435736-1.30739681597906e-05i,0.0247483130339911-3.87541430603358e-06i,-0.00915260115482733-2.18244801136623e-05i,0.00609928636586772+1.90381533156855e-05i,0.00993216047914966-4.67191306219055e-06i,0.0268300134953839+2.18763363527394e-05i
0.0118831405907801+2.67853680059987e-06i,-0.0132192217217574-1.43149432343134e-06i,-0.00240790710530926+5.32885757193831e-07i,-0.0253001526991506-1.5188013450268e-06i,-0.0149875367176486+5.75395962937308e-06i,-0.0295549066163609-1.41703746966492e-06i,-0.0168347933200903+3.87316077978139e-06i
0.00175414675733025+1.13855465805781e-06i,0.00100561124413447-1.07758956827631e-05i,0.00624522696021785-5.16675919615268e-07i,-0.0236098441436152-2.87805412535753e-05i,0.042143059081729+8.89729970257636e-06i,-0.0511985947590351-1.20339958671708e-06i,0.00048669164960149+2.67816105072987e-05i
-0.00881674781626365-2.19736712565683e-06i,-0.0153623655522397+5.31128782671134e-06i,-0.0011614169515429-1.15632459688086e-05i,-0.0284675461917568-4.7231745190992e-05i,0.0629995320038874+1.28972667893239e-06i,-0.000439603037270296-1.34048557886357e-05i,0.00544920875595278+4.30610680937572e-05i
0.0153242614962465-3.5453645715322e-07i,0.0320704478796547+4.46632746106479e-06i,-0.0102686167957867-5.73130911913884e-06i,0.0388130715097879+7.23434825055109e-07i,-0.0261331516253979-6.75069277722249e-07i,-0.0200546863085942+6.34036609250242e-06i,0.0260221596433276-1.42420043925142e-05i
-0.0162711386553661+5.24705688565703e-07i,-0.006695377999825-1.52151500911666e-06i,0.0127344562571215-4.87851278877595e-06i,-0.0102913969827406+1.22920360504945e-05i,0.0307853022434997-1.58772978995156e-06i,0.0409573695910541+9.90314839118439e-08i,-0.0097291730070212+6.93603024626359e-06i
-0.0103816906838815+2.1031086990041e-07i,0.0202595225221069+5.81606455337089e-06i,-0.0123501248412175+1.14105314074225e-06i,0.000405991723004125+3.01948240833498e-05i,-0.0138859719578523-9.43860554266415e-06i,0.0585318122484918+3.35226653303946e-06i,-0.0210330705063567-1.44911592090282e-05i
0.0036575901230498-3.26757473894724e-06i,0.0269068997467887-6.91955897987153e-06i,-0.0588278365577447+2.09011659254963e-06i,-0.0233412683067931-3.97785271367774e-05i,-0.0194152199483741+8.01168922974518e-06i,0.0188266909947811-9.81574982824362e-06i,0.0223569542969555+1.84097167074962e-05i
0.00539867170636076-6.46473508769242e-07i,0.0112887570988303-6.15619277287359e-06i,0.0152407261250114-1.28086717784115e-06i,0.0409854127969237+1.19936738614788e-05i,-0.00972521847023003+9.15626235334249e-06i,0.0175636607897083+6.15715514104835e-06i,0.0456256022468675-1.46974055669794e-05i
