-0.0761123813371824+7.15759315800202e-07i,-0.0530947579189909+9.34870971545534e-06i,0.00717369443185903+1.06108699254588e-05i,0.0305448101709471-4.21175206169442e-05i,-0.0605040289842464+1.04103666907098e-05i,-0.124968279939984-1.83971028983562e-06i,0.082553621548511-1.10723380842972e-05i
-0.0214675221520249-4.16585702187734e-06i,-0.0746223199280448-2.97986987653157e-06i,-0.0809899984007361-3.07742912621038e-07i,-0.0452474583343309-2.0797764633636e-05i,-0.0906840368374533+6.11176041107858e-06i,-0.142811295063819+8.34145366447484e-06i,-0.0353910692122736+6.288288449362e-06i
-0.00998946601640665+6.70556669691051e-07i,-0.000962313649178385-2.37496697738681e-06i,0.0666869778494496+7.02767525273539e-07i,0.0707659342778433-4.2626316602211e-05i,0.065619971961867+1.56592400471506e-05i,-0.0501565765841204+1.59377023168232e-06i,0.103546642929718+1.73359764016516e-05i
-0.00884124266231469+4.3762833888419e-06i,0.054768183868113+6.41755830539279e-06i,0.042775806454363+2.58514607604017e-06i,0.0871718466986944+2.59072393077226e-05i,0.0626475231545118-1.33936348393118e-05i,0.0539885398503995+5.59462986640246e-07i,0.042890482796148-3.02786128081778e-05i
-0.0495741160287728-1.117151229902e-06i,-0.0432734259802901-3.36483029782976e-06i,0.0174165434781372-2.43272551963555e-06i,0.00294966358248172+3.83152053023223e-06i,-0.104778813725475+4.29506511797409e-06i,-0.0511459405938526+8.65682394807833e-06i,0.0214070152198949-1.91051660756487e-05i
0.00978220682687995+1.40362446467707e-06i,-0.0218813872282005+1.57565042669909e-05i,-0.0334495155031088+3.14901949450273e-06i,-0.0489000047165494-5.10374790613271e-05i,0.0423666722576578+8.66798166970204e-06i,-0.0180176262869285-1.94663113493355e-05i,0.00774864693631255+3.67254658378742e-05i
0.000288827710358028-1.54809777727444e-07i,-0.00947051894890567+5.80031663254245e-06i,0.0153350472776625+4.43158466654352e-06i,-0.0117311980424891+2.33730487051948e-05i,-0.0282016068050104-1.00359755070112e-05i,0.0293468796972549-1.90233304424767e-06i,-0.031545647915139-1.67068514296478e-05i
0.0189623161458449-1.31156603154287e-06i,0.0143263054792699+1.74223274259136e-06i,-0.0755285257438094+5.26832434548404e-07i,-0.122847064113656-5.52241012547963e-05i,0.00432764057336281+1.48124837987441e-05i,-0.0365449496970398-1.53398197552864e-05i,-0.0532454781559314+5.4369192663744e-05i
0.0352201902402335-7.26906071257611e-07i,-0.0281686565735459+1.77526204884198e-05i,0.0116232132088017-4.49220175012625e-07i,-0.0590571571432783-4.026125003818e-05i,0.0263239426790562+2.76917554449199e-06i,-0.0332816758207284-1.37725079166651e-05i,-0.0272309653949832+3.75961123391174e-05i
0.0284663543910673+2.49513168688072e-06i,0.0169033624492906+1.13685159669748e-05i,-0.0206796876794015-1.69644361131293e-06i,0.0120033592655166-4.76946291282103e-06i,0.0157078963367851-5.85633969358411e-06i,0.010222708325549-3.74054992067921e-06i,0.00226588027518193+3.23842000099262e-07i
-0.0309777661819882+5.43630610940282e-06i,-0.0264775941651715+7.83607883951587e-06i,0.016953089191633-7.61618468598422e-07i,0.0371398819749961-3.10484095963306e-05i,-0.0318396231541494+1.44156982727246e-05i,0.0430203564225003-1.06301766533086e-05i,0.107080805550917-2.06583324139759e-06i
