-0.0740500664182593+6.82116531106262e-07i,0.0065858355655295+3.82438347758535e-06i,0.0166214665570855+1.64271404093804e-06i,-0.027385637835655-1.23879147032305e-05i,-0.00859552001704046+5.25141762255561e-06i,0.0689978384637445-8.4980472395681e-06i,0.0295232990690588+1.03897797684857e-05i
-0.0409180177999304+2.06292532515299e-07i,0.0495993905441148+6.35894294480679e-08i,-0.0434843835118464+4.53058915870906e-06i,-0.0307630167292144-3.13291578798436e-05i,-0.0200580969093181+1.46633932055055e-05i,-0.00850817125451165-3.26368689297692e-06i,0.0189961730883588+1.56632285108171e-05i
0.058668836520921-1.18910461850869e-06i,-0.0525097641054363-8.59959099477483e-06i,0.0304331120291968+9.81724684672048e-06i,0.0330727940124039+2.18152620495088e-05i,0.0299328935091741-7.75346189472205e-06i,-0.0150864041071226+6.78948843098923e-06i,-0.00844795965058542-2.27117680073404e-05i
-0.00400275195852254+4.22880563534663e-08i,0.000917784671924557-1.84355250662355e-05i,0.0553930682878055-1.3825285837565e-05i,0.0220397063038919+9.35861903600738e-05i,-0.0660753657306243-3.88626029081451e-05i,0.000922267398850645+1.40233481203294e-05i,-0.126866226811689-3.64197881437857e-05i
-0.0289225101143115-6.75810102283327e-07i,-0.0212898593867888-1.83934774042624e-07i,-0.035188523973419+7.60056840190782e-06i,0.0184828800239767+3.01288451629036e-05i,0.046396972057289-1.50794179162465e-05i,-0.00964049110336524+5.07272497719701e-06i,-0.0462141344184801-2.78781241127167e-05i
0.00922821395526892-1.42608203579769e-06i,-0.0653988200560235-7.60853197490522e-06i,-0.0273161759267383-1.10085708206894e-05i,0.0925883780551524+9.35346937046983e-05i,0.0793190386856322-4.45869946780921e-05i,0.0465531536556709+1.38145059641942e-05i,-0.0703386078201966-4.49790030967213e-05i
-0.0457060411629823-4.32968603148153e-07i,-0.03732951537294-2.11818234698392e-06i,-0.00272878048199825-1.42817669981834e-05i,0.0360916267123398+6.54525990829618e-05i,0.0440834643346669-3.22816215171124e-05i,0.0397447169391568+4.84192527383189e-06i,-0.0721241752503829-2.199332694922e-05i
0.0261499808663872+6.10556188544691e-07i,-0.0258435063380932+1.02728766003846e-08i,-0.0276973066907653-4.18489837076241e-06i,-0.00584027633996896-4.7175381277104e-05i,0.00226520378030812+1.79401250468316e-05i,-0.0176891080797388-5.7346052278946e-06i,0.0610648567331717+3.91962363678181e-05i
0.0325407288956875+1.28519739520843e-07i,-0.0207673785993581+2.3309690150527e-06i,0.0657626988966033-2.53813472931765e-05i,0.0154011008331418+1.36114436712836e-05i,0.0123398031622786-8.40031559580243e-06i,0.0214643402162913-3.33582605049274e-06i,-0.00547720453055353+2.11593173977376e-05i
-0.0595522445173955+2.41544923779345e-07i,0.0596181382104561+2.89126456119946e-06i,0.0170827448295389-3.14195659924179e-06i,-0.0176891324147624+2.9968590038032e-05i,-0.0230971456432162-8.33414391333789e-06i,0.0309420393431331+1.64890594290627e-06i,-0.044997418844659-2.28741015363159e-05i
0.0237708166384705+1.6618250270409e-06i,0.0294553461438843+3.06762637212529e-06i,0.0640357542591643-1.12464013717476e-05i,-0.0218275811652732-2.31661640932595e-05i,-0.019406546992146+5.80349546771699e-06i,-0.00300300559751586-8.42241006192518e-06i,0.00949982091773112+3.47130362688832e-05i
-0.0688968635852977+2.67407755450186e-07i,-0.0391007191249669-2.87896796452092e-06i,0.0464590857144577-8.27121381702071e-06i,-0.0436835753196083+1.56875832217715e-05i,-0.0396626960098623-8.65467318337746e-06i,-0.0117844949001499-4.28463150024114e-06i,-0.0612440951527266+8.33631402062294e-06i
0.0105844145367452+7.13758377757292e-07i,0.0207694175460337-1.47611881006578e-06i,0.00923160777172053-6.42315511347081e-06i,-0.0358695138974062-5.19179143552338e-05i,0.0147337350281369+1.78362085829773e-05i,-0.0578004617741714-9.8323220101124e-06i,0.0105976651347299+5.18703384293292e-05i
0.01317963741793+2.54889687581746e-07i,0.111719046371743+7.6968821185824e-06i,0.000636742795610123+1.7496108918166e-05i,-0.0563384005775404-8.0550855580949e-05i,0.00745370605287705+3.38669455037349e-05i,-0.0500371928101972-1.08044838242754e-05i,0.0481046188517711+3.25359985143519e-05i
0.0166486194591927-9.5510225689587e-07i,-0.0344614177363594-3.43790486145445e-06i,-0.0217996162204961+1.32948394570197e-05i,-0.00596584627107098-1.80765131293447e-05i,-0.0556820937293403+1.56127818854292e-05i,-9.25329831716684e-05+3.56008157802088e-06i,0.0550087750069385-1.12967641950175e-05i
0.0229095666256591-6.19324176271733e-07i,0.0332144006263937-5.36127044966642e-06i,-0.0575435267412164+8.64351636378869e-06i,0.0609656588777264+2.95304464531336e-05i,0.0585491412064721-1.48857418130407e-05i,0.0370046015130082+8.3228756751967e-06i,-0.000338718173323189-2.65382340888129e-05i
-0.0253172134050566-8.65952036068635e-07i,-0.00196364050072483-2.62740888405696e-06i,0.0336995961186463-1.19001050226352e-06i,0.0349435347292788+6.97660727686304e-05i,0.0130016796316506-2.67446846006349e-05i,0.0660371673751861+7.84538738619253e-06i,-0.0501128882492056-4.74142871155744e-05i
-0.0716598965223585+1.15902914138973e-06i,-0.00381571558675682+5.35626183801333e-06i,-0.0667096156248883-1.6509693104732e-06i,-0.0706853770544817-0.000102614963910973i,-0.0383239557297774+4.44194962305235e-05i,0.00756424025005678-1.73355917640647e-05i,0.116111192214729+7.23898490256456e-05i
0.0766508305217436+2.76358506313702e-07i,0.026082933070605-6.22870411569638e-07i,0.0855799077527384-9.13916830098904e-06i,0.0240729657324198+4.0072116677556e-05i,-0.0514566946431517-1.48770576040596e-05i,0.0164946473621344+6.42957149118803e-06i,-0.0255025345872123-2.15343439867738e-05i
-0.0868926758391693-8.64174885348845e-07i,-0.0763275052398995-1.03116974114113e-05i,-0.0842883090038708-1.25584118278344e-06i,0.077414542240043+0.000106624714654742i,0.0577900686142719-4.66486961995453e-05i,0.0900264990059391+1.43916459290817e-05i,-0.0758109077193415-6.32629539623947e-05i
-0.0347705604392262-7.94766416710267e-07i,-0.0645345910943199+4.14018247709344e-06i,-0.0536484604638884+9.31578738881635e-06i,-0.0464147970582788-4.28397036048317e-05i,-0.0136856347764428+2.44427116954682e-05i,-0.0709673137147985-1.97708252836685e-06i,0.0230884856588008+6.50374373639669e-06i
0.00505673249265215-1.47459729494074e-07i,-0.056560430666168-7.79974097948724e-06i,0.000500733569157111-3.68898556582334e-06i,0.0342906282791589+3.99349539981443e-05i,0.00877882981163756-1.56698304817908e-05i,0.0132952032232566+8.06140928416738e-06i,-0.0223896644396675-2.10414986605074e-05i
-0.0555696200999935-1.70950220838517e-07i,-0.0922026831506297-7.340698692412e-06i,0.0059925086700594-7.34114978293209e-06i,0.0435381004573477+5.32229922460366e-05i,0.0730066357858015-3.09371279340897e-05i,0.0698373921068189+3.79998484250526e-07i,-0.0375945573264258-8.19556324021002e-06i
-0.0500325133328462+8.8736008821621e-07i,0.0253830693892537+8.9023706871103e-07i,-0.00626479714954921-5.1406415649383e-06i,-0.0129985951406179+5.46251429619704e-06i,0.0226097776968089-7.36964458694108e-06i,-0.00521588383181659-2.72105942400751e-06i,-0.0400363482451924+9.18013752938422e-06i
0.0867148527949151+8.35159088335422e-07i,0.0295709247690092-8.89403719344319e-06i,0.0275909410982975-3.88007372335147e-06i,0.0394979012584909+1.73071774432305e-06i,0.0454625654674537-2.21102897891944e-06i,-0.00421808553461561+2.13558091667334e-06i,0.00985674456873137+1.15698231151122e-05i
0.0947426530441629-1.08556953389848e-06i,0.0251110863168092-3.43953459556792e-06i,0.00528725157295829+9.74182902453791e-06i,0.0180487609836166+3.59892139812512e-06i,-0.00270458424738002+3.22443270375225e-06i,-0.0733336713308514+9.34627240223174e-06i,-0.0161419598238451-2.28033949251782e-05i
0.107150025916145-8.72349826838519e-08i,0.025506061154722+6.4735779979822e-06i,0.0142084033810299-4.35925229592325e-06i,0.0327832346404014-3.71636950909793e-05i,0.0677135753954591+1.43791791385589e-05i,-0.013090617298053-3.97324152359544e-06i,0.065174713821124+2.45709972171038e-05i
-0.0370359259669485-8.49545745925778e-07i,-0.00703252636063308+1.15289358602252e-05i,0.0739590610954213+1.64790334463873e-07i,-0.0750122861832706-3.33854038787498e-05i,-0.0202318190185804+1.83100311760391e-05i,-0.0522581048839073-9.57487976064012e-06i,-0.0147852451277836+1.24183215115764e-05i
-0.0709151728067998+2.77567993074114e-07i,0.0104193567770592+3.87135646880035e-06i,-0.0522091790593784+7.62857272065773e-06i,-0.042910855123979-2.98267658867455e-05i,-0.0207470536403905+1.3151913662863e-05i,-0.017300377078556-4.5932485356122e-06i,0.00798186770005607+9.8552043350434e-06i
0.105468282951632-2.57439389404128e-06i,-0.0652320779042077-7.91584886315644e-07i,0.0661468640276563+1.5151177334371e-05i,0.0434359767323452+1.22718693900792e-05i,0.0674428959716939+1.07180864167405e-06i,-0.0134801438109394+5.36870968623864e-06i,0.0247485185939751-3.44390013368796e-05i
0.00298901453907556+1.26123159535276e-06i,0.0468341218384912-1.51072446243636e-06i,-0.0685058330849936-6.03229260262297e-06i,0.00551971629325654-2.70952842960281e-05i,0.00534708887567466+1.02531281234059e-05i,-0.000240179991360858-1.13393612478724e-06i,0.0346722940061473+2.61244559937147e-05i
-0.0288545899971682-3.46394298799919e-07i,0.0106826027076781+5.89194169149155e-06i,-0.0381472728404853+3.77083437384277e-06i,-0.0388110327463031-3.54293504353384e-05i,-0.0584938693512509+1.67525222127033e-05i,-0.0215029409968022-3.14099458330119e-06i,0.0292113814738595+1.19996361507051e-05i
