0.0112365317310182+7.69003547281458e-06i,0.0203362641484497+3.85938430597707e-05i,-0.0327370839510217-6.09163424855761e-05i,0.00281672379878153-4.41584221234042e-05i,-0.0401239055051355-5.53010378212597e-05i,0.0386510878879574-0.000107230493243996i,0.00195367620130505+4.48302194227523e-05i
-0.0457451232167286-1.72890093653733e-05i,-0.0616973677731739-0.000142916093158019i,0.0632247508551217+2.14548885240468e-05i,-0.0203993446944905+2.1743620395085e-05i,0.0196162015290862+8.72489748084254e-05i,-0.000221146956635674-3.27555190799733e-05i,-0.0140153169913103+0.000141496483136758i
-0.0466911961746728-6.27688911531178e-05i,-0.0248948345314117-0.000232196492721074i,0.0481878382741753+7.21931632032898e-05i,-0.0393915427949204-0.000147999751584574i,0.105841728776614+0.000315596266154856i,0.0695978974761023+6.30276790691473e-06i,0.0464229377982831+0.000281481847216265i
-0.000194600221685782+7.9169145898263e-05i,0.0298086436157741-0.000145543723109922i,-0.0338920389205975-6.90094670581374e-05i,-0.0796444231242646+0.000281383340016232i,0.0557467343011837+0.0001046257214342i,0.0553534591606323+0.000292642156812081i,0.0272819419575596-0.000111534569364425i
-0.0148593262239084-0.000134015687329063i,-0.0292788821449919+2.10585828260744e-05i,0.038537438557328+8.6476225392588e-05i,0.070554362217311-0.000321950915412467i,-0.0954238275742182+7.84189730114403e-05i,0.00718148671222648-0.000234278816205028i,0.0136434687519874+0.000195986392853524i
0.0533814743809428-8.19424667646071e-06i,0.0750617639817206-0.000347885520834297i,-0.095630448057107+5.68720742253476e-05i,0.0283576843391517+0.000237646498477434i,0.00399538745601917+0.000246422983495336i,-0.0125329368386998+0.0001738330205328i,-0.0273698290223989+8.79046332654274e-05i
0.0544937938035237+6.77829404361118e-05i,0.0503073973109786+4.81115440354165e-05i,-0.0422200182077301-6.49906545768071e-05i,0.024339475645306+0.000173406120309053i,-0.0545950198914459-0.000122374753252735i,-0.0133951211184526+2.70674040097856e-05i,-0.0939919984210611-0.000131878736613507i
0.00867498475107032-3.39475147827085e-05i,-0.118653232378752+0.000120477702838594i,-0.00368940891833303-1.03354756574161e-05i,-0.0227767410751241-4.68291238470331e-05i,-0.0311455875577164-3.73438398191506e-05i,0.0384247386365722+1.24986551452874e-05i,-0.0143376921735209-1.52109705426427e-05i
0.0140876266025842-1.95003258123582e-05i,0.0777202852439438+0.000119534357477678i,0.00108526570476398-3.81367685426427e-05i,0.0762961026914368-0.000206581740328373i,-0.136059820813408-0.000136317792856594i,0.0120474213368889-0.000225460737165244i,-0.0237501524315395-2.78974122397152e-05i
0.0513710619782366-4.62487784765632e-05i,-0.0451060493382161-1.1758822362827e-05i,-0.00026153189459804+5.7406240922087e-05i,0.0795761287951363+5.99120591554176e-05i,0.0287697181653816+2.12486204573359e-05i,-0.0267800266731799-3.72417324528979e-05i,-0.132920586100918+8.17202302123048e-05i
-0.0955232533633331-0.000109249101186611i,-0.0843599580566588-0.000457328889816508i,0.121423600786328+0.000209700206863657i,-0.0722891302756102-0.000223600773970512i,0.099576498775419+0.000534873591088476i,-0.0152567746742796-6.46413506153861e-06i,0.0866609531849393+0.000406993735268926i
-0.00218812062500287-5.87360075551428e-05i,-0.0159891334639448-0.000539936096732665i,0.0329845582001862+0.000264554111353298i,-0.0237940154368828+0.000119512934827369i,0.0095056025347043+0.000433749833030263i,-0.092635201833757+0.000167837808080035i,0.0425464436563239+0.000170462685696386i
0.0579611678145276+4.33250928623552e-05i,0.00366074378106958+0.0001784674344191i,-0.109249298448756-5.53925382096569e-05i,0.0126251902396479+0.000119059745174751i,0.0451985472750876-0.000238596278101773i,-0.0619074464804638+4.97450342074241e-05i,-0.0430545083556354-0.000188905550518287i
0.00749575434231807-7.64566513087102e-05i,0.00422031583485693-0.000414326328810665i,-0.0862337502403973+0.000232509066460767i,-0.0453117344562506-7.35833602156102e-05i,0.0476214670275765+0.000361226089177579i,-0.0380995862470387-3.376642660359e-05i,0.0156641032619818+0.000281819356301268i
0.0247627510976095+6.74761089528714e-05i,0.0803400098254106-6.45484866318597e-05i,-0.0204602555685352-0.000137503308278519i,0.0173531741795179+0.000173537060748123i,0.0284988661252038+4.3865411949546e-05i,0.017275506902252+0.000142607419245619i,0.000208865672357405-5.62741552265332e-05i
-0.0732271834155327+9.35309404323347e-05i,0.0692198475265603+0.000390576980225478i,0.0926640770648069-0.000316321134723443i,0.00885853528858409-4.21160382635645e-05i,0.038717091388493-0.000270156286317202i,0.0217948205762067+1.71881900865002e-05i,0.0711560221685731-0.00016900873000559i
0.0388102520297813+4.97417242476226e-05i,0.0949147830595811+0.000107179762167033i,-0.0933205052187464+2.01816028933899e-07i,0.0295902804007292+0.000148891632304735i,0.0126123288077525-0.000128728025040317i,0.0859530406492627+0.000141936541513386i,0.0150841663136075-0.000191875551237045i
-0.0510480583684647+4.19295708924011e-05i,-0.00962422715928191+0.000274917042324396i,0.0526760472635134+3.7870551447612e-05i,-0.0984285944767462-0.000187110157482941i,0.0475305173197619-0.000276812636067136i,0.00903535489188816-0.000200175872979569i,0.0251352207810909-6.94629111310029e-05i
-0.0321977335259353-1.83815981019962e-05i,-0.0750036088113424-4.42973852523088e-05i,0.0578337222444348-9.084393571995e-06i,-0.0590472032567589-3.76580725993793e-05i,0.0377195641365098+0.000110437617960498i,0.0010264631766302-7.16409654624768e-07i,0.0107957232147076+9.375414805433e-05i
0.012341430420859+1.84048445683118e-05i,0.148511601240004+1.49891720200937e-05i,-0.0786553382000515+3.88571996206037e-05i,0.00883953055662132-0.000117223021641858i,-9.38949475688998e-05-6.33221144203637e-05i,0.00759871873049545-9.94323797388005e-05i,0.0488396095923968-1.39018247251935e-05i
0.0121168613616868-0.000116359486154947i,-0.0449153953614974-0.000350801459883203i,0.0136244418812483+0.000174889619823266i,0.00531710408019841-0.000150673799044564i,0.0245183244800911+0.000437659763865128i,0.0113848135053776-5.43531481691079e-05i,-0.00258944085348893+0.000345385546550538i
-0.0299881930773751-8.68141036799068e-05i,-0.0833802518700092-4.02502339093012e-05i,0.0438592592969726+6.34664877484808e-05i,0.0038015569595113-0.000101473252424478i,-0.0329474819558873+0.000124657881429324i,-0.00738786175829538-4.40208914788352e-05i,0.0352413217107382+0.000132207311745136i
