0.0135774790068131-9.83908046025109e-05i,-0.0165707071747851+0.000106564152903529i,-0.0604106619872622+0.00015401557840539i,-0.0363522251391633-0.000170342662668448i,-0.0813505464624584-0.000124826724023464i,-0.00371305582916804-7.33509916416006e-05i,-0.0585386499670327-7.15189920934355e-05i
0.00652983224583629+0.000151510015295084i,-0.0237223340280013-0.000222796504042849i,-0.00729329095358786-0.000394110763888653i,-0.0159542376830624+0.000760493640860055i,0.00361879126672763+0.000129135559538331i,-0.00349009735865916+0.000483396100024349i,0.0161819619661024-2.70226516909509e-05i
-0.00785158474808189-2.33914885635527e-06i,0.0515963230368177-0.000110437154338128i,-0.00782776796188946+0.000289162299594218i,-0.0174492990431129+0.00017242853333665i,0.0103632898820103-7.89014039366768e-05i,-0.0129783360995774+0.000194740732876387i,0.0164143911536874-0.000216255459422586i
-0.0215407828441279+4.79156926904393e-06i,-0.0150505494309527-0.000146069976898648i,0.00720949432483532+8.57835496208933e-05i,0.015025763774542+7.1590784378921e-05i,-0.00666360572238998-8.68863351907249e-05i,-0.0384566683501016+3.32036082421924e-05i,0.0624249499323761-7.714385478485e-05i
0.00440347799814738+8.82256273942273e-05i,-0.0047989579683073-0.000183122295082714i,-0.00841261847180237-0.000259367233676138i,-0.00445285662811558+0.0002352190070073i,0.0583230465005248+9.59046031072876e-05i,-0.0266395528462462+0.000128561374913099i,0.0140873105428816+0.000121987269536182i
0.00550527555618968-7.21795065795261e-05i,0.0467862046583243-2.90092382009612e-05i,-0.0623710568688441+0.000353709269114093i,-0.00558220905685706-2.24993315507364e-05i,0.00953734046011689-0.000158278682980912i,-0.0444749743040868+5.72379181887338e-05i,-0.0313517991356561-0.000213539616725812i
0.00190375124145748-7.59419732179125e-05i,0.00364706413833672+0.000118721613477953i,-0.0158512115942566+0.000237484294471827i,0.000224124415294658-9.97840871807177e-05i,-0.00384001240327415-0.000118163921959517i,-0.0114507160466676+8.42544561394676e-06i,-0.0446508196600739-0.000128732253320868i
-0.000426149567619269+1.1844617746746e-05i,-0.0112958836937291-5.94071889017381e-05i,0.0177585854036396-3.11758686359999e-05i,-0.00340176199323264+0.000193862693958452i,0.0118238111700749+3.05727350010424e-05i,0.0100478163272896+0.000163465603395775i,0.0249831432915469-4.47873024527399e-05i
0.00853711287409224-4.06403788559301e-05i,0.038787930012705+1.68937248305605e-05i,-0.0310301741092143+0.000159071394114956i,-0.0358328216492611-0.000409191258265885i,-0.0436716680898085-3.80011534559257e-05i,-0.00575633086701781-0.000323919542765121i,-0.0130239857863443+7.60911831857389e-05i
0.00797174153767625+8.89828314027642e-05i,-0.0133623475631575-3.6970683882182e-05i,0.00598040851372266-0.00039918970672615i,-0.0175723014515773+6.36901297132105e-05i,-0.0320740163746123+9.3776960083749e-05i,-0.0126344986042825-0.000147128082126274i,-0.0507863004080875+0.00021965916589621i
0.00272123232477966-1.34910722743158e-05i,0.0199588455307457+3.02594210928586e-05i,0.0107096254691069+1.58505113646081e-06i,-0.0196357402510561-0.000200672613939391i,-0.0190851788600669-1.29841207458925e-05i,-0.00123595109845146-0.000224128333186606i,-0.0208151261053484+8.93593119503315e-05i
-0.0272674156213753+1.84051106049492e-05i,-0.0514592953416842-8.11347379478331e-05i,0.0256760038185289-0.000133406196129608i,-0.027732469671429+0.000122774504557512i,0.0173251006384789-3.44848444778712e-05i,-0.0224566313803263+4.27481600694013e-06i,0.0570214105834051+5.66441533745668e-05i
0.00116210073593694+8.33965089769702e-05i,-0.00822373591364252-3.28673346810336e-05i,-0.0117945764022253-0.000399190832874529i,-0.0110697605807068+0.000143157234364934i,0.061938271703321+0.000170744488932956i,0.0307070813241447+6.70994056656395e-05i,0.0354946706699661+0.000202723789840967i
0.0243392605936513+6.09867727654525e-05i,0.0126707236126571-0.000112760762902782i,-0.03587509733599-0.000159953479042845i,-0.0134679020502202+0.000449006911617282i,0.0384197788293057+9.17086498305178e-05i,0.031603993160241+0.000373205736993017i,-0.0206921085932655-0.000104214222181149i
-0.0193111202682099-3.3914628741977e-05i,-0.0157500353826021+0.000117913609965259i,0.0437933905969458-2.31395372447539e-05i,0.0331047525362915-0.000428284044612417i,-0.0333847358241528+4.71231299071612e-05i,0.0105642786628009-0.00033673911952907i,0.0491092154034811+0.000174231060839659i
0.0235776915908334+0.000152597922272108i,0.0547646586549384-0.000159867260953037i,-0.048971401691856-0.000428449704698332i,0.0108466273333059+0.000479857386051312i,-0.0108721482881945+0.000147035745375404i,-0.0198208672797971+0.000241854117257966i,-0.0764281019661585+9.58172725633523e-05i
0.0155961296854045-2.74145185338304e-05i,0.0301591480965618+2.51916754541847e-05i,-0.0251678337354677+0.000128892459487923i,-0.00898332743216118-2.36041496366058e-05i,-0.0391063129765114-9.34932744760499e-05i,-0.0409169132264651-3.93639009886635e-05i,-0.0729934293842277-8.30632606965524e-05i
0.00344064072374496-6.03250208780054e-05i,-0.0526003746759802+0.00012279459090051i,-0.00331661723265764+2.55951315552266e-05i,0.0227530434790589-9.04470474938966e-05i,-0.0122507511887285-8.22205400703236e-06i,0.0411103829939852+5.63803387874955e-05i,-0.00108587506796825-3.02864880939167e-05i
