-0.00414333813854722+5.30258065787785e-05i,0.0545875898958314-0.000157479717671576i,-0.00809715576219678+0.000329856466779359i,-0.0187478029159349+9.44775340325313e-05i,0.0195545179682705-3.23880100240849e-05i,-0.0384491298544321+0.000102315829772951i,0.0318702493507901-0.000169703158813702i
-0.0411132455565976+8.81123178943584e-05i,0.00145784596453537-0.000205618698101619i,0.0459213745057966+0.000137923027444836i,0.0136255939872787+0.000118567131038967i,-0.0224819336070233-2.44272235648987e-05i,-0.053896421858525+3.15458841651442e-05i,0.0267640609706891-7.59335214054712e-05i
0.00110270844676705+6.51519889193869e-05i,-0.00139516087428609-0.000164102431616636i,-0.0118372593300204-0.000141127664815392i,-0.0239149444863189+0.00017484512421357i,0.0645352678239489+8.53487318391823e-05i,-0.0409919580613961+0.000103106039626196i,0.0223231067664803+6.48593216677684e-05i
0.0172793133631263+4.59230058801074e-06i,0.0558180146455575-7.89526785233261e-05i,-0.0738320122467547+0.000325410280182493i,0.0133083380466578+1.2961357737552e-05i,0.0149518004311189-9.54767668478531e-05i,-0.047273314939119+3.83256234964668e-05i,-0.0349742780919252-0.000155531003668738i
0.0144206861211961-4.32420494560783e-05i,0.00540755248611967+7.31134248770298e-05i,-0.0334840200442012+0.000210277675362706i,0.00902053095128507-6.32595515395994e-05i,0.00691083346716554-9.83306186338286e-05i,-0.0301759886858068-9.67755928146639e-06i,-0.0472241592932957-9.6309963529096e-05i
-0.00825593697189779+1.48430954896544e-05i,-0.017577631472734-7.37347416136063e-05i,0.0149646815815785+5.16437018711318e-06i,-0.0105383018946087+0.000116823463207929i,0.00943289280507391+4.15273543496982e-05i,0.00943545762170254+0.000111301831893629i,0.0374212165167649-1.6477476244826e-05i
0.0132637246001382-5.17152412078645e-05i,0.0504232324798998+9.9461626023616e-06i,-0.0552914914636404+0.000145310803512295i,-0.0248949078460997-0.000319819876390585i,-0.0493337921584941-3.96428364541306e-05i,-0.0178743479336251-0.000239670204172984i,-0.00969234812407273+1.77224520991847e-05i
0.00383037485706388+6.43511282390039e-05i,0.00262341607164156+7.51630024699927e-06i,-0.00153701739588135-0.00040214330227359i,-0.0242485254071109+0.00017146155308447i,-0.0481363971695727+5.30555724828308e-05i,0.00496538631004731-4.05898716447322e-05i,-0.0711019229244333+0.000106040180491652i
0.00611335685678113-1.1215480132311e-05i,0.0159239611525297+3.73286331912688e-05i,-0.00358452404854794-2.73103654288738e-05i,-0.0138087090256069-0.000174068977969044i,-0.0237245529724951-7.80373026068171e-06i,0.0144777610135294-0.000174008429721268i,-0.0107810252691336+7.66034588918897e-05i
-0.0373491669956058+3.01780940756336e-05i,-0.0617955983056431-4.43784037875456e-05i,0.0605769512727786-0.000174977238777047i,-0.0247679570476565+0.000117475891486833i,0.0260641025073445-1.00307444692498e-05i,-0.0121325722560413-1.18939073583397e-05i,0.0331449635779412+7.99949863020832e-05i
-0.0155554314238379+4.75441210201653e-05i,-0.00719868729078877+1.78792365475865e-05i,0.000928740253191367-0.000378955583146988i,-0.0159745593621464+0.000146790146279538i,0.0719105576735888+0.000123427321166423i,0.046185338107699+8.34006759242364e-05i,0.0347886458314905+0.000170711610179577i
0.0134085804816304+9.95200796235812e-05i,0.0294785461305867-0.000156389095671871i,-0.0531631678772616-8.54781675393361e-05i,-0.0358629982283119+0.000420234874677905i,0.0327855093123565+9.13973629265998e-05i,0.0404954782619827+0.000332917503817529i,-0.0106993230945308-0.000118587464393988i
-0.0151799846652759-0.000103887767555821i,-0.037240376241917+0.000171415292358044i,0.0716661212296726-7.19767507180712e-05i,0.0413034718801844-0.000414260028730641i,-0.0369718392520588+1.94512548115161e-05i,0.00734474631133246-0.000287603997629007i,0.0474015397008099+0.000172780910519153i
0.0399891201854739+9.61711514417547e-05i,0.0659844146153096-8.81795207698451e-05i,-0.0839035461487612-0.000410544540006861i,0.0169158558487217+0.000442182431229994i,-0.0146292589001274+6.5139805498284e-05i,-0.0153298236979647+0.000227026269579732i,-0.0630373284376753+1.33384506091889e-05i
0.0245664938758978+2.12928798797864e-05i,0.0497362270472521-2.24456345045376e-06i,-0.0489385977518893+6.49260992571658e-05i,0.00454855782432315+8.57410704429419e-05i,-0.0557517837791453-6.8776728309314e-05i,-0.0235056214976583+2.22025322510496e-05i,-0.090406736246908-0.000100791508175928i
0.00338723389619326-7.17010279459923e-05i,-0.0676927297097952+0.000100988630002954i,-0.007361141307115+4.99104401440577e-05i,0.011065087329304-9.71017530441969e-05i,-0.020665852101579-1.60461762402136e-05i,0.0375189741903347+3.50742863198125e-05i,-0.0028399658224745-8.42036444495703e-06i
0.00342538994098627-8.34653223477298e-05i,0.0450059961203066+6.88776027671959e-05i,0.00789138275137989+0.000176901851978051i,0.0284460553951178-0.000475184084899911i,-0.0801345140833442-4.96298032588764e-05i,-0.00130473966399413-0.0003244566507003i,0.00504499253107675+3.67751134249707e-05i
0.0168001953518228-1.72915198209887e-05i,-0.00282935887164917+0.00014480705914169i,-0.0200686141056175-0.000197237015715655i,0.0550048905886221+0.000153012255809714i,-0.0130598646881913-6.83105294018181e-05i,-0.0174973662005787+4.08421414055818e-05i,-0.0985255625510805+1.94788108442998e-05i
-0.057090742215346+7.54993985246036e-05i,-0.0817063456200217-7.32863458601601e-05i,0.103452913587981-0.000489416722931633i,-0.024533745623642+0.000190381682072058i,0.104255174625999+0.000198091742814253i,0.00401007790851063+5.44523178566951e-05i,0.107233135730655+0.000252150969617499i
-0.00775813483103178+0.000141999620274736i,0.0157288164672098-0.000170255265280858i,-0.00640365577565166-0.000436821048584668i,-0.0108298557062166+0.000607898755811145i,-0.00299988823338657+7.2005599450702e-05i,-0.043272038788815+0.000271226925388804i,0.0185506572651356-7.05558177219137e-06i
0.0339509031077582-4.223149655169e-05i,0.0261036020154444-1.59497796875625e-05i,-0.0908121120789796+0.000230148583558342i,0.00493546947142065-8.3741213868453e-06i,0.000595459084704293-0.000111130521796959i,-0.0399025775690296+4.40691932566182e-05i,-0.0738733859561807-0.000129455331162501i
0.0126787741730354-5.87194348408444e-06i,-0.0287596762334828+2.0127040028184e-05i,-0.0264139278072715-0.000391059245327364i,-0.024487289268802+4.43703056269905e-05i,0.0359805470404038+5.44594815883701e-05i,-0.0314279752282962-5.32744433264375e-05i,-0.00416081656011032+0.000174337990209317i
0.0243407529239578+0.000128524466656632i,0.100330897502954-0.000151072357526423i,-0.101838984345245-0.000138936480277584i,0.0199084151479838+0.000345490327288538i,-0.0157736164941787+9.13957264059186e-05i,0.0311394125547091+0.000225666170942049i,-0.0414231891876933-5.51158751234381e-05i
-0.0373132633212147+3.8819673485097e-05i,0.0273733350057643-0.000108723045599072i,0.0608637004429873+0.00038627475793621i,-0.00360323003100901-0.000198130294919389i,0.0475652514837532+6.01779737016924e-05i,0.0112554876914974-1.53881948112064e-06i,0.0720719627341888-2.76697973756476e-05i
0.0377758927381149-1.60303926003899e-05i,0.0706436553422395+8.4833990266742e-05i,-0.0806393249520595+0.000121655673231074i,0.00249056061121976+5.67957294091002e-05i,-0.0109301529715102-4.5943876432017e-05i,0.057505201175606+0.000113300030910066i,-0.0216459057202074-0.000152734692295559i
-0.0427270825449506-5.52742644866465e-05i,-0.0208551485809554+4.46867895828319e-05i,0.0909291754159136+0.000434731957701515i,-0.0879301016104975-0.000437571995462594i,0.0476446333324933-0.000146444289052188i,-0.00849760854159073-0.000303932503983265i,0.0318594012854205-3.04988288371968e-05i
-0.0189765036906344+1.58531444184436e-05i,-0.0675970421112425-2.06262740566944e-05i,0.0527717395207879-8.60102140243068e-05i,-0.0140886343955799+5.4340949922936e-05i,0.036679436675024+7.50260313554956e-05i,0.0020220314485874+2.14167133741348e-05i,0.0218031378125234+7.53011692267273e-05i
0.0137837514598047-4.28160665654436e-05i,0.0747165955068139+2.6821837282345e-05i,-0.0102359026648701+0.000155180114122359i,-0.0320793431732267-0.000339882449464423i,0.0140250249467467-2.86844543269452e-05i,-0.00591438418959595-0.000199192949753619i,0.0249290811864829+8.99387239881946e-06i
