-0.0123131384707057+6.36342904622508e-06i,0.0360033795904035-4.04537880344349e-05i,-0.0277893356087275+3.89081057500703e-05i,0.045681515950163+0.000143626213316352i,-0.00569086596376376+2.20280094229686e-05i,0.0124393305141686+0.000190183080717039i,0.0502457797829332-0.00011885846509762i
-0.0214483154045141+3.61456267828031e-06i,0.00204342966709068-0.00011605541395076i,0.0510704797625049+7.10504332623539e-05i,-0.0122001476048531+0.000167125199917023i,0.0239963748386331-6.12119949075735e-05i,0.0242775751641286+9.02297367021418e-05i,0.0159617686053498-1.77498123108862e-05i
0.00646114529705804-8.2151952351532e-05i,-0.0407340050377378+6.18721857075798e-05i,0.0139050633295758-6.72906879215913e-06i,-0.00944403843205332-5.89911777162935e-06i,0.0388211280316797-0.000121585514796264i,-0.0530167735354979-1.11588879455827e-05i,-0.0736599056003653+4.17473391531615e-06i
-0.0148099833728566+8.3285521569405e-05i,-0.0473234216827057+8.2729464176988e-05i,0.0876344043829471-0.000361506288398941i,0.0427259060448193-0.000168571949898181i,0.0584437012346503+0.000296926190685185i,0.113487899052-0.000161449001998651i,0.0960993198362759+0.000256302513084811i
-0.00755359170733738-3.48084517376257e-05i,0.000238095078633295+9.69077622507957e-06i,-0.0274703125803128+0.000233913999295857i,-0.0712250360072941-0.00010032447288552i,-0.0878222046783553-0.000171476082159376i,-0.0340242958557638-0.000119751157019717i,-0.0557661479208229-1.72034680953016e-05i
0.0167028624515264+5.7477500917821e-05i,-0.0339773955993203-0.00019776950752486i,-0.0152833162166103-0.000426758397712456i,0.000611887964459078+0.000642871878935197i,0.0133437501575114+0.0001407668368646i,0.0099687810714532+0.000517391041726097i,0.0262882117571906-1.05267076978875e-05i
-0.00724221025550659+1.60492662499303e-05i,0.0413037470326819-0.000125358795413938i,-0.00369544709262455+0.000149636339642459i,-0.0137070961219515+0.000255945153426786i,-0.0151736395634718-1.61139615036588e-05i,0.0574839385892389+0.000229315635420745i,-0.0042448297630486-0.000118780942664793i
0.00585825573734564-7.36145685489173e-05i,-0.0616569398754394-0.000117495409324963i,-0.0544898645392215-1.88749566541122e-05i,0.00811016088190611-5.48481134121772e-05i,-0.001717094902043-0.000168269487527828i,0.0148142935694065+4.41767078372935e-05i,0.124394412046939-5.08827878984573e-05i
-0.00266754900375952+9.10990964153458e-05i,0.000547664085061783-0.000167683524329704i,0.0077208624198557-0.000357027325131895i,0.0214005440650574+0.000303036066530238i,0.0389796751713551+0.000202965926090944i,0.0266700380893026+0.000258264619035435i,-0.0169366807520531+0.00012800227663928i
-0.00862697223396475-3.78663822899132e-05i,0.0321841763372292-7.87750061122679e-05i,-0.0570457110604411+0.000334091206880139i,-0.0349502728026665+5.68741245311521e-05i,-0.0181173551644952-0.000184693192927656i,-0.0062677917219261+6.90135121079656e-05i,-0.0269343930158403-0.000166377487929257i
