0.00864307607284311+2.27290163577999e-05i,0.0154199324828072-4.94314810745757e-05i,0.00876414642505442-0.000108123798606173i,-0.00921639640922256+6.53850751232431e-05i,-0.0329979442129207+2.81560875916544e-05i,0.0318649048706502+1.28537060408151e-06i,0.0213129705634057+5.84932229001912e-05i
0.0119124569726434-2.86354792207776e-05i,0.0190637621211717+3.77009265668526e-05i,-0.00658393098707459+3.10670049866699e-05i,0.00368496356845056-0.000105140051804568i,0.00546924691068321-2.53974623103165e-05i,-0.00803533692644758-8.82394488929202e-05i,-0.0247923470388414+2.94806549840687e-05i
-0.0253482939870879+9.28204654752813e-05i,-0.0169147744252181-5.83853022833208e-05i,0.0396977777011837-0.000142004011636405i,0.0469055279761395+0.000300362419173241i,0.0280836827613357+3.73926138193417e-05i,0.0363440958016568+0.000260620997555809i,0.00782792078518473-8.01471344333178e-05i
0.016314942898727-1.85995557945929e-05i,0.00439681752726315+6.63630442775883e-05i,-0.0380479781077348+0.000178974698472876i,0.0325941577313064-0.000154108843407011i,0.0139896650869693-6.29971144103849e-05i,-0.0133970332307303+2.10465081306257e-06i,0.056638143040414-8.55223605610491e-05i
-0.00228150717802962+3.75751842830007e-05i,-0.0107063056007518-3.93275749566873e-05i,0.0168841807459668-8.33939744076962e-05i,0.00858537314827108+0.000179785640233862i,0.0159843075679002+4.54993231962525e-05i,-0.00317148950798924+0.000136997930120989i,0.00952347943224227-3.67188593085538e-05i
0.0373333404249415-4.79572366208384e-05i,0.030250673671911+7.4036861853651e-05i,-0.0737062580567149+9.68931876354325e-05i,0.00849710201261302-0.000158501000682295i,-0.0179147644542536-1.46030351811888e-05i,0.0154537454004216-7.83378049216626e-05i,-0.0393570790627762+2.28345151882845e-06i
-0.00688114716233631-6.20337663797622e-05i,-0.00684038832671893+6.91404904793313e-05i,0.0107405371308603+0.000263450839370186i,0.0007333595324071-0.000117721469379155i,-0.0363801808368704-9.08787836826158e-05i,-0.0390033695723764-2.12443689013151e-05i,-0.021303215955517-0.000145426021403024i
-0.0357888338716566-7.00179120148093e-05i,-0.0266958999484651+9.25987132781707e-05i,0.0553598037119382+0.000110273397939732i,0.0371580825480307-0.000318702619311202i,-0.0115038927826412-5.80194474251711e-05i,-0.0393262507900309-0.000250646213933125i,0.0139691698289112+9.36617399233972e-05i
-0.00127705253141695+4.55231319246981e-05i,0.0182158462382871-6.99865628650612e-05i,-0.0357159867374247+4.59352879142249e-06i,-0.0419468437090868+0.00026042464060408i,0.0433436044097207+3.13856699435356e-06i,-0.0221374676328356+0.00022750651226677i,-0.0212635191832865-0.000141134482955194i
-0.0276648908283294-6.32897720017079e-05i,-0.041095197388455+0.000134942928541457i,0.0625856270890618+0.000257506589407993i,0.00605231424395235-0.000306778216371993i,0.00211828335175284-0.000106423390787106i,0.017973287837445-0.00015079232188261i,0.0493307090457267-6.71558046128402e-05i
-0.0101367018339614+1.11129904495553e-05i,-0.0202043102163984-2.4336922333375e-05i,0.0140440403986204-4.4760018574867e-05i,0.00602416845935593-6.93571841981909e-06i,0.0126695831824826+2.05061135084632e-05i,0.0147132215120299-1.32726043400838e-05i,0.071403696101752+4.04349145363841e-05i
-0.00337821412201655-2.97248806989899e-06i,0.0650799391055562-4.20990349592375e-05i,-0.00618707834497111-3.24417251760383e-05i,-0.00164518806071368+6.13210899713505e-05i,0.0101706800367423+1.74815822527087e-05i,-0.0312585277407726-8.84981337607467e-06i,-0.00017577588548454+2.05352453578992e-05i
-0.0284025165538185+6.40722348063639e-05i,-0.0290903975447195-0.000130855333263595i,0.00849353928678992-0.000177243768532357i,-0.0197228220656994+0.000382784410545494i,0.0645283041510358+8.21455009827784e-05i,-0.00518978155855051+0.000268456686526359i,0.016119322103756-4.90175888605867e-05i
0.00584152274297306-1.95208371068592e-05i,0.0143551185970561+1.62354538090062e-05i,-0.0225940400282957+0.000124512166754492i,-0.0425368632490514-0.000101610999363451i,-0.0328316942768521-4.96480488458751e-05i,0.00652813061468158-4.6620005436896e-05i,0.0734966855552616-4.79669598808544e-05i
0.041290040626879-8.16566949416075e-05i,0.0231345317873921+0.000178001104558416i,-0.0843277499060388+0.000389256601977769i,-0.00343250744412749-0.000330513731473966i,-0.0568238171164681-0.000154859077718541i,-0.00282158654917654-0.000110045439551224i,-0.0900375290019702-0.000165397724217213i
