-0.0452930371115942-2.33328365502515e-06i,0.0154224205681316-1.9170251071697e-06i,-0.0250152168892628-1.83896542245301e-05i,-0.00750548019648893-7.78444488083816e-06i,0.00435798209914726+4.97026193381821e-06i,0.0208691570753804-1.97769314388222e-05i,-0.0458527754998787+2.3692912436355e-05i
-0.0390746834310087+4.53985503102969e-07i,-0.0352885269954971-1.70338620993037e-05i,0.0419325514828026-1.22894829447013e-05i,0.0374388497077216+3.76538114465088e-05i,-0.0770539152181235+1.19276599545492e-05i,-0.0372322227199706+2.84733146608475e-05i,0.0702899621306375-5.56592737268983e-06i
-0.039813849033355-9.45012986983192e-07i,0.0205897313261659+5.68986033769878e-06i,-0.128469941496544+1.74792875106055e-05i,-0.0188410442492424+7.58696339755137e-06i,-0.0248326999093431-6.65736782037851e-06i,0.0252875822354503+2.06213565515643e-05i,-0.116781384932325-2.38612385646313e-05i
0.0209717276836469+2.38105639265356e-06i,0.0598506404968909-1.67206932456879e-05i,0.0670503682197901-4.18581842452376e-06i,-0.00291549227236948+4.24895111415038e-05i,0.01015739453556+5.33472904512902e-06i,-0.016701102482848+3.08048105795949e-05i,0.066209874496811-1.57129943378518e-05i
0.00309850309069821+3.23305364857088e-06i,0.0325730340667496+3.53681197691911e-05i,-0.0351261332543643+3.44767005045455e-05i,0.0186412855893604-0.000100394746223516i,-0.0115189764289617-2.92857266931652e-05i,0.014202685070735-6.50744870854172e-05i,0.0057314582657512+1.28435908166936e-05i
-0.0164941781911753-7.2325833143232e-06i,-0.0446096813817913-5.05283678086982e-06i,0.0243385926380213-2.84383840433956e-05i,0.00434790885287375-1.46248854715697e-05i,-0.0154444925170521+9.21363608247434e-06i,0.0602905085171953-2.39005610962754e-05i,-0.0194527700941632+3.40682228071643e-05i
-0.0412379055826916-1.40174720645784e-06i,-0.0252593101785929+3.06336719521063e-06i,-0.0953129941284169-1.4020470700973e-05i,-0.0406724406803547-2.33414904417476e-05i,0.0256620725672486+7.7981168433328e-06i,0.0531672193199746-2.12183350674622e-05i,0.0226978417803028+2.79446067097832e-05i
-0.021263112754293-1.0214047324712e-05i,-0.0136311409483106+1.04533371054617e-05i,0.0159043784205644+7.04514548110222e-06i,0.0318833674702164-1.92600677019457e-05i,-0.0414183480074803-4.49822277957747e-06i,0.0418156714011339-1.58030109412611e-05i,-0.0284662936616847+3.06611202773291e-06i
-0.0143858241902658-4.80122087809571e-06i,-0.0422898353569751-1.71220469401883e-05i,0.0617263370694724-3.69958980557215e-05i,-0.0281096883080391+1.26137623838772e-05i,-0.0183140481920069+1.27127616348914e-05i,0.0379043903538098-1.10472908746693e-05i,0.0392423841295772+3.2934000187095e-05i
-0.00319410658997344-3.26505169331832e-07i,-0.000968293916068211-1.16224367110316e-05i,0.0255552843078303-1.99290740326751e-05i,-0.000954253012246169+1.40325509233462e-05i,-0.0412805717919201+4.17345056298222e-06i,0.0471768503984372+3.77300008196064e-06i,0.0227132392577023+1.38202740102976e-05i
0.0112043880354345-8.33503761850956e-06i,0.0241712224539214+1.17020663226287e-06i,-0.00777210979901448-3.32188923537348e-06i,0.00687761670035283-3.20722435308492e-06i,0.00426544710005186-3.55880438823308e-06i,-0.006335399605185-9.42828232839144e-06i,-0.0504895941754551+1.01105719145445e-05i
0.0394775645003213-7.79668652891966e-07i,0.00394659725911251-1.32875432998214e-05i,0.0138130294017806+1.01924693511656e-06i,0.0115230246886255+5.49931015256474e-05i,0.00247620083559147+6.282085226083e-06i,0.0397711874757264+5.46908157847303e-05i,0.00638014619427367-3.29546723928716e-05i
-0.00236356611687699+4.0990217056648e-06i,-0.00242092216802359+1.74352136640093e-05i,-0.00450556948398154+3.09983328210346e-05i,0.0330822946342381-3.67029894015629e-05i,0.029090120261882-1.86486683605267e-05i,-0.0268362872742417-7.52194569934319e-06i,0.0642239238300285-1.76395212003239e-05i
0.0220868449732015+6.92014855387378e-07i,0.00878371578486576-1.34613636555405e-05i,0.0185114376760575-1.03327427590004e-05i,0.00327565019010647+4.32906214567585e-05i,0.0239150809524956+1.00463963651887e-05i,-0.0354087944547491+3.38334219547709e-05i,0.000514059440714035-1.29168286706961e-05i
-0.0574059403896522+1.45099152623665e-07i,0.0105001062173961+1.85965900490893e-05i,-0.0422893230164924+2.31787421264736e-05i,-0.0257176284078339-3.65303444017843e-05i,-0.0111475395871315-1.00536519971998e-05i,-0.0222631998412418-2.16152863923981e-05i,0.0098651056439549-2.52508340551638e-06i
-0.00913645008451237+9.20041316580852e-06i,-0.0114505667509119+2.80332749428057e-05i,-0.0195089690470449+4.71376213806484e-05i,0.000890522932298462-3.43827363044832e-05i,-0.0422911660499057-2.29095595007307e-05i,-0.0492570735702948-3.84770172841221e-06i,-0.0167202465607929-3.70103027892259e-05i
0.00603316724445666-6.14071992233279e-06i,-0.0216621104577133+2.14672407065392e-05i,0.0368488335759603+2.83291797076833e-06i,0.0725465345017098-6.62470320033255e-05i,-0.0112144948278156-1.20506660833421e-05i,-0.0305726444302332-5.87793678449989e-05i,-0.00869938845491808+3.56344103431345e-05i
-0.00789959633665886+6.91323410334524e-06i,0.029125789865713-1.15767231670975e-05i,-0.0525144992819086+1.93773341623667e-05i,-0.0488495502536009+4.9005209975291e-05i,0.040664050648849+3.46301235834763e-06i,-0.0109094061271787+5.20684847623539e-05i,-0.0238175914752757-4.73249524453743e-05i
0.0229828573906465-5.2822700447029e-06i,-0.0258786197245464+3.14546803599504e-05i,0.0808001528764032+3.8154481019387e-05i,0.0145046211257477-5.78340796728908e-05i,0.00632564395934786-1.92076375826982e-05i,0.00944526965708098-3.54641161690768e-05i,0.028336367506502-8.70353001606986e-06i
0.0192973264783033+5.12627757748049e-06i,-0.0119546388506941-3.44896528914503e-06i,0.026681580243403-6.76181637774181e-06i,0.00532659212871413-8.25661968607892e-06i,0.0295138211996594+9.58707466831117e-07i,0.000709459786681607-9.42064494308941e-06i,0.0769482580592153+9.30131236762897e-06i
0.00390287705270057+4.99110658777752e-06i,0.0892424369420897-6.49559186891431e-06i,-0.0246825238625841-1.0338955091683e-05i,0.0222018684332264+1.629598654471e-05i,0.00771310844301033+3.05333428001316e-06i,-0.0134020058022997+8.60897419568621e-06i,-0.012268215639594-9.45362799008583e-07i
0.0274511166950956+4.86888699170943e-06i,-0.02439715609335-2.42975293942748e-05i,-0.0402760472167757-1.15217474889252e-05i,-0.0330999213308892+5.42508950161624e-05i,0.0642388673841486+1.3251117575682e-05i,-0.0152714875399112+4.6268320265883e-05i,0.0376182656348664-1.82492032218521e-05i
-0.0038945869947132+1.20117639529357e-05i,0.0311831757999016+1.25869871605991e-05i,0.00558646890659709+2.44674388867674e-05i,-0.0548344426938665-2.26613018767773e-05i,-0.0360235515141593-1.88687342211318e-05i,0.0163975459354133-2.3844684009359e-06i,0.0836262008226299-1.90264381891044e-05i
-0.0618549531292649-3.14102722708239e-06i,0.00812369076543162+3.98853333479208e-05i,-0.0793923210080141+6.4427782312638e-05i,0.00108505172722062-6.47585317600482e-05i,-0.0411533943133149-3.09627544205185e-05i,0.00954510204403337-2.87302573494729e-05i,-0.0841508334211465-3.00676836186462e-05i
-0.00133795486091199-3.82174552846483e-06i,0.00326495145626839+5.40508627496733e-05i,0.00150120753040017+5.81672862916304e-05i,-0.00157592456721928-0.000119915731391749i,0.00380705802005453-3.41024299779375e-05i,0.0757408255768013-7.11030677443248e-05i,-0.0294453977858523+4.90650066263781e-07i
-0.00449282482160641-9.84016336434158e-06i,0.00104298487780786-1.64368805857023e-05i,0.101929888691747-3.00890822463144e-05i,0.00947511149048582+3.58258096066722e-05i,-0.0197983374449474+1.75945163417683e-05i,0.0454828465218983+7.83747975909238e-06i,0.0296651854429893+1.79438015074224e-05i
-0.0228160383741976-1.19426699087842e-05i,-0.0191331894396823+2.19408500553159e-05i,0.0687450966717725+4.54774134404194e-05i,0.0483589677540189-1.16230940792224e-05i,-0.0258952427609786-1.67107438501219e-05i,0.025985243460371+1.05757010700677e-05i,-0.02934460780632-3.73601690952869e-05i
0.0222308208746338+5.60582265655946e-06i,-0.057580443753542+1.28929584288892e-05i,0.0404441628860566+3.30311572492104e-06i,0.00510199870498637-3.86473091203445e-05i,-0.00277160676410784-8.06030405558453e-06i,0.0133962798376706-3.02634797016912e-05i,0.0430961580888474+1.4431154413571e-05i
-0.026571117415759+6.35358568283814e-06i,-0.0770498654908696-2.74468379565551e-05i,-0.0450731808709931-3.10217388411056e-05i,-0.0388545163045997+5.0635108258891e-05i,-0.00351104972473884+1.58798670795979e-05i,-0.0234800285036497+3.2250591600359e-05i,-0.0251479083282834+2.16288824752895e-06i
0.0690584442813365+2.47091090213624e-07i,-0.0401286774337431-6.60172828782877e-06i,0.0503015223720698-1.90632232104535e-05i,0.00699051110931752-4.13218157936136e-06i,-0.0198911333941073+4.22588104904433e-07i,-0.0376497887645984-1.72008081565055e-05i,0.0152179102280529+2.30706341182672e-05i
-0.0203257727486564-2.37636616462215e-06i,0.00777329790721126-2.46540953449648e-05i,-0.0191820727720881-3.43270672362708e-05i,0.0185099553146678+5.11560935418352e-05i,-0.0311800760987852+1.71162935321808e-05i,-0.0303750251738442+2.26344967568551e-05i,-0.0427365651986625+1.42644209428408e-05i
-0.0218829057158992+3.35496528961119e-06i,0.0282946281124565+2.91299059485429e-06i,-0.0403471908926432-8.71468903063891e-07i,0.0255461694007574-5.35785790686891e-06i,-0.0151420294340482-9.68861207554768e-07i,-0.00855278149563086-2.11439310538776e-06i,-0.027813739550189-2.24823334514908e-07i
0.0373338520421482-5.64382170214871e-06i,-0.0638466724722955-2.20067452693191e-05i,0.0469677625584031-1.09369660377651e-05i,0.00902155796543734+6.36274230723271e-05i,-0.0145898796694361+1.63397733095971e-05i,-0.00577823128930047+4.8257048701395e-05i,-0.023848901344496-1.78737716090926e-05i
0.00886796476413373+3.32216766732264e-06i,0.0233308089609453+2.92505109074988e-05i,0.0146073492681642+6.1850075178398e-05i,-0.00299533269297271-2.87049608265724e-05i,-0.00642352764093381-2.89383467258073e-05i,0.00430330564583688+1.0656152924363e-05i,0.0028597718019972-5.17386142233354e-05i
-0.0135613903944049-1.17202482094354e-06i,0.0478306676292807+4.67990282741011e-06i,-0.0526253520354812+2.47745823703715e-05i,-0.0243163535763785-2.3161113044904e-06i,0.00566374773497766-1.08141752289261e-05i,0.00346415907722567+1.50095880430246e-05i,-0.0420944143943545-2.5451404354825e-05i
0.0131011507312472-8.06513599707667e-07i,-0.0361450401538421-1.06318341087635e-05i,0.0533613447451953-3.42745703560616e-05i,0.019671986847606+9.26695197171583e-06i,0.0228873047030724+1.19499496117524e-05i,0.00014051734074819-6.66813243770581e-06i,0.00953615369998603+2.99657342696288e-05i
0.0234877298940529-7.56118728163973e-06i,0.0211204888329247-1.34168743874832e-05i,-0.0155436382080441-2.46264937459311e-07i,0.0198045710048358+3.18569617565236e-05i,-0.0111134566277993+9.91414912454916e-06i,0.0395529591616708+3.03251416102854e-05i,-0.00711806408065222-1.0416103664765e-05i
-0.0103781673578815-2.43252335425294e-06i,0.0171142951360275-1.4424317130504e-05i,-0.0205038408860478-1.7096223570252e-05i,0.0181525613730289+2.75300086342478e-05i,0.00714750779830417+1.46689756557413e-05i,0.00415808807073695+2.01665677554197e-05i,-0.037200561918803+1.35474774182611e-06i
-0.0442786595927252+6.02505558032681e-06i,-0.00320399249603201+1.90389953172053e-06i,0.0306681109334067-8.5943588507692e-06i,-0.0205429351378856-5.25981569404407e-06i,0.0242251870670561-4.09254687140171e-06i,-0.0259058731932819-1.12563029910737e-05i,-0.0469787110002972+1.13005260026014e-05i
0.0161723389769207-6.26351979087511e-06i,-0.0237047609602726-1.81009743621891e-05i,0.0660792680973525-9.24862166977111e-06i,0.0868064644796207+5.37227503572008e-05i,0.0429553201110283+1.50355512356462e-05i,0.0188137459868994+4.31481340094735e-05i,0.000842068336801796-2.10104507677105e-05i
-0.00058018406074909-4.85108590899969e-06i,0.0142757388411381-1.43804012415752e-05i,0.0545197939830703-2.58512026183083e-05i,-0.00479331186170901+1.9597711866411e-05i,0.0175763560914514+1.04266341333181e-05i,-0.0347145373254242+2.85836265667217e-07i,-0.0227584889685266+2.22395084460962e-05i
0.0129451090821279-3.66686575106287e-06i,0.0406445553264122-3.22434387432791e-06i,-0.00781999408109455-2.62323170091006e-05i,0.0610096620198249+3.86623281066305e-06i,-0.00603436432748981+1.43489595813471e-05i,0.0459401403632295-7.21588880187203e-06i,0.00432312817050437+2.26159907525356e-05i
-0.0352752884503577+1.80342053562905e-06i,0.0748244233633775+2.14694868164644e-05i,-0.0575645971994266+3.68821914113731e-05i,-0.00825927990176727-3.98002378001429e-05i,-0.027967773238407-2.4383917421218e-05i,-0.038025191550631-1.40073704460583e-05i,-0.037886863742284-1.8454216762344e-05i
-0.0125055948999498-5.18587810325684e-06i,0.0203135243999464-4.24718833462599e-05i,0.0152075143866987-7.62277202916812e-05i,-0.0130813699596695+5.27383163675251e-05i,-0.0199068934835346+3.12144043568871e-05i,-0.0296304778477066-7.30920045475788e-07i,-0.0419563302951136+5.56034176975206e-05i
0.00355322839672661+1.02230666031954e-05i,0.0471828545858939-1.68457059533432e-05i,-0.0705969318892428-2.53843908380302e-06i,-0.0643122588753092+5.19195008649147e-05i,0.0230848992261771+9.16853507619921e-06i,-0.0049168001970967+4.98200477130786e-05i,0.0270816930520341-2.69131994871998e-05i
0.00456759023481758+1.52032400849751e-06i,0.00233248833611877+1.01200734355135e-05i,0.0754710609704414+1.5294609310568e-05i,-0.0208828257776382-2.65832751095083e-05i,-0.0327632691816758-1.46766585644043e-05i,-0.0132612970803103-2.39278696552653e-05i,-0.0067820206495823+1.19527345821149e-06i
-0.0583300565973385-1.00301519610708e-06i,0.0397808905753388+1.52194792492045e-05i,-0.0248128002231085+2.78626337833401e-05i,-0.0282688594475046-2.57886803674175e-05i,-0.0391137609184576-1.48125701336433e-05i,0.0155600612048071-9.51747454172743e-06i,-0.0362886085638869-1.38677390299844e-05i
0.0216839808877033-3.52157622386883e-07i,-0.00196843913310198+1.76137177203385e-05i,0.0581353143802372+9.85001447414893e-06i,-0.0159562321895673-6.61549794437576e-05i,-0.0217037353795407-1.5520465151786e-05i,-0.0288474897382402-5.91760952863328e-05i,0.0163116008211092+2.98751345463272e-05i
-0.0351376921044146-1.92198718145558e-06i,0.0348028016608636+5.49003422780443e-06i,-0.0213525196541124-2.64356034936053e-06i,-0.00229805618664009-3.81127335720853e-05i,0.0418544919753537-6.78152715430402e-06i,-0.0554721486726332-3.00996971284113e-05i,-0.0256865314636344+2.45938430065265e-05i
-0.0086315163807791+1.45146869311216e-06i,-0.00979724925482906+2.77351436328106e-05i,0.0114185279402048+3.29092776937302e-05i,0.0896528901220425-5.00081526883193e-05i,-0.0429799577582026-1.69634954782336e-05i,-0.0305490063022755-2.56482469520869e-05i,0.029352977428262-9.73167573514472e-06i
-0.00880850128827551+4.22306133909162e-06i,-0.0371727216762038-2.29737515775942e-05i,0.0402127398942026-2.28646846579274e-05i,0.0290609225502737+3.89069596208071e-05i,0.00353460458595467+1.14710070753392e-05i,-0.0923735724092137+2.29119219323538e-05i,0.0188889856336214+2.82168836966932e-07i
