3.10263920104035+0.00351539514877497i,-1.01239488971901e-05-2.18633965266531e-07i,9.29842354760528e-06+1.38816627318472e-07i,2.15792107801428e-05+1.84030643264155e-07i,-1.54959587453185e-05+2.92223252246324e-07i,1.54813416076132e-05+2.7095473186271e-07i,1.68385595424016e-05+4.5523520668756e-07i
7.02101610747387e-05+8.44260412458457e-08i,-5.94331501613098e-06-1.26940272838677e-07i,5.0896434748975e-06+7.49763136074823e-08i,1.24758410035899e-05+1.01914089194746e-07i,-8.96560448390939e-06+1.66440296231322e-07i,8.66679780088832e-06+1.46296874223733e-07i,9.62367589739554e-06+2.58462257195899e-07i
-3.5422613600562e-06-2.36615668750078e-07i,5.88959788771547e-06+1.20794221541588e-07i,-5.51102393831572e-06-7.69394811117699e-08i,-1.26494876963807e-05-9.69474053233411e-08i,9.14794103937011e-06-1.78852611433762e-07i,-9.10100859760364e-06-1.50484334445924e-07i,-9.87076036688312e-06-2.58662952548445e-07i
8.39871325311076e-05+3.19492068809241e-07i,-8.45002799818858e-06-1.77671515388784e-07i,7.60419667245995e-06+1.08192655024841e-07i,1.81360220703243e-05+1.39131862902354e-07i,-1.31211900417697e-05+2.51414297491849e-07i,1.27818879399089e-05+2.10139872536842e-07i,1.40812337905157e-05+3.67733860289005e-07i
-0.0590576838836043-6.81885920715136e-05i,2.30887802512665e-05+5.06809592265977e-07i,-2.15809068489663e-05-3.25136438550517e-07i,-5.0367629217271e-05-4.27262759872213e-07i,3.65900486587711e-05-6.75642515850252e-07i,-3.59248008070611e-05-6.22574578447489e-07i,-3.93085394550918e-05-1.05137173528453e-06i
-3.59589651722532e-05-9.77766447621523e-08i,6.99108795056253e-06+1.4665484290648e-07i,-6.62059057710776e-06-9.30225277286359e-08i,-1.53741160437638e-05-1.13941979945538e-07i,1.1220724742341e-05-2.18742579433653e-07i,-1.10030178701499e-05-1.78788830980497e-07i,-1.20235673858807e-05-3.07752960097623e-07i
-2.24057873965427e-06+2.70724560453442e-07i,9.06553378408584e-06+2.12916091604108e-07i,-8.81019931685611e-06-1.44389177999903e-07i,-2.00198934344776e-05-1.99391800871187e-07i,1.4620752296956e-05-2.51041788365219e-07i,-1.44931269117295e-05-2.71921993771063e-07i,-1.57101264398596e-05-4.41009674026263e-07i
-0.194143610332491-0.000248955509296704i,4.93239221226933e-05+1.02527369488826e-06i,-4.6303484937152e-05-6.56759897924366e-07i,-0.000106335963958134-8.33058039329348e-07i,7.69343611053213e-05-1.49083693155408e-06i,-7.6550893320421e-05-1.27990764505315e-06i,-8.30638177705094e-05-2.18507526017472e-06i
-5.95894460463406e-05-6.72371489316627e-07i,1.69573389531817e-05+3.53511584411881e-07i,-1.5889096550564e-05-2.27844750092749e-07i,-3.63649937275024e-05-2.93439316825554e-07i,2.62524728317202e-05-5.04672337145912e-07i,-2.62223706983902e-05-4.45015305387856e-07i,-2.83976252890323e-05-7.56025901790229e-07i
-6.53961398545915e-06+1.2928631493863e-06i,-1.69067092050781e-07+1.2676450697431e-08i,2.5015195183487e-07-1.17021005865566e-08i,5.40009725710613e-07-3.31025630021721e-08i,-4.46792921978578e-07+3.463782505449e-08i,4.09432646815482e-07-1.94007566855194e-08i,4.51314509707664e-07-1.86393982895067e-08i
0.166129625567833+0.000203490069268959i,-4.06631112156871e-05-8.84513643294693e-07i,3.80147206412827e-05+5.74179480062042e-07i,8.76240816160332e-05+7.6593207160259e-07i,-6.33883058690577e-05+1.16873182156781e-06i,6.29631479788571e-05+1.10813819568788e-06i,6.84143829167968e-05+1.86052367720509e-06i
0.0716931919599812+1.63238187292913e-05i,-3.78990597960604e-05-8.31411716494694e-07i,3.54745083749393e-05+5.42896151135959e-07i,8.16196923089157e-05+7.3136885301381e-07i,-5.90176138383731e-05+1.07683815336165e-06i,5.87299554785841e-05+1.04639727921294e-06i,6.37580375997081e-05+1.74776322091162e-06i
0.112248115849159+0.000158527115991403i,-2.47707529120444e-05-5.41111987593193e-07i,2.27874316583518e-05+3.45954026813131e-07i,5.32508398220352e-05+4.64219439897396e-07i,-3.84790624475971e-05+7.06149148263482e-07i,3.79918399734603e-05+6.6757379868835e-07i,4.1493669879317e-05+1.12752210173283e-06i
-0.000118797703291318+5.40145448325941e-07i,-1.52731928324902e-06-3.09710855313985e-08i,2.05119291007117e-06+2.85515049024215e-08i,3.68633260760121e-06+3.1346389627543e-08i,-2.75011765807761e-06+5.71836564386743e-08i,3.06799046154909e-06+5.45508742241721e-08i,3.03841578540632e-06+7.92636225174123e-08i
-0.0263850041902392-3.61029127925877e-05i,1.27635535250887e-05+2.93221909832114e-07i,-1.14778235364608e-05-1.86413731225593e-07i,-2.73905352909954e-05-2.6271421024283e-07i,1.97709787139131e-05-3.42035119709456e-07i,-1.93507104903379e-05-3.56109390083859e-07i,-2.13009911673931e-05-5.95964351796076e-07i
0.043089431698532+0.000100165621888753i,-2.60856102190166e-05-5.26619054854909e-07i,2.41794341237814e-05+3.30552694776733e-07i,5.5947845807988e-05+4.08351835658506e-07i,-4.03835534654347e-05+8.03431725877637e-07i,4.0160981978468e-05+6.50515095522338e-07i,4.36669842695262e-05+1.12755082424312e-06i
1.87888392027651e-05+4.04042554119216e-07i,1.11066242057116e-06+3.46482194940936e-08i,-1.11590892537838e-06-2.70241432462566e-08i,-2.27018798274745e-06-4.73886450623747e-08i,1.60552387447452e-06-1.30021031911155e-08i,-1.74918406110794e-06-5.03069070799279e-08i,-1.7896375245915e-06-7.14530600866387e-08i
3.21752748935543e-05-1.16353057648081e-06i,1.68179904905774e-06-5.54566792189589e-09i,-1.66118269095211e-06+1.27028785904192e-08i,-3.70105524870407e-06+5.57267135176446e-08i,2.69109905069918e-06-1.14017969907301e-07i,-2.71268260511967e-06+1.3499989323225e-08i,-2.91168823812524e-06-1.12959318512775e-08i
9.68062366019374e-05-3.806154201753e-07i,-4.46422327573732e-06-9.89700183676306e-08i,3.69704694997214e-06+5.48674352080666e-08i,9.58597503710679e-06+7.38010226925999e-08i,-6.9595395199092e-06+1.27189629221165e-07i,6.44299016589336e-06+1.04358709114988e-07i,7.34784462417555e-06+1.90715844906773e-07i
-1.35257533888479e-05-8.30767604460209e-08i,5.36485784994901e-06+1.24966672319314e-07i,-5.04453108257862e-06-8.5668929196024e-08i,-1.13452276475407e-05-1.25356081622621e-07i,8.15092575633128e-06-1.34714707714224e-07i,-8.25939757228719e-06-1.64404768424738e-07i,-8.86140986941935e-06-2.64172936052038e-07i
-8.63237406971749e-05-3.5688960598897e-07i,1.23722284708423e-05+2.67934039990608e-07i,-1.14376609627973e-05-1.71588209909666e-07i,-2.65316560069798e-05-2.29877646517616e-07i,1.91795884804918e-05-3.54033796998371e-07i,-1.89792966679269e-05-3.31868632595807e-07i,-2.06720348778276e-05-5.61778654907637e-07i
-3.18884518260649e-05-1.16718064775474e-06i,-6.27255503557161e-06-1.35563529534149e-07i,5.92039003365689e-06+9.02613216367407e-08i,1.33300162667949e-05+1.22537142819788e-07i,-9.59734911229987e-06+1.76146351108759e-07i,9.7127899303676e-06+1.75426792013636e-07i,1.04313967969769e-05+2.90508882352423e-07i
-0.0128477577415118-1.04356201512568e-05i,2.98369124493747e-05+6.48492877129738e-07i,-2.77805866109638e-05-4.19380978670644e-07i,-6.42100682729972e-05-5.59984160577366e-07i,4.64237262970156e-05-8.56067335147198e-07i,-4.60767562801907e-05-8.09768425993745e-07i,-5.01131487346586e-05-1.36209512405941e-06i
5.38179784580611e-05-3.70600888524801e-07i,-1.5726935364595e-05-3.42390021995316e-07i,1.47967110484293e-05+2.23690766537745e-07i,3.39246647305446e-05+2.98415010910305e-07i,-2.45538743451051e-05+4.52304502359386e-07i,2.44299867160921e-05+4.31384264635598e-07i,2.64982380371636e-05+7.22193477672319e-07i
-1.99478700092104e-05+1.30591354286835e-06i,1.8863054347595e-06+3.53769820585903e-08i,-1.66976127307653e-06-1.89303625324495e-08i,-4.03667763151421e-06-2.02261674423139e-08i,2.9196672101816e-06-6.35526112260113e-08i,-2.8233498924165e-06-3.79899600492914e-08i,-3.12777306294668e-06-7.28674318486033e-08i
-9.35590171159354e-06+3.5987567392112e-07i,1.17378348372406e-06+1.88714470608229e-08i,-1.22119073273869e-06-1.23213495988168e-08i,-2.57851647301955e-06-1.00561670855233e-08i,1.88141334415481e-06-4.50032305465805e-08i,-1.93018462211876e-06-2.53679507835416e-08i,-2.03610873753317e-06-4.5691928154691e-08i
-6.38759784323527e-05-5.27177717503928e-07i,1.30429047398212e-05+2.76602980550155e-07i,-1.20569271714254e-05-1.77341808322932e-07i,-2.77962059428852e-05-2.35350873260764e-07i,2.00353719320916e-05-3.76362406355997e-07i,-1.99498823385413e-05-3.45799152593859e-07i,-2.1654496042801e-05-5.86802486412877e-07i
-2.21908199452427e-05+7.777625668118e-07i,2.19167050050597e-06+4.68284495275331e-08i,-2.03960729062199e-06-2.9244124535062e-08i,-4.77956761165629e-06-3.69948849930515e-08i,3.4722955754396e-06-6.65449843440243e-08i,-3.39158195089892e-06-5.61103809744279e-08i,-3.72509349957813e-06-9.66293954176898e-08i
2.26371249650723e-05-7.27790127242153e-07i,-8.44300285809562e-06-1.873911377666e-07i,7.77728370820564e-06+1.20971362270227e-07i,1.81247203821265e-05+1.65836871981545e-07i,-1.31132294620274e-05+2.34843241112312e-07i,1.29407009780885e-05+2.32304231444599e-07i,1.41165892062412e-05+3.90271200852391e-07i
1.14161528862194e-05+3.97964597812506e-07i,-5.37846220835855e-06-1.27824306997981e-07i,5.06537152087788e-06+8.63202183669224e-08i,1.15919668277713e-05+1.24944274464724e-07i,-8.39165462398143e-06+1.38160620986783e-07i,8.36858208820488e-06+1.63660329732801e-07i,9.06504142376261e-06+2.64579582680756e-07i
