0.0339426678849233+3.93555980307272e-05i,-0.0288972670382828-0.000175500649712322i,-0.0513350268994541-0.000125163165302643i,-0.0262067055962176+0.000161469897034245i,-0.0288089882031252-0.000127413439936087i,-0.0540773003482008-0.00016110084783978i,-0.0496470885129811+0.000175606179066204i
0.00543826317432898-0.000121730949013727i,0.0169635339443016-0.00013143059773736i,-0.0637056571131408-0.000319079140805037i,0.0184017104445175+0.000274046156656083i,-0.00368257248021126-1.54452208482687e-05i,0.020407197058421-4.47630244659795e-05i,-0.0180623377409729+0.000419681746590895i
-0.0218783537992361-9.00199085007153e-05i,0.0275325348495722-0.000219250788879181i,-0.0167113650734017+2.49010511365624e-05i,-0.021639024783633+0.000323254146039711i,0.0184640632058419+0.000164064197690897i,0.0488105540592822+0.000427414327630766i,0.0331734599681548-3.58559974455372e-05i
0.0228377280115653+1.07037789055228e-06i,-0.041134762016413+0.00017183385040033i,-0.00903307539629532-0.000172797239323508i,0.0166924699074292-0.000267946856719805i,-0.0617443220161827-0.000114648795102196i,-0.00260431540300987-0.000514754103479556i,-0.0281418477086861+0.000239071750432663i
-0.035257166002836-0.000155953524664668i,0.0316767194712195-8.02049157576591e-05i,0.065849023736761-9.98789886042741e-05i,0.0209635407880063+0.000340193622278028i,0.0618218773501582+0.000123254563371028i,0.0349437639115209+0.00050197678481869i,0.0453386247357493+0.000121780931722728i
-0.0227174007589998+8.78521828543041e-05i,0.0161773487066443+3.00334100793811e-05i,0.100628360037437+0.00012971107420834i,-0.0207323649227334-0.000107432308021216i,0.0270135701160526+0.000123720041419957i,0.0187777545323272+8.24226272003176e-05i,0.0210686353387585-0.000175939760382547i
0.00548322118857028-1.8946944747454e-07i,-0.0883948968868735+0.000246529135257405i,-0.0319948984722915-8.68652439500392e-06i,-0.0112553483960784-8.73427666894919e-06i,-0.0197374424563001-8.27547390430366e-05i,0.0533840620927654+0.000103021828610293i,-0.0130394918917065-5.74883521027177e-05i
-0.00522223192868058+0.000111547055346156i,0.0126406321037661+5.60587505867179e-05i,0.0657427111598302-2.41480121484545e-05i,-0.00180707918378886-0.000567136711730081i,-0.0536450620431349+5.1387182375704e-05i,0.021905547830588-0.000619079082456373i,0.0227186096334996+8.31515066324039e-05i
-0.00482825281359652+5.43249899652535e-05i,-0.0279614675757004+0.000237857549626008i,0.0623183960015769-5.53447933723543e-05i,0.0469404382522527+0.000147880605712318i,0.0608393570643466-1.83050039384969e-05i,0.0129871000667924+0.000222575344838001i,-0.0462998846639902-0.000129581213742827i
0.0473622768184883-0.000166024501069984i,-0.0238379096180162-0.000223435239486362i,-0.140704832174129-0.000414897652162354i,0.0075063864927888+0.000476052577046412i,-0.0383053817009239-0.000223946088313422i,-0.0914819623847671-0.000128899721466039i,-0.0598858582387071+0.000539073883521522i
