0.0177405138761266+6.15060981458107e-05i,0.0853144324997639+0.000290355518478473i,-0.00092079444517514+0.000384082394554812i,-0.10538998145651+0.00066324531556223i,0.0286368554602592-0.000269022790463695i,0.0801919855856682+0.00144639301416962i,-0.0755518467814496-0.000638882888870765i
-0.00171603467240389-9.85415293178026e-05i,0.0107335980382669-7.58374600202405e-05i,-0.0282240211795976-0.000441504587664275i,0.00150157776288078+0.000271546510145836i,0.0186117952988794-0.000146047890811099i,0.00428638190957161+0.000362013797165232i,0.0510445843040812-0.000123085597587317i
0.000869590664399558-2.22466225257627e-05i,-0.00162713939063252+0.000391403754894402i,-0.00539288136238472+0.000268340846520545i,-0.00133292824603061+2.28399808030076e-05i,0.0209464990405142-0.000563153322283208i,-0.00783978075345529-0.000608563861643981i,0.0160816383088581-0.000169663650608988i
-0.00148487423406194+2.0927270289938e-05i,0.121800744709044-0.000311108593431064i,-0.0701199201534031+4.71293909284898e-05i,-0.00527475325668084+0.000138784707821733i,0.0192886663499177-0.000272062079467502i,0.00141926898502448-5.69870170849685e-05i,0.0814188578198722-0.000166283173742109i
-0.0120164325828184-1.23645692979599e-05i,0.0321191951214765-0.000117939168364758i,-0.0698359093051633-2.69810063776871e-05i,0.0265384066473344+0.000223343038649369i,0.00897858213820233+6.75005449811616e-05i,0.0247969626040809+0.000131248174300795i,0.0453192645005268-9.32049219970537e-05i
-0.00452326603349082-2.8527633415546e-05i,-0.0345207480731118-0.000294297018587695i,-0.0214169820202497+5.97505235799573e-05i,0.0114237564681459-8.99187208508877e-05i,0.00599081516607701+0.000168591661077427i,-0.015318338311388-0.000413993525727961i,-0.0011952422396112+0.000451011419920426i
0.0054803474000876-8.68285787446659e-05i,-0.0434759254758863+0.00042799798273531i,0.0679508925775861-9.62946468624669e-05i,-0.0117424719075392+6.75363470743132e-05i,0.0259372891614503-0.000302759667918765i,-0.0102809044338417+0.00035645937944331i,-0.0607265394962681-0.000209825749902603i
-0.0070565604820905-5.61918351629943e-05i,-0.0970234264036497-0.000596991332095709i,-0.038157653626518-0.00058503090197989i,0.0685016634116158-0.000378086894580332i,0.0209560601749011+0.000960510730211305i,-0.0147403826903769-0.000690004321747644i,0.0285233818613477+0.000944486139855669i
0.00305818441616466+6.14446222707092e-05i,0.0413373273137404+0.00023416077925165i,0.0347380219224177+0.00040320120115469i,-0.0510366817823909-0.000103429144593671i,-0.0870573383959174-0.000473235738100318i,-0.00183447678048988+7.01291699066308e-05i,-0.0157560280517343-0.000274760888772869i
-0.00135068548561545-2.44087308196606e-06i,-0.028094100352839-8.23117460928823e-05i,-0.00401682392509513-0.000237533198414663i,0.00533752439629924+0.000233087329710071i,-0.00316835814751189+0.000291248720961286i,0.0175296424431846+0.000491496821179401i,-0.000229885347753465-1.95748341251422e-05i
-0.00102751361893245+3.24299041579116e-05i,0.0258279925052461-0.000333292329873754i,-0.0449290860446968+0.000327076976996165i,-0.0176039295469323+8.35161797698508e-05i,0.0183132861325503+0.000225924275635948i,0.0257289334185897+0.000107146925909649i,-0.0213990637763903+0.000271049062820183i
-0.0123655850009752-9.68583366460809e-05i,-0.0392288686487843-0.000133127060064777i,-0.0705431146712886-0.000235433690584108i,0.000376533265735461-2.55678384087105e-05i,0.0138248767008334-5.95672262910738e-05i,0.0119496265590649-0.000167245727016546i,0.0522052800814333+8.775939265841e-05i
-0.000405140213608995+5.42548056123889e-05i,-0.00970331151462789-0.000310385023721688i,-0.00584137954207396-3.18893490926906e-05i,0.0162531880681394-1.46428055861029e-05i,0.0190328661988203+0.000615480777513566i,0.0201619145048043+0.000403625312021257i,-0.0379859365117009+0.000241042018252129i
-0.00378198737732047+3.17341674592602e-05i,0.0359864982495325+6.6687223734173e-05i,-0.0339306215139777+0.000478448752588022i,-0.0403095747678734+0.000134284048968346i,0.00566215225048263-0.000174703416647271i,0.033860840001362+0.000194248181831325i,-0.0256320523795144-0.000131425279528359i
-0.000560432254317636+2.8967908468618e-05i,0.0105457794741559+0.00010158769639618i,0.00129055920273865+0.000409076077073686i,-0.019434908056772-6.93690948554074e-05i,-0.0419458615509757-3.59389790548672e-05i,0.0305111854406871+0.00010541032091593i,-0.0377827278171532+8.00477132296894e-05i
0.00141482071485546+2.52224537213638e-05i,-0.00622298207733936-9.09492958689363e-05i,0.00435174177369024-6.145938086932e-06i,0.026681034910945+9.79925065746601e-05i,0.0089807222575687+0.000122869211802371i,-0.006048839437149+8.26750927887879e-06i,0.00466513387287357+6.83535790003918e-05i
