0.0335984299957701-6.15316583846412e-05i,-0.00639472678135203+3.71546697567596e-06i,-0.0892267491478759-0.000104316788563024i,-0.0551133716880471+0.000316623969365859i,-0.0584511631990952-1.12282873762251e-05i,0.0295483221655295+4.06586357040288e-05i,-0.121588637931093-3.91973764691897e-05i
0.0215538319948139-0.000176785018042681i,-0.0388221236341292+6.55183271794127e-05i,-0.0717116212099139-0.000152436930282054i,0.00124861250175487-0.000132752177733738i,0.0266018400702476-0.000145274936035621i,0.00450555720524072-0.00016559256443296i,0.0555278854654404-3.01283564891018e-05i
-0.00041700389341267+4.42547697230871e-05i,0.0256672454175862-0.000149167649592933i,-0.00404263039261528+0.000460053250651673i,-0.0369406299621195+0.000156650714377374i,-0.00469207882429739-0.00024451822441123i,-0.0484378248654202-4.310818299931e-05i,0.0324987440743153+1.07296786216545e-05i
0.00995851267033338-1.46717688147772e-05i,0.0489892316140328-0.00017104151238936i,-0.0668041595313543+0.000170846057658282i,-0.0143871814630666-0.000143038262324843i,-0.0315570470708308-0.000172281154281605i,0.0253898578228706-0.000105632004755334i,0.0313609069399453-2.35037064231402e-05i
-0.000994756377797736-5.81669006316987e-05i,0.042614006975699-6.57430685275824e-05i,-0.0562407858359813+7.71544216731897e-05i,-0.00144275384359221-6.59524989248767e-05i,0.0383640150834687-2.66845309944751e-05i,0.0348272457344751-6.99393649617342e-06i,0.0482186934140737-8.31188723463368e-05i
0.00466278275990469-5.07358056610155e-05i,0.00363548917069471-0.00011568036818367i,0.0369173668986147-7.91067474502508e-05i,0.011584941381267+3.10930063097063e-05i,0.039969588705829-6.47966075814428e-05i,0.0599195992401731-0.00010886560300731i,0.0147288136529195+0.000117355595142054i
0.00569882705985975-3.94233893431386e-05i,-0.108976237598751+6.23809935594747e-05i,0.000243014937774875-3.6644584074671e-05i,-0.0149315945614769+0.000189371248933504i,-0.0457610087447272-0.000143584919419595i,-0.0410098804901388+7.48020940115272e-05i,-0.00245108177110878+3.67773591530359e-05i
0.0198721507578389-1.0430497641725e-05i,-0.0122622103307171+0.000201460055956826i,0.0719446990872949-0.000209721442009862i,0.0406769925277676-0.000167117784409599i,0.0752297783388705+0.000282582981412963i,0.119532630227008+0.000218067991156069i,0.0824747114727279-0.000109081920336274i
-0.0305190760763487+6.06763557583713e-05i,0.0360587342473154-0.000125971563199082i,0.00417424769096998+9.0531913628733e-05i,-0.059078459130359+1.90696919999146e-05i,-0.0698765441160847-6.35926526693456e-05i,-0.0892324813137909-0.00023370451725059i,-0.0591958704416723+0.000196601399363806i
0.0114122306418639-8.3622046692294e-05i,-0.0133387095089237+8.35365367097862e-05i,-0.00707868800481661-0.000249446067518446i,0.0205682235087119+5.59477383030636e-05i,0.0234065916704936+0.000104501471956718i,0.0242708223253272+0.000139189618453643i,0.0073573076069249-8.47021342440974e-05i
