0.131988507908561+0.000200879084599073i,-0.0915563376027591+8.46605785718262e-05i,0.0566247320419939+0.000149777120371246i,-0.105271271633034-0.00036318863873937i,0.140310612129618-8.26411104915939e-06i,0.0432812806996868-8.10640890833526e-05i,-0.10300140497661-0.000173857846857139i
0.0486414195542012+4.38007294711737e-05i,0.0993107701343008+2.25500426889718e-05i,0.0902522437095826-4.19346387583478e-05i,0.0182694364676105-0.000267020208190988i,-0.0240618510672214+7.9871987268095e-05i,0.0477138256314209-4.61134791282765e-05i,0.156700201488684-2.14025516862233e-05i
0.0577017562801954-2.75790120732288e-05i,-0.236261650861932-8.69357625893358e-06i,-0.00191379100217323+7.80308650267234e-05i,-0.122386999626322+4.04379367413341e-05i,0.0207560457652542-4.28080527274768e-05i,-0.0617302491832993-0.000215860199817589i,-0.227762660141221+0.000138542549168385i
-0.00311981628333772-3.69271908022948e-05i,-0.161454088806383-7.78539426659019e-05i,-0.0674871404290694+3.58566857612823e-07i,-0.102823162776274+0.000111409625471045i,0.038474464449024+1.91297261734487e-05i,0.0250345024443048-5.98578596021608e-05i,-0.152792004748573+0.000124802238426151i
0.0755795133972089+7.12313268679093e-05i,0.0218559282256388-0.00015350907886967i,-0.000794174918363385+1.9634831794299e-05i,-0.0564853030443438+0.00013626655733625i,0.162467634606161+0.000142900101559261i,-0.0101256213643155+0.000305348833137768i,0.0339160571597533-9.80324658604777e-05i
-0.0298799871826106+4.62826762457247e-06i,0.0802727395328105-0.000139450222936721i,0.087772185151302-0.000149323719882079i,0.0699450628383174+0.000351724834375622i,-0.0954380420358864+7.88510181074227e-05i,-0.00279821420304349+0.000270628288315702i,0.0189364968748455-9.781857161704e-05i
-0.000469752187802268+9.65395545117485e-05i,0.0200802038379349+0.000233713369924355i,-0.00237369086181132+0.000115656573519779i,0.0600577807248469-0.000465845852785957i,0.0229639321892896-0.000155452972965499i,0.063549869486007-0.000207175039772905i,0.00113901678931361-0.000134263495849095i
-0.0166408292211784-3.18821208762952e-05i,0.182386984104032+0.000105900875584044i,0.0728533277268622-9.39867268302716e-05i,0.156743162571474-0.000144025466189453i,-0.1196131176006+3.21786936902106e-05i,-0.0418765021988524-1.75713922246975e-05i,0.152188964119266-7.88836175655369e-05i
-0.0213879153012976-6.89292382261551e-06i,0.0298045585351452+2.25941629529527e-05i,0.062892915514646-0.000111596394787077i,0.106831545508853+0.000108191893236783i,-0.121178127525444+3.5120162890836e-05i,-0.0553870901106348+0.000127572103917577i,0.0305426270255626-0.000103581304758146i
-0.042318745955379+5.86664105157731e-05i,0.0108691956605621-2.76675240166084e-05i,-0.00916471294136454+4.50447451155309e-05i,-0.000154702289545716+0.000147033387736835i,-0.0382914691983881-6.10980855707611e-05i,-0.0436602654243234+0.000116430820712912i,0.0180779259341581-0.000135215312678981i
0.000487515782242559+8.86062568475627e-05i,0.0367660390099233+3.16606121078659e-05i,-0.00364828825775176+0.000119624130882359i,-0.0632890175407428-0.000125525603279841i,0.184910983763011-5.26580492338086e-05i,0.0318710692143682-0.000123181909299763i,-0.111999782984463+7.4341166589917e-07i
-0.0909618066526345-0.000100260027421102i,0.0640589792727202-6.5714529879217e-05i,-0.0125499392199571-8.13690284122287e-05i,0.0344348224684501+0.000172430083183396i,-0.0726104751787331-1.21772345964959e-05i,-0.0301095502782617-3.48307190520053e-05i,0.0491205464707296+0.000135088828247251i
0.063053636374714+9.03032929402492e-06i,-0.162059590513878+0.000121367952806888i,-0.0263709709605124+7.50090770740848e-05i,-0.020364875017737-0.000186650735746754i,0.00609650871699115-7.51936423158983e-05i,0.0407527363212982-0.00015058898631858i,-0.0566107849266173+6.66693174882337e-06i
0.00407823995765986-5.10336528064859e-06i,-0.0360959821592092-0.000171776391124389i,0.0108942435994653-9.51868783506935e-05i,-0.0378420261635893+0.000417114963550771i,-0.0139140014454503+8.95331101886079e-05i,-0.0228497501325154+0.000275474278625541i,-0.0180237785200203+7.7801983831993e-07i
-0.00825514488031497+7.51381145823393e-05i,0.0812385214907308+4.80109794089793e-06i,-0.0058263793193264+9.84078203861617e-05i,0.000859771634450154+2.67579582808918e-05i,0.028811125195484-2.57509544119496e-05i,-0.100867020696372+0.000103750193880753i,0.0556383286969157-0.000154590643929819i
-0.0422769516830622+0.00011140100211917i,0.0550488341769839-3.7434289001048e-05i,0.0972543504494308-5.21515289358633e-05i,0.0622723047877506+9.68189575122689e-05i,-0.0825259752307972-7.44085556375581e-05i,-0.106282191151666+3.4117470969406e-05i,-0.0429848034708532-0.000146240742980491i
-0.00093350387371979-2.54561143241447e-05i,0.0350312827927256-0.000133197888901356i,-0.0474342196178033-3.77884138591653e-05i,-0.0485170133181932+0.000133704145884793i,0.0710246356324538+7.36292442297233e-05i,-0.0824108309350172+9.42044571231953e-05i,0.0273533695967106+0.000102812512609168i
0.00764878423729759+0.000111854198470739i,0.0351542585552557+6.53295207112326e-05i,-0.00411516301096789+9.42768239466698e-05i,0.0495440825316612-0.000162367318561527i,0.0818370277405139-6.3647519686762e-05i,-0.0759401409177218+1.05263498094375e-05i,0.00211746037613905-0.000176080616557306i
0.0298546112689186+6.73173805677001e-05i,-0.0145169536673628+6.09913596389277e-05i,-0.0173354309569192+0.000111200466755217i,0.00263338895312634-6.80242529985845e-05i,0.0810833978154504-4.75841616443263e-05i,-0.0783516546090456-1.78510032743138e-05i,-0.0423689025836478-0.000109521800818678i
-0.0208469501831921+9.59215495130658e-06i,-0.00613517857303259-4.17511445182153e-05i,-0.0269777700245772-2.66853987896125e-05i,-0.0076218791666342+9.35083309318305e-05i,-0.0262199760313489+1.09399352577476e-05i,0.0143611013598612+0.000122515495266772i,0.0604017345356769-3.63396128204474e-05i
0.0247347698956939-3.20277506776741e-05i,-0.0108117865987173+6.91532637552617e-05i,0.0123666655369402+5.80975940942198e-05i,-0.0277686319280796-0.000224180234477159i,-0.00424210184379005-5.05947800901392e-05i,-0.0596404882810786-0.000258450820248936i,0.0215693163742485+0.000108245078780428i
0.0241928434686337-8.43536456096523e-05i,-0.0258656814883989-9.14815377559625e-05i,0.0585345836137014-7.15766848166005e-05i,-0.0689707777419306+0.000108054342587991i,-0.027358981602025+7.11864790621631e-05i,0.0386195570026945-0.000102093258972313i,-0.0823104724234057+0.000198127303560803i
0.00775055039934863-1.24849386794703e-05i,-0.0195505476392761+2.75687362702291e-05i,-0.00179840487121448+2.99800017904581e-06i,-0.0138775489372576-0.000116953399103451i,-0.0232149410949947-2.58045487598188e-05i,0.0521551327779793-0.000117936791836626i,0.0181144908970441+6.74652698974637e-05i
-0.0312501031085163-3.60511462396735e-05i,-0.0142416500253486-7.96160016524642e-05i,0.00472399884335945-5.91102441988785e-05i,0.0182305650368441+0.00019778445401799i,-0.0156165792748969-2.5578632189863e-05i,0.0112077384247802+4.23209150976272e-05i,-0.0518840763647629+5.98486195778448e-05i
-0.0489150610970806-9.28429585175307e-05i,0.0429292552901091-0.000124352749356447i,-0.0197017868642187-0.000124581423322011i,0.0130924268622176+0.000131503338881424i,0.0545816210430211+6.78351622616182e-05i,0.0849962557608907+7.20573468490001e-05i,0.0291473293768086+0.000188983359208442i
-0.00950734222492964+3.83261127294365e-05i,0.0286696237360871-0.000146794826818268i,-0.0203065744950971+5.90776112824823e-06i,-0.0948248319421751+0.000153477273193926i,0.0507109379628327+0.000115327462945865i,0.060633128773313+0.000251658772464364i,0.0499861828022477-6.54683941322606e-05i
-0.00444679776762874-0.00011362814222241i,-0.0353160476008927+0.000100505878643752i,0.0219075197852473-8.84364277427664e-05i,0.0719661878546248-9.49088333152184e-05i,-0.10994925979255-3.76746706598131e-05i,0.0118624474222823-0.000205286954397515i,-0.0099223929151603+0.000153217393310574i
0.0343439926597675-9.18546659943653e-05i,0.0113636279774253-0.000108188023626345i,-0.010609066302411-9.63180358092122e-05i,-0.00954775239192699+0.000133043630963675i,0.0618963820701965+0.000150720981310546i,-0.0158613811690596+8.7941721873378e-05i,0.0159012722417596+0.000145902491605695i
0.0440643489658657+4.3395879609795e-05i,-0.0181358096723666+4.52847328473873e-05i,0.0576850786055926+2.94109775453058e-05i,-0.0177810905774671-8.86524833356014e-05i,0.00222042061103378+7.30979809825751e-06i,-0.00732486171568661-6.73372874674699e-05i,-0.0695948165099614-4.61289904189845e-05i
0.0187367594079693+1.12835013699203e-05i,-0.133322229201476+5.22939124791685e-05i,-0.0274664580205767+3.38550040571154e-05i,-0.041133831007898-2.06584786427115e-05i,-0.0497792788460776-3.07520644270869e-05i,0.0399668794866806-1.38634342032031e-06i,-0.0265312447850902-3.25724049247487e-05i
0.0101475640979425-6.79069316457346e-06i,0.0218367336187507+0.000129485878110335i,0.0875538633684563-3.07121726956247e-05i,0.0467917638280125-0.000290697529412994i,-0.103488963524143-6.19037044715254e-05i,0.0195334523589424-0.000277279311282341i,-0.0257887093168307+3.30707746811052e-05i
