-2.29546586573921-0.00556265004234252i,0.0307798404500893-0.00166210781639137i,-0.033434160375176+0.0110941780054873i,0.16228562775513+0.0139883653792141i,0.201386945425489+0.0271806741608337i,-0.393215654735935+0.0138446552149664i,-0.109744141162954-0.0202364993925585i
0.00326464225276258+0.00283160372200376i,-0.040245953282005+0.0391834321870748i,-0.0116168730944804-0.0727342877476905i,-0.00658476251651145+0.0215482370650538i,-0.0301827334760785-0.0150900243698868i,0.0342263104974977+0.00743992037836347i,0.0563328651809842+0.0395009697366337i
0.0326906826685663-0.00182963682987726i,0.0174001703389921-0.0203674324554031i,-0.0597382975950156+0.0224844356324914i,-0.0358035984479112-0.00874482397277094i,-0.0431764389189781+0.0225223590936216i,-0.0248317084344465-0.00163690560649548i,-0.025857824802365-0.0245768293548299i
0.00331831353420529+0.00379356046921286i,2.50933896866132e-05+0.0391981783395972i,0.0281338282780684-0.0127905590164096i,0.0157489837787912+0.00751813953694242i,-0.00313127742095439-0.0341096365145723i,-0.0190342301125213-0.00609163056417221i,-0.0669774565326986+0.0111612076031778i
0.00675069746580803+0.000446859125392894i,0.0407738022887486-0.00636089517015789i,0.00517218139412981+0.0209542599008074i,-0.0258508052893032-0.00577301856500598i,-0.0117086538342904+0.00537158764406496i,-0.0335400619892782-0.00308185180334841i,0.0100013875820855-0.0191727578257332i
-0.0167024256072152-0.00163876064142997i,0.0197882074722171-0.0136144604510764i,0.0325468022452721+0.0348126870456513i,0.0452202334740844-0.0101535651075046i,0.0131990186455635-0.000939144556699105i,0.000657377896716398+0.00105996154070482i,-0.012052923423188-0.0137212985715011i
0.00938180841497032+0.00132695971835833i,0.0163872822009473+0.0376993039034286i,-0.0302399154495426-0.0161348827297155i,-0.0300690682723751-0.0121826758926112i,-0.0455273282377644+0.000369493064107589i,-0.00455107247194579-0.00123583589158042i,-0.00106453459478453-0.00113740068596695i
-0.00292031423139839-0.00299807044132333i,0.0125226391312694-0.0231448674639284i,-0.0225853331632725+0.0195619267508619i,-0.00774921627506777-0.0065799047705556i,0.0125968038984561+0.0172757117578275i,0.0260025837782431-0.000844615118062488i,-0.00800087857377019-0.0157925703415857i
-0.0193856793582013+0.00251506443483423i,0.000324046109085456+0.0174162593080569i,0.0164644756142004-0.0327382774019826i,0.011431478143347+0.0111138798872325i,0.0278137682997287-0.0163220092787582i,-0.00412877718192689+0.00717765265569045i,0.0525971821598383+0.0297198693299276i
0.0276609904333998-0.00103705049698815i,-0.116478365732176-0.0458152359549204i,-0.0015288916532517+0.0300249395814373i,-0.0109779822653489+0.010713983215004i,-0.0435625368733148+0.00411581044944116i,-0.00394733920733756+0.00828044077155692i,-0.00353072567401755+0.00122599172297142i
-0.0242557250265744-0.00170356472298382i,0.0215355256923552-0.0217718801423924i,0.0296274178505119+0.0305493009310915i,0.0510625349638432-0.00184927424796619i,-0.0118752744298186+0.00425096265753266i,0.025724118355827+0.00613950365145477i,0.0491747300078675-0.00918795700283554i
-0.0199121943883017-0.000181503740915843i,0.0404322779402714+0.00742568414781804i,-0.0137847805682635-0.0216879808740316i,0.0524310310534658-0.00440273510344093i,0.0568137215759935+0.00908148645560453i,-0.0481493231683593-0.00872141878082076i,-0.0142729621829195+0.0103428874786456i
0.0236947925342052-0.00530058446665571i,-0.00353991568048722-0.0622331056365821i,-0.00812783038585028+0.103157391815991i,0.0189004169401623-0.0259205382896522i,-0.0467999968705434+0.0229647041651614i,-0.00810110298924822+0.00318738649351725i,-0.043419382505304-0.0450308516520511i
-0.0204947188276294+6.5215545520465e-05i,-0.0156112625075317+0.00669518351027447i,-0.0103105761638255-0.0189787574781666i,-0.0458574488101435-0.0010311394189432i,0.0818599920452295-0.0124088127695466i,0.0485355014291569+0.00598498482558512i,-0.0111483212102267+0.0179354792792267i
0.00860350182890277+0.00138519874127617i,-0.020325638817337+0.0183210113803619i,0.00805550110445659-0.0195154555914491i,-0.063370841392829+0.00204079175523625i,-0.0269755720446472-0.000383647112940699i,0.0327048454437079-0.000263125217468001i,0.0465322440090398+0.00572966557049959i
0.0325772317194635+0.00210995742260996i,-0.0627639761414387+0.00283258205812508i,0.0118017849661055-0.00327603377609004i,-0.0720358607466543+0.00474210882191893i,-0.078143763975958-0.00362705455515915i,-0.00254224298158004+0.00417235004310945i,0.0469182767226969+0.0056448898787428i
0.022154952588295+0.00266171794156614i,0.00314814300371282+0.0405508807330354i,-0.0101829653446973-0.00969174717246418i,-0.0189576291976888-0.0220687893426552i,-0.0178326992427519-0.0111596062737857i,-0.0585882159645035-0.00261145674452349i,-0.0391789171327428+0.00895573785483595i
0.018576569337461+2.92270548205144e-05i,-0.0568152138507229-0.010989897474824i,0.0116136165596254+0.0328834459681594i,-0.0473991498438232-0.0157997917914971i,-0.0100227677089767-0.00712227203358401i,0.00143568100181357+0.00607657120801791i,-0.0172129209551667-0.00227964070953584i
0.0310812880408415-5.78475037695588e-08i,0.019765862459972+0.00721704436662365i,-0.028006291142676-0.000794613742713546i,0.0126662823029341-0.000288595478262241i,-0.0927509027133316+0.00756075191719221i,-0.0238129671882529+0.00653696337497014i,0.0148324040663507-0.0166292688782678i
-0.013244310953455+0.00466515371268895i,0.0172723065870146+0.0769794862510735i,0.00543295248036329-0.074705174475425i,-0.0740792841005308+0.00612162463297055i,-0.00431271579523148-0.0251818734743128i,0.0386277644407438+0.00162768463619887i,0.0281118132776275+0.0223807146749439i
0.00142617978413326+0.000565277039734796i,0.0113667786663141+0.0170384829643298i,-0.0357800795229487-0.0202229982860783i,-0.050080376910332-0.000242483632724026i,0.0382256333142244-0.00585311463003226i,0.0123812304863144-4.31641070555734e-05i,-0.0324647384327075+0.00559501655050985i
-0.00920774625770899-0.00207070355284357i,0.0105502061486382-0.0225257743269316i,0.0111011987332454+0.0376568416320851i,-0.0373688970969438-0.0108841408443257i,-0.0155399353345458+0.0100012799674843i,0.0492321807286365+0.00703321481350162i,0.0607146966922787-0.0144530112439885i
-0.00270900798032577+0.00217104911579456i,-0.0130636361801352+0.00907923157789161i,0.0467172757251798-0.0143071235260581i,-0.0111662433072842+0.0189573025045939i,-0.0581148311077-0.00934361956616234i,0.0102475841888168+0.00563307910156515i,0.0736305046553503+8.14552452719584e-05i
-0.0279520155398565+0.00370944934373885i,0.0448333759301416+0.0394759169332844i,0.076791885971011-0.0288939244741193i,0.0404969836962191+0.00623248494600755i,0.0573623153751943-0.0277924380318415i,-0.0368133849928086-0.0111364227868748i,-0.0263560161185456+0.013981715304915i
-0.0268036796924645-0.000794614658586851i,0.0254718245694682+0.00998033748123541i,0.00758148308710662-0.00965060165872879i,0.0174323890880444-0.0143458875104987i,0.0169387164524593+0.00684414387602575i,0.016287721746286+0.00546924303215867i,0.0522032459647125+0.00603806509605906i
-0.0109397945614942-0.000457334371055962i,0.0612635169719261+0.0133241250214848i,-0.00643496572751645+0.00302345128760804i,-0.00389052142893897-0.0140192367953563i,0.0031433815750958+0.00522450483097268i,-0.00194318783919647-0.00182566973262696i,-0.00475021778120929-0.0153887738562987i
-0.00722606383194689-0.0010540774094226i,-0.0591428214732219-0.0125880876200102i,-0.0346457967396549-0.0579310740353698i,0.0445328490693733+0.029530318060551i,0.0440532962647817+0.00449697476591343i,0.0247905896354976-0.0031514541173953i,-0.025893705830458+0.0298702421257015i
0.00377908983609342-0.00195318740121922i,-0.0401980851732399-0.0232744917431926i,-0.050108862449767-0.0114805335190082i,0.0228453619755219+0.00507941881259329i,0.0526919892048665+0.0102040050452427i,-0.0246903652166657-0.00232791880295855i,-0.051404049321627+0.017031622808017i
0.00995891200699513-0.000634489508379244i,0.0059837523431308+0.00230891433897969i,0.00206392333461697+0.0263749523445967i,0.0509938879886145-0.0151316842419795i,-0.0494576458255768+0.00187071187059631i,-0.0439704992248453+0.00385020080517857i,-0.018918199982851-0.0134265322159104i
-0.00985632175702151-0.00201793959252565i,0.0352919428294765+0.0136720744374737i,-0.0447550831076582-0.0195800036586539i,0.0260583112915477-0.0107432654214489i,0.0103110905291645+0.0119633820931875i,0.0279950967970485+0.000987943809231862i,-0.00190161700138384+0.00330036222125964i
0.00554397187596423+0.000508994094841871i,0.0194379952652763+0.00795085160574571i,-0.00519049502997137-0.0150438312181336i,0.0400694385159923+0.000263694065744992i,-0.00567981559135884+0.00256118709328829i,-0.0487976932229801-0.00179920183075811i,-0.0133869376609848-0.00089788041384726i
-0.0178860736119474+0.00144164077231703i,0.0543075590323893+0.0180030851785002i,0.0419788770747249-0.00597264407305626i,-0.00301370586317403+0.00633362638724312i,0.0281885728354264-0.00946005746719486i,-0.0151622008507801-0.00961436461383534i,-0.00904148447559295-0.00860515381800061i
0.0287853781062575-0.00271068017538202i,-0.0492106664349764-0.0310892630528009i,-0.0237640726472977+0.0310408230843854i,0.0457674970852925-0.00169103886440506i,-0.0597086658607531+0.0122230149231872i,0.0138139010507715+0.00275239085355044i,-0.00481380133380244-0.00260750956741415i
-0.00969791054691061+0.000819747410116521i,0.00290992058580199+0.0127194242033069i,0.0268053279370801-0.00431652276810566i,0.0320841094291417-0.00322150657216859i,-0.0265993527029467+0.000807994065874694i,-0.000644928760996341+8.23043053893319e-05i,0.0557615132250169+0.00699915219816229i
0.0135742540840015+0.00297915696965001i,0.0499697611075922+0.0270605175739449i,0.0543955409555752+0.000271666980540498i,-0.0257125949748313+0.00163075965164093i,-0.0589363106364558-0.0104738428384002i,-0.0176331989041838-0.00719847812851253i,0.0236539883399042-0.0156144149048749i
0.0129407577368741-0.00135726041982554i,0.00911225693734239+0.0102707411466891i,-0.0969465933456286-0.0538658311902751i,0.0132901252945612+0.00136808929727113i,0.0169207564847157+0.0194447816715815i,-0.0190630013510112+0.000412511989487677i,-0.0424236901886269+0.00805355054704966i
0.0216209325864603-0.000779135165855135i,-0.0165894166205528-0.0258840319730969i,-0.00573757940870178+0.0170513386507491i,0.0428121317760963+0.00369995467594878i,-0.0579841969260053+0.00922707299160639i,-0.0316309786883979+0.00653068052932704i,0.0316162752015936-0.00225192283939615i
-0.0356441654469462-0.00336311052566696i,-0.00387315944116723-0.0556682021339251i,0.0022304724282818-0.0163345903198462i,0.0839496426258812+0.0340537459501242i,0.0810855849042521+0.0137993388437411i,0.0416588747109339-0.000645338225440469i,0.0371423412235682+0.019934761529907i
-0.00830713974421649-0.00197714666349277i,-0.0147503687697934-0.0154451621895285i,0.00235508266754785+0.0249200878139227i,-0.0079064349625073-0.00557958533855047i,-0.0237433076392758+0.00495794076489799i,0.0393006020369736+0.0117637512199778i,0.0411207462944635-0.0117534848987152i
0.00227652408044805+0.000684006858684743i,0.0264331313253198+0.0313259817784605i,-0.0154902424253363-0.0311675581200103i,0.0139546731252298-0.0114452692220782i,-0.0073063192531506+0.00639039566164921i,-0.0152832000281352-0.00517589353523603i,-0.00913274110994627+0.00408000116428458i
0.0335939256366639+0.00146964961434904i,-0.0529631464994202+0.00215261055061904i,0.0115660057852246+0.00903241449318007i,0.0322530421339687+0.0128107948346889i,-0.0636128686900364-0.0165695005194344i,-0.0416677712438712-0.00246604853636509i,-0.066411009522242+0.000364444235733835i
0.0262082942385197-0.000458796379126231i,0.0111922911616166+0.00678089670904695i,-0.0647575548088394+0.00980582153761667i,-0.00323299632787264-0.0100725851667351i,0.003160538567156-0.00962724156276958i,-0.0186379287446598+0.00683566774577303i,-0.0765256743987916-0.00293067578975987i
0.0179423762182678+0.0019940563247775i,0.0232276363275262+0.0220884341304317i,0.0546097315517676+0.0148827468902809i,0.0430400406926725-0.00207550933383672i,-0.0864018322248896-0.0121005763824697i,-0.0425723133098488-0.00167688332300455i,-0.00280116909195285-0.0182831573556524i
0.0185054711808168+0.00202706380485571i,-0.0352875269277367+0.0113118656152235i,0.0139728384280383+0.00055029248085764i,-0.0467882936945924+0.00555357647572434i,-0.0303008551178947-0.0134583681483691i,-0.0161800615692293+0.000466402867272478i,0.00180000074405492+0.0065923959124268i
0.0246548419766456+0.00235676423443659i,-0.0152854730061034+0.0201502979310297i,0.00861282546089436-0.00999241550450182i,-0.0371393541053559+0.00788304518321307i,-0.0383730857504079-0.0159258539406921i,-0.0303913527467791-0.00215766641988839i,-0.0402354176941645-0.00369929583749019i
0.0302531170832766+0.0015804382433391i,-0.0586543011553071-0.0136868938757614i,0.0309933657418762+0.04072222088537i,-0.0437604319611577+0.00340407182378437i,-0.0326800537957219-0.0119638252452142i,-0.0331751113297996-0.00653808362611284i,-0.0534269475046658-0.00993243344497269i
-0.00887580571702247+0.000633512014159082i,0.00756638743288717+0.0144831491899217i,0.0261038444378334-0.0228061446454643i,0.0231148238962284+0.0135605401368012i,-0.00337861368470149-0.00651395870833011i,-0.0117008826390225-0.00431526168680042i,-0.0167362254557091-0.00123594976731717i
0.0044329001530069+0.000808642986332591i,-0.0320059601008321-0.0275630461230991i,0.0229290148207189+0.0061336751949097i,-0.0279087972927582+0.0193484467613632i,0.0129654801871642-0.00227806425792931i,-0.0177195252834218-0.00085188138275084i,0.00388924361553099-0.00240920028244903i
-0.00662516082719112-0.00393747806621572i,-0.0517738547844036-0.0441310249651159i,-0.0600030436605011-0.0118521500855328i,-0.00517827187057729+0.0101178455900873i,0.0430443622869929+0.0214932867832718i,0.0570586868150826+0.00860819916088888i,0.0198525194243052+0.015119381640504i
-0.00267585704651406-0.00208299252909057i,-0.0485194427647526-0.0295587697841593i,-0.00894984367355197-0.0194346289336592i,0.0880220079622039+0.0223941446018955i,0.00705842669703614+0.0115133618430075i,0.0115454129842147+0.000496120988501831i,-0.00996158357860347+0.0105499749748867i
-0.00595741108257617+0.000478773176675957i,0.0576269898478836+0.0337850692715965i,-0.0297268728857828-0.0159998941580093i,0.0900036923472617-0.0055663162179864i,-0.0293242475601122-0.00385724176957279i,-0.0181864798427961+0.000812657641594829i,-0.0196771969425071+0.000648256426326224i
-0.00293269765950302-0.00065003559010835i,0.0216473173989778+0.0194639939900181i,-0.0195847480114861-0.0193045760700136i,0.041399467981103-0.00614084837205215i,-0.00669150160249471+0.00419481560731254i,-0.00629779872653197-0.00247682108161079i,-0.027671641529535-0.00102130698604022i
0.00948624914219477+0.000870984036397241i,0.0257754829365879+0.00169595736704809i,0.0157703337073337+0.0381922999918915i,-0.0432455386611439-0.00830472129371025i,-0.00261792498742361-0.0100791561333411i,-0.0244540547427078-0.0022775447779588i,-0.040306382228266-0.0239597148414319i
-0.00647243700862324-0.00138573946808498i,0.052243511895965-0.0129112207068835i,0.00343568226719087+0.0337395926693031i,0.0163997659061303-0.0215866598746639i,0.00342795610624454+0.0129565186565425i,-0.0350666565231453+0.00173283107874131i,0.0165270657102021-0.0203712294279766i
-0.00225675531040356+1.28087290879478e-05i,0.0464046209467179+0.0208387078258109i,0.00482488858618589+0.0149429999431199i,-0.0292407886412931-0.022975361221115i,0.0416313195549328-0.011405634137203i,-0.000933922593463437+0.00307519732028973i,-0.0284831280547157-0.0111159399287033i
0.00444962949322715+0.00448180847960629i,0.00835373157725418+0.0528911213839315i,0.0185932931377571-0.0259806773828566i,-0.0559714500518254-0.0045187812247013i,-0.040624734209547-0.0173936144145593i,-0.0304522960148074+0.00166649027328682i,0.0236164802128015+0.00330578674835014i
0.00252803691760363-0.000405924641987496i,0.000852586120895113-0.0303561447790941i,-0.0235761318007055+0.0480553574064301i,-0.0675189191183615-0.0140029513592451i,0.0660910545143118-0.00173643269966231i,-0.0545210219320944+0.00222722575567811i,-0.0497184306459958-0.0107006183856842i
0.0284598052483382+0.00209876916706032i,-0.0118448949026236+0.0141351944931147i,0.00122351841857755+0.00431747745526681i,-0.0667715979148821-0.00340487183299631i,-0.0521017126808155-0.00852864069634588i,-0.0220089566921715+0.00293632297876087i,0.00342585940580582-0.0062064379472538i
0.00779956440619918+0.000268445568617699i,-0.04295044172721-0.00248591186843724i,0.0216442753299116+0.0107788300871486i,-0.0588997268911833+0.000556363024319845i,-0.0118646964578102-0.00142172509685024i,0.0206069185554231-0.000960327281188411i,0.00699240604297574-0.00406044524013108i
0.00990449041677049-0.00141618194612661i,-0.0342319594554411-0.0318777084311213i,-0.0188082562169952+0.0337231460202737i,-0.0492557647492948+0.00156392968971775i,-0.0298153559533907+0.0103326917018356i,0.0315442062934648+0.00545566501567856i,0.0299243899601099-0.0115974027888047i
0.0159088289957035-0.00151657174880648i,0.0205171468451923-0.0131552377607814i,-0.043665842454308+0.0104036295518593i,0.0697037317952073-0.00272545042418608i,-0.0878965683397923+0.0207379766926618i,-0.022423100553985+0.00761741581367393i,0.0533215843651511-0.005774104169741i
0.0142706059071572+4.36730975251327e-06i,-0.00538397374745763+0.0178402126609364i,-0.0485482586945887-0.0347080544164551i,0.00306234869272402-0.00187208955153012i,-0.023481806164126+0.00330150959102029i,-0.00298680593182205+0.00566899122112386i,-0.00690475686295749+0.0100929445345482i
-0.0335846265874673-0.000325822228340767i,0.0535641652493871+0.00192629914739023i,0.0621722697998695+0.00661680950032086i,0.115720898019004-0.0065953605079887i,-0.00430848602919272+0.00480851172372178i,-0.0124547676198029-0.000401396998635818i,0.0754310112462245+0.00213578651813262i
0.0183716953121108-0.00129346612578605i,-0.0301300011855153-0.0170890982787082i,-0.0365564074759934-0.00998818055654117i,-0.0194593909898989+0.0123746928030323i,-0.0621149052476932+0.0220063120319909i,0.0412286928213778-0.00108055065134497i,0.04870186032077-0.000720516161798775i
0.00769435075005866+0.0016229481281377i,-0.013754084898787+0.0214199016557463i,-0.0309885637623158-0.0441948409855243i,0.0137145875065265+0.0154451500393481i,0.0059390154679627-0.00345012456076447i,-0.0276408909150844-0.00967326061126295i,-0.0394138057871378+0.0186032188989235i
0.0188729701263272-0.00125330869791091i,-0.00585879464585751-0.0106671049467292i,0.0307044393383137+0.04127334988723i,0.0297891721523338-0.0172315176060162i,-0.0519447249246617+0.00915241526153155i,-0.0364515863906905-0.00529606619164278i,-0.0253172804627626-0.0211306510787332i
0.01296166885448+0.00132844176140153i,-0.00864085394674705+0.0330012238813589i,-0.00989019399351475-0.0449053115421915i,0.0972227293722022+0.00820193772734684i,-0.0865217481388681+6.71452440200869e-05i,-0.0383048058012499+0.00159741698950938i,0.0050804673881096+0.0117090803054713i
-0.00375795231544697+0.00211196899323986i,-0.00145559534101613+0.00953494011098669i,0.0493844089708808-0.00531832131360317i,0.0260588115317127+0.0115536676599588i,-0.00132973992162015-0.0232526830496472i,-0.00119575405242427+0.00319328544661453i,0.00719877238690202+0.00906992850023374i
0.00696695100095737+0.000978340426079622i,-0.0421520921263418+0.00126186501932813i,0.00644544171348928-0.0315159630473443i,0.0752035901800812+0.0294833726069144i,-0.0472118064931207-0.00351542361702013i,-0.014218671002475-0.000743510222995548i,-0.00153948546057499+0.0139934694188834i
-0.0016603021516451+0.00174759768911614i,0.0155183386934735+0.0277016207931193i,0.0281936592536499+0.0147863340397901i,-0.00849908744553383-0.0234150171538087i,-0.027904862391384-0.0107940457215782i,-0.013145728650574+0.00526402447486745i,0.0243299506223995-0.000947848099764346i
-0.0123174206336479-0.0042726439737154i,-0.000599753304625274-0.0328451073229204i,-0.0622827166246331+0.000674324851017669i,0.0470258647340565+0.000352947114913997i,0.0385119534638354+0.0204019951232361i,0.0561846688685325+0.00747540202810467i,0.0143875194104638+0.00921809781888458i
0.0163124042670886+0.0042028870484285i,0.00702562537886771+0.0419200036059468i,0.0147737503072868-0.0130212089074859i,-0.102136008012588-0.00682311327829148i,-0.016240603310508-0.0205370673168395i,-0.041100834539108-0.00283674250860917i,-0.0369011187493792-0.00590709064210493i
-0.00963960580221875-0.00107035326231424i,-0.0520197671290642-0.0271213879965879i,-0.00996888466983152-0.0143569717682008i,-0.0205875617915574+0.0203940385530601i,0.00987849013752438+0.00897994950663397i,0.0294807461450493+0.00320213191956137i,0.0488032437380453+0.0147910170953489i
-0.00231894439713202-0.00143754515762145i,-0.014641481327007-0.024730161210555i,0.0605135732263001+0.0411186414935662i,0.0418907938929281-0.00809908232578038i,-0.0108792735414197+0.000675125880838414i,-0.0267995171704047+0.00217274471147669i,0.00877550806318777-0.0137486276487078i
