-2.29546586573921-0.00556265004234252i,0.0307798404500893-0.00166210781639137i,-0.033434160375176+0.0110941780054873i,0.16228562775513+0.0139883653792141i,0.201386945425489+0.0271806741608337i,-0.393215654735935+0.0138446552149664i,-0.109744141162954-0.0202364993925585i
0.04644473049505+0.00031834406710042i,-0.0473807956771559-0.00215826416275642i,-0.058463438809735-0.00395145251734217i,-0.0253271589395565+0.00665584210255677i,-0.0892266180165459+0.00254451695564643i,-0.0193195545098726+0.00727605124438584i,-0.0241813445829513-0.00334364022846185i
-0.0226769344244828-0.00231590153806449i,-0.045634644204031-0.0424705086721467i,0.0491382880036177+0.028571760541269i,-0.00632102295020119+0.00271605508981042i,0.0415098006492221+0.000386115547933712i,0.0582679357088983+0.00930471556435046i,0.0558857310206538+0.0047272328790562i
0.000834295724841998-0.000641563474399626i,0.0125661056040605-0.00420632616402972i,-0.0292209745225505+0.00165099984427683i,-0.0372097963603116-0.00158109001210818i,0.0220491515573087+0.000248641474785102i,0.0147807212166513+0.00482436965218329i,-0.0140408094503255-0.00711346185600998i
0.00221373388907441-0.000436931828696115i,0.0261593785449748+0.00664391276928361i,-0.0238096211508888-0.00196428867692309i,0.0509513482450086-0.00920438183324511i,0.030745375484771-0.000412942426478027i,-0.052906001539076-0.00234725817617213i,-0.0679701229595844-0.00145220121640446i
0.0204228670605215+0.0018625135905882i,-0.0060808057358665+0.00680076502218959i,-0.049105845318744-0.0365528554829764i,0.0387425215615878+0.0126393593363846i,-0.00650314831443408-0.00510009270777807i,-0.0338068015290898-0.00118631219979637i,-0.0249623428323999+0.026666546583045i
0.000851742030243145-0.000584949681171626i,0.00535189941401908+0.00103110101294042i,-0.0433809750874756-0.0087051940887703i,-0.0116572362560826+0.00719708064625619i,0.05107950277571-0.00365476078738198i,-0.00127825026221365-0.00604797543453114i,-0.0841503030766439+0.000437785852736555i
-0.012143859348176+0.00155954577132124i,0.00967133378147656+0.0253469103956279i,-0.00532727883782046-0.038070980069938i,0.0445957553009382+0.00777307082867121i,0.0672772480857078-0.0157538280047485i,-0.0216129662136455-0.00687489692686507i,-0.0658708997277538+0.0206613363089514i
-0.00733280932244285+0.00088880403070455i,-0.0121426711835211+0.027904633397186i,-0.0342074667223515-0.0574908225863496i,0.0291371213840807+0.0104378713156208i,0.0257596579338271-0.00596770004505983i,0.0186188059243505+0.000300659432341062i,-0.0189920956704556+0.0265864949184133i
0.00339480259394682-0.000844128333434963i,0.0217978165123233-0.0021323210375079i,-0.0500527229381084-0.00709698362654064i,-0.00775901689907871+0.00444216792729404i,-0.0212525947923598+0.0124875831898971i,0.00127471226419426-0.000828858542255275i,-0.0039426233863886-0.00827653383127542i
-0.0126147994045924-0.00204219873165599i,-0.00489958932471029-0.0130003376574622i,-0.0341437736284433-0.0322980996752315i,0.0632291718646104+0.0172262721460207i,0.00860765266849138+0.0155331241800255i,-0.00369330995198887+0.00200464399927522i,0.0115606533743103+0.00492294257402708i
-0.00853446343778248-0.00184109528941911i,-0.0139069571640967-0.0369852361785985i,0.0182559931990555+0.00387665150826027i,-0.0149163083945164+0.0178978410791882i,0.0171610815225263+0.00925746155109085i,0.0353625883642703+0.00074947432662977i,0.0375547710246071-0.00301063524427405i
-0.00446758786458298+0.000333042219380779i,-0.0186500736842229-0.0178443257144596i,0.0276744050732607-0.00464581568981797i,0.0274787607798989+0.0250262482099508i,-0.038604414620978+0.00293322123685101i,-0.00132868610709024+0.000166282535464264i,0.0565251135766344+0.00383870664122251i
0.0260690372862876-0.000648741320039937i,-0.0692066937088314-0.028569723019491i,0.0232396901690829+0.0211344192196223i,0.00435597825061486+0.0109621585254803i,-0.0313295475805515-0.00377254235521724i,0.0137648312489082+0.00122650026613021i,-0.00671592476490017+0.00379281791822725i
0.0187255493691575+0.00217046466123095i,0.00885758386904254+0.0285351652542221i,0.0450918671744648+0.0122030034313142i,0.00965953802000475-0.00581357165764462i,-0.0871320136285039-0.0128879339136735i,-0.0124781492393953-0.00404471675418202i,0.00652991114507231-0.00805543546683601i
-0.00165946943387439-0.000356721780799516i,0.070566311859323+0.0204072005932461i,0.0133499202809698+0.0346211659265718i,0.00386652104054557-0.0264471563010894i,-0.030243595815393-7.928665071575e-05i,0.00264183288555797-0.00187953732068687i,-0.000175689849837934-0.0231012718120965i
0.0114416857514803-0.00100273212402888i,-0.00134167405370169-0.0176491763922905i,-0.00490106837829039+0.0286166779240171i,-0.0436976909859196-0.0202591895252637i,-0.016827692852953+0.0154384517654829i,-0.00951628595677558+0.00385211043708883i,0.0411354619055845-0.0103229187938762i
-0.0243727042208937+0.00181711671795097i,0.0469318852516316+0.0311747706475824i,0.0137016236838241-0.0338407274704128i,-0.00103661684390025+0.00666710820828453i,0.0418272672591992-0.0102414915115881i,-0.00228257028484544-0.00709407743627202i,0.00366130977961025+0.00937467853153599i
-0.0223484486706746-0.00103066709914233i,0.00140912382739571-0.0189234198342946i,0.00278665604564737-0.00361202284066335i,0.0188208660598493+0.00670808363166125i,0.0587792217732005+0.00491207409139915i,0.0176131415938958-0.00354707529208406i,0.00776429856947126+0.0115411630479892i
0.00588346698716663-0.000904461296851813i,0.0256342659712136+0.00653231573381531i,-0.0412539695441207+0.00498765175506044i,-0.06226118362854-0.0160266930901546i,-0.0261157712996927+0.0124298771158528i,0.0500964868555404+0.0115798198885404i,0.0651894846246548-0.0107080849838317i
-0.00755687253256562-0.000232498504469901i,-0.0227673461743253-0.0316999437213324i,0.0267827690913796+0.012664261372268i,0.0405928421394022+0.00923527814426578i,-0.00171844277758491+0.00909466372010847i,-0.0312600556611991-0.000304230559664877i,0.0451702427824822+0.00733874534259031i
-0.0163494679120801+0.00140847262137585i,-0.0189195868750209+0.0171862744426394i,-0.0126366789508318-0.0266286630560226i,-0.0488275027136126-0.00123162998049738i,0.0884993797827329-0.0113185541272135i,0.0338688360317423-0.00284387391098717i,-0.0172762806630715+0.0266738745346104i
0.0349221507398879-0.00137064298054073i,-0.0244047237507302-0.0229832794554473i,-0.0363947118888405+0.0514188812448599i,-0.0618073339842926-0.0144461772000138i,0.00178857338507875-0.00393638450198122i,-0.0133768254893299+0.00355590366479284i,-0.0924680788173426-0.0239440577374262i
0.00138987700752735-0.000708684520368354i,-0.0126768853734277-0.00484899045320711i,-0.0575667050230784-0.0289016789547934i,0.0461486026749677+0.0116970992896751i,0.0305044052438619+0.000158047340135414i,-0.019206407632069+0.0010508474938355i,-0.0459874026485597+0.0172375801758258i
-0.0163578291951666+0.00051310544956855i,-0.0317989789411431+0.010899752125686i,0.00383787774511785-0.044410822126591i,0.056396615921828+0.0206711093713874i,0.0466363111533858-0.0110532616559344i,0.0170306857930304-0.0028817561941294i,-0.0154838034677271+0.030591977186398i
0.00450390507641868-0.000239073015302009i,-0.00550818303637479+0.0206014510514944i,-0.00601950362503846-0.0375309272596342i,0.0354914773805573+0.00979636719967712i,-0.0140024254541298-0.00139136637398066i,0.0171552265001974-0.00198300023416105i,-0.0160944007633233+0.00589393826095793i
-0.0126257915669694+0.00358541291067525i,0.0621382079478158+0.0527557940233324i,0.0486271034866855-0.0132478570090512i,0.0598710388877091-0.0126469252417596i,-0.0154150412106982-0.0241401904018604i,-0.0401210197459441-0.00237915318477218i,0.00233868735401689+0.00759317730974482i
0.0190053807736931+0.00224824223416199i,0.0284880928735931+0.0129335641331568i,0.0411857290512092+0.0322278547797187i,-0.000330871605009345-0.0161803048184019i,-0.0186060647050674-0.0138923393117944i,-0.0665549223085302-0.00665697126851133i,-0.0631546647361555-0.019376606249027i
-0.0231861822562751+0.00197118952811183i,0.0374509737905022+0.0304574373035837i,0.0704772779766453+0.00319966782041714i,0.0239854307238807-0.00459889151341369i,-0.0297978600954289-0.0121819283578073i,-0.0164094565497659-0.00223374844296829i,0.026081804911883-0.0115201134015953i
0.0188187182157858-0.00437676294798941i,-0.0294707706097428-0.0461649857848584i,-0.0304770400134116+0.0352025145815947i,0.0105976199725131-0.00107530910853611i,-0.034176373047186+0.0245497354392323i,0.01805725886667+0.00206118899937152i,-0.0280857189129353-0.023992361374257i
0.012048191554931-0.00042609910087557i,-0.0161756237249958-0.00926230458060899i,-0.0283776027698023+0.0035025455283711i,-0.0643550723743316+0.00705511593286676i,-0.00282427647181578-9.95971581121884e-05i,0.0322084293257235+0.00357746832198278i,-0.0101104980809648-0.00507589447666172i
-0.0162920641154171-0.00336938781318397i,0.0324075038489068-0.0266086152154513i,-0.00766391170592786+0.0369419955871424i,0.0337832585449661-0.0162802921422427i,0.038843050707666+0.0220535738822809i,-0.0372402479857445-0.0104135465265937i,-0.0633269889005728-0.0263947874324575i
-0.00118817365645569+0.00241437348688428i,0.0309103091136649+0.0469448040915444i,-0.000207581260532808-0.043479579347845i,-0.00628376627837461-0.00265040271112345i,-0.0393309534304489-0.00589502109535851i,0.0126989539459027+0.00304112029207613i,0.0489878586730794+0.00969992646392616i
0.0145766023625301-0.000484237491504848i,-0.0238640877895733-0.0139661673876347i,-0.0195937208593642+0.0268205878714758i,-0.0562158761247931-0.0126123273067959i,-0.00015390019278108+0.000743006191131272i,0.00789070530425839+0.00822528992635178i,-0.00488350571869535-0.00892642481929849i
-0.00426683521411473-0.000935511298241835i,0.0470375066824663+0.00231420486876854i,-0.0112871109208496-0.0240604032422258i,0.110670540155598+0.00818838044987858i,-0.0368895992517068+0.0136185082739135i,-0.0246316280079099-0.00151029648145425i,0.0150387465720196-0.0028832293672976i
-0.00588438080215887+0.000309274352133324i,-0.0105280768219923+0.0133077487462921i,-0.0295832899250399-0.0218949743880904i,0.0150183526369276+0.00239724862117193i,0.00704198940735388-0.00534442025972217i,0.00203396348445322+0.00502026005186398i,0.00294945894537936+0.0182715152076748i
0.0135637663572613-0.000472743741926081i,-0.0232217629091514-0.0147540967270928i,-0.00753490085497508+0.0104215309481711i,0.000255140825423762+0.00742336980417448i,-0.0291171243579356+0.000859368264509468i,0.00344358550120771+0.00324844010801756i,0.011224661181189+0.000868846465593667i
0.0186830530398845-0.00149074399280692i,0.00441985890194721-0.0237614050969412i,0.0290988011337508+0.0623466768113263i,0.0193407982687203-0.0182704620104604i,-0.0212322509182457+0.00247345274338218i,-0.0265474673257605-0.00109036363241701i,-0.0292926341835029-0.0249767429356701i
-0.0241173518166669-0.00357124960104542i,0.0545449231457874-0.0241507929261072i,-0.0290362085584181+0.0175232858421026i,-0.000948587640244111-0.00768187252778825i,0.0775410955479769+0.016720094868941i,0.00757915955278514-0.00162607814212522i,-0.0271557834973981-0.0177984908253907i
0.00369621878267054+0.000937726561038559i,0.0515031019616239+0.0225850277843335i,0.028626523466654+0.0114053504520243i,0.0197278640398754-0.016827528105288i,-0.0581183206735081-0.000365075445328657i,-0.00842535504368197+0.00331001696748683i,0.0457963006037306-0.0132006849506345i
-0.00726664032341197-0.00150272520965466i,0.0197142502530273+0.0100024301714068i,-0.041425055725203+0.00428594605860836i,-0.0257042044792661-0.0223611896160577i,0.0163561450078242+0.00578751107678002i,0.0370940609309901+0.00618852080203026i,0.0220691314429175+0.00632019870574559i
0.0254905855591663-0.00172395831080912i,-0.0604267645337279-0.0360928612215475i,-0.00963914527400641+0.0462844351007656i,-0.0405621763099814+0.00403483035113304i,-0.0398433966693872-0.000179781090974795i,0.0368515382740652+0.00579203728093987i,-0.00654122174596426-0.0105630015310911i
0.0131593028818939-0.000252696050240691i,-0.0423365402643145-0.0265448268441356i,0.0383193841291274+0.0570657806250649i,0.0119884166235242-0.00112579601557996i,-0.0257635639888448-0.0112159011198258i,-0.00878595263460517+0.00144580994650923i,-0.0252887995480505-0.0083546542471671i
0.0100688674945476-0.000266340653885873i,-0.0621606731669649-0.0373104888392587i,-0.00214838177589264+0.00489565946709851i,0.00392109485224254+0.0148519421841324i,-0.0203986248777762+0.00723188945192965i,0.00328395952614426+0.00765718323356733i,0.0554576671387982+0.0140307387563955i
-0.00487084507993468+0.0017492466303911i,-0.0210904800277655+0.0214932163370889i,0.0488636952202709-0.00256928441612684i,0.016719608847069+0.00203455884379026i,-0.00124693358876418-0.0199284654333016i,0.00157790805161469-0.00186836531731652i,-0.00915196470846208+0.00731564097945759i
0.0235199789458296+0.00182508361159619i,-0.0696428336239683+0.0100148903076291i,-0.00421424143944087-0.0189443465690285i,-0.0658658833232204+0.0120750747988043i,-0.00643288828293685-0.0227779306485285i,0.0319557743669263+0.0091450108663617i,-0.0153026137586891+0.01622654831769i
-0.0150985991239069+0.00252423445884752i,0.0541344282988942+0.0406733544334255i,0.0437411402851883-0.000177885354426974i,-0.0247879104673995-0.0163070532571471i,0.00967851845285151-0.0195543847507919i,-0.0076147043938394+0.000820675239834152i,0.0066906044758926-0.00642174317201683i
0.01275772848001+0.00035551982902809i,0.0376840972646472-0.00667506347488788i,0.00942892881069107+0.0465457912034757i,-0.109582154564514-0.0178193229307972i,-0.0033809376723068-0.000121001838752363i,0.0151150227728762+0.00108473731970805i,0.0199067118817882-0.0272607893354259i
0.000922755917532023-0.00512109521345843i,0.00275617206067051-0.0556513964210047i,-0.0486582734757765+0.0267931464921242i,0.04756918634782+0.0173163859995593i,0.00308763771726332+0.022032068024132i,0.0430333706207023-0.00339716262328121i,-0.046129693173963-0.0156017768770224i
0.00599917446519429-0.00342878386466869i,-0.0146759675320213-0.0620468995500386i,0.0841138854854627+0.095779599304376i,0.0627542027996095-0.00987473803484269i,-0.0346165237313387+0.0136667294157943i,-0.00666349878270206-0.00574058101881015i,-0.00635813305748643-0.0381243867922782i
-0.00174399444223674-0.0027595921024028i,0.0470461593486359-0.00495609518370352i,-0.0581658533633525+0.00916775452753511i,-0.00151597039703559-0.0182285768186768i,0.0321634983796569+0.0184284567480519i,-0.00559924314568-0.00342195916691494i,-0.0441838608791-0.0139786574270799i
0.0282577365539204+0.00261336016107344i,-0.0452259487317738+0.0130486659894963i,0.0133229442973952-0.0078381376468033i,-0.0320176048452659+0.00933248340467954i,-0.0390454215649262-0.0172735157954456i,-0.0214520371048175-0.00184710816004545i,-0.0257370410879093+0.0106907469250532i
-0.0215253469717172-0.00235406014074863i,-0.00344643456219495-0.0421096910780221i,0.0195904540521003+0.0464741924912744i,0.0442274742176234-0.00172749806857791i,0.0432399123152101+0.0028134834956628i,0.000565630170300521+0.00192570272832711i,0.00310002182719509-0.00319153280069986i
-0.0166524301261496+0.0030355549176683i,-0.0105077684197825+0.0255805600995532i,0.054477192829503-0.0249534210271312i,0.0830769069010594+0.0155615803773121i,0.0130614482798629-0.0236502776181632i,-0.0263544425700655-0.00921575661416062i,-0.0248258068544282+0.0229455436079604i
0.0357181522339834+0.00300447527677376i,-0.0349113586550261+0.0168964512605505i,-0.00707295035235058-0.0166390199722771i,-0.075815801561943+0.00598253932450129i,-0.0590225102079185-0.00739319403992591i,-0.0180597669442989+0.0050789990726241i,0.021741517699083-0.000496535901612854i
0.00509379357906759+0.00213934283294613i,-0.0237842237558514+0.0248484748404428i,-0.00213436408122516-0.0393613458851679i,0.0597752077004569+0.0151927636124557i,-0.0392051404722959-0.0111773508636448i,-0.0153177561001105+0.00158138454409299i,0.00644363989681817+0.0235289101663636i
0.00701051644021304-3.92100945171773e-05i,-0.0287099023484258-0.00076666258626094i,-0.0271062531376481-0.0019498372953437i,-0.0300877646930803-0.00265895518498059i,0.016788726995622-0.00593858157258313i,0.0164223429803127+0.00709157172303678i,-0.0135210941192702+0.0093558690591289i
-0.0101215038317202+0.000809269937324505i,0.0061947908137835-0.00750218411165876i,0.0110974438204524-0.00460407080835134i,-0.0137312566853143+0.0103377187078503i,0.0227563711986386-0.00321545177272109i,-0.0174374072314216-0.000840668241367263i,0.00345528347263374-1.77351931297839e-05i
0.0129259897728502+0.0014286083743482i,-0.0175085201703064-0.00523328987572098i,0.0465816159531373+0.0265972439595457i,-0.0173830190169119+0.00454162520560809i,-0.0423824664263683-0.00705213952453434i,-0.0199535405563716-0.00320745250777285i,0.00511334399336426-0.0132326541981539i
-0.0139692966540891+0.00334237807098575i,0.0181326420023562+0.0414320219156988i,0.021800886098654-0.0545320088105668i,0.0180468406974958+0.00646936347804245i,-0.0328784329923038-0.0066288208283923i,-0.0179216654588113+0.00200166668439198i,0.0657240162102599+0.0184813183734258i
0.00166380364816991+0.00369295853781424i,-0.0167615202713662+0.0317107687402796i,0.0347730580910304-0.00321006744231581i,-0.0189201310514734-0.00188057931353832i,-0.0240009677019272-0.0277486036202233i,-2.38378876938274e-05+0.00894103218632957i,0.0182204393963103+0.0107080934471839i
0.0164370914201515+0.000213516984295418i,-0.00775046662101754+5.32992376176696e-05i,0.0296733909742119+0.0234063460807629i,0.0140167483557122-0.0054261853909345i,-0.0638746562627543+0.00239134371076579i,-0.0351959876065972-0.00455582033005887i,-0.0159040473936248-0.0182943272370736i
0.0299286689388636+0.000470400020110424i,0.036145840199962+0.0265326929508006i,-0.0593192675865759-0.00607278043705963i,-0.0606212540605061-0.0187232492322063i,-0.0192833525095056+0.01064128537764i,-0.0403752639445446-0.00750286000119606i,-0.0812518338301329-0.0254383920040209i
-0.0452375514906847+0.00379006083712277i,0.0721708842149118+0.0513370961149734i,0.0354243586169082-0.0387843847462691i,-0.0746565601928528-0.0113152706206083i,0.0681479574482103-0.013787071842272i,0.0183497444766172+0.00238420374177893i,0.10149432741148+0.0165263412439812i
-0.00674299293027883+0.00471457600019602i,-0.00584387166025377+0.049606741903244i,0.0694410234780478-0.0355089687658334i,-0.0507634891759453+0.00999286149595231i,-0.0211211891348014-0.0300106105119875i,0.0451175323258673-0.000955355451970687i,0.0522285955293834+0.0203819223989643i
0.017015985503313+0.0024821949520678i,-0.00186169123525902+0.0344973465337765i,0.00132426905694026-0.0412302001758838i,0.0142933732490465+0.0102517255540314i,-0.0386129272401566-0.00856576571410738i,-0.0500271682527755-0.0055049240138422i,-0.0295886185070131+0.00463675000265479i
-0.0133907296779459+0.00131041673673957i,0.0312917299072062+0.031390147159692i,0.019285659226772-0.0110378981609569i,-0.0234161558776771-0.00837199807632474i,0.0399666945164683-0.0156202699537425i,0.00705916007458804-0.00277696594299787i,-0.0203762603710681+0.00119717721315659i
0.0145482041282847-0.00404640340211953i,-0.0532870860040602-0.0740944951964249i,-0.03387327021618+0.00338299812908603i,0.0601550718394773+0.0270127225879592i,-0.0183682349580197+0.0391129410587355i,-0.00204196722725561-0.00509779954076088i,0.0175371681050045-0.00100411588640821i
0.0100723980021934+0.00278643946013927i,-0.0207735303887404+0.0372032127700431i,-0.000570047162696187-0.0242090866765483i,0.0160551034982718+0.00668518583358497i,-0.0518122245578261-0.0131000655960312i,-0.0118896775067278-0.00569489085770858i,-0.0362825408954221+0.00944902744599659i
-0.0137721647517959-0.0022743818857154i,-0.00513005477074649-0.0309349292706251i,-0.038393948579199-0.0123960684129785i,0.0436835034678284+0.00353515671536221i,0.0515252404575869+0.0211784144004162i,-0.0184324898696912+0.00237148341476443i,0.0220637177279987+0.0131193917771557i
-0.0150009902879309-0.00224869882513266i,0.0465102086143642-0.02910579851101i,0.0676981053460876+0.0772936255551277i,-0.0168734450637769-0.0207790916531802i,0.00389342121010724+0.00816030396386742i,0.00393568057761427-0.00453988818230746i,0.00355913957979812-0.0442851661529487i
0.00692023751342016-0.000642736711524392i,0.0128086311282855-0.0215762558553466i,0.0217689572986914+0.0400772931602397i,0.0194463959182391+0.0063688720869279i,-0.0335184838292057-0.00282023226044663i,-0.000477051492458715+0.00118450450118694i,0.000555955107337792-0.0164673006490525i
0.00110892799716737+0.00124298337938289i,-0.00241375030861769+0.0152752974313515i,0.027174202348777-0.0104959361521171i,-0.0335652845501696+0.00675770273125125i,-0.00690284669464207-0.0110399505654238i,0.0327539399480801+0.00117668036812531i,0.0259705870143464+0.00279946754525642i
0.0210580708064449+0.00254500757413738i,-0.0471075623089255+0.0112991832673558i,-0.00506116591285758-0.024308800638998i,-0.0633097954315579+0.0149094462188016i,-0.0198964787301259-0.0123393138264237i,-0.00520890691436347+0.00342463835336749i,0.00606554881645223+0.0134788208675242i
-0.0171321150923947-0.00392628904161946i,-0.02352035656967-0.0334257760389544i,-0.0284780542054265-0.0265920987412i,0.0590073623822974+0.0138290110769377i,0.0279648614152525+0.0296364533865548i,0.0402555729244073-0.00236248706370887i,0.044101614192473+0.0189920237995705i
-0.0141738254925882-0.00530361122005476i,-0.00673327162443846-0.0352247670013005i,-0.0481343744164947+0.0225854347672963i,0.0754477690033108-0.00486306482462137i,0.0281090377733052+0.0209930402564323i,0.0506429314251059+0.000877274230623377i,-0.0167740219256465+0.00265670528059903i
-0.0273935871754775-0.00130065974555799i,0.0561840285707133+0.00363896330296481i,-0.00443419890249212-0.00269130055995451i,-0.00775230940241203-0.0135560298003471i,0.0725105137312101+0.00876828038847355i,-0.015940128836058-0.00413376248700403i,-0.0159621000903032-0.00917382832636467i
-0.0163405768175287-0.00228585638878507i,0.0231690980245038-0.00892412756763126i,-0.0218997913389112+0.00339418772398805i,0.0103550030452663-0.00207406062827868i,-0.00320264694723217+0.0105588912252258i,0.057753255544075+0.00489818638215756i,0.0288884565307527-0.00482822612162985i
0.0107566965724164-0.00226796652394499i,-0.00448936538695772-0.0123971513482465i,-0.00103727772231514+0.035039469289969i,0.0362315581711341-0.00899801239965792i,-0.0903953294116282+0.0163852058404225i,0.0248415814113103-0.00219809325268716i,0.0230109890581499-0.017346196274795i
0.000287275300479957-0.00117830018709251i,-0.0130984873275802-0.00191905879163103i,-0.0652343271137435-0.0353671953571888i,-0.00225900958263165+0.000324866347675883i,0.032148148997444+0.0139075513163521i,0.0209896996667292+0.00363814571147757i,0.0137789067826417+0.0225301970081756i
0.0393070189449177-0.000684229920235129i,-0.0239923320154647-0.0213301420555697i,-0.0266339724469266+0.030128321450311i,-0.0440202484137953-0.000502458408595257i,-0.0554166715080869+0.00577188296440353i,-0.0233059354492396+0.00630066665734565i,-0.0213965777352569-0.021792052492662i
