-3.40815116244329-0.00369374890421368i,0.25987312318262+0.0633525364836051i,0.350905566540424+0.0421121306261578i,0.102261180293944-0.0112194647161561i,-0.309780270206076-0.0344945762337895i,-0.00434525812973222+0.0101650615385094i,0.0285452800618273-0.0112456904815982i
0.0977439332615716-0.000175478537890716i,-0.0402399077548337-0.0104229472269804i,-0.0513022581199288+0.00218354499167307i,-0.0219954462359079+0.00711546826952645i,-0.0371297549478899+0.00913540061175065i,-0.0392340218744462-0.0047155504767128i,-0.0267729905585174-0.00385921835514351i
0.0892774648854225+0.00203442804660426i,0.0158709145418609-0.0154635091892189i,0.0289951604920547+0.046785688250924i,-0.0153806927204852-0.0213513608293759i,-0.023908554032918-0.00900567620499593i,-0.0234332329196482+0.00594763708572086i,-0.0181254017924078-0.0106579531586066i
-0.0588201928094862-0.000870621834482473i,-0.0361394167863279+0.0255287584134069i,-0.0524534345030728-0.0154033830671553i,-0.0483946480281143+0.00456383197019819i,-0.0471711979109147+0.0040137961214869i,0.0309738433017818-0.00402046469458893i,-0.0646064454606465-0.0103807773364313i
-0.0190462988466619-0.00184230779610589i,-0.000285595309732267+0.0127688738562396i,-0.0196259364694849-0.0303667492128179i,0.00373956900694678-0.00360911191741347i,0.0264180044008413+0.013922501138085i,0.00411958960873135+0.00462220314382356i,0.0459822494786643+0.0159006634250077i
-0.0207699142976005-0.00104978136715474i,0.00588887842295129+0.00856860346361025i,0.0230379515074285-0.0267547639052727i,0.00891098956021315+0.019391343539664i,0.0114876577208464-0.00518150123561375i,0.0213776204063526+0.00545008516368748i,0.00742645059378594+0.010320987938959i
-0.0773296070748955+0.000250072886403856i,0.0111756222363029-0.00951502791728355i,0.0158478325044349-0.0175427446473895i,0.0211214315444235+0.011042326962217i,0.0750009968008468-0.0170043519683198i,-0.02777854339196+0.00553048859943721i,0.0144531417516661+0.0228422997068645i
-0.00700964501971392-0.00241421904370393i,-0.0121614742083986-0.0116377329491073i,0.0204060231736863-0.0298219369778397i,-0.0156539543475504+0.024086753338327i,0.0488043691214233+0.0118348221074968i,0.00934240452276193+0.00449180373103591i,0.0572626273078217+0.0196560843703824i
0.0281835836572099-0.000165048917575531i,0.0227990210780637-0.0110511827540918i,0.0140051816402214+0.0127396222378806i,0.000838014444040578+0.00228230993663881i,0.0199760873788019+0.00551014353738496i,0.00459506136066388-0.00251660868754273i,0.0281574660736508-0.00523383349025577i
0.0281701035245777+0.00335045266774805i,-0.0391646286605275+0.0106102208706032i,0.00626062820958779-0.00492063238337994i,0.025353485993534-0.0102486080180053i,0.0074441314318151-0.0170821131444262i,0.0107813327787014+0.00102699201584624i,-0.0689012042176838+0.000290128382185108i
0.0342237141966392-0.000656648414498221i,0.0529379183568167+0.0166750591745081i,0.0592375723132246-0.00118315449857236i,0.0318312043446536-0.00930259577669779i,0.00873374017845155+0.0106591083495219i,0.0142773044730295-0.00198747370505i,0.0748342203503741-0.0101003188265849i
-0.000894382232858516-0.0015600346523617i,0.0040071115368524-0.00263869315847473i,-0.0759729203993538+0.00566522814435698i,-0.0392335577615532+0.00200655098687943i,-0.0225903729484482+0.00544083089282609i,-0.0171254316062714-0.00129356931289834i,-0.0263603798094346-0.00400537640640608i
0.0100601095290111+0.000293435291038259i,-0.00674516505146241-0.000347523289446902i,-0.0108329140332591+0.0135778432394966i,0.00235609809719631-0.0153204168737599i,-0.0389409979569277+0.0123732066754609i,0.00473420883712427-0.00495480707108322i,0.0171702867682401-0.0112081218925153i
-0.00338186742777528-0.00028863510897859i,0.0125321795514355+0.0100648943887856i,-0.00103062183850232-0.00611149626070327i,0.0228547568972595+0.00647999183909971i,0.00846511618307976+0.00379680128893596i,-0.00218105586682459-0.00620726056122565i,-0.00430137802775606-0.00851715031109i
0.0245439705799388-0.00157489521887722i,-0.0153588995977227+0.00816030207568909i,0.0267978130781185-0.0315539086247826i,0.00997664211432943+0.0146775030568281i,0.025190881946642+0.0109943837283246i,-0.0157797981188637+0.00186625076276541i,0.0408202108767387+0.00968507771968472i
0.0187595257490692+0.00193850867544215i,-0.00367642840639693+0.00350902005861114i,0.0176460275360791+0.0254841531373234i,0.0152723501788612-0.0178441801858683i,-0.0355271397429639-0.00524279379876049i,-0.0182798119127969-0.00333313859997815i,-0.0293126276706263-0.0163606708398073i
