-3.40815116244329-0.00369374890421368i,0.25987312318262+0.0633525364836051i,0.350905566540424+0.0421121306261578i,0.102261180293944-0.0112194647161561i,-0.309780270206076-0.0344945762337895i,-0.00434525812973222+0.0101650615385094i,0.0285452800618273-0.0112456904815982i
-0.0319436121118474+0.00125919520701579i,-0.0146376792340633-0.0227106853770836i,-0.0260402519191019+0.0107296349297094i,0.00334305607322806-0.00605224123435616i,0.0220997362653835-0.00717041316610793i,0.0456540764539731-0.00229339837417372i,-0.00402380007523187+0.0104207350538668i
-0.00381151684035456+0.000141858636325973i,-0.00879535759901966-0.0110468167028863i,0.00468523750729354+0.0156245747751223i,-0.00423056709776545-0.0186148533956947i,0.0253085807236136+0.0116590155808803i,0.0454881173050129+0.00122930906293308i,0.00297263048277319+0.000953253701350484i
0.0132229296278623+0.000225553741482337i,-0.0137690520068278-0.0124753912572718i,-0.00617285831999711+0.00542950096334591i,0.00213974982285986-0.00755547449715844i,0.0123173012862737-0.000941475584509922i,0.0148156332395876+0.0053657010026292i,-0.0170463130205992+0.00828532972730511i
0.0249904880735396-0.000650009574998715i,0.0216436357069718+0.00262949931909655i,0.0247984341179043-0.00381737489807744i,0.0283422438049361-0.00579371395172779i,0.00466200939781879+0.00513774854372166i,-0.0167916395566921+0.00287852954164442i,0.0375715385927365+0.00275858129987413i
0.001965212234082+0.00155570313907163i,-0.0383922466546434-0.00863308239619187i,-0.0195004900988995+0.00681731719867397i,-0.0150962453974268+0.00425129361543016i,-0.0197061010699555-0.0124536262958343i,-0.0500379321344992-0.00173893315158714i,-0.0525523116284551-0.000498078369719553i
0.00730036304660265+0.000667303942248013i,-0.0376293678113866-0.0195790529660436i,-0.00814330558173621+0.0201533151599344i,-0.0277932335409024+0.0177091306582129i,-0.0509322708795547-0.00464798564164233i,0.000383599814303693-0.00284252406113957i,-0.0568727999992018-0.0112539272805527i
-0.025812529874876+0.00228669490127563i,-0.00814932521484749+0.0037986662861851i,-0.0210668440402662+0.0137074321463345i,-0.0151078072270848-0.01198661569323i,0.000437763240349661-0.0134348577481448i,-0.0343413148171861-0.00658257781843591i,-0.0382179442049273-0.00733626751397095i
-0.0066219173533345+0.00100149386809899i,-0.0290398765827504-0.00468667928920974i,-0.0127835270186205+0.0167286638052212i,-0.0378321495385902-0.00538064950233392i,-0.0353951654014675+0.0017089264561945i,0.0117890426281706-0.00369309455778938i,-0.0334643961200151-0.00992791213653459i
-0.00645220283316041+0.000586357763198843i,-0.000735553885686699-0.0119860111913806i,0.0350454252191581+0.00484726659039897i,-0.00104320486587232+0.015553978721837i,0.00653078269940257-0.0117857845564907i,0.0467140921968895+0.00414727716985847i,-0.010011323529722+0.00218127715929836i
0.0201461615989522+0.000485935652055969i,-0.0200912915460742-0.0290736225383601i,0.0112646934287242+0.0165964624066572i,-0.000607372459115226+0.0206031946312633i,-0.0366751419065645-0.00462023574926505i,-0.0542192573170353-0.00114283984933458i,-0.00710323286445257-0.00513342549308593i
0.0269687658500336+0.000538055971862225i,0.0390988791199111-0.0166028867896755i,0.0429378803924643+0.0259864073458552i,0.0356478828043649-0.0198468879751144i,0.0277555597891053+0.0102126855427051i,0.01071504300325-0.00315658700753664i,0.0695021012876005-0.0049630783191717i
0.0189345789903928-0.0007002701197794i,0.010154304385574+0.00195088730564525i,0.0134160680548499+0.00689085732911044i,-0.0446981656032844+0.00212999410458941i,0.00908978532896739-0.00159454821251322i,-0.0139738719972132+0.00751314544023719i,-0.01980457339661-0.00154303893624351i
0.0194314958194435+0.00185049768248976i,0.0205971898089705+0.00737956777703056i,0.0431489562400953+0.010115536511525i,0.0359296629779738-0.0235676316591436i,0.0304678880301047+0.00403936071389239i,0.00422794037814005-0.00697138848084849i,0.0532476396565366-0.00729341590256644i
-0.000569384579683079-0.00146578014493082i,0.00328136564819673+0.0203781423402339i,0.0196800687266149-0.0156498746553356i,0.0119989642074569-0.00353814408124086i,0.00369238636760329+0.00549317490402591i,0.0256100759892842+0.00726879812658692i,-0.0114139439614674+0.00221357873871972i
-0.0119022877838242+0.000677965611927864i,-0.0170434949415932-0.0138970529939253i,0.0189799874188413-0.0080561535461224i,0.0194432711991034-0.000882409805209467i,0.0332815404634023+0.000635248371319i,0.0146130016122043-0.00026910649227522i,0.0430917001947873+0.0141338214425588i
-0.0240657547223166-0.000854552173904019i,0.00386588831092553+0.00561001583620388i,-0.0370697606161156+0.000195383288741498i,-0.0251242216939418+0.00417542587834488i,-0.0108323561293918+0.00495053338673347i,0.03368843965728-0.00423981542828621i,-0.0162437175899869-0.00736097206318314i
-0.00386747339161651-0.000102929447528926i,0.00632350672535364-0.00471100917431373i,0.0460630463842544-0.00322775657338141i,0.0232291554317607+0.0168959817074296i,-0.0128738679167945-0.00587577454915911i,0.0121534291396238+0.00270026036746133i,0.0111886509167523-0.00111416758983406i
0.00434689830972662+0.00209569099802585i,0.00287269272199886-0.0240123629891715i,-0.0073679878663623+0.0386895752503431i,-0.000883416154300849-0.00734563929117137i,0.00113017505582412-0.00662122425116962i,-0.010696915444688-0.00601423202879772i,-0.0269068489935449-0.0114893653139538i
-0.0159090162558909-0.001661344295368i,-0.0320796192559577-0.00894743352572735i,-0.006022784998243-0.00941587939238441i,-0.030354069695009+0.00949635122880441i,-0.00414920880435027+0.0110070467458351i,-0.0224799685861447+0.00663503295191641i,-0.0106739674354684+0.00983379187037666i
0.0224807956465345-0.00191775870052348i,0.07485543553486+0.0218284694204121i,0.0118229657692193+0.00393315414132822i,0.0032043497058437-0.00600733346254458i,-0.0149183410316377+0.00476665940371802i,-0.0242004292357242+0.000325770720834323i,0.0525512622052171-0.0111853667960273i
-0.0342301630510607-0.00178283761350605i,-0.0193696669003456+0.00533066893493704i,-0.0440444305729884-0.00314872474305926i,-0.0400236025233975-0.000372748556345811i,-0.0272787059314644+0.0160305433153914i,0.0323486649817042-0.00213150695377553i,-0.00777346922072699-0.00358049626005608i
-0.0225560423916419+0.000673203385185316i,-0.032129172172622+0.00134314996112688i,0.00215624951493582-0.0188961305426565i,-0.00812762258575776+0.018976147201047i,7.07136886821825e-05-0.0159120586228577i,-0.0215699536993183+0.000285650195403687i,-0.0187796376525989+0.00802516243968834i
0.00766864567138855-3.62510193874263e-05i,0.0465795725312674+0.00513035598236051i,-0.00421337651367097+0.0163765426919096i,0.034445438257103-0.00599781488931587i,0.00795284939889035+0.00597685562548392i,0.0487536023166671-0.0125046872886294i,0.0210016204632329-0.0179609867128464i
0.0171468114939801-0.00101308010267799i,-0.0086957289721808+0.0180109242588427i,-0.0390631845069811-0.00721800288991117i,-0.0308141143697342+0.00446853526914244i,-0.0661123626710669+0.00408728713251802i,-0.0361466632753882-0.00325520434079844i,-0.0202204580524169-0.0113629196092051i
0.0182940203736686+0.000594666816285819i,0.00067820645051827-0.00134541451090627i,0.0159205251888154-0.00355625350277882i,0.0118439228802209-0.000742008244120045i,0.00848697944527314-0.00907641579854827i,-0.00729510912925444+0.00559761747633975i,-0.0040975139632417+0.00892072382838123i
0.0230807771071268-0.00146195310129622i,0.0338781253035667-0.00925880260247383i,0.0288113607563037-0.00674305120504448i,0.0518025340262947+0.00481805226034366i,0.0248607269230276+0.00794657965023584i,-0.00666954175138275+0.00414488528691212i,0.0624250206149785+0.00772684589554313i
0.00992901412485098-0.00204735167748317i,0.0213099395618288+0.00124957575683671i,0.0454846249854934-0.0361096361684855i,0.0460156236817432+0.0388774890518497i,0.0332355234152795-0.00533563667055154i,-0.00145725740482966+0.00290722884367741i,0.0370605171122148+0.0112777971991552i
0.0216781774473606-0.00195701958654587i,0.0569343709347639+0.0117157992638715i,0.0078721881665832-0.0115309786327133i,0.0067158545751195+0.0232897141591941i,-0.00479526190685833-0.00284401501821464i,-0.00353890568590514-0.00252089081210808i,0.0275061722289059-0.00751496835236945i
0.0044111694123178+0.000593458576133834i,0.0252916385113327-0.0231618350278377i,0.033993926106366+0.030688083459624i,0.0165960178158215-0.0205804778995027i,0.0628000795847605+0.014383319813418i,0.0305699483053955-0.00165510449443613i,0.0426114067640581-0.00298451609901987i
0.000547731521972326+0.00123294143071669i,-4.54124445750824e-05+0.0188257721883197i,0.0258998900392898-0.000702710033563579i,-0.0399108365066666-0.00639290142069929i,-0.0159915175853679-0.0168423004516036i,-0.0047062889697436+0.00779345784147293i,-0.0399805902690811-0.0019164382050495i
0.0227009617766507+0.000657294006288564i,-0.00424201110878205+0.0139350412170981i,0.00461980310047927-0.000125781531503355i,0.00812408107792254-0.00618305542697543i,-0.0266423807191637+0.000578377803379363i,-0.0152405345712754-0.00417077642886603i,-0.00804391262681931-0.0102640046667407i
-0.00626884949474115+0.000332900170345614i,-0.0188000546838446-0.0204581448251141i,-0.0159257530800057+0.0181538900348682i,-0.028235399960482-0.00587116665138818i,-0.00609492531107267+0.00497198300544351i,0.0248152317305757+0.000784319164331291i,-0.0015278320441002+0.000939838782665696i
-0.0208266254540145-0.000141516591732482i,-0.00137522825100297-0.00492537223636275i,-0.00193519936212117+0.00500626463673317i,-0.0185523651609016-0.0191074248124134i,0.0134055349312031+0.00588747260171971i,0.0244239743605284+0.00704211844405715i,0.0140521919254335+0.0104994267481785i
-0.0297375732468198-0.000858769615936327i,-0.0285698106174068+0.0234400439528485i,-0.0449526187593747-0.045683880101107i,0.00638832242109801+0.00648552748505293i,0.0226247621551787-0.000427369219682841i,0.0119956864676392+0.00384745862000732i,-0.0363024801336708+0.0183400462839934i
-0.0286533465026441-0.000662319322822897i,-0.00795000441723549+0.0061863479503635i,-0.0324505604169057-0.00734925532829093i,-0.0416546055445984+0.0124298176290951i,-0.0118770105852451-0.000918253396068255i,-0.00615500948893645-0.00304881490813056i,-0.0264785227947434-0.00226891984937711i
-0.0200065184655662+0.00120874513140653i,-0.00417798728752176+0.011178549388277i,-0.0105202613795509+0.00606183048583639i,-0.00672532135027208-0.0164111449223999i,0.00860914839555875+0.00332119457536732i,0.0136481577079861-0.00610150702725499i,-0.0120991355438142-0.00789965804861407i
0.0207194905029845+0.000850140822052879i,0.0112086062654798+0.0280211770232057i,-0.0272150814266529+0.00200877278041391i,-0.0170165238353578-0.00923164330225875i,-0.0392059326979239-0.010250045628086i,-0.0511747566085596-0.00187799873157197i,-0.0427820372934408-0.0137507444259213i
0.0163393214896408+0.000147138745392561i,0.0118421659288808+0.0139456320024413i,0.00592690256595405-0.00862452566725178i,0.0228890766325178+0.0131598800158979i,-0.0351960176210381-0.00686024038323545i,-0.0561676702299673-0.00576714242106677i,-0.00246799088923884-0.0101152562855267i
-0.0212647680229409-0.00125863293088465i,0.029564533693286-0.00612596892492205i,0.0223200196521081+0.00633043434203309i,0.0126509742985189+0.00709666204288327i,0.0261883403945221+0.00786836208034356i,0.0253156901630987-0.0016896157954249i,0.020986429613033-0.00474581757625043i
-0.000653346020582177+0.00109846131103399i,-0.0188265090986544-0.0206850708256278i,-0.00351585698640938+0.0235269387897516i,-0.00379512906216314+0.00940919982852896i,-0.0159182512115984-0.000322477662435003i,-0.0118447784780294-0.00440373705723335i,-0.0412652317372756-0.0125633078707544i
-0.0102845994539394+0.000357271673678931i,0.0233648549677028+0.0111353964998596i,0.00788683975706302-0.000122275968705968i,-0.0106848765526155-0.00906201705880615i,0.0492102754280707-0.00139645583981181i,-0.0126061578250542-0.00145103054036124i,0.00923621801656341-0.00108294408317244i
-0.0229753325129766+0.00096258519245809i,-0.0370680570283358+0.00853211592636825i,-0.0184955505017342-0.0183974361053932i,0.0177565867700987-0.00987137295731474i,0.00438783333176012-0.00429336255612952i,0.0213032390995915+0.00175901112770455i,-0.0206827119480788+0.0128399816042152i
0.0290620693989753-0.00134619098195291i,0.0171098620463135-0.0142375739579621i,0.012027219397706+0.00391187172504054i,0.0234246693911081+0.0136393123781793i,0.0118669723732292+0.00864645957779796i,0.0181739903358774+0.000650003344116581i,0.0162011552064478+0.000227499241714949i
-0.0212085540616179-0.00143748940769521i,-0.0163701344566477-0.00482169436372687i,-0.0024841000436767-0.0186586223641661i,-0.0143904233072199+0.0204334853505609i,0.00690942289068302-0.000183954617627388i,0.0116470537593273+0.00570829444027025i,-0.00832291166948777+0.0129819304518324i
-0.00470485086861411+0.00106720949931641i,-0.0147506312252523-0.0100507245940828i,0.0168620365779823-0.0118747740271465i,0.0260009462690996-0.00967712658723828i,0.0882809182389682-0.00473830306059249i,0.0516206432112018+0.00630523331914337i,0.00938887501558203+0.0235190949774087i
0.0202861646146749+0.00210449298593831i,0.0226175246073696+0.009503875695407i,0.0164973977843001+0.0171941071805446i,0.00473229276084614-0.0114901714533171i,-0.00695327086858542-0.00466903482950554i,-0.0444702302390377-0.0097771297505472i,0.00741057794377982-0.0182564137613175i
0.00134402431517262-0.00188300533184988i,0.014280705668343-0.0150963999871741i,0.00588964145958039-0.00179073800025703i,0.00437395321893671+0.00347447019636613i,0.0452697068708976+0.0193695685047252i,0.0152067695605543-0.00201797343390213i,0.0587346989028287+0.00549144795758948i
-0.00880483040515929+0.00151322865513444i,-0.0700371425347306-0.0175697243950747i,-0.0669736619378408+0.0245292622034935i,-0.0454501587536631-0.0227007059193753i,-0.0162099517587147+0.00744821441645074i,-0.0427754113932985-0.00219059056984351i,-0.0656755680451375-0.000830428847366976i
-0.011399954808471-0.000469088346834895i,0.0266377464584697+0.00352179907835527i,-0.019950663256864+0.0285657751484685i,-0.0440360843666838-0.0150380960828311i,-0.0314036306672761+0.00828129706449437i,0.0145677277280359-0.00304970807949552i,-0.00952589296587909-0.0163879697585407i
-0.0010204211674606+0.000867146187828165i,0.00167828536110297+0.00662490233122435i,0.0114514998986531-0.0148886854654358i,0.0164770358035896+0.0135689841216373i,0.023405355515546-0.014656690622042i,-0.00825621619834698-0.0010424893698043i,-0.0149033949455439+0.00382026899805117i
0.0159138384584185-0.00168772599954597i,0.0452549088852659+0.0125636237102033i,0.0384327363239492-0.0131608859497227i,0.0408721183321109+0.00262873189570708i,0.0294921960246136+0.00558933733264041i,0.0322745088738486+0.00373812025542835i,0.0392339575975077+0.00148964515361689i
0.0336049121102626-0.00115773527836832i,0.0287740978409926-0.0124275976495557i,0.0267816991030038+0.0265723571838986i,-0.00305805029521909+0.00111005643571397i,0.0049100695207772+0.017699414533587i,0.0139401322898149-0.00529945838982003i,0.0322781417414946-0.0186716745838179i
-0.0163693854076282-0.000211460607734393i,0.0324984980777134-0.000560455843739992i,0.0180907161066777-0.000302179911129866i,0.000261404662225244-0.00867752575370897i,0.0878857925055564-0.000208700273469637i,0.0638484950513251+0.00440410887809981i,0.0134442435529296+0.00948072006221683i
0.0106882458916069-0.000946383610704419i,0.0151548352235042-0.0128724657843821i,0.0366244791889849-0.0037156736421004i,0.0399673861433548+0.0100741537028357i,0.00836506296031137-0.00105733093677119i,-0.00295163269158808+0.006152477952947i,0.0248761997656764+0.0093935158158304i
0.0140018611488626+0.000168395263186108i,0.0431266399672555+0.0185831177470122i,0.0269235926869187-0.0011535941731637i,0.0375754876133466-0.0173977825672899i,0.0286643127601892+0.00278807009479088i,0.0138133852500425-0.000826131253292004i,0.0286105860778961-0.00445114986411594i
0.020415265634095-0.000848843625876755i,0.0402646487060334+0.015597741170873i,0.040307398827599-0.0211766231090776i,0.0530582108575394+0.00477827070017316i,0.01123798235442-0.00722652729140065i,0.0126874987253009+0.00336912053676088i,0.0432992725895008+0.0072426591326655i
-0.0184983629510295+0.00165465240930383i,0.0143217695502342+0.00512276999631545i,-0.0117335781346257+0.0209338512889335i,0.0103875353368955-0.021209909425097i,0.00937860285263267-0.00606585780233675i,0.00370654058926109-0.000364680765030248i,-0.0415389349013853-0.00836523279854343i
0.00233723297893147+0.000666264246015205i,0.00897948747111555+0.00191606727042557i,-0.0055576451847641+0.00824757753136183i,0.0105798638768888-0.0261982465707656i,0.0137591419249589+0.00452765345655428i,-0.0193542723495152-0.000934129543700676i,0.0270589250405575+0.00366861608912849i
0.0256578666662739+0.000377279748645143i,0.00500182400242019+0.00558849966104506i,-0.0267298716896121+0.0251322472104002i,-0.0292792377317304-0.0100036310568189i,-0.0530794744507626+0.00253901503796817i,-0.0600258622367059-0.00761553844272925i,-0.0212747544418453-0.0223522935924494i
0.00400805474827062-0.000272473797536294i,0.0104935111548635+0.0231572931418212i,-0.0410457146454731-0.00651594073407291i,-0.0218387804234542-0.0110936857568118i,-0.0223011168341197+0.00343023390176399i,-0.0182510744168552-0.00346790057709777i,-0.00425195890364977-0.00586064654416503i
-0.0229203713538745-0.00068548913356075i,-0.0129129863102722-0.000975632143362855i,0.0182683312102451+0.0110115836467223i,-0.0342330225712482+0.000160510463660868i,0.00604982391881423+0.0100959504503046i,0.0330313089306941+0.00185681615229444i,-0.020586042979162-0.00771689998250255i
-0.0100445397730379+0.00091252389614227i,0.0123072315455235-0.00164124123062583i,0.00534530385916881+0.0183118071686144i,-0.00913633567307383-0.00345485554807008i,0.0131922509062558-0.00555533772885946i,-0.000707610178363321-0.00281494606343492i,-0.0278095942254742-0.0103319731394927i
0.000590710566390067-0.000682261552285718i,-0.00744380740445494-0.00854605691861191i,0.00739464359407251-0.00862827077347733i,0.0423639133850466+0.000405563283900467i,-0.00690452672263825+0.0106255083969916i,0.0364538487242395-0.000814043263848744i,0.0437907006778648+0.00641849190748001i
-0.0309734962548822+0.000273288636562947i,0.00369682907907459-0.026755852531602i,-0.0022741519647233+0.024316126770818i,-0.0220708145330777-0.00477535418427103i,0.0460341947327107+0.00515430382674248i,0.00185683272172847-0.00333363700882515i,0.0179595120847034+0.00198924516685857i
0.00627880235264352-0.000866640078953741i,0.000644485564835264-0.0253078885393215i,-0.0277115952470917+0.0141239787163509i,-0.00136840416370946+0.00919836293406357i,0.0172362052747261+0.00997479669981401i,0.011988844491749-0.00366343529829229i,-0.000570613352902072-0.00229014282248392i
-0.015350436497212-0.00115779917953582i,0.0217193712657361+0.0239217543167554i,0.0345343178724197-0.0270663338315098i,0.0124298346713782+0.00587662564660056i,-0.00182760932498674-0.00141388428372572i,0.0166464170211667+0.00405901774602696i,0.0290190997013467+0.004374927573392i
-0.000198934990474059-0.00126802675011713i,0.0136179494486418-0.0067903072469826i,0.0143564063764082+0.00655680603471718i,0.0279837589055296+0.00159303185483249i,-0.0285684050453308+0.0141713613726677i,-0.030733269715689-0.00664366598639357i,0.0587622595918979-0.00900667903462529i
0.0184775188854464-5.16543870259685e-05i,0.0306015713824153-0.000420108962417819i,0.0397824431401713-0.000204165961206544i,0.0324882471804734-0.0102476464607968i,0.0341098286914867+0.00468614085688796i,0.0145972884365672+0.00274973621845304i,0.0502559994032404+0.00450826274939077i
0.0108430787205256-1.77289518903577e-05i,0.0139089051170943-0.00621837982481297i,0.00569745187174297-0.00196481781222225i,0.0275412424935003+0.00518244669726364i,-0.019071786345968-0.00881620134132526i,-0.00799686871733046+0.00233636348822931i,0.0161222324088959+0.00600821323416837i
0.0109735507457995+0.000914932143085218i,-0.0032319263843949-0.0288688948454361i,0.0276414867802219+0.0265360211623089i,0.00197161773553943-0.00229217863514096i,-0.0319284910770073-0.000393651837803207i,-0.00198092484174935+0.00315904936593858i,0.0260568062035219-0.000750757586721244i
-0.013804531607077-0.00116538538898211i,-0.0140109416711844-0.0132127412119666i,0.0351588835697014+0.00119801828458056i,-0.0139487800796571+0.00138132000377884i,0.0235189601402567+0.0190221261561895i,0.0320064638819854+0.00018261252973675i,0.0487138471541841+0.00332737927738881i
0.013713495781712-0.000390713830180249i,0.0221341940127418+0.0109778072858435i,0.0111537680771569+0.00119634299393019i,0.00872064179722356-0.00235870670292243i,0.00146219698179425+0.00935879204936945i,-0.0169174559731174-0.00424256868525038i,0.0167354422753901-0.01087955544699i
-0.050706620979947-0.00208255957118607i,-0.0474045723662246-0.00625045572277805i,-0.0552596824846672-0.0324919310412001i,-0.0433317573685039+0.0246958673599424i,0.0279115494498929+0.00643548458958179i,0.0447529383803939+0.00387536887789229i,-0.0314063908090325+0.0201161483718973i
0.0219893279559494+0.00141282002739808i,-0.02069164093638-0.0082729802639714i,0.0350366743227836-0.00144392173773038i,0.00623882694999666+0.000527444256147959i,-0.015590927805322-0.00915100806350047i,0.00132939568781326+0.00367347563396715i,0.0260203733364028+0.00791129707999984i
0.00815554550449338+0.00180772336138797i,-0.00188863005324298-0.00423981875657495i,0.0553532915524192+0.00413187932873649i,0.0163742902600693+0.00430333009857374i,0.00586598410976708-0.0194635543673849i,-0.0314866684064892+0.00701791913363361i,-0.0143659794127594+0.00446798308856904i
-0.00585148951751452-0.000343576103205613i,0.0398634032899921+0.000874649361629461i,0.00258200961883414-0.00902542736041977i,0.0557822355653589+0.00914705412072684i,0.0501660059852669-0.00705396433489296i,0.0261296059899736-0.000791877600698662i,0.00659479433767743+0.00403620653466206i
-0.0171689067757829-0.000348213992860581i,0.0462730660748472+0.0131944707462665i,0.0301996024179142+0.00200562040723633i,-0.0293621875724566+0.00282065930316501i,0.0477625622935747-0.00676235811899528i,0.0148263518688945+0.00386667484579196i,0.000668014496944945-0.00373932920223063i
-0.00192433332322702-0.00240020779648546i,-3.50646563651979e-05+0.0204985942514788i,-0.0411908253766992-0.0222247152588406i,-0.00979274252711915-0.00875153941220343i,0.0166335131854887+0.0205794480149954i,0.0258367817288314+0.00142415518288025i,0.00451033962879834+0.005195125216184i
-0.00655884779468016-0.000568173519348998i,0.0136545900742265+0.0236446378059848i,0.00263548500052162-0.0103520121751276i,0.00655210858877579-0.0145336913788447i,-0.001577939846091+0.00581634133856777i,0.000822818549140645+0.00449818150394608i,-0.00101616560055415+0.000135533602075823i
-0.0168566449170476-0.00242893602302066i,0.0100287810313146-0.00987135064622622i,0.0074395462809117-0.0179483186933301i,-0.00770706709675592+0.0322385226468493i,0.00892453046870409+0.0043503331480698i,0.024454959066675+0.00362655218105096i,0.0242637478932101+0.00826280906234668i
0.0161607606062491+4.0020904443226e-05i,-0.032569123175853-0.00981879393405937i,-0.021996205004867+0.0180514682636968i,-0.0511950187182255+0.00658444785747666i,-0.0447955842439028+0.00598894600420418i,-0.0195500371754336-0.00617848429632258i,-0.0308904828344077-0.0140107151630396i
0.00219601681503381+0.000363519150721556i,0.0419754501080647+0.027584139313007i,0.0331434915486977-0.0153828023192543i,0.0548725814659949-0.0132184019281349i,0.0180294817421193-0.00114668759375946i,-0.00272492351963076-0.000563351286823385i,0.0361742400758759-0.00154130952175601i
-0.00155187714986575+0.000583795645910406i,-0.0058749506377029+0.000620043927083317i,-0.00184648657059236+0.0119627919846874i,-0.0144347691510319-0.0105048948283982i,-0.039498106655764-0.0012687517059624i,-0.0454825767165929+0.00181987467163694i,-0.00425939273791312-0.0035744654831597i
-0.020557972099651-0.00212927683228421i,0.0220089271854814+0.00287910013956799i,-0.0412009839611843-0.0189723809810309i,0.00701935239973546+0.00920486360763369i,0.0269430389669445+0.00821316703629399i,0.0192699267979252-0.00173164691032799i,0.0217185405365215+0.00751712225998425i
