0.00102008890945331+0.00157549898285427i,-0.0485084958117861+0.0206604157736693i,-0.0330341761015262-0.0563490608021188i,0.00787371275892513+0.0111106250367433i,-0.00735155020655847+0.000621450575418152i,-0.0953019118987082+0.00526648653637174i,0.00175593042408028+0.0200822417610556i
-0.00172247247343016-0.000480186018640333i,-0.0112417642549043+0.00363607630381174i,-0.0268656670728761+0.0239520449238426i,-0.00254997484413604-0.00361806394732397i,0.000730484904861589-0.000623618077499925i,0.0161061388642037-0.00140068756564501i,-0.0862146285447574-0.025867223749779i
-0.0132138112985315+0.00168321980909922i,-0.00769980073879739+0.022606191497689i,-0.0200862597805952-0.0309829977234239i,0.0123243747576057+0.0200846920616771i,0.05377312978477-0.0161976860856243i,-0.0120848364010114+0.00775279583274184i,-0.0684004657926978-0.000797656181854401i
-0.00787443716016537-0.00030644380934369i,-0.0169557828254875+0.0282595201761754i,-0.0264712085472207-0.0380684266898649i,-0.00402576195996797+0.0113479880615666i,0.00924145039068571-0.00749037426844072i,0.0313152671933568+0.000859624121608917i,-0.0400879858758014+0.00192792533390527i
0.00370494431088338-0.00223644330281313i,-0.0012291527248761-0.0197776551164578i,0.0110097625557444+0.0298534111613347i,0.00445929273017115-0.0135299623598678i,-0.0309586283093386+0.00778913551030718i,-0.00676415031714778-0.00202290136908995i,0.0107246443848549-0.011996447468555i
-0.00703491033853467-0.00231977082345037i,0.0179417950917517+0.00205893878312893i,-0.00744646485767096-0.00382860566949403i,0.0141957574982621-0.00814928068408433i,0.0178839516572634+0.00744360749196052i,0.00571317590498149-0.00383055862422854i,0.0122665690860888-0.007525986731332i
-0.00775592927813666-0.000995785151135664i,-0.0281865736185293-0.0117019118488174i,-0.0239134107631802-0.00053794125993867i,-0.00063124815716063-0.01679325303475i,0.0265694895346869+0.0148663952063519i,0.0239842057025356-0.00057822179330091i,0.00922310314667134+0.00997055382558083i
0.00135432290785965-0.00141243631726879i,-0.00622900968787273-0.0182807458888457i,0.0393333910355978+0.00459793685605223i,0.0320483148045978-0.00174090638184176i,-0.00862911107393178-0.00524989474984413i,0.0179517391165159+0.00742024608192775i,0.0317803567345882+0.0166918229458392i
0.013856181954518+0.00039826978561396i,-0.0385781513878353-0.0188964168228679i,-0.0203335974809323+0.000268870486311835i,0.00630040014495448+0.0108481910632994i,-0.0300900859499973+0.0015276246713705i,-0.0148936359560671+0.00124861092137938i,-0.0160194120131463+0.0112703783100599i
0.0180535956091668+0.000608842721895866i,0.0202070875928984+0.0146428189467668i,0.0564665816157874+0.0132633148889619i,0.0217381609318816+0.0015938206197033i,-0.0459392101488976-0.0158816390805235i,0.0388490332499372+0.00447215624861486i,-0.00861375514899984-0.00730085828552561i
0.00484076325779557-0.000957583643734087i,0.0303747536324038-0.0138434397301824i,0.0327694001006547+0.0384966029884572i,0.0168940354902397-0.000704983341857772i,-0.00537703420233543-0.000306885424368766i,0.069233547262502-0.00416084587694605i,-0.0029287891511105-0.0175334388837859i
0.00619781289063251+0.000700319146135741i,0.00398457416025597-0.00848083285901682i,-0.00537436280372596-0.00556527294202999i,-0.0191489223745627-0.00542617554803337i,-0.0127678860198759+0.01099695856052i,-0.0687623893680531-0.00353857943527919i,0.058421001141319+0.00869619239689844i
-0.0163313910664382-0.0001739962391516i,0.00412483332241952+0.0132206598089166i,0.0109957766583971-0.012889791072587i,0.00981000214175256+0.00238001995293036i,0.0507375298433383-0.0136547903262469i,0.0298229469954628+0.00827428817259395i,-0.0282122878068507+0.00310704472438844i
