-2.28193676118275+0.00813306885591253i,-0.533355031237947-0.0432822721424457i,-0.530853057652073-0.0905293289203417i,-0.652104359025003+0.0126366854466069i,-0.490061359684792-0.00830826088067788i,0.47567732061177-0.0366669649562597i,-0.758809719555833+0.126608704256395i
0.0037193582369329-0.000385373184002324i,0.0193779023348965-0.0291329328004389i,-0.0584045514575757+0.00610211984642507i,-0.0204997904417751-0.000396575127272954i,0.00503841044198382+0.0187938047780702i,-0.036445918088939+0.00248025109461866i,0.0194188250946599-0.00322048508378138i
-0.0176604468095991-0.000383687450301777i,0.0913204806351344-0.0117963131457415i,0.00714244587533683+0.0150457756406131i,0.0801379499258146-0.0131749330850201i,0.0305918673403429+0.0254969570144253i,-0.0420421922895545-0.00148761391277185i,0.0456350498850341-0.017995447978296i
0.00500406515929242-0.00175082555365803i,-0.0612315831366934-0.0459028227248137i,-0.0573718098375808-0.00644362163455344i,0.0240758483642106+0.0161938534471279i,-0.00381711137095701+0.022803785642386i,-0.0305346108494755-0.00231630030392389i,-0.0103069532458952+0.0109120770039055i
0.000334668160299802-0.00397684867033719i,-0.0359334681442786+0.015503813816615i,0.00130919907357925-0.0561825565245111i,0.129337617842183+0.0234941043886037i,0.0142337632215385-0.000357316193708115i,-0.0109730670854012-0.000322714918241917i,-0.0260614378636863+0.0272926774994342i
-0.0184150540737743-0.000160632232559137i,-0.0112509276343334+0.0524105912968409i,0.0544042297140612-0.0401779199155647i,-0.0478329761175353-0.0167660959205606i,0.0371496317938387-0.0196008970090261i,-0.133284939494941+0.00462861504643426i,0.0810012736884019+0.0277363485960693i
0.0185126436296999-0.00407328576634031i,0.0146372878128869+0.0823266046071906i,-0.106256554096071-0.116405697205332i,-0.0623286255837698+0.0163162106433121i,0.044429497156314-0.0194056291841355i,-0.0537544521091185+0.00886334599444856i,0.011211459733473+0.0435833668887503i
0.00189694336266308-0.000447660921713793i,-0.0521828421611941-0.0029451803165971i,0.0713885084684652+7.1258822279022e-05i,-0.00291102209834718+0.0143776921787024i,-0.0380172535480766-0.0179329900423102i,0.00398662383776681-0.0021316697470217i,0.0412236787171204+0.0145579493586984i
0.00721351245679922-0.000719313870314165i,0.0474035672791206-0.0113534241819805i,-0.0101352386013144+0.0100074016729055i,0.0339079419228519-0.0110245521795025i,0.0334758128787536+0.0165484575215107i,0.0549362903604408+0.00192709167835708i,0.028531847301996-0.0104428665947445i
-0.000239635521035322+0.00264526734322954i,0.0105410265282279+0.0463396721062385i,-0.0237153757353113-0.0482869734071694i,-0.0451296263047464+0.00227039261362407i,-0.05142717887003-0.00556108991150318i,-0.0124216574329518+0.00144989485785412i,-0.0104493523439674-0.00527074367652647i
0.0126246170805335+0.0021848047288478i,0.0105974502866518-0.0290214274160071i,-0.0612855904819003+0.0291473094919563i,-0.0910554942366015-0.0175839660521873i,-0.0393514229308818+0.0258189580634953i,-0.00155375438103611+0.0047884121241956i,0.035994886772331-0.0243373003618846i
0.0030400140649678-0.00152816842372501i,0.0397042342444482-0.00951189941026885i,0.0159136046968887+0.0231258674393999i,0.0793029458062313-0.00445683410025135i,0.060169702990405+0.00293399575359171i,0.0956649789751414-0.00252602288192401i,-0.0402410023582017-0.00449333758654194i
-0.000368868737274877+0.00420821730915666i,0.0190022486629027-0.0287361238272194i,0.00110929407359505+0.0402620184641907i,-0.0668614578187373-0.015846574961018i,0.0363761902533822+0.012602111063564i,0.0165100865975044-0.000773031510848843i,-0.00209225836971005-0.0245034744948066i
-0.0148114412193567+0.00184463522317107i,0.0405303779356319+0.00411245910029167i,0.0308437379426689-0.00970980880960198i,0.0417735112884026+0.00289517294615547i,-0.00512198481592686+0.0083377572528836i,-0.0200217242720435-0.00193186741396612i,0.0300237807589823-0.0122041661707638i
0.000816482715849311-0.00162815915088104i,-0.0073768180229401+0.010002824214916i,-0.0179847785053205+0.00735925087776557i,0.0125590883934251-0.0132972349569202i,-0.0340062669590616+0.00338590980587117i,0.047378825250227+0.000104682233415711i,-0.0182075855542355-0.00225963796081112i
0.00406571731445248-0.00219979752750876i,0.0103763530804198+0.0126774237493937i,-0.0583223099621403-0.0341262954284679i,0.0117725320797327+0.000842369436387762i,0.054847189157559+0.00245149429162627i,0.0205523455800026+0.00350104889995941i,-0.0146092791637176+0.0185925879818696i
0.00726248754412025+0.00152846947812752i,-0.0326664131203032-0.0482932860837779i,-0.0311949308570876+0.0636856512293736i,-0.0315497065005427-0.00431652288830863i,0.0183466880401205+0.00516620380583859i,0.0616503248622528-0.00587451142225406i,-0.0963505042124795-0.0166832092786086i
-0.011319239152904+0.00261603602151073i,0.0179908155284283-0.0290972317701191i,-0.0475404801152709-0.0176159118727842i,0.0261836446905407+0.0102452141423295i,0.0391379063163018+0.0307516361881453i,-0.0195387672027676-0.00492085842987439i,-0.00989628427953573-0.0107494886858381i
0.00884903426761674-0.00113862661973824i,-0.00711927435596437+0.00194756250485473i,-0.0505005293865171-0.030482048201875i,-0.0244280663588614+0.00875653556436462i,0.0685675635240496-0.00435609978257875i,0.0408768403690746+0.00257216590822982i,0.00233479470499335+0.0261086057820493i
4.66700887337074e-05-0.0049537004618871i,-0.0456215440322702-0.0281759279966667i,0.0646015518987224+0.0047325552759255i,0.0568867397080998+0.0173992060275646i,0.0204234395809443-0.00786775108637448i,0.0642170778411263-0.00231847098939698i,0.0819015403263359+0.0342658234570618i
0.00147876573046734-0.000196837436175455i,-0.0727472691269245-0.0594300712662567i,-0.0290252781466648+0.0530501249238052i,0.0826817152160268+0.0142527292326774i,-0.0911888658372958+0.0136794143279675i,0.00440322924434684-0.00540779667876156i,-0.123335443658137-0.0202965994705404i
-0.0038243077135104-0.000933498760402996i,-0.00225485036086898-0.0585549330556341i,-0.0776129546683931+0.0300617288467558i,0.062328494416715-0.00629375977369469i,0.0403661893841406+0.0344668559292141i,-0.0993212888309149+0.00276714533759038i,-0.0272043133775336-0.00734489821004982i
0.0206088582512099-0.00122311591145238i,-0.00465053714988236-0.0402148980600684i,-0.00695192810972794+0.0565300692287294i,-0.0317731640810742-0.0176740220193125i,0.0203718390066+0.00872638006691725i,0.084673242100505+0.00044254502120674i,0.0148649606361396-0.00451835304881029i
0.00248672345101283-0.00181609629701556i,-0.0302020069287245-0.0405041553248254i,-0.0197727470697524+0.0163969156210488i,0.0263954582701122+0.00411953636032529i,-0.0445152790434932+0.0185801540763587i,-0.0350430476293139+0.000427758532225273i,0.0297597783743771+0.0018531471868421i
0.00810371232578061-0.000420090225435597i,0.0591294403203917+0.088066650046035i,0.0472658679257572+0.010033863052418i,-0.0616249139533757-0.0297534782058339i,0.00885080298035653-0.0472040038091317i,0.0593486741527495+0.0057906555611079i,-0.0313135759002603-0.00227559403031755i
-0.0158682162085662+0.0015668277161778i,0.000772407652090949-0.0470516922185327i,-0.0151184217242816+0.00958475177935903i,-0.0267333798650874+0.000893348759874688i,0.0737172691816007+0.0172765368704154i,-0.0214139883780209+0.0020567721065655i,0.0578436132316345+0.00658508730276385i
0.0122834541076765+0.001616251037569i,0.0189314443490068+0.0373139382811665i,0.0544378874551506+0.0307644901207417i,-0.0435842518842373-0.00710250874793376i,-0.0939390221759582-0.0262021286862556i,0.0884360626950924-0.00374648062023797i,-0.0467951672476503-0.0279258688596764i
0.00828118101283232-0.00527797301100629i,-0.0578534618017598+0.0386956888852664i,-0.0880799610759861-0.091105040105814i,0.0197333030402098+0.0249323963699544i,0.000449132263499401-0.0103162236703561i,-0.0428037852225069+0.00573637938289012i,-0.0155978219004941+0.0500370292246238i
-0.00194761320397347+0.00120000446016665i,-0.0192467669719154+0.0292460462997042i,-0.0241246475181539-0.0544717923145192i,-0.0155732324109088-0.00536813378354121i,0.0553942928171303+0.00247679101654366i,-0.0439477042633129+0.00254723898904729i,0.00172397291077297+0.0180693072334617i
-0.00183451039468112-0.00104859978153073i,0.00263887328528146-0.0204277606163675i,-0.0246258236538397+0.0134617143592071i,0.0433097421266255-0.00666131831925233i,0.0204144134373105+0.0120143365334417i,-0.0641025317467511+0.000873124592919631i,-0.0102265812258784+0.00260066026575792i
-0.0054190287994723-7.26548039460915e-05i,0.0538176417269837-0.0117179400887421i,0.00962125449698312+0.0313539793191178i,0.0665199988272638-0.0163687604395103i,0.0224334329056511+0.0113740977562198i,0.0555451253739544-0.000503820543936616i,-0.00745159612940949-0.0156792345840409i
-0.00152841725466773+0.00156141597229662i,0.0261592309593968+0.0309033043405828i,0.0425891462912434+0.0414328440452001i,-0.0591698139738631-0.0140024761294774i,-0.0369031157999536-0.0332738979870545i,-0.033397563748698+0.0025800403111377i,-0.0389489693611091-0.0181898513504777i
-0.0181333718716182+0.00407901644104628i,0.00473509193271235+0.0317451178924666i,0.064859064029061-0.0325667332149659i,-0.0719462553233033+0.0106385791179411i,-0.009621177158829-0.0203899814359447i,-0.12673628282021+0.000947601760909732i,0.0504207795852725+0.000498335628290519i
0.00976001395336068-0.00338940663247219i,-0.0568983382543962-0.00798815199878257i,0.00167389702206201+0.0158302672886228i,0.000911973420314792+0.00590440717870591i,-0.0949084038684634-0.00852472298277906i,0.0248915809401887-0.000871745168967522i,0.00159390758119955+0.00912310683809015i
-0.0249004939052969+0.0011896199883948i,-0.0346495240542317+0.00343978882334404i,0.0202250345619941-0.0190482383282961i,-0.00524039452977111+0.00899008109429842i,0.0368723688169728-0.00677530438397864i,-0.118816434099595-0.00215789716878096i,-0.0121566153052964+0.0132172579655439i
-0.0163040344747453+0.00146866404991933i,-0.0264617617092806+0.012286625561376i,-0.0109909962521598-0.0605475521117411i,-0.0440319968330055+0.0245907478711451i,0.136940651439841-0.0166238863833118i,-0.0838439066472675+0.00136437973093208i,-0.0149883822596594+0.0351583652022117i
-0.00744719359805832+0.00243191973858046i,0.0238679988593495-0.00494910286430795i,0.0925563969377913+0.0506103820323476i,0.00785699444457398+0.00176828782034654i,-0.0427542211788099-0.0162973374705473i,0.0211476167856822-0.00455936247152353i,-0.0132178401573633-0.0277910028730528i
-0.000252913748396559-0.00155031085801618i,0.0225112789461684+0.0301737696406101i,0.0307404754727735-0.0365063354598322i,0.0455106514982213+0.00162181562424234i,0.0729696245632069-0.00869132232493667i,0.0597301926387507-0.00201655130956704i,0.00950177374270734+0.0187561196702295i
