-2.28193676118275+0.00813306885591253i,-0.533355031237947-0.0432822721424457i,-0.530853057652073-0.0905293289203417i,-0.652104359025003+0.0126366854466069i,-0.490061359684792-0.00830826088067788i,0.47567732061177-0.0366669649562597i,-0.758809719555833+0.126608704256395i
-0.0119393017806409+0.0039833121784773i,0.0435516243264485-0.0535466712284891i,0.0210202232659463+0.0858035925735143i,0.00310132343778696-0.0209454208064587i,0.0446545568643544+0.0147395782852266i,-0.0272271038163787-0.00325481445562278i,-0.045348984500611-0.03829878000146i
0.00221591628833259-0.0010453432607335i,-0.0216419733880563+0.029491473546i,0.0704900155302869-0.0277274955278488i,0.0327222929888228+0.00764458059414697i,0.0529090371680173-0.0235014614783349i,0.059041397954653-0.00144393104408583i,0.0126273905769001+0.0245899285624596i
0.00499959652439891+0.00116073539975108i,-0.00394097181075215-0.0484218676985348i,-0.0326839711015501+0.0145759306888363i,-0.0207459536630578-0.0134202359544096i,-0.000890765606203737+0.0383344242365781i,-0.0151381690805696+0.00329005191758111i,0.0843970411001805-0.0083875729735386i
0.0162142908598582-0.002043974192814i,-0.046144804638519+0.0144038247543495i,0.00327300617878287-0.019170438919259i,0.0247653695536462+0.00612070274368924i,-0.00904012077138468-0.00794765744226441i,0.0754990698472674+4.47593573362858e-05i,-0.0359392212096104+0.0138121774927019i
0.00010001262673048-0.000509562488493488i,-0.0203901909492683+0.0181570771376027i,-0.0489135132061733-0.0499305633371319i,-0.0451116812679061+0.0118965156569398i,-0.0099753310939015+0.00233103885829691i,-0.0503529456396794+0.000435644661100109i,0.0170030758778033+0.0141288461510133i
-0.0126784772322119+0.00195808117424421i,-0.0377254700944141-0.0503972684785668i,0.0244987295791711+0.00891631060541079i,0.0235558319993606+0.0198040872734713i,0.0629873829827156+0.00300430592353618i,0.00338469953437538-0.00322871065663831i,0.00211917473734265+0.0121168514203653i
-0.00581976821902374-0.00136048100700932i,-0.015081616423535+0.0200810908903348i,0.0225667108412073-0.0195122868684531i,0.00842714553027655+0.00768418097465553i,0.00315135347499293-0.0186266221344193i,-0.0494548130924472+0.00111721162003906i,0.0117488588819597+0.0201791920797722i
0.00669513803659016+0.0041891404414902i,0.00445354590409306-0.0209590184424687i,-0.00693524134881169+0.0456272756691297i,-0.010824654098618-0.0128628998494882i,-0.0530163477789699+0.0155882800079971i,0.0455543096715792-0.00470110975127528i,-0.0709343318262178-0.042074122856291i
-0.0192313003340266+0.0022232175305442i,0.1290190177526+0.059414392827525i,-0.0171339658989527-0.0423604138747611i,0.0104235861293639-0.00592107863447513i,0.0685241068720728-0.0104063150411956i,0.0568934635517106+0.00206480279747487i,-0.00182667025390346-0.00432507912363644i
-0.0116068671844271+0.0022675498861144i,-0.0298394055953591+0.0270028282911845i,-0.0480800721845841-0.0524815470692125i,-0.0472375289061343+0.00867810082162484i,0.0264484663154176-0.00179220497271935i,-0.065484283241516-0.00135793326396456i,-0.0519839579675849+0.00919415445535985i
0.0223846325912267-0.000710066973099442i,-0.0386256156384064-0.00763725462200688i,0.0268789245073528+0.0397972809008006i,-0.0637509896478892-0.000493560577550988i,-0.103317235826668-0.0103555980777394i,0.080703511524494-0.00164412446908949i,-0.00354103055722465-0.0164818619921424i
-0.00720952765737784-0.000728971392176171i,-0.00400794982565356+0.077020784638534i,-0.0111646030431792-0.141781161568718i,-0.0176338734486415+0.0335560935386264i,0.0861367228767023-0.0210835841460304i,-0.0589533908121753+0.00153297319739461i,0.0561249978379923+0.0535960137492027i
-0.0183829345235674-0.00109826083861641i,0.0346997084876763-0.013050994460179i,0.0158260989472991+0.0193412597982347i,0.0587514360173247-0.000111323238964156i,-0.0827598202800575+0.0163687449291059i,-0.064030722895575-0.00218344413376999i,0.0383363285265156-0.0216852896398166i
-0.00854266299610207-0.000315951067310803i,0.0131261585170002-0.0225491857728487i,-0.00807671538652557+0.0184015827357164i,0.0714725148979842+0.00251151587443902i,0.0492943600490957-0.00073053874236906i,-0.0321994865178879+0.00211289226140982i,-0.0386825482295678+0.00462520249112231i
-0.00481399435103509+0.000245228489984342i,0.0620387662627239+0.00156071836192205i,-0.019837662257099+0.0011439957549246i,0.0772704703267012+0.00122908766430907i,0.0927644603924716+0.00135616763780067i,0.0716674119321366+0.000443981914584917i,-0.0636727099346019-0.00514661418984211i
0.0226321022588841+0.000867522646519563i,-0.00423966100635608-0.0441643030170813i,0.0177742930813013+0.0181244443537637i,0.0113079230411671+0.0221089096153761i,-0.0106417450715061+0.0101483922458213i,0.115909742656364-0.00422150626324632i,0.0201306272721406-0.0132201688818009i
-0.00759351109689218-0.000657397515845933i,0.0665662850353301+0.0150002816964326i,-0.024073422715973-0.046745249565596i,0.0504158320134961+0.0223927911335175i,0.0267116362030076+0.0052721311787067i,0.00830048643625081-0.000897589365160597i,0.0232667981490009+0.00280320479747947i
0.00662289678517329+0.00170166419201262i,-0.0315027262101213-0.00418832506929373i,0.0312042309720376+0.000585315561134095i,-0.0199617545245099-0.00192984801486836i,0.107333179053771-0.0088802145832236i,0.0410105473119842-0.00502520593963668i,-0.036815547089047+0.0142089856934243i
-0.0237910701817521-0.000587782443997654i,-0.0327845811511533-0.0997265973541151i,-0.0141308232926441+0.077638267380195i,0.0694569595917816-0.00420084055940137i,0.0334732521011369+0.0306335064078945i,-0.0738984841945554-0.0037841184631266i,-0.0103333785411498-0.00548606387735886i
-0.0105204122611502-0.000919234716058901i,-0.00441141501157321-0.0241210071933407i,0.0463037184072533+0.0206908417411397i,0.0550855666872499-0.00258716753849276i,-0.0310588216476699+0.0110114325577242i,-0.0278521677483391-0.000997411617800439i,0.055312161980081-0.00378180463303775i
-0.0181714855577137+4.01861802669325e-05i,-0.0173871653081841+0.0270025653317542i,-0.013936296564648-0.0539183685726171i,0.0469434556748225+0.0200267807855919i,0.0433660317879098-0.0104476512187937i,-0.0823162949095479-0.00263557776170367i,-0.0575482491498824+0.0197313852551473i
-0.0107251509542174+0.000358386234015251i,0.00185022928394475-0.0073987363864631i,-0.0639998976576735+0.0100726739491478i,0.0111151719380509-0.0154230087279756i,0.0783617065326665+0.00812918956640898i,-0.00576018433070341-0.000394050666235705i,-0.0868001108282486+0.00387565743949291i
0.0348407605580824-0.00271310216921744i,-0.0383303813884338-0.0427261433832844i,-0.0834339753793386+0.0453537221396858i,-0.0446717984796791-0.0178062274038649i,-0.108320703954895+0.0315628493348092i,0.0272043956494777+0.00394683137151561i,0.022238545177384-0.0190489332741195i
-0.00373010648704439+0.0018147532513859i,-0.0294543222093982-0.0140738333392584i,-0.0175575538021099+0.00658567173501025i,-0.0202757119228244+0.016665532533603i,-0.019722001097216-0.00625803369708301i,-0.0190452549464506-0.00414355181287138i,-0.0608169261943854-0.00490206073649711i
0.000961916296658973-0.00134850850591647i,-0.0722124943364227-0.016334328261728i,-0.000924135464597463-0.00725892463779913i,0.00108441727166828+0.0100659169021907i,0.000212917664771623-0.00131261009566583i,-0.018780315942254-0.00151576134221893i,-0.00148208782785921+0.0193141545584657i
-0.0122208992787623-0.000300635526580651i,0.0758333836827947+0.00353431270919525i,0.0407800049705064+0.0739805323396853i,-0.0461616971221091-0.0370482529143735i,-0.0476425379518712-0.00367804426448589i,-0.0296395934049825+0.00372128610963195i,0.0545947915906713-0.0283176120612746i
0.00322681831734962+0.000762772509135893i,0.0544726683074055+0.0225972049584396i,0.0641546032361339+0.0245379178093041i,-0.0273608996240238-0.00977655272927995i,-0.0792306801841789-0.0117571964445078i,0.067543297925412+0.00056648699804956i,0.0567203437424879-0.0239004810133979i
0.00973313855669753+0.00279785601752903i,-0.0190975672464905+0.000352303469490555i,-0.0176571207653649-0.0345329441469336i,-0.064654509604556+0.0151992550677031i,0.0473577567467065-0.00324621045646239i,0.055117855082168-0.00390937439973164i,-0.00480367748956997+0.0117758097068937i
-0.00769250615473098+0.00204860877520477i,-0.0407888067820243-0.0261888879191392i,0.0548843564412332+0.0230915354008285i,-0.0278826952370304+0.0106070716176487i,-0.00347910603747482-0.00844457719165356i,-0.058985678919644-0.00465156923058589i,0.011895343831113+3.94171752409953e-07i
0.0236426435947094-0.000273858529449i,-0.0157377626685082-0.00452455374601513i,0.00829701630653581+0.0298865421026715i,-0.0542266448154696-0.00920457312240615i,-0.0196743632916564-0.00557200627455037i,0.0912678314321648-0.00295538277838942i,-0.0122297567622863-0.00667176883001513i
0.011386048092755-0.00339998180352069i,-0.0612207770022249-0.0199602716558298i,-0.0468601649747588+0.00832306581925699i,0.00745298327828247-0.00948769554138144i,-0.0433572188654571+0.0129908171702956i,-0.0142812440525964+0.00342769868191865i,0.00945229474855401+0.0131326884351968i
-0.00153349443259437+0.0038325732792503i,0.0514824247002483+0.0377274907658418i,0.0324111639065152-0.0422444650893651i,-0.0424542014936509+0.0066316223570132i,0.0779435806232739-0.0147132017984028i,-0.0295770239974137+0.00151777739993599i,0.0178945277919864+0.00134577452002577i
0.00440203501252673+0.00343164212982413i,-0.0122622479620189-0.0116002113637167i,-0.0323181598539001+0.00235057992166045i,-0.0351769820225646+0.00840235481797261i,0.0237617104207632-0.00212033012264617i,0.00581516997283524-0.000721313799591948i,-0.0680904372915773-0.00692286798800649i
0.0259354049843483-0.00298106414823388i,-0.0617690962390909-0.0264701596238345i,-0.0535981339852441+0.00611152938775743i,0.0254941245710356-0.00458585238339634i,0.0551494877765604+0.0101106255801783i,0.00593861942268305+0.00276944932690232i,-0.0363792589871168+0.0212201617029651i
-0.00063424302150703-7.49675614094026e-05i,-0.000895499190298427-0.0162223247535253i,0.117882203743993+0.0729929813708109i,-0.0216338688336399-0.0107289365965185i,-0.0288913108510955-0.0191348431921178i,0.0626049690240103-0.00546248651041525i,0.039829821724138-0.0126630511936878i
0.0171837342279991+0.00343853417760881i,0.023191153523974+0.0404596176666726i,0.0143207297026075-0.0157505647108176i,-0.0456873903425513-0.00408197051938348i,0.0435212113972197-0.013838350843254i,0.0901262247828555-0.00268024828264363i,-0.0612093264582654-0.012660689339429i
0.00667215876322402+0.000848829316095629i,0.024550071722713+0.0584541732353772i,0.019346573933622+0.0395645133954933i,-0.0755282153181095-0.0440335180771984i,-0.110278082134151-0.0156862900303243i,-0.0462554809119153+0.00323223448036515i,-0.03200041404527-0.0331465858058534i
-0.0324434797466362+0.00225059625575569i,0.00808404946731866+0.0160384644524922i,-0.0231856687221608-0.048818887046613i,0.0104033327176373+0.0127256898471663i,0.0701598945830713-0.00418376079692159i,-0.0860271318005209-0.00233728229535185i,-0.030804722205417+0.0188345362759493i
0.0132585849426379-0.000753104569254259i,-0.0331314949169919-0.0383201086904762i,0.0187111937208493+0.0422505685133902i,-0.0198816287257171+0.00986699454653779i,-0.00417021098228583-0.00645514249597531i,0.0252220787823357-0.00169862897746194i,0.00205604960392607+0.000674335539004197i
0.00838990253113282+0.00105338810072025i,0.0503810376664129+0.000142487171984625i,-0.0178384219600718-0.0134195278058211i,-0.0433035528143248-0.0150259397072288i,0.0651914513526976+0.0163754042250885i,0.042032688032267+0.0029735961530025i,0.0738563201909667-0.000657868618703287i
-0.000166909537701606+0.00273968844050437i,0.00432695578580497-0.009607332815099i,0.08744668770811-0.00871921900994684i,0.00421545587275365+0.00390129090731223i,-0.00147537487243106+0.0121752682397006i,0.00619040947535692-0.00567403291294144i,0.0898579312422749-0.00944467565868302i
0.0239017280902312-0.000324411244854195i,-0.0364557719204825-0.0174389893751472i,-0.0701769599220836-0.0184931327913216i,-0.05801027094796-0.000891354102747433i,0.090871282753663+0.0100014213321407i,0.0200870675093053+0.000325724415692235i,-0.0141442040394875+0.0207935269225356i
-0.00120994969854819+0.000847057926401865i,0.031918719900303-0.0146400618314929i,-0.0159468130585117+0.0010441033286483i,0.0473372167363401-0.00242189108700888i,0.0346990649751341+0.0116638544924321i,0.0485367201150968+0.00233848745418747i,-0.00673962660041901-0.00510821783839312i
0.0033968742356186-0.00147493457989785i,0.0126633081577085-0.021724647363356i,-0.0194778351450709+0.00832819266554374i,0.0325119787395054-0.0130349903259353i,0.0465362559458644+0.0177315420144316i,0.0375121580429907+0.00196009761019625i,0.0434037801821296+0.00848947499196573i
0.00261702477197453-0.00216222866679054i,0.0571910253299601+0.0231407612329326i,-0.0430609288928685-0.0527446101136844i,0.0388921526098836+0.00100983659745625i,0.042692000037458+0.00920258931309806i,0.0498635334307529+0.00735998828245498i,0.0598333434390527+0.0153235211355024i
0.00133993694870397-0.00128854277469456i,-0.0180800588469155-0.0250123971907327i,-0.0470295815657602+0.0279261249955693i,-0.0340780881998802-0.0197322895557432i,0.0110324956931324+0.00886070815995891i,-0.019591258900635+0.00293420503398041i,0.0206370244467245+0.0103382868573591i
0.00499778726691214-0.00237371865909206i,0.0415903547386299+0.0367735208043953i,-0.0268856260718922+0.00315748786567557i,0.0301130721827375-0.0246516859669364i,-0.0238398948696943-0.00195716699402657i,0.0695327387335674+0.0046455548536222i,-0.0213550736069917-0.00393895552724273i
-0.0254560634874691+0.00180966730198938i,0.066955083339939+0.0439888784798262i,0.0699150375886768+0.0121185058379408i,0.0131224219816358-0.00959040614168882i,-0.0251387957098653-0.02245902798676i,-0.0508407653144341-0.00138337242875459i,-0.00256953251506814-0.0169674789675676i
-0.00192829630045082+0.000809546617830718i,0.0622450458305938+0.0361734402367427i,0.00820142497946342+0.0250776051611004i,-0.0865907914115983-0.02693028412583i,-0.013235802343525-0.0131005917438745i,-0.00723192127298569+0.00213499709304287i,0.0196149651457996-0.0166074803167013i
0.00290594748540568+0.00555156964988622i,-0.0742397293134018-0.0409274718551483i,0.0315712146207832+0.0116918340644285i,-0.102494113457129+0.00280680554019112i,0.0332796866975184+0.00820809245031885i,-0.026091708659508-0.00606467278966323i,0.0158365267516441-0.00136529436012015i
0.00245412743602801+0.000338843222627259i,-0.0293770487012037-0.0290646343633227i,0.016472385740845+0.0263748287096978i,-0.0547190499535444+0.00155036609368126i,0.0093263998937051-0.0027846966956813i,-0.0127310376343085-0.000520407377329631i,0.0273071489494222+0.00372596360850138i
0.00207088409547307-0.00250712250385008i,-0.0283115348934459+0.00622175157891163i,-0.0200951106420166-0.0524080357777658i,0.0517418783999581+0.0108827823883661i,0.000320884436346345+0.0116737155352097i,0.0160893160645063+0.00143616661709297i,0.0391318619674459+0.0227865983546088i
0.021901930481999+0.000419537244783684i,-0.0519704561957775+0.0183432289097366i,-0.00596321604879642-0.0250192091603972i,-0.0249429082089624+0.0167818940051844i,-0.0263775147067274-0.0172069702270922i,0.0826736482777812-0.00249239494024416i,-0.0614303220191264+0.00820043164677853i
0.0125714169209976-0.00127027655102209i,-0.0307904493318746-0.0240985657714806i,0.0020070821601105-0.00981418919222858i,0.040396721719178+0.0176909222166876i,-0.0539323449389057+0.0131068535004896i,-0.0184088294727715-0.00283975108471619i,0.0288323636594686+0.00149539262136697i
-0.0074123228317894+0.000524208880347984i,-0.02715812743854-0.0578313263893677i,-0.0386581934808442+0.0144435824734745i,0.0500870943121256+0.0107818507978669i,0.0525073702273741+0.0209776298100533i,0.0506302823390917-0.00356939903495344i,-0.0371958294549478+0.00532157137069602i
0.00495058102069853-0.000556130967552931i,0.0128085787994054+0.0398342729572012i,0.0275723096543893-0.047061562860059i,0.0685460020930644+0.0107228327885284i,-0.0990923646929403-0.000270639496924711i,0.139164937245403-0.00129808308509459i,0.022759418778389-0.00508515242411257i
0.00276009655581455-0.000927504989920364i,0.00859369543178671-0.0119104150203778i,-0.00234716093116415-0.00587415740782363i,0.0667006751513172+0.00332621556205308i,0.062387452714849+0.00804442043872291i,0.0584801723921633-0.00182589792839865i,-0.0151053254635924+0.00728309482593561i
-0.0127527142088754-0.00215247318219393i,0.0392499428493534+0.00257355806292782i,-0.033237984244053-0.016642463397839i,0.065495378859181+0.00674929781687012i,0.0292653620528641-0.000114133202379256i,-0.0110485401600228+0.00479591494432775i,0.00170920060249493+0.0119688255451987i
-0.0273302564141263+0.000852941787561544i,0.0268033495591199+0.0375538159771633i,0.0195613240248423-0.0484258880957596i,0.0544541641641461+0.0099628938356766i,0.0626066019348932-0.013269450811673i,-0.0268146715826076+0.000186902693779976i,-0.028691763944971+0.0158501939784614i
0.00165468057844149+0.00614442973752363i,-0.0342377704878499+0.0243909363923766i,0.0560874086244411-0.0207156364468587i,-0.0753167454802668+0.00743816287101291i,0.0919951886327038-0.0228033815160974i,0.055145626185426-0.00626919590229109i,-0.08239719262361-0.00194499290435216i
-0.00285186710621851+0.0016928459807251i,0.00741516552839773-0.0220790615243597i,0.0532820349405096+0.0379412930567132i,-0.00451422884767791-0.00115645873549983i,0.0266409552200801-0.000899979169964403i,0.0301517412878141-0.00597333723614943i,0.00271568197426121-0.0129359248197441i
0.0262565148959871+0.00237460099496342i,-0.0592107780259973+0.00690956737884126i,-0.0688459300892948-0.0103491934210869i,-0.117478867120674+0.00966204795844559i,-0.0240370469583471-0.00566497555960457i,-0.0168494362064847-0.00232946195206734i,-0.0978112370871682-0.00913899000185049i
-0.0206080198902377+0.000426769538074271i,0.0188939812371833+0.0206180483633274i,0.0498337766606511+0.0015585283333176i,0.0257682578290331-0.000641574284408809i,0.0928854790496497-0.0245657223395006i,-0.0337190015814694+0.00181461373788331i,-0.0380122884325351+0.0108308433151874i
0.00761078252597718+0.000683010627593002i,0.00757443599413074-0.0318039903288268i,0.0462245661024546+0.0651812723693198i,-0.0296365530806901-0.0198199300112086i,-0.0214606120681189+0.000618319102807667i,0.0626706156239825+0.00251049207810918i,0.037548825880275-0.0164999178917314i
0.0197060569763567-0.00199111427526827i,-0.00265644101213088+0.015352543734867i,-0.0504349697299159-0.048670012788599i,-0.0372157688177973+0.0180042093523968i,0.0524646844472477-0.0106688823121113i,0.0264523881174368+0.00274779294880488i,0.0181561162412573+0.029863228648378i
0.00858729517931099+0.00382243528908444i,-0.00689433189972157-0.03996858240394i,-0.00197808681573685+0.0523272526736361i,-0.124433414957992-0.0108749530256003i,0.0918737090399394-0.00172564894438059i,0.0516138790699491-0.00483791068911753i,-0.0235553581143707-0.00876416943417207i
0.0125136104890039-1.55827122935263e-05i,0.0125870563885275-0.00502869309855923i,-0.0568694015827687+0.00305214489687413i,-0.0190124986216854-0.0167234049355623i,-0.00710981376656811+0.0268577985969205i,-0.018280589520355+5.28513354453438e-05i,-0.00237972928973765-0.0165434849392434i
-0.00326599534708342+0.00247175017707128i,0.034118240930279-0.000321223171111051i,-0.0167371148926606+0.0318547423697846i,-0.0828552801814109-0.0311528022556097i,0.0545991978621024+0.00427829003933035i,0.0141721910083157+0.00190028127450111i,0.00390919991675031-0.0120747304979434i
0.00696557227970088+0.00200137910664857i,-0.0229518196345584-0.0278098523974937i,-0.0406559928233341-0.0236358903697876i,0.00454074121774551+0.0305527482254199i,0.0225123340564861+0.0112566225471775i,0.0287052998941258-0.00582814447158897i,-0.0433023344652105-0.00135617971793038i
-0.0163339727172142+0.00385503963479607i,0.0108355831105905+0.032485885063496i,0.08709050759523-0.00276092710175703i,-0.0383502087768177+0.00197870805621057i,-0.0262335394250793-0.0202806317379354i,-0.0896905737208755-0.00342459698740572i,0.00494719802862844-0.0153198410740431i
0.00251147110833969-0.00381924444506505i,-0.0157472562678859-0.0475952518587413i,-0.035794890079898+0.0116839724832014i,0.0971166261809502+0.00357972346945779i,0.015694448622254+0.0241545962612881i,0.0817544702865076-0.000952017940372096i,0.0253132305995681+0.0141296127186101i
-0.0210126435487601+0.00183272881362038i,0.0524985874997986+0.025495634753042i,0.00728635797760636+0.0184899777655285i,0.0200287180026472-0.0176135824729734i,-0.00221844032152911-0.0110891064935409i,0.00914012402936625+0.0019733056950158i,-0.0503532799824639-0.0141033784458763i
0.0197599607880904-0.00184718472764308i,0.0222155206969738+0.0382392917370403i,-0.0812186368974316-0.045997114784141i,-0.0436452957251524+0.00663215280596954i,-0.00773117389998037-0.00351330338247152i,0.0429942043460844+0.00192595064824588i,-0.028554351935698+0.00529099125707386i
