-0.0445331184001685-0.00270959498177475i,-0.0149433600462824-0.0103089643571799i,-0.00856946887963883+0.0105528287321506i,-0.0260297025126349-0.0146154007867409i,-0.0263465081936675-0.0146019952628522i,-0.0148153100908212-0.00554041301538905i,-0.0297228663515374+0.0149068885646613i
-0.0014364255415701-0.000537939424077201i,0.00550153309374929-0.0127811713699667i,0.00811722493036702+0.0107537451240026i,0.00220590503731348+0.00543414208209281i,0.00511022009369026+0.0184804921116107i,0.0021611182079912-0.0145958693701285i,0.00795417766620164-0.00293081031782914i
-0.00218116669480233-0.000548073582794052i,0.00362364359617133+0.00551668163752942i,0.00432333782009432-0.00577022439448397i,-0.00405773397842964-0.0018833920115392i,0.010049252522529+0.00567360585891893i,0.012596567565153-3.14856719319759e-05i,0.0090896436749413+0.00161529818212135i
-0.00989849025967527-0.00101604885342075i,0.00367544356489697-0.0276321274072059i,0.00762649305363496+0.0104301915456702i,-0.0102859888941223+0.00741643407410531i,0.0313680581851069+0.0525771875117514i,0.0245160528091054-0.024862378712135i,0.0170299458936005-0.00218958183443635i
0.000871883076694821-0.000165053200748454i,0.00833733758052808-0.00997144155898827i,0.00933219243726436+0.0116808750371316i,0.00595576042744805+0.00493130742832584i,0.00859069768457039+0.0222331792003823i,0.00494708947369962-0.0156611178347951i,0.0108500992459979-0.00946081237994914i
0.00451580282557667+0.00104691846008549i,0.00545255923454984+0.00651861194472038i,-6.21699316668776e-05-0.00729921710990299i,0.0152664493298045+0.00609067627051927i,0.00704886843563645+0.00485945972221942i,0.00445285254606239+0.0059099048023658i,0.00222569814700477-0.000750931419567511i
0.00273929325291187-0.000203445318524055i,-0.00445692136148908+0.00438101887687633i,-0.00226784937646433-0.00594206069573615i,-0.00713392793795474-0.00624851627326361i,-0.0282706311899019-0.0200339156996402i,-0.00751856480234228-0.00220472542461402i,-0.0162949933292659+0.0259527614020993i
0.027019150524392+0.00323756406662207i,0.0199362793427813+0.0180669591150823i,0.00561334187090078-0.0241527657151771i,0.0180605250933967+0.0126730115312319i,0.036791732263941+0.0170300366821733i,0.0165590917773095+0.0116864067105181i,0.0209431875097241-0.00173127478534855i
-0.00242704970222189-0.000909359671726246i,-0.0179612522107621-0.00828304317250149i,-0.00702660774159462+0.0161543070070087i,-0.000896089333799948-0.00627181544433512i,-0.0266934180922092-0.0244554762170079i,-0.0180562354456758+0.00253688372830584i,-0.00971196335343095-0.0112327877310287i
0.00155802410227364+0.000158037624764389i,0.00157376696019491+0.0048935244846589i,-0.00267419833241462-0.0026496994349198i,0.00241644251403292+0.000772783229164864i,-0.00156651388195659-0.0103580623836261i,-0.00907092406368773+0.00337614698856084i,-0.00396607962158264-0.00557340246483058i
-0.00096489021966182+0.000142322733359903i,0.00154894445469662-0.00513927669452136i,-0.000149415280940182+0.000712659843983788i,-0.00448650910938716-5.59544785220529e-05i,0.0087814549248737+0.0148267995874804i,0.00248894929517834-0.00117420309232561i,-0.0050078649823273+0.00954751616656829i
0.00575284976961131+0.000909886554629187i,0.0125025570047097-0.00819631303514644i,0.00951146316913941+0.00880581991104919i,0.0193853527930688+0.00899411454252311i,0.00304283796692922+0.0207168321650115i,-0.00134576841104067-0.00978051898879809i,0.00849174926904533+0.00512713272153468i
0.00242218621367149+0.000964811580067765i,0.00272513540006136+0.00181947602051324i,-0.00107937385332462-0.0027700652867498i,-0.00332251059318937-0.00128734614399026i,0.00113257211557337+6.65774014494552e-06i,-0.00559154566566807+0.00781270871603305i,-0.00772180428989436+0.0136673981222145i
-0.000559478201844959-0.000215489173782177i,-0.00568299441041326-0.0150570065172907i,-0.00076291827591327+0.0132869995491003i,-0.00748236379852183-0.00414065537793368i,-0.0122289987954378+0.00615382146614424i,-0.00699971767179508-0.00659707358414412i,-0.0118605427284335+0.0151780074217967i
0.000724593970066822-6.83579558645551e-05i,-0.00605859561148581-0.00747866470136921i,-0.00352363956218957+0.00622209504708721i,0.004630531526778-0.00173080360774447i,-0.0164338477088583-0.00441256837654857i,-0.0103820440311275-0.00156197863343686i,-0.00849451152167569+0.0131311754466229i
-8.48193952312291e-05+0.000419408612363968i,0.00509619521996297+0.00622469618969611i,-0.00325732888566513-0.0113785315861766i,0.00167840884687331+0.00487747857843854i,0.0118565705125959+0.00288618188849913i,0.00650158040595172+0.00105546042656529i,0.00379108425732986-0.0066448781794208i
-0.00361044871439881-0.000325473375093133i,-0.0103195995539743-0.00948847221062542i,-0.0117965963597639-0.000684959441931586i,0.0019003280925041+0.00225489394117125i,-0.00283913178539815+0.000353358828699428i,-0.00482625592450736-0.00334329003496984i,-0.00606104539484977-0.00361169170894411i
-0.000284656327614543-0.00019148735370944i,-0.00599565350566726-0.00603596715307305i,-0.00321457808347419+0.0070269421883533i,-8.46526369624494e-05-0.000885642143683228i,-0.0160486388906541-0.0116994961369491i,-0.0119240554295275-0.00520040068809761i,-0.00486856933148919-0.00436536575166124i
-0.00368795001131617-0.000372742194410851i,-0.00524652787002544+7.17820113332011e-06i,-0.00435757348675418-0.00671832453689202i,-0.00225664746960971+0.00329796071570348i,0.000963192299533331-0.00439637096940671i,0.00719942751776331-0.00211195146947515i,0.0032938267670119-0.00806448309133224i
0.00610287269257733+0.00116508526349086i,0.00379474474027005+0.00773500138749106i,0.00471622471171982-0.00439665359289534i,0.0121498850460728+0.00416729392685713i,0.00528216600405376-0.000926651062430778i,0.00509922995272205+0.0109545411062628i,0.00644801791712528-0.000201759772845225i
-0.000708583726938923-0.000240779549687469i,0.00222722554364235+0.015927661913114i,0.00202788049024318-0.0184961450437684i,-0.00603011076642118-2.74691927921371e-05i,0.0112346079165644-0.00165430030669446i,0.0222055990264377+0.0087654956297482i,0.00289112714164796+0.00502846927964081i
