0.366566618093866-7.25893833653294e-05i,0.0951315961156355+2.02525526942249e-05i,0.095134737290428+1.90536493104492e-05i,0.0951319433701612+1.88554318957812e-05i,0.0951390883473475+1.87990742628851e-05i,0.0850843265158194-7.30684469901498e-05i,0.0952218996752204+1.99101792738457e-05i
0.220053189803796+4.15085510917052e-05i,0.0860255575935823-2.26841678971065e-05i,0.0860485175736409-2.56846764623222e-05i,0.0860389539085806-1.8358083684447e-05i,0.0860835671309481-1.64444670718027e-05i,0.0291885238206372+0.000150548022479608i,0.0865444731746677-1.8395589829701e-05i
0.169318964790539+3.9569731424978e-05i,0.0087437970890935-1.88561922438868e-05i,0.00873267015438204-1.6029652307626e-05i,0.00873711360149537-1.84061929489057e-05i,0.00871717934742708-1.89583357212587e-05i,0.0394112599221074+0.000108015790548047i,0.00846888189699186-1.93652556896557e-05i
-0.0374946913564517-1.20571442018631e-05i,-0.0345778092128646+1.75478403160165e-05i,-0.0345958367427289+2.15700933253636e-05i,-0.0345885180689574+1.66592046792897e-05i,-0.0346297714912522+1.5395856365997e-05i,0.0149384472800665-9.96986028026882e-05i,-0.0350282714564037+1.55317501944324e-05i
0.189740922588286+0.000111266246803091i,0.0601388269940323+8.84083399706958e-05i,0.0601403810393208+8.65031435003658e-05i,0.0601400777873944+8.35766049900983e-05i,0.0601416450600773+8.24926100662075e-05i,0.0509207613366512-0.000356949296599526i,0.0602114717723697+8.65289038208685e-05i
-0.0253778614900008+1.30971445511366e-05i,0.000905395466975774-1.88533040696005e-05i,0.000915693584352907-2.04933396530857e-05i,0.000911806419328588-1.45372795266824e-05i,0.000935404346528168-1.37988995698681e-05i,-0.0219017433328307+8.73976449537379e-05i,0.00112043290004699-1.39097779882604e-05i
-0.0394351022883843-7.61741246575313e-05i,-0.00452882598308885-1.85756663182118e-05i,-0.00452845841831569-1.83249967150344e-05i,-0.00453015933624553-2.02655630952145e-05i,-0.00453132446084801-2.00372648539742e-05i,-0.00582332030720171+6.26538875289833e-05i,-0.00451856138889943-2.03541758596608e-05i
-0.085718999581078-5.18481054669466e-05i,0.00830877517679353-8.85966153504394e-05i,0.00833034528707707-9.29775606680069e-05i,0.00832140208935932-8.22958834427915e-05i,0.00837034230660774-7.93458722741371e-05i,-0.0453973136886352+0.000393882040693061i,0.00880918405213498-8.3431668731314e-05i
-0.0553311472370679-1.7010572267981e-05i,-0.00783743337350248-5.34041046285792e-05i,-0.00782826384580733-5.6171729358873e-05i,-0.00783090364164068-5.058566421069e-05i,-0.00780405022399775-5.02607998701304e-05i,-0.0329615811031302+0.000238672947461561i,-0.00760039851780894-5.06732155571728e-05i
-0.0687678083862876-1.76484487781729e-05i,-0.0222312729446946+6.32057541178458e-07i,-0.0222329986670869+4.36306426280741e-07i,-0.022229722299192+5.54841996581845e-07i,-0.0222350964018986+4.05336774029982e-07i,-0.0174705440569613-1.68156349198253e-05i,-0.0222754992514271+4.77692361942498e-07i
0.0806195659705048-5.65737769615169e-05i,0.00851330583304231+6.34681149820445e-05i,0.00850210438667103+6.39041617482363e-05i,0.00850484589460354+5.83680675300951e-05i,0.00847883495203628+5.7455109530432e-05i,0.0324838157843661-0.000308437106238421i,0.00828440302392107+5.9515898504994e-05i
-0.236195834843871+1.32807204104133e-05i,-0.0608791909986105+5.28961150423008e-06i,-0.0608841808460814+6.5642553003512e-06i,-0.0608802319190247+5.34526560485432e-06i,-0.0608906695375628+3.95573447097265e-06i,-0.0479064843438823-4.62514941044584e-05i,-0.060997135674353+4.98102011027435e-06i
0.13788475630439-2.47976633123291e-05i,0.0302851623475958-2.51854313791564e-05i,0.030286128143968-2.34599135759557e-05i,0.0302847440187524-2.37999561802459e-05i,0.0302824854390839-2.27724654310228e-05i,0.0349726893432999+0.00012285629881456i,0.0302472078833948-2.43756223765521e-05i
-0.00390787420563728+8.87050143977757e-05i,-0.00386071681901384+3.53351790552899e-05i,-0.00386447293046955+3.56231281601633e-05i,-0.00386349779720208+3.48285385672683e-05i,-0.0038691747573524+3.44369339945931e-05i,0.00472958940011408-0.000140661374357904i,-0.00394039748673472+3.59450817876089e-05i
-0.0138488473517979+2.39635220714519e-05i,-0.000700728685777031+1.21953638166969e-05i,-0.000697530894135752+1.07272640820766e-05i,-0.00069728572072411+1.15181849618976e-05i,-0.000688595172968801+1.09273900979534e-05i,-0.0122480802197113-5.04351682661128e-05i,-0.000598693484812493+1.20688363449033e-05i
-0.0670052775019105-4.41940396470759e-05i,-0.0192208088591403-4.56631712879097e-05i,-0.0192158836097499-4.70107763586958e-05i,-0.0192159846467147-4.3103595872769e-05i,-0.0192000194150399-4.31625125609804e-05i,-0.0337476034322641+0.000191919179092487i,-0.0190832146456111-4.31219791466636e-05i
0.00714513582634218+6.115803191582e-05i,-0.00408809948565777+4.350074753529e-05i,-0.00409245992518711+4.32255130258219e-05i,-0.00408951315560876+4.18547393774028e-05i,-0.00409662738785917+4.02072783899539e-05i,0.00243007989840203-0.000182751449666548i,-0.00415396360080552+4.19338833304546e-05i
0.0660265784239233-5.21979735930192e-05i,0.0165308666612134-2.03703357595082e-06i,0.0165341648904235-4.01878904630868e-06i,0.0165347439472728-2.74725241263706e-06i,0.0165418922397298-3.59924569086506e-06i,0.00573496252710811+2.1460748767909e-06i,0.0166255547590676-3.10573532230616e-06i
0.0623061836136473+1.88587166909919e-05i,0.0105756657872915+2.34388297063679e-06i,0.0105744052258465+1.39817095291567e-06i,0.0105767742521821+1.17257703483924e-06i,0.0105736418341416+3.27611893887514e-07i,0.012805901971779+3.47187540499479e-06i,0.0105533398189339+8.16651159158299e-07i
-0.0539366508161628-5.47676485754351e-07i,-0.0104418641173649+1.16268445753288e-05i,-0.0104447546876731+1.14209800236818e-05i,-0.010443483168246+1.13404862961529e-05i,-0.0104464983615741+1.08561641693707e-05i,-0.00697119741284931-5.80808569376074e-05i,-0.0104746017225429+1.14931891280524e-05i
0.02220313161193-4.14701076073942e-05i,0.0126232520816445-2.84235491502162e-05i,0.0126253365044334-2.84875804405747e-05i,0.0126262527834551-2.65720972011455e-05i,0.0126280587532265-2.616930558188e-05i,0.00909017414068948+0.000123760621908942i,0.0126574801050667-2.8384766345277e-05i
0.0651823514286942+1.2538220032357e-05i,0.0134863049005255-7.31230877719789e-06i,0.0134859411535957-5.94853950780238e-06i,0.0134848668380288-4.55657092998472e-06i,0.0134838739631909-4.36969035750308e-06i,0.0167605343678292+4.54707971081961e-05i,0.0134596414253387-5.51795776358009e-06i
-0.000914547930169062-5.6452978134938e-05i,0.00557061030472158-1.24397704273267e-05i,0.00557073434369124-1.16952791754896e-05i,0.00557061034526143-1.08423331110254e-05i,0.0055692875378853-1.11781653408811e-05i,0.0066673578126165+3.86285066739541e-05i,0.00556353472468505-1.17344209672412e-05i
-0.0360639160882789+1.54341855804215e-05i,-0.0196956595382532-4.98601595937718e-06i,-0.0196968400884758-3.54191744951988e-06i,-0.0196965057126136-4.82176427792616e-06i,-0.0197050198610636-4.52991009854506e-06i,-0.0119114763808612+2.12041674189961e-05i,-0.0197666369333175-5.28182318457053e-06i
-0.0537492775252133+3.25155777810665e-05i,-0.0133684325370543+4.95411947712813e-05i,-0.013373712740403+5.04959082752306e-05i,-0.0133724235118708+4.51986758807422e-05i,-0.0133901636978024+4.46306079040726e-05i,-0.00147139297585728-0.000221435249734969i,-0.0134852144298979+4.60038043004425e-05i
0.0494773703373581+5.02700821490916e-05i,0.0112618225660121+6.82948252310268e-05i,0.0112567424359774+6.83816167353219e-05i,0.0112579540028507+6.34766750785925e-05i,0.0112460297032316+6.31107286770944e-05i,0.0194537491146448-0.000299599072802003i,0.0111782968287641+6.59248890168383e-05i
-0.0801533503485737-2.86783501097737e-05i,-0.0167955260309711-5.63555937604e-05i,-0.0167919665766455-5.6105074188323e-05i,-0.0167952321507312-5.38203267202545e-05i,-0.0167838886082814-5.21232923274253e-05i,-0.0237868385487765+0.000251992484257638i,-0.0167245518918289-5.45609774047149e-05i
0.0952731215035518+7.62692170871345e-05i,0.0273886293948493+2.42890459429751e-05i,0.0273905619466669+2.25858440423968e-05i,0.0273886083171433+2.41684680620259e-05i,0.0273953305181265+2.41275923916113e-05i,0.0196740246199406-7.84272046574739e-05i,0.0274579219589518+2.46684972749276e-05i
0.109054124030678+1.1079478471822e-05i,0.0274425084765695-2.612552318893e-05i,0.0274458934376736-2.66272033850886e-05i,0.0274452521365226-2.42197152854712e-05i,0.0274549699018507-2.39518146099685e-05i,0.0191474741852743+0.000139377371042571i,0.0275217638828434-2.48496313180211e-05i
-0.00463397682878267-2.18675691759937e-05i,-0.00553285521451582-2.26632300700902e-06i,-0.00553903664580348-7.78122998202706e-07i,-0.00553736642655487-2.88316730844623e-06i,-0.00554734048016816-2.96321391782738e-06i,0.00924356020461731+2.74917311571864e-07i,-0.00566422972840595-2.60123465902733e-06i
-0.00413990997266489-7.28389578303443e-05i,0.00736509880594278-7.78885191058027e-05i,0.00737389667945697-7.80794259204223e-05i,0.00737102799409096-7.2988485637023e-05i,0.00739134029543313-7.16817981113093e-05i,-0.0120041902044862+0.000341196627100932i,0.00755161767372271-7.48881227821253e-05i
0.0766306181234433+5.76742332041199e-06i,0.0124504374256804-1.86467346602387e-05i,0.0124498386258631-1.9069599203067e-05i,0.0124493106540836-1.90428695016992e-05i,0.012451420283736-1.87531325905171e-05i,0.0140146160556106+0.000101081206786842i,0.012436725693284-1.90823306944575e-05i
-0.14803615477238+7.51870711464317e-05i,-0.0455149657885837+4.08392755303097e-05i,-0.0455205194445682+4.21619497798251e-05i,-0.0455175202945929+3.92753561843594e-05i,-0.0455305629125463+3.80199071403954e-05i,-0.0308539998461859-0.000186725470924294i,-0.0456542895842786+3.9674233787075e-05i
-0.0396507571097179+0.000110288614926869i,-0.00588419148066112+1.87172682969034e-06i,-0.00588238889899707+5.23797476770488e-07i,-0.00588071080399563+3.2871393934903e-06i,-0.0058736201638279+2.08878635463997e-06i,-0.0123272733496105+2.4512786836107e-05i,-0.00582362383472832+2.80118246940441e-06i
0.125944373196825-1.28839658513433e-05i,0.0257878048738+4.38572753097654e-06i,0.0257883253598327+3.61230037523498e-06i,0.0257901247418386+3.76327321689427e-06i,0.0257875142508416+3.12337158988688e-06i,0.0262129160897169-9.11697612358801e-06i,0.0257825297843022+3.12763654477396e-06i
0.0359550321804001+9.74411711618084e-05i,0.00403830483101314+3.90741676452478e-05i,0.00403558255644977+3.93373036053639e-05i,0.00403666154082253+3.75452725200254e-05i,0.00402531965858612+3.72710037169218e-05i,0.0130835062837218-0.000143937513753485i,0.00395163075861362+3.75236770278467e-05i
0.0809963280875544-3.1983709879783e-06i,0.0251281703621045+2.69097643118499e-05i,0.0251334101798078+2.53489578938299e-05i,0.0251316444242409+2.48291333737362e-05i,0.0251391604478973+2.4700591841351e-05i,0.00968287787667267-0.000112557197704017i,0.0252643122638278+2.6136243035405e-05i
-0.102927041672613-5.51349873092691e-05i,-0.021114372239407+9.96024071800163e-06i,-0.0211104288954833+9.21380253994204e-06i,-0.0211126880082226+8.50365109916874e-06i,-0.0211052347602449+9.02196528471429e-06i,-0.0325105580489518-7.15643708006393e-05i,-0.0210153736423097+9.7405433897724e-06i
0.0465057182997995-2.32035677266554e-05i,0.0231000213264505+2.43631545840807e-05i,0.0231018551990616+2.40200297372034e-05i,0.023099438013651+2.17880117711082e-05i,0.0230969251483293+2.22132056280793e-05i,0.0185635231348098-0.000117108223915916i,0.0231356544912702+2.24565191577971e-05i
-0.0574333699580124-2.66140380027256e-05i,-0.0192259841929986+1.68399407953525e-05i,-0.0192320593383823+1.8695048142155e-05i,-0.0192287817835774+1.52438281115689e-05i,-0.0192469369747695+1.49140574102051e-05i,-0.0027433329709005-9.84880503101767e-05i,-0.0193820995386895+1.49878574984798e-05i
-0.0524730748186247+5.41477901302116e-07i,-0.0185777533573095+2.05798389613164e-05i,-0.0185843847754804+2.18497797881398e-05i,-0.018582724219774+2.0614153508102e-05i,-0.0185931484005009+1.9409068524198e-05i,-0.0032395473130037-0.000103067520873825i,-0.0187175438913353+2.03135101390143e-05i
-0.0118905610568416-3.71473842413275e-05i,0.00891527730123415+3.94830850070513e-06i,0.00891774610773263+3.65196292676235e-06i,0.00891675034089427+2.78039035098605e-06i,0.00891998965663629+3.77617884638503e-06i,0.000649530073507326-2.56857920380118e-05i,0.00898466032875883+2.80456355820012e-06i
0.00670252781478384+6.72687972413438e-05i,0.00342432277339456+1.43123357621804e-05i,0.00342348546440692+1.37779406845378e-05i,0.00342220969237349+1.32222109027095e-05i,0.00342097790269112+1.30664771082383e-05i,0.0043122782989834-3.44444126525324e-05i,0.00341652520940747+1.36992809846669e-05i
-0.0745222581100476+1.14540958418933e-05i,-0.0227602772218358-1.31563344019359e-05i,-0.0227613673960793-1.24857990661927e-05i,-0.0227602827899864-1.22330519148522e-05i,-0.0227604163791184-1.21461650343744e-05i,-0.0179174989616532+5.63544998100123e-05i,-0.0228006787630317-1.2127853057552e-05i
0.0591893090206728-5.04641394366921e-05i,0.0191162670138823-5.93232545008749e-06i,0.0191201307316155-7.20871994425988e-06i,0.0191206676393727-5.45784620310762e-06i,0.0191257498241899-5.43763571117338e-06i,0.00735482210644741+1.65593339737033e-05i,0.0192215191419632-5.83592300091593e-06i
-0.00969975257061429-1.3068951539355e-05i,0.00110055136801406-1.56480857207315e-05i,0.00109978773132372-1.60226694524399e-05i,0.00110200054847726-1.60103506813051e-05i,0.00110282178586629-1.76607935788768e-05i,0.000958909467058418+7.39753247134112e-05i,0.00110301805519389-1.68840602743086e-05i
-0.0346634494465566-1.81327073085511e-05i,-0.0119343734337883-1.21215388226942e-06i,-0.0119365189969519-3.60399729502146e-07i,-0.0119357138013601-4.29551485859995e-07i,-0.0119403034261507-1.12998959813173e-06i,-0.00543949081460645-4.986188539113e-06i,-0.0119913875796465-1.03041835891012e-06i
-0.0332008114593018-2.74944857308252e-06i,-0.0111477926127085+1.03300255801225e-05i,-0.0111461603094512+1.0395488400693e-05i,-0.0111462498078866+9.60839350214321e-06i,-0.0111464295848835+1.04159602017038e-05i,-0.0132373551341941-5.50651420649238e-05i,-0.0111313582570018+1.03274494396049e-05i
0.113955572291054+2.13007676190312e-05i,0.0285209719937173+8.30393498925432e-06i,0.0285218894765645+7.61472202048814e-06i,0.0285208825257349+9.18182143371701e-06i,0.0285278710177061+9.03893778469568e-06i,0.0223739614216603-1.03710021294517e-05i,0.0285759033213189+8.76472414630189e-06i
0.0214162242257182-9.36635532144546e-06i,0.0069202164977294+1.96583112120225e-05i,0.00692026532044321+1.92547624528449e-05i,0.00691894146382458+1.72638365636302e-05i,0.00691658705376563+1.79244825406964e-05i,0.0061848414077801-9.46775762155736e-05i,0.00692459133445096+1.86806016067501e-05i
0.0506271684557281-2.67007794642289e-05i,0.00908840179201038+3.09420456442513e-06i,0.00908458932540111+3.19504228077061e-06i,0.00908591391211951+1.30418496084033e-06i,0.0090814177779735+9.40461138504218e-07i,0.0162865958412979-1.47603313303508e-05i,0.00902363053418302+2.08979450084798e-06i
-0.0665315361518682+4.07298983419662e-05i,-0.028096059727979+1.90931184040089e-05i,-0.0281045096221882+2.18216614390859e-05i,-0.0280995198228706+1.75828942469599e-05i,-0.0281204696411323+1.60264913177934e-05i,-0.00524558022766769-9.20553302715441e-05i,-0.0283074984465705+1.73649476112973e-05i
-0.0581327039204766-7.48155553638912e-05i,-0.0136847573651444+8.29576684045055e-06i,-0.0136875376806831+9.45498353105208e-06i,-0.0136854214412774+6.1091635242669e-06i,-0.0136962525543434+5.10607636803597e-06i,-0.005475975308822-7.31083775277172e-05i,-0.0137647169115976+6.02370095810206e-06i
-0.0521688806554844-7.69992421730062e-05i,-0.0128449531635603-7.35238667721228e-05i,-0.0128416280829095-7.21088499227764e-05i,-0.0128421501335113-6.95927777535445e-05i,-0.0128350782341515-6.91212896907295e-05i,-0.016148404236073+0.000311671137758952i,-0.0128059379465122-7.15334117186984e-05i
0.0320928954420209+3.75484784268452e-05i,0.00861418126869225+2.90839751444759e-05i,0.00861338334889023+2.87117859682086e-05i,0.00861398520821561+2.68541353970082e-05i,0.00860702928851709+2.68193220665249e-05i,0.0124426838992335-0.00012315044174076i,0.00857615947399175+2.74212527385255e-05i
-0.0643066101162522+4.29450507805708e-05i,-0.0281017291800235+1.87980766170209e-05i,-0.028107034525332+1.99101552210866e-05i,-0.0281047507407275+1.83988111373633e-05i,-0.0281183248991061+1.75993202895967e-05i,-0.00970689327596187-8.69779929596054e-05i,-0.0282685421514181+1.8683810006336e-05i
0.0494952918887125+5.36968888852368e-05i,0.0160659258812623+4.11179147926656e-05i,0.0160655518081369+4.05423585066886e-05i,0.016064316682626+3.87094032238644e-05i,0.0160628381261461+3.86295444870217e-05i,0.0153046182779851-0.000174717101222494i,0.0160689127424395+4.04197112966634e-05i
-0.0378160923656844+2.98000620084165e-05i,-0.0148628458835182+1.92625867034638e-05i,-0.0148660868901044+1.98703791799347e-05i,-0.0148679844562824+1.99883226490711e-05i,-0.0148669618534423+2.04350872078668e-05i,-0.00899430647398023-9.02138111313273e-05i,-0.014913253915879+2.13971688130161e-05i
0.0771994216886406+7.33249367899488e-05i,0.00953165443168679+7.42463670714641e-05i,0.00952084190147891+7.6947301359799e-05i,0.00952704922755478+7.09910595359558e-05i,0.00949853430669561+6.9251827515796e-05i,0.0338984188297455-0.000315909938952538i,0.0092987931603921+7.14070214507802e-05i
0.0493699913389267-2.43353562992662e-05i,0.0105130788244526+2.55161045975779e-05i,0.0105129998202788+2.80261318968122e-05i,0.0105134885239613+2.38329765353635e-05i,0.010500814751172+2.51556961559914e-05i,0.0157857474801196-0.000125085096469556i,0.0104571609564952+2.40176202626476e-05i
-0.00187851104455958-8.05177006140886e-06i,-1.12015244469326e-05+5.26156338268791e-06i,-1.24596944046742e-05+4.0257047022922e-06i,-1.20293642724322e-05+3.93038988926627e-06i,-1.01494315347799e-05+4.15298489014647e-06i,-0.00247583381646607-2.22363995567193e-05i,7.84419153206628e-06+4.12830601827329e-06i
-0.142711470966257+2.52281245390579e-05i,-0.0370665123884332-1.98773740856755e-06i,-0.0370664626588068-1.83857463634725e-06i,-0.0370664955769255-1.22444164814542e-06i,-0.0370656571908602-2.15117339631736e-06i,-0.0361154784326469+3.42727512314813e-06i,-0.0370739940277043-1.57915049325351e-06i
0.102477378115504-6.72830541748985e-06i,0.0279632277908228-2.69067594053942e-06i,0.0279660505988703-2.60505116424581e-06i,0.0279653846359599-1.89946020071327e-06i,0.0279700935567744-1.87457083958919e-06i,0.0217843374982589+1.9556777046205e-05i,0.028020722374335-1.80040269470677e-06i
0.107034560596129-1.27490402924232e-05i,0.0261608142260084+1.17741476741192e-05i,0.0261645169043499+1.07692591771702e-05i,0.0261647701849634+9.27525897684292e-06i,0.0261655392433665+9.04187502522943e-06i,0.0175462924280367-4.98559501013769e-05i,0.0262322025569037+9.91457467532042e-06i
-0.190963852141153-6.21063469735282e-05i,-0.0476731626593857-4.71628923566195e-05i,-0.0476712712817553-4.75595409902594e-05i,-0.0476729558563803-4.38374215437497e-05i,-0.0476637598611381-4.36817911700354e-05i,-0.0496950685322883+0.000176696550889041i,-0.0476454328642039-4.5023318505366e-05i
