-0.0725042868849717-0.00800158764923417i,-0.0780720462646356-0.0347593823091567i,-0.0491718023721813-0.00854961380855142i,-0.0774543811134784-0.00452769919401736i,0.0164022446668592+0.0183331563543025i,-0.0125708332142828-0.0304251882427017i,0.0245343907271925-0.0194604372625146i
-0.0664971433346029-0.00186620163777824i,-0.0286678427715769+0.00254860103053493i,-0.0260690823958455-0.0323588592230496i,-0.0451355817024248+0.021915499510754i,0.0350845748515772-0.00448102370513647i,0.0772611592112142+0.0194469091037441i,0.0247494490116142+0.0276007750977471i
0.010897106366756-0.00391068236674489i,-0.0517507726671497-0.0187663499806133i,-0.000969538428619802+0.010579103910047i,-0.0675001250688731-0.0224603201022005i,-0.0401897988033765-0.00510604617382727i,-0.0304522694624807-0.0348899994037077i,-0.0265034200938928-0.0319475278024171i
0.0232546512462881-0.00373613896915851i,0.0134369339179866-0.00546940248246241i,-0.000386965885667613+0.0103730116155743i,-0.00715348221875384-0.0319231774702603i,-0.0139555414997867+0.00566611762864342i,-0.0660503814841069-0.0386573937890247i,-0.0280917049310671-0.0292007328778866i
-0.0397314106369101-0.000134933093122223i,-0.0723527168951127-0.0406060045881839i,-0.0108500778137089-0.00891848345380505i,-0.0150667957825784+0.0236510186100009i,0.0222883977754803+0.00868793837494481i,0.00398468270248053-0.00947008005025293i,0.0620415445850465+0.0249050794945971i
-0.00687236759506815-0.000190489877758246i,0.0120641722406014+0.00707229793839235i,-0.00893808093492069+0.0164151918509545i,-0.00287655261199173+0.00490458497867968i,-0.0161969235460935-0.00176621165445253i,0.0297853891406442+0.0167177902928656i,-0.0209572218535568-0.0106637673226749i
-0.00401216630553547-0.000275753375802568i,0.0158579854179424+0.00160077976342515i,-0.0183280289197217-0.00301373851539996i,0.0252157798179819+0.000388188709959361i,0.0157322151226723+0.013725965986455i,-0.0177620379195222+0.00494816767314648i,-0.00980536283544504-0.00521693552810666i
-0.0128106065866463+0.00339667342469425i,0.042278257399678+0.0390247789346996i,-0.00159021882457244+0.00339767995759002i,0.0145104453896763+0.0164338098891122i,0.00584267667592025-6.79141284159798e-05i,0.0801921426504479+0.0408119160117366i,-0.00666864674215345-0.00474554678983084i
-0.00474999699705579-0.000684782738907003i,-0.000131670409718082+0.00527963430399535i,-0.00755913692165445+0.0136605456912849i,0.0133652399452646+0.00390300743089749i,-0.0241435346834596-0.00437247044026923i,0.0238476924279419+0.0177993701819067i,-0.0327735619412398-0.0057587881700455i
0.00788593867945248+0.0017457602714332i,0.0192488066861492+0.0082085589576492i,0.0192479079333739+0.0136322637230015i,-0.0175786155427028-0.00873400104803137i,-0.0146599454366568-0.0102616265374166i,-0.0161686928364209+0.00463693008027513i,-0.00121575161755966+0.00677478409785434i
0.00138600859317351+0.00131150881556715i,-0.0324936188186971-0.0304829711003876i,-0.0137378446266908+0.0195905574173827i,-0.0200006543997932+0.0028012888923594i,0.0120559324562523+0.0138899245700835i,-0.0560904492883991-0.00437459082479118i,0.0438053623797549-0.0117661732592099i
0.0227164291005052+0.00343037457055698i,0.0540489001095244+0.013752461336685i,0.0281136430655392+0.0223761762734997i,0.0397405557411534-0.00669547322953903i,-0.0182366597534573-0.00682514373470241i,-0.0288515758818971+0.0122054249649106i,-0.0221949414779522+0.0025560463168373i
-0.00614482716102429-0.00384705120833109i,-0.0245749464121608-0.0048938013899616i,-0.010723918459548-0.0198058922126278i,-0.0289614738200707-0.00768569680696175i,0.0106796822015582+0.00441262257788904i,0.0180840866954992-0.0267057657864068i,-0.0192816181550029-0.0109665841531529i
0.00319810132065232-0.00120163777670095i,-0.0129704624227713-0.014380334238749i,0.0116622330307315+0.00240356842304075i,0.00886555339573998+0.000363503189733393i,-0.00510296153286208-0.0101493142872956i,-0.000170648989760347-0.00617426405217396i,0.000824045914239347+0.00911730291940329i
0.000473349899975233+0.00481222917124711i,-0.00175145124760335+0.00554972663088716i,0.019803875419058+0.00398947915623763i,-0.00844020702872582+0.0131107524572126i,-0.0112674320118096-0.00698755022669244i,0.0118701281470873+0.0147569677933235i,0.0308995320731815+0.0181722570242266i
0.00331510909708612+0.00208120770705149i,0.0166991119490644+0.0132563180734047i,0.0121623308940673+0.0324562281152204i,-0.0219885095286648-0.00247024806262676i,-0.043331428342412-0.00698244309568379i,0.00617150802148302+0.0171345568312995i,-0.0135417865232961-0.0162192230212302i
0.00764244758043592+0.00313564841858593i,-0.00886796306057227-0.00036630457817483i,0.0208975212669325+0.00165969995149471i,-0.00212938236718828+0.00660063733855288i,-0.0181306843690313-0.00521149717432278i,-0.00155725100536277-0.00427456329735897i,0.0420278568445751+0.0159912198272373i
-0.00290650638167099+0.00215640166362994i,-0.0222021820073098-0.00252929459434971i,0.00120096605337182+0.00894223957000061i,-0.0243173016033078+0.00961108924970883i,-0.0161934118240903+0.00392474213858211i,0.0142753572716295-0.00269211296726255i,0.0406222416463962+0.004155091682539i
-0.00144750312676614+0.000832420913056493i,-0.0165534576646627-0.012276676685053i,0.0112927807256982+0.0226244125085887i,-0.0222532806469735+0.00194171850364854i,-0.00657391270845171+0.00538659759166141i,-0.00513017527131612-0.0107567372678756i,0.0221553199170057-0.0109574214696203i
0.00379126573309594-0.00109023180358539i,0.012385491743742+0.00292084091002245i,0.0141382954005657+0.00149065281635012i,0.0161762453950151-0.00581819615510673i,0.00652934054271047-0.00946177533664901i,0.000706683184181156+0.000424081899865972i,0.00138416946355504+0.00628764621541726i
-0.00395486281943312-0.00056684730449009i,-0.00228261755450501-0.00404865002330558i,0.0228804433291284+0.0102887874997417i,-0.0139646015704333-0.000287189533848934i,0.0158876939765473-0.0056141880927604i,0.023934712315685-0.00717842256210799i,0.00882965195379006+0.000325706194968473i
-0.00178084981714731-0.0023413338624808i,-0.0107879120152619-0.00567340335219536i,-0.00761332970095761-0.00368585430768301i,-0.0226806129211222-0.00214738868833577i,0.00339308625120369-0.0039042273177599i,0.0105171601939238-0.00384201612667719i,-0.0119072971307621-0.0107405967152428i
