-2.23197811034861+0.00966858079124522i,-0.601430114248335-0.0513727188293288i,-0.609238374891513-0.131078178613149i,-0.610085834256501+0.0230619519549739i,-0.418346128335845-0.00419746227635122i,0.273330974323654-0.00952272496472066i,-0.72321419772141+0.140553231603384i
0.0303630385166241-0.00504887539553837i,-0.0800687282724256-0.0810253565431921i,-0.0809147150933446+0.0583781001196063i,-0.082680091066316-0.0112489799746488i,-0.0291467177979763+0.029840401541662i,0.0802490048591693-0.00207220230177352i,0.0419503774407523+0.0109420100518625i
0.00230633442401878+0.00404678433764838i,-0.028968643791142+0.000440278280802818i,0.0150077815081999-0.0261515243943373i,0.00409561084568531+0.011505488993782i,0.0227475194572636-0.00377263696465501i,0.0234973541424039-0.000343394053860881i,-0.0087877699076449+0.00514559812671458i
0.0111979273440853+0.00100002461402144i,-0.0190138407632362-0.0312594302886222i,-0.0679408828605953+0.0294808981797755i,-0.039334598742463-0.0103816726998656i,-0.0565392144623632+0.0245656963415918i,0.0973569158230916-0.00486768047572159i,-0.0265493308988344-0.0196850915738982i
-0.0245202981714432-0.00121939220696328i,0.0138508338052359-0.158558983919632i,-0.00690217791582051+0.0264046969745487i,0.014549413175208+0.0211367151320238i,0.2170523655003+0.0503503461527646i,-0.195764353705444+0.000606834696970808i,0.269650123695565+0.0490046337427022i
0.0264198652392559-0.0091440393343036i,-0.0745453605515408+0.0171267347761844i,-0.103313416908391-0.0982809418672265i,0.0284285721374887+0.0335762218241788i,0.140731362256276-0.00446232530015447i,-0.0930333687635854+0.00463909846859527i,-0.0293286626372199+0.0715205839982917i
0.0230858797550628-0.00241441923491706i,-0.142706272486874-0.0503981674552793i,-0.0765477265962002-0.0761099258437438i,-0.0281242802727168+0.0441764562000186i,0.147355428095811+0.00134198604722166i,-0.0368074911159844+0.00198748101589709i,0.015253927801735+0.0771682440877278i
0.00757475055378961+0.000845952998465152i,0.0649208745160573-0.0461290217799403i,0.0563723048105506-0.0122432031084361i,0.0619725719932439+0.0144028399043564i,0.280483279372129+0.00386342303191944i,0.186634099946014-0.00065694273585264i,0.0947717302477855+0.0348908260707634i
0.0137502458945421-0.000562425079372457i,-0.0328453185918053-0.0438166318147372i,0.0244884510921729+0.0255860247660748i,0.0591650517901746+0.0134301070687146i,-0.0525595311790787+0.00544221210554189i,0.137997515594844-0.00118093671855078i,0.0234131406733485+0.00324660696535533i
-0.00789710507731166+0.00138282894449045i,0.0526144709563995-0.0552291269721196i,0.0311774627309659+0.110587711009676i,-0.000788315405286889-0.0263880733881518i,-0.0477623136905311+0.0175526107840127i,0.0392326472282238-0.00601019633303541i,0.00789432435576005-0.0462786916726494i
-0.0035785897738425+3.98748785372901e-05i,-0.0620581766306409+0.026115272998452i,-0.0543091249792368+0.0255498103636415i,-0.103795771593609-0.0172466566844325i,-0.259843649930384-0.00371186387389816i,-0.0956896663146784+0.00305801752924204i,-0.0492272535969886-0.0308230714646393i
0.00351099474025161+0.000310753192029975i,-0.0412217413499051-0.0251987997505123i,-0.0482187400964148+0.0549985755865397i,-0.0532081459060717-0.022673241972037i,-0.147485672582627+0.0233378440639438i,-0.147893423498239-0.00112605908194675i,-0.0283062288640616-0.0376305393887007i
0.0288489720394292-0.00194994340188906i,-0.0897432372405803+0.04944900544557i,-0.110587521201708-0.0381587745882067i,-0.168007935785165-0.0138514547216452i,-0.178649932629602+0.00288709649944154i,0.0719090209416821+0.00106436271069943i,-0.0371533377940563-0.00116709755149341i
-0.00373504856190902+0.00257400632113202i,0.100422990125292+0.0343338048746279i,0.1161501865779+0.0365495774131008i,0.0846821722385233-0.0111257402655949i,-0.0383306455539551-0.0173681094859238i,-0.15314993959085+0.0021830145448832i,0.00108085694255843-0.0408980223110139i
-0.0195222320867973-0.000372997060509936i,0.104068361464344+0.0171491711070934i,0.0453530327705149+0.0109667680089732i,0.0967200495323926-0.0077409906388021i,0.118123234661061-0.00367914868395176i,-0.140586703360162+0.000771713383859452i,0.000328435784617434-0.00944753625954458i
-0.00754139513420728+0.000800500101164009i,-0.108213489160294-0.0643455418563447i,-0.031261735423963+0.0103778960513414i,-0.0371928870406442+0.00814953416440563i,-0.12116808188733+0.0281248760729654i,-0.0828807251183772-0.000552596617720833i,0.0670104344715891+0.00512085859495752i
0.011156154484432+0.000250334192063607i,0.0155366052716497-0.000169197691117521i,-0.0244602604310806+0.0305534587445371i,-0.0218123499029331-0.0188521450968835i,-0.0356143662328185+0.0127287357124203i,0.0978930774954343-0.00431827832071628i,-0.0335042354668558-0.0232352960493821i
0.00382182346108234+0.000373029730833379i,-0.0231637674378287-0.0315444740573781i,-0.0627532679471119-0.0119183807882253i,0.0137321670330573+0.0182835812977381i,0.0399027568932212+0.0125008635239481i,0.0113598905381248-0.00101899432263224i,-0.0280391205465299+0.00691777186517427i
0.0235916700046942-0.00375084940610736i,-0.0261691052929397-0.000259818493454097i,-0.0714482731705687+0.0385134187237082i,-0.110244281097623-0.0143874466081017i,-0.0526191616319037-0.00222502228545022i,0.223735524071316-0.00263769938742117i,-0.0697051770083356-0.00845872951959716i
0.0160633594500013+0.00520808014424965i,-0.0168257316330901-0.0251708260729343i,0.0240502543299375+0.0369159824109358i,0.00183644760376417+0.00177231407761617i,-0.0246562479667656-0.00343683143918816i,0.11430322176879-0.00374039857921564i,-0.0572862764291868-0.024084516692177i
0.00519200974281162+0.00206828137615943i,0.0328395744503451+0.0200533778776094i,0.0651200182143354+0.0102727696693439i,-0.051187327856391-0.00812801068840687i,0.0378509548515301-0.0175409927534779i,0.0244217945551649+0.000753972113629311i,0.0260387304899898-0.00665014494401607i
0.00704556849470527-0.00363738565517171i,-0.0345699238868203-0.0802895069453621i,0.026872939626076+0.0897690311374689i,0.00714579355475935-0.016406661900019i,0.00413538795616559+0.016474008217734i,-0.119512126106628+0.000852058587930092i,0.0592569003043068+0.00193793781340156i
-0.00774783010823888+0.00293249908680294i,0.0301770461981945+0.00220661712735262i,0.0341630050196681-0.014476361872155i,0.0124019188443072+0.00118660646855261i,0.131927962582609-0.00775074757765442i,0.0597970144933017-0.00132399361037445i,0.00893422028204658+0.0123314741923731i
-0.00690176634643934-0.00106270768430019i,0.0495637552418069+0.0480407613056365i,-0.0311122497258191-0.0236145427324639i,0.0157006245980537-0.00115012120755581i,-0.037771410557635-0.00284006029139096i,-0.0745978720152762-0.00151744138200676i,-0.0485823076256647-0.0164160948071147i
-0.0130665182754114-0.000595964466804754i,-0.0112260155554312+0.00391957205092862i,0.0300520394403573-0.0149902662245688i,0.047617629579513+0.00653253671664628i,-0.00121555914804842-0.00145485760709072i,-0.0258043067223366+0.000562981249238658i,0.0129065530009911+0.00889967130464189i
0.00945974674951536+0.0015655268966795i,-0.0195735924238005-0.00939809454647651i,0.0324783262803077+0.00475845467663558i,-0.0567930508870549-0.0020470288432005i,-0.0497846282460057-0.000694128900192119i,0.0463462104523603-0.0003508126222992i,0.0716811679093365+0.00284864899026175i
0.00749036994428153+0.00470105433555208i,0.0373718135081222-0.00368326376935309i,0.0716492330003608+0.0563448052154062i,-0.0321318827042307-0.0241718391241539i,-0.0178128910077427-0.00159355427726004i,0.0945091343074514-0.00229998823335737i,0.0109015051080817-0.0359159817476481i
-0.0114852777622693-0.00263531088930695i,-0.00459610681007243-0.00918064031267197i,0.0413364621921794+0.00108212255425069i,0.0062182784980944-0.00758818790838171i,-0.0378589805777653+0.0091361644410347i,-0.0185115601406073+0.00274650521597122i,0.111093659584385+0.0100554351098789i
0.00515592363153788-0.000474480512626983i,0.005844229946454-0.0316835469505049i,0.0222823020996338+0.0552257366173001i,-0.0413932700748539-0.0199986770287002i,-0.0944570765976558+0.0189081372397944i,0.0162325264014339-0.00137191901108038i,0.0824186002820642-0.0230250534919437i
-0.010331179644671+0.00229133491483899i,0.0183216078359436-0.040458194192723i,0.0394648283848777+0.0650349437037426i,-0.0266811424020313-0.0141619684812274i,-0.0233699504005938+0.00707799638370843i,-0.0261785861446159-0.0017078651516151i,0.0414521889548107-0.0221143575514823i
-0.0131344088942834+0.000352490541990844i,-0.0284570734860025+0.00574257817387651i,0.0290287444049259-0.0121630322226726i,0.00353144614003535+0.00216092587376324i,0.0434399315287128-0.0114961582600394i,0.00756835593310441+0.00172361252029988i,-0.00544408643999999+0.0177185819041793i
-0.0147420795594541-0.000140254468137467i,0.00159412712082103+0.0111810141749034i,0.0252075152637372+0.0248713437596614i,-0.0616043701881943-0.0145460901752337i,0.00639376985640974-0.0149072791812716i,0.00387975761801163+0.000677412959416002i,-0.0157748974451894-0.00132607883197772i
0.00031177510831565-0.00366783866057224i,0.0216387306944182+0.0371161491364542i,-0.00552148973157+0.00069171799335024i,0.0157433177488131-0.0122038100055571i,-0.0212156955242376-0.00671616347797975i,-0.036084651407864+0.00138076900785348i,-0.0316441020230311-0.00262975730249408i
-0.00489812093683437-0.000478385266540614i,0.0132347491825003+0.0240555746538114i,-0.0365053189590483+0.000326639346819454i,-0.0336701266494835-0.0180762566548614i,0.0482577313139529-0.00131365933985016i,-0.0118683047612257+0.000124079660631467i,-0.0563754434177285-0.00351348759658527i
0.0125074621990176-0.000222712118212315i,0.0727959002811562+0.0367292148725444i,-0.0095120316246807-0.0132065286673344i,-0.0118301563194103-0.0125622710690417i,0.0377037642804054+6.38558106439892e-05i,-0.00170858698839416-0.000260216084311871i,0.0104211814287235-0.0115718493001521i
0.0193293318456971-0.00116334011175955i,-0.0244455064748203-0.0268233779265166i,-0.0618787957129083-0.0141896040007518i,-0.0232368520697561+0.00729788560553834i,0.0830810250985717+0.0154245798408067i,-0.0311031075680158+0.000222417525960396i,-0.00179962284933872+0.0118978619507094i
0.0164580304153604+0.000141049681415484i,-0.0765982483665928-0.0160188862439928i,-0.0226758379253901-0.044370662812196i,-0.0071549224379923+0.0257563731425532i,0.0195858887152194+0.000184525863698877i,-0.0672400260567528+0.00209686752710771i,0.00498458537187624+0.026282238235617i
0.00621574759634371+0.00137022425750287i,0.000465454728282095+0.0210590231821239i,0.00671193545416473-0.0268137524697105i,0.049729710524716+0.0209704850348324i,0.0152388907786585-0.0184573761077726i,0.0634389060166471-0.000832609497330289i,-0.0680457335079774+0.00600414994689613i
-0.000582848441354034-0.00207135559506102i,-0.0410883278854141-0.0380640645728876i,-0.00997798556473986+0.0404311188154775i,0.00526592807625838-0.00894790311961081i,-0.0634660782835764+0.0157132061394546i,-0.0266311067324826-0.000449807832747034i,0.0125418969576543-0.00533567405939313i
-0.00345526450282611-0.000573508804872698i,0.0169870653515219+0.0188740407895311i,0.0156182014621809+0.0190021915920512i,-0.0118184702995254-0.0115694170542997i,-0.0792979214107693-0.00253032176522618i,-0.00729876463281101+0.000841510744366995i,-0.00240345014394132-0.0193299457212164i
-0.00714812476549587+0.00338585306247704i,-0.0290157223488313-0.00182031814551422i,0.0291277910517056-0.0229343879477531i,0.0838954139236723+0.0258957929701773i,0.0555449997966079-0.0187333671868639i,-0.0630515671149543+9.269603664009e-05i,-0.0769509826017241+0.0121372021418982i
0.00305026653634189+0.000197394313268824i,0.0303266218909021+0.0410524965464043i,-0.0207467206621772+8.24156131058115e-05i,-0.0392545654345919-0.00983790142084589i,-0.0153013742798839-0.010704600389609i,0.0772833550802755-0.00223455127837529i,-0.0682978100209635-0.0171121735980132i
-0.0171051024254314+0.000337565211289763i,0.0310656748198941-0.0320961051674561i,0.0262847369448159+0.0425115831304812i,0.0636015529253885-0.00315093824597922i,-0.0794291729509265+0.0167276782468618i,-0.0260409173750299-0.00109081417729698i,0.0421165020761017-0.0260596623285276i
0.000729344078556184-0.00156626396430595i,0.0109177486133358+0.0210134194882634i,0.0298117976847062-0.0705719883676038i,0.0570073036725517+0.0170145568989175i,0.031681204786727+0.00264971579961562i,0.021430983016425+0.00167635290195421i,0.090881096633764+0.0293417150736894i
-0.01193664153255+0.00296954195693734i,0.0272692177157422+0.00636276733900551i,0.0631464322215896+0.0279310900701535i,-0.0484581301250565-0.0174077476640547i,-0.0256867159012192-0.00516382773745704i,0.0429337903251878+3.79576762349742e-05i,0.044462879559806-0.0173654655387655i
-0.00615631991844934-0.000225811876384642i,0.0478584515510227-0.0115835746953826i,0.0134178117585934+0.0590414625154632i,-0.0596253504652622-0.0281486656707786i,-0.0567922123514374+0.0127877840901431i,-0.0446322328447542-0.000710635702488787i,0.0480269010809898-0.032907634246987i
0.00466116655161169-0.000713403224005719i,0.00874207471850738-0.0212223280941444i,0.0141710577822292+0.0399133890700548i,-0.0437490281764852-0.012179562342659i,0.00829649626883684+0.000980373930298074i,-0.045248672064598+0.00112973728039579i,0.0366078222783838-0.00354139557496739i
0.0220060867903028+0.00439154121538062i,-0.0543215233944723-0.0554264976357827i,-0.0446500269919403+0.0272507267580053i,-0.0497137376578167+0.00266521687224591i,-0.031617110550081+0.0210985136730312i,-0.00197662671202993-0.00348723705160563i,-0.00564834619610603-0.0143559969949794i
0.0284490781306316-0.00241663413179194i,-0.0338677676096426-0.0137345993274704i,-0.0386366316194953-0.0271948254181318i,-0.00498475690594437+0.00902055810267418i,-0.00969752831850475+0.0145913779600988i,0.0762284157756715+0.00017207454804687i,0.0464783648069309+0.0161940412699747i
0.00548702774965271-0.000829420753364753i,-0.0646114085306786-0.0394347777363919i,-0.0972917410645544-0.00803411386637427i,-0.0317835999086341+0.00803398201511232i,0.0200363398589102+0.0161725988464197i,-0.0288240516428478+0.000900400232051888i,-0.0301448915391496+0.0173889994003996i
-0.00202367261544295-0.0030919240080554i,0.01769940047728+0.048557802161922i,0.0227402149875181-0.0505227068478657i,-0.0320865368749586+0.00610121432324004i,0.0589022196169728-0.0224790363058909i,-0.028458990223765+0.00348601082115785i,0.0360925446099856+0.0310173827298729i
-0.0107160948554446-0.00141472670549452i,0.00714470426263786+0.00708645288263336i,0.0190705377063052-0.0190573425231039i,0.0617700796604973+0.00223780350542649i,0.0354630171467534+0.000728620222085922i,-0.0296303770571921+0.000775206113507703i,0.017753191136699+0.0125482060379431i
-0.00156316717171701-0.00398059531680666i,-0.0501227609303415+0.0179275413159979i,-0.00714653260970092-0.0424743662304135i,-0.0552024197130004+0.0124868280154313i,-0.0434916694515388-0.0147789370970742i,0.0273629303497037+0.00636102299837311i,0.0635070421750741+0.0368446674957194i
0.00433840178896163+0.00254276681100459i,-0.0312130980540983-0.0509505052463244i,-0.00587479572816902+0.0446698865974175i,0.0132701147335544+0.00492117569655567i,0.0332905492053994+0.00376645244849059i,-0.0223437188560893-0.00257795417627683i,-0.0529504956879889-0.00722658594723817i
-0.00903605311675649+0.0013166879681589i,0.0182373529140724+0.0166606615593496i,0.0172569413621734-0.0368383084570116i,0.0674557877900168+0.0169751353069968i,0.0222264378835695-0.00503163951796386i,0.0237987376842945-0.00200958748932688i,-0.0123149749466475+0.00657673969374761i
0.0160493854449262+0.00137195616581038i,-0.0335542210563339+0.00544143995759586i,0.0180716270518783+0.0277340007590029i,-0.111946169416822-0.0131025431792348i,0.00350162595422793-0.0167111641736189i,0.00335875803538636-0.00102883223185727i,-0.0217751495501418-0.000536508707093698i
-0.0164564454918968+0.00478634967524951i,0.00971284917223731-0.0165278740623276i,0.0182307439259469+0.0152464142197308i,-0.0134602696064108-0.00186999979204716i,0.011279483774757+0.00221367188054952i,-0.000426386159586875-0.00114081127965569i,-0.000975002881373069-0.0142560160722514i
-0.000963209150837168+0.00180811057251657i,0.0242037162239441+0.0212136289935747i,0.00533633717828548-0.0157761498004439i,-0.00505595198800349-0.00493666151424658i,0.0416996941800944-0.00461190834007985i,-0.000720764831045313-9.60551857252304e-05i,-0.0109376743444412-0.00185516654867716i
0.0284460834921925-0.00132026973933224i,-0.000420626901179093+0.0432466880342533i,-0.0169941159277082-0.0622679640222388i,-0.0226402832792793+0.0121297390289086i,0.00274582717605271-0.00746032309323356i,0.0217251089698064-0.000720277138840468i,0.0135615141999769+0.0139618261808454i
-0.00173845321574778-0.00152878241543266i,-0.0446170865785269+0.0285191343254183i,0.0370773907246457-0.0246039076720122i,0.00234392051488138+0.00362178490401743i,-0.0935551878277478-0.0170422223977683i,-0.0204630431812947+0.00339814626597018i,0.0292984176630537+0.017345857901866i
0.0194086449008648+0.00177022466408293i,-0.0494486562738016-0.0100319153204026i,-0.027700339625778-0.0159912993190656i,-0.0166110291700973+0.0154864004367338i,0.0394485969877295-0.00354626026952938i,-0.0247309088345053-0.00194664422456332i,-0.0565144177867959+0.00856249270683026i
-0.0112642910093652+0.00659371129196626i,-0.0148580424768518-0.0117187659715521i,0.0397782943834157-0.00951772944618881i,0.035959282663961+0.0210771235996803i,-0.00601630170061816-0.0119931942807188i,-0.0495200892019288+0.00164921018052634i,-0.0163044719033428-0.00612334655774127i
-0.0126999301785839+0.00043059516446513i,0.0536249358673741+0.044276356448119i,0.00278748799583992-0.0617622226115732i,0.0389045379880758+0.00431398515808295i,0.0841884618766468-0.00255499357732665i,-0.0423418092793699+0.00110539542597829i,0.0106121811946816+0.00993014611321593i
0.00318369151796738+0.000921165984549858i,0.0334212886487833+0.037609632761282i,-0.0415035501210903-0.0633241598876442i,-0.0265252063066657+0.00191674673035245i,0.0413861186141622+0.0100186239123042i,-0.0149397176871267-5.58915219438282e-05i,0.0296653040639082+0.00357063246102317i
-0.00919142666253106+0.00281657227244276i,0.0689908505557388+0.0418567918390383i,0.00674976175221532+0.000275528425765189i,0.00214349654749781-0.0107917002258435i,0.0383299087831537-0.0108768256541809i,0.0385562262365749-0.00260173335238635i,-0.0699963653811817-0.0224193552846935i
