-0.0723812922956422-0.00764369607031627i,-0.0724172873964572-0.0428721888522824i,-0.0299958230600179-0.0188431112686566i,-0.0586749651127633-0.0150378452006072i,-0.0116138756215069+0.00158933275219978i,0.0127345856682241-0.0197598457518251i,0.0302428706387339+0.00119029919759093i
-0.0739505189519861-0.00432721448161304i,-0.00674452122517739-0.00794077092635407i,-0.0184182947769517+0.00383548171360377i,-0.0204053427006129+0.0174726002352543i,0.0407236560800629+0.00814045530188466i,0.0406634715430685+0.0233200513823015i,-0.000101824719854472+0.0151830432084864i
0.0112174639529711-0.000750199643801958i,-0.0670096588624458-0.0410585571125866i,0.000851407515772164-0.0175012427999002i,-0.0507775774708606-0.0313944383893619i,-0.0519687574021341-0.0175785903338229i,-0.00598800958191545-0.0360427975481023i,0.0081348851201295-0.0184288290198354i
0.0191013311138335+0.000286499192721753i,-0.0142684227007209-0.0127286857742969i,0.0131252096810379-0.0218301385981698i,-0.0115785744079271-0.0323535437198366i,-0.0394898260159195-0.0157953595228615i,-0.0333773649803216-0.0356562285969144i,0.00270901147004567-0.0168862865699647i
-0.0439166375683055-0.00214574834122546i,-0.0438599613518763-0.0259148085808999i,-0.0173686293185541-0.00682723999000098i,-0.0167363321146166+0.00829478841778382i,0.0138271048728396+0.000379309352906114i,0.002566760533061+0.000193377774742604i,0.0278060085910753+0.0241056725406272i
-0.00217779085251386-0.000146028503609315i,0.0120612906697733+0.00457716400740056i,-0.0046555415235216+0.0183118074915447i,-9.15542806628903e-05+0.0140468506432734i,-0.00156387436139598+0.00977871983925i,0.0153132901169583+0.0124435735620522i,-0.0110399000864829-0.00975807634144104i
-0.00186492386488592-0.000217185741515693i,0.016020701187565+0.0121412326279791i,-0.00706926143312812+0.0024605948581788i,0.0139464731626762-0.00112644843995972i,0.00978707948746273+0.0115528769042483i,-0.00547918169414993+0.00440983649464338i,-0.00232888786463018-0.00175944439344551i
-0.00960351514390397+0.000380738350339924i,0.0438795172921092+0.0357829640809253i,-0.00458533290768764+0.0321223318437185i,0.0212077698350557+0.0344610437131877i,0.0293246147864017+0.0246647888513153i,0.0411437266846831+0.0374615186652794i,-0.0138183604892652-0.00344494152234446i
0.000362870370962935-0.000154871336825643i,0.0100444371184755+0.00771422590437189i,-0.00718362136855704+0.0176918696962224i,0.010972215583417+0.0100880535876056i,-0.00583095749044518+0.00964064306618964i,0.017048372920149+0.0132634807017547i,-0.0190917643203554-0.0100457898093385i
0.00450868916746861+0.00100131230115464i,0.0111750524913701+0.00807807114311184i,0.00820345128764591+0.00466225634306901i,0.000994232491582157-0.00301719630273555i,-0.0126845697000617-0.00659829350628973i,-0.0110802984642702-0.0011316018787745i,-0.0064646932387015+0.000360989528386563i
0.00225105780610937+0.000102179349862217i,-0.0253951860947897-0.0158364481276827i,-0.0130306103222919-0.00779097934086775i,-0.0197751444637772+0.000967684089595519i,-0.0115562426202434+0.00126006192915189i,-0.0206340148836019-0.0129317531321627i,0.0334281100289609+0.00868686481251794i
0.0265269133606848+0.00344010280351379i,0.0432359347322397+0.0226820220816372i,0.0180712669137062+0.0117661572106536i,0.0329050736656657+0.00433447665306329i,-0.00816617467796755-0.00236141454600921i,-0.0238694018299765+0.00410679459965578i,-0.0175343153089542-0.00468429315082679i
-0.00276185120345056-0.00192728015903273i,-0.0360335145704336-0.0244589058371175i,-0.0033449386382814-0.0177132535169171i,-0.0203828512552851-0.017086401687819i,0.00304860475199879-0.00526180492157393i,0.0159915921901238-0.0121745567058127i,0.000244123846519523-0.00670642518878577i
0.0016138984502857-0.00038014574057217i,-0.00841701496147683-0.0142809333582949i,0.00661410997380025-0.00595049608534527i,0.00017811812578242-0.00434432540193529i,-0.00475969891057093-0.0114521848202821i,-0.00510278122676439-0.00698793163635097i,-0.00175245416195534+0.00149076746458797i
-0.00106939695193555+0.00100889816683886i,0.00441064274155262+0.0107762988231805i,0.00528291809947273+0.0130093640855276i,0.000644046843073924+0.0143716151679537i,0.00311931827195544-0.000825672150871806i,0.0013493617504797+0.0108864608733638i,0.00563649873418008+0.0122912004622651i
0.00465320719488077+0.00127711950083078i,0.0103469204522087+0.00992178694359119i,0.00240409118487042+0.0259784175173294i,-0.00586798997286363+0.0120544062951608i,-0.0262091790777717+0.00617355065224485i,0.00236594780498782+0.00709890357362686i,-0.00882645675491805-0.0122260604628953i
0.00238901489852368+0.00141196082936488i,-0.00589661568225041+0.00347031487450244i,0.0100296614876567+0.00337948509358215i,-0.00471033352129087+0.00778934524430172i,-0.00873879545279322-0.0069711928580035i,-0.00970048636261492-0.00214452568437515i,0.0142656983812931+0.011958064493856i
-0.00118261378807809+0.000291385295147947i,-0.0193465829057056-0.000765250619705082i,-0.00688439885811822+0.0111351637482543i,-0.0130886724378124+0.0129008526311999i,-0.00283423437806462+0.00591729695360619i,0.00975167014116282+0.00453070213310093i,0.0173051210666622+0.0091334927070581i
0.000305173116189597-8.36134656096484e-05i,-0.0236521702874705-0.0100650400881365i,-0.00339405879469877+0.005747161665855i,-0.00902629359157418+0.00381644889316837i,-0.00879865611845011+0.00225305405932408i,0.000263055177228818-0.00460446269094201i,0.0149753127417261+0.00125257486008919i
0.000507948722569631+9.10571874594483e-05i,0.0161526449321837+0.00275429130210842i,0.00534894392800515-0.00397604558372076i,0.0117174829385127-0.00139115922971698i,0.00350958448793021-0.00495690372737296i,-0.0037209356774488-0.000997850946663701i,-0.00484901478867896+0.000569277925015719i
-0.00323912866590387-0.000684156078755579i,-0.00814428756783718-0.0116585284371359i,0.000845140215538271-0.00128008916413778i,0.00335185564793686+0.00277611819793952i,0.0127439117472065-0.00199925152922i,0.0109659748421703-0.000261939486270282i,0.00227613624552389+0.00196305045459088i
-0.000662375688290443-0.000657751580672409i,-0.0141953493022054-0.017905044090765i,-0.00220831903973879-0.00765913660998163i,-0.0176883562136821-0.00351469659871249i,-0.00220104163866589-0.00318081786796757i,0.00745071098616265-0.00622252771017049i,0.00125855092057172-0.0068059204020529i
-0.0031653409685413-0.000763217824817609i,0.0132283176533915-0.00249902329166499i,-0.00477844802694894-0.00987478762708826i,0.00239075728932912-0.00610466402886225i,0.01441588959968+0.00312395155354983i,0.0038985119426993-0.00267720794723291i,-0.00312733185625149-0.00549021931533473i
0.00647143534243398+0.00131083344269168i,0.0117060019747374+0.0119377002067192i,0.00740937569151069+0.000249862060305609i,-0.00373778142771498-0.00696586717113796i,-0.0110595960294799-0.00279607593497421i,-0.011020516238808-0.00301014044164033i,-0.00695536984413458-0.00410113006421007i
-4.07744473878558e-05+0.000361684464212343i,0.0229785897071083+0.0153999283042006i,-0.00699347233623443-0.00963287124324783i,0.012604597083325-0.00413588527577995i,0.0106602392248332+0.00377016985059668i,-0.0213229329378231+0.00223652055756673i,0.00199543614101003+0.0087571880826282i
-0.00474637492942151-0.00084935803602142i,-0.000575751393793555+0.00100573526398553i,-0.0105128547014819-0.0195520904153128i,-0.00165316529300601-0.00961164073510495i,0.013850615960651-0.00328551679035172i,-0.0093218764616755-0.000736883856613263i,0.00754511339579021+0.0140230681130899i
0.00240591196860727+0.000198578474312196i,0.0131347363749513+0.00673736229618563i,0.0055560414206421+0.00878613051361733i,0.00904315946024603-0.00122904600789036i,-0.00693705285968704+0.00140142436723523i,0.00603394815665775+0.00413973499938185i,-0.0194310257235719-0.0131425795355406i
-0.00550672690430358-0.000862435693829373i,-0.0198361465325025-0.0106120613911324i,-0.0126878906832789-0.00145732607759694i,-0.0141592010379088+0.00675540690938373i,0.00430891893830573+0.00559359487144317i,0.0121402706438321+0.000573730919941193i,0.0151708608176595+0.00426591303160872i
-0.00371374190994863-0.00102826929178978i,-0.0273284594822595-0.0157825686360676i,-0.00870844159307326+0.00164340806075329i,-0.0247661505565573+6.7149316365255e-05i,-0.0052613572952364+0.00309422753989995i,0.0182383728691981-0.00257532306364689i,0.00853967467569016-0.00486480565563067i
0.00322396870701677-0.00148124455959873i,-0.01139838927773-0.0213496204947963i,-0.00261423478766273-0.0197634855558827i,0.0116490786693372-0.0191560370813221i,-0.000902749819812969-0.0100533686272607i,-0.00385059204230223-0.0131940932763799i,-0.0139764845116438-0.00624965621559049i
-0.00281167518130932-0.000432118126427766i,0.0125724943716071+0.00394564128823064i,-0.00590938814997541+0.00960611150055244i,0.00365448514375087+0.00398461130528875i,0.0109039480368817+0.0120566030423245i,0.0222224687311956+0.00900144955777786i,-0.0129982029794517-0.0132905875400176i
0.0023549574774916-0.000489327919382546i,-0.0337271357144949-0.0192724724085519i,-0.00778572401170466+0.0101823388785092i,-0.0191195742564802-0.000768397351303799i,-0.0162667585151135+0.00619266235547624i,0.00536615766237605-0.0104991531182414i,0.014287732712066-0.00835704557673675i
0.0201450163344751+0.0034631854314133i,0.0190356293479567+0.0127811986915181i,0.022139606788121+0.00731806225137635i,0.0181054429419715+0.00492780661501485i,-0.00979416733023447-0.0124325897491487i,-0.0245723027148445+0.00222113270696139i,-0.0099662720260232+0.00845624615363379i
0.00167957015928112+0.000765888825011749i,0.000688703665343822+0.00439968058261981i,0.0088406285522403+0.0113904099855884i,-0.00248561177582201+0.00703665952064966i,-0.00903747303770103-0.00324046658937689i,0.00324201572208805+0.00186612133153216i,0.0017137601999311+0.00070739039862498i
-0.00215519439685516-0.000391870390079901i,-0.0303039487902206-0.00844645401446021i,-0.00722611244772156-0.00252828623775941i,-0.0250648129461398-0.00267214143100161i,-0.00476673517487773+0.00261828290390782i,0.00682233425156686-0.00720992513270112i,0.0208777567610182+0.00412286585859225i
0.000155740532256302+0.000153064861804279i,-0.0103578950480226+0.000894243091706852i,0.00155555947380751-0.00759253239760509i,-0.00902900669000452-0.000801038522180779i,-0.00519202005712164-0.00549760836636911i,-0.0072400018105118-0.00372191661971705i,0.0133793266843782+0.00997516382343359i
-0.00705540713347894-0.00105367682326817i,-0.00912535301897002-0.000768655308713215i,-0.0222886606649393+0.00211854893761596i,-0.0022400049036577+0.00927969919843737i,0.0159082171259037+0.0120749351146764i,0.00766643773163203+0.012186378093573i,0.00798910832657433+0.0110813955413803i
