0.00527782942236048-0.00200901748164361i,0.0158592888969915-0.0095169250198547i,-0.0195310795254303+0.0209022373756978i,-0.0877354594581663-0.0199853964474394i,-0.0276796403935688+0.01274704080117i,0.0654802237960881+0.00235722417799536i,0.0737357392069806-0.0057480705056133i
-0.00322564326465881+0.000792306497511876i,-0.0069455886803376-0.0209075861857432i,0.0341642498084002-0.0110147735516492i,0.0415534101072167+0.00890498068195091i,0.0173741579921629+0.000484286010639069i,-0.059246449029936+0.00606767389272611i,0.0579289394816541+0.0220925777046291i
-0.0169288637368688+0.00242612147249807i,-0.0367063373601425+0.0276622875395419i,-0.030986081038918-0.0499714432877321i,-0.0560541224540386+0.018241334067516i,0.0551052586989789-0.0158967526879508i,0.0341464240917073+0.000244667330977432i,-0.0323097054090613+0.0259543339821789i
0.02408634677943+0.000203226146571457i,-0.0133045218286429-0.00803312855553244i,-0.0466275751983019+0.0553695293946282i,-0.058765652798492-0.0182955833028489i,-0.039406610205803+0.0100272585649372i,-0.015996091431666-0.00553528681629371i,-0.0727047705581057-0.0354993587326629i
-0.00273971218465381-0.000374014505497076i,-0.0232329779226031-0.00476009525002281i,-0.0526540697251769-0.0192901168396189i,0.0377085752862816+0.00936658026814125i,0.0148022675636337+0.00559652076835164i,-0.0325026812611698-0.000880095849518701i,-0.0435457679572922+0.0066819948263842i
-0.0175196197515255-0.000103378186291113i,-0.0427462629633763+0.00159963225189566i,-0.0189729304359564-0.0419493273118853i,0.0409736868707086+0.0299105045240219i,0.043669770553034-0.0148525316807631i,0.0322651322255254+0.00181679779193142i,-0.049956218255939+0.0271009142237906i
0.00107549803096726-0.00160182003632622i,-0.0100606474594485+0.0105844409386921i,-0.0218456881009846-0.0198251797033873i,0.032267697311663+0.00459699754365016i,-0.00547061356063425+0.00113249893957783i,0.0293035425767052-0.00236645359515675i,-0.040537399631483-0.00329626940224934i
-0.00788435928971495+0.00357456339485015i,0.0589356610989062+0.0562507099647022i,0.0550423503261831-0.0269854437076078i,0.0422546011740998-0.000981695927755058i,0.0193296102975399-0.0222349349448263i,-0.0144709136194972+0.00027977981635422i,0.0108844180138683+0.00788916877650929i
0.0180617301977432+0.00363516996520835i,0.041792946170656+0.030842699642779i,0.0375752596498256+0.0137643746128817i,0.0203441051400505-0.0105840673415332i,-0.0117419650517586-0.00788742359706376i,-0.0757596868686726-0.00414217203826312i,-0.0345023149273788-0.0204653228284714i
-0.00999369024407748+0.00134474347927206i,0.067172095439681+0.0344765726965746i,0.0856407648375077+0.00835563830745178i,0.0336592341969438-0.00822487305337759i,-0.00251595757669469-0.0132904379359064i,0.00769765776175946-0.00107446461258001i,0.0337769055895659-0.0137850931992915i
