-2.03945132622572-0.0364705357278596i,-0.137149998627461+0.0219512507148459i,-0.120660055444016-0.0401951088264938i,-0.134179975637523+0.0153804525300982i,-0.0498218862533636-0.00979120775732305i,-0.0457279395136869-0.0108067318529739i,-0.0387439047131024+0.0232837587519571i
0.00167032284274624-0.00269946188796262i,-0.00554328590895493+0.0268778946125609i,-0.0296650649037703-0.0444068390149215i,-0.0194185077879861+0.00860310047547179i,0.0200205781235615-0.00771899774044745i,-0.0245102083159763-0.00064658538497612i,-0.0153602027399728+0.00945295297148525i
-0.00251692238045595-0.00138675690170965i,0.00508781263826662+0.00523551525965949i,-0.0142545734398311-0.00958080236993592i,0.0187363786609192+0.000283421713593662i,-0.00991394956521551+0.00460995081429421i,-0.0347049095408688-0.00294478449332267i,-0.00234696695536875-0.00742382456999121i
0.0203405845821078+0.000954419496898841i,0.0362556932042175-0.0107376328498383i,0.00812828883363015+0.0202769995933757i,0.0449869103718303-0.00105580685101358i,0.0293091667016611+0.0103287941295693i,0.0491368560880343-0.00300224817205246i,-0.00423974938152307-0.0198064616774237i
-0.0137652870722039-0.00270002269007348i,0.031025006697232+0.0335872255996076i,0.0304223510308294+0.0214636371385147i,-0.0531520537148115-0.0176846110194583i,-0.0438645176275504-0.0103631414989i,-0.0191154675420308-0.00604105334790327i,0.00506974391237438-0.0228150424900201i
-0.0129842338465815-0.00321967877752884i,0.0256749043700233+0.0528143666417327i,0.0260524468194689-0.0238566261925234i,-0.0584677132198696-0.0233154851891948i,-0.0178108700745188-0.0140516276082843i,-0.0794198853999016-0.00145342757963831i,0.0313663445424465+0.00710248343277579i
-0.0169596510212359+0.00146417895165649i,-0.0534230416936584-0.0137552758774201i,0.00948630607862217-0.00882856996107203i,0.00577249548686431+0.0149462108724152i,-0.0686399891023875-0.00790947501492611i,0.0120495742018975+0.00421946925983887i,0.0197159292095433+0.022683511500424i
-0.0176048702875902-0.00450650818322806i,-0.00301733195967953+0.0308974393838275i,0.0029092914701557-0.0239516266280153i,0.00108827502687347+0.00356363488296917i,-0.00699635158342257-0.0149367341836087i,-0.0864224472577931+0.00142263243626464i,-0.0154661630224452+0.00478677315484322i
0.00430002748503962-0.00182946841262865i,0.0138329620565028+0.0293756614811888i,-0.0355057510756633-0.0302093955732263i,-0.034022773450343-0.0140034701189889i,0.0731702735108819+0.0013267616746983i,-0.0612724709069125-0.00348603905064762i,-0.014301263587085+0.00310461300799841i
0.00248595748104474-0.000964994036056854i,0.0255424086978439+0.0214739973663889i,0.0447032744886308+0.0195456277093897i,0.011975364122556-0.0107508064262734i,-0.0259511407886998-0.00435729452233659i,0.0236779310757023-0.00214571534543866i,0.00281447103056614-0.018234380084747i
0.0327504548966245-0.000158079723892007i,0.0183651118101943+0.0262870782551518i,0.0107982592694943-0.0366795950816508i,0.0352675336883337+0.0172920892242316i,0.0633214830672983-0.0127966573254359i,0.0638997242589216+0.00636343167246959i,-0.0187156946802965+0.00801782347070311i
-0.00134141766376013-0.00110449107956765i,0.0224091379877726-0.0217193651674831i,0.000896602064358053+0.0437272343832046i,0.0346719955317294-0.0117655401646172i,0.00138089435016539+0.0185979919067639i,-0.0221614842312919-0.00846860374248951i,-0.010378608117672-0.0314773553253343i
0.0269561644131775+0.00101508595408799i,0.0088032255698035-0.00337853674248289i,0.0225189092484448-0.0122005557723312i,0.0273981483677273+0.0245483540333485i,0.0497389906136852-0.0177597554530366i,0.0557759593202629+0.0110820600829556i,-0.00699763420846747+0.0171757408583688i
0.00398675889500803+0.00384299943839663i,0.0046762841463108-0.0464402577062409i,-0.0235029065632364+0.0154362178617928i,-0.0154933317771492-0.0100284637553764i,0.013228440452227+0.0238642249216126i,-0.0120173024958879-0.00283885753089226i,0.0585160150431978+0.0122566476649073i
0.00465453085306686+0.000108729403477354i,-0.0163321643788726-0.000647461201138441i,-0.0130157666746036-0.00811278540170859i,0.0101305715815877+0.0154197555765327i,0.00559334195423743-0.00362878044549982i,0.0512069603849186+0.00178594054072775i,-0.0279086856019668-0.00156374423319456i
-0.0165632022511198-0.000702053152382793i,-0.0288764642267295+0.00891065724396377i,-0.0114778327690178-0.0243927091254048i,-0.0327661289697533+0.000918195375546718i,-0.0110879138610391-0.00870726502935436i,-0.0460261164039924+0.00376424735579043i,-0.000154901504607956+0.0196573827736685i
0.0099134499842403+0.00125281182850133i,0.00056485620246659-0.0163627553292457i,-0.0106368545728822+0.00531340940047816i,0.0188755569512159-0.00418379510611826i,0.0502686477783378+0.0106937129860446i,-0.00316281358487298-0.00038529276770689i,0.00921516396805623+0.00635912299659817i
-0.00162724070152172-0.0013018711476648i,-0.00515061613132169+0.0355210186807753i,0.0193149403657436-0.0386671295364442i,-0.00108709192409511+0.00621381143400143i,-0.0164343245133541-0.0183066311333646i,-0.0150624116607789+0.00545834315070841i,0.0114994452689046+0.017041596415806i
-0.0161080338808894-0.00236183066128936i,-0.00362258614841844-0.00491229950007382i,-0.0135693397913129+0.0300841818600254i,0.00137109844434442-0.0058397890779664i,-0.0389425824323648+0.0127171406891779i,0.00956249350992977-0.0108068913852587i,-0.0342071069391198-0.0346688862904597i
0.0265886326749111+0.000150912988665709i,0.0464304316720316+0.0230511346108351i,0.0197356209131344-0.00386790166954506i,0.024239908223512-0.00509177444982753i,0.0609469062555929-0.00233773624592715i,0.0501265892943788+6.83694050865507e-05i,-0.0234601762414818-0.013777058569903i
-0.0266684945304707-0.00470178866904844i,-0.0191783798464529+0.0219240299528353i,-0.0209255840650998-0.0155126581235538i,-0.0300506491240352+0.00439649234330926i,-0.00118499863885712-0.0121713820820535i,-0.0713291896879805+0.000328531146549908i,-0.0517186651373677-0.00434760654366922i
-0.0127667309915183+0.0023635985710642i,-0.0200163326348544-0.0207627493116813i,0.00416433175698388+0.0333882218645907i,-0.0444458330229391-0.0089804391699525i,-0.0460830346297022+0.00716075558223545i,0.0366916285892687-0.0037403032280896i,0.0187071431145047-0.0014912936916874i
0.0180764162654542-4.96430175276434e-05i,-0.00410982046011605+0.0426154362766633i,0.00447302032918502-0.0711861262365383i,-0.0353952478899984+0.0112972125539045i,0.0681163088288509-0.0286857688506921i,-0.0212547926749781+0.0143637210787354i,0.00443971887906501+0.042905303236528i
-0.0142653336219932-0.000606373315698002i,0.00600786643577572-0.00386871577390795i,0.0368663532005512+0.0159818548781866i,0.0449626081476228-0.00455293789661047i,-0.0549269682512175-0.00186991486341973i,-0.0401889594893162+0.00289118893053519i,0.0169960030553724-0.0037612680669418i
0.00625838862418571-0.0008739908528739i,0.0186010397523385-0.00572238130562472i,-0.010223892366868+0.0115414493786032i,0.0384591672107099-0.00136253150716534i,0.0156118986125491+0.0076045724365224i,-0.0146583634973055-0.00299917228072802i,-0.0178622619115557-0.0182899111614265i
0.0270071149190895+2.59619721796234e-06i,0.0465376600765106+0.00765742593475218i,-0.00399933741837462+0.00961119898775466i,0.0427562345552615-0.00139072076425985i,0.0720725491329669+0.00749143192162495i,0.0580440717254202-0.00278822559493447i,-0.0411685380115782-0.0294483964981751i
0.0216896301794339+0.0059968612004235i,-0.00466177129064077-0.0466316109715568i,-0.00180561270522369+0.0338780815890046i,0.0129409753117559-0.00984985235804893i,0.031216604594457+0.0217653694868745i,0.0787265540960494+0.000328906322042986i,0.0250932753288637+0.00177420408285165i
0.0180728617483892+0.00247498038678049i,0.0109810164593926-0.00100144103060663i,0.00579760436355039-0.00474893769245019i,0.0398891004654933-0.00671564940227038i,0.0321181931325271+0.00554702301678197i,0.0176571402128921+0.00340381836195491i,-0.000263658567350206+0.00173231438732159i
0.0207519844473627-0.00101592571204195i,-0.0128644372860524+0.0109689920232086i,-0.00600088865535922-0.0289462966311043i,0.00456675529606772+0.0225833468022663i,0.060732407100225-0.0119426318764888i,0.0380123553499552+0.0048742301827806i,-0.0326296725910466+0.0106846920878702i
-0.0103884761970292+0.000568101812438719i,-0.0235821505044216-0.0548792676465679i,-0.0264713458534026+0.0293226324879776i,0.081008844620538+0.00295980067713396i,-0.00994546938456468+0.0256574301052446i,-0.0628065512741936-0.00507189518126335i,0.0100624861635745-0.0033853461323998i
0.00418164023710596+0.001077003686326i,0.00296906287080755-0.0176197429540647i,0.0242507474214558+0.00742233744621145i,0.0368157410618689+0.00509054671638281i,-0.0173912564725201-0.000293937262333518i,-0.0086386212391998+0.00392112282467539i,0.0307255436716987+0.0109823850119952i
-0.0133202865050362-0.00542948459605935i,-0.000619725731819509+0.0445126917725785i,-0.0122390124395285-0.040117554302273i,0.0292760298723701+0.00879904153281962i,0.00372102770747445-0.0135920416156717i,-0.0573677512412332-0.00117934774290913i,-0.0492793188927861-0.00929125976031594i
-0.00605204377159035-0.0033404455969612i,-0.00663878916967785+0.00552432947831003i,-0.044156407765432-0.00467489815554939i,0.0150681137624472+0.00905071713272028i,0.0246480633673864+0.00630784764765356i,-0.0195744601791437-0.00795551701786979i,-0.058284128442242-0.0214430780409178i
-0.02286484816002+0.00376163636932173i,-0.0354075482471044-0.0615528342107238i,-0.0325496867331384+0.045894851029289i,-0.0475356685155205-0.00807167992113354i,-0.0614641462511751+0.022090233876965i,-0.00331454115024643-0.00472546295775904i,0.0358512652701336+0.00100261542767482i
-0.0237478555093176-0.00168275670469388i,-0.034329946938893-0.00573217171561722i,-0.00335826923847789+0.0115720188499133i,7.84865205604511e-05+0.00270923605812398i,-0.0316030472099099-0.00241848755416021i,-0.0345829696114991-0.000131195650858071i,-0.0273661746542552-0.00524696968282852i
-0.00984162255616509+0.000453912798823688i,-0.0421427889636524-0.0197308032827347i,-0.00611133355418256-0.0100521650356792i,0.00806179811812479+0.0192666731978055i,-0.0119727068634982-0.00871088857532559i,-0.0211957972106248+0.00848949254420418i,-0.000736643693093487+0.0231996662002375i
-0.00146838436029904+0.0015777954688418i,0.0362472257110446-0.0128216509026911i,0.0522725952619571+0.0461209132017139i,-0.0246313374686097-0.0158132889917001i,-0.0348028315415233+0.000509407367084875i,-0.00967656690455369-0.000685220437594117i,0.0520931071455042-0.00471088934494822i
0.0114495076399902+0.00303167964245969i,0.0304880972724628-0.000509118987262631i,0.0511985133258387+0.0257467343246304i,-0.0245345816512989-0.015590782132105i,-0.0175580168021697-0.00116642890049478i,0.0583542304486449+0.000854252063910774i,0.0492738119311301+0.00119086470346326i
0.00842502592212085+0.00163038289703883i,-0.0249207565886858+9.30725314317177e-05i,-0.0140270779249149-0.0222481799611589i,-0.0268947418642723+0.00350637988354957i,0.0414480192739849-0.000176718534414705i,0.0322659244418319+0.00274671429645543i,-0.00056282511104564+0.0183807253994541i
-0.00860959089154924-0.000800829787603352i,-0.00993037619806061+0.0127683034311121i,0.0222407115968236-0.00897153760669478i,-0.0167660266911036-0.00326957302264469i,-0.0189735299082578-0.0092661100264154i,-0.0352745135487774+0.00243923212873679i,0.0234499473825471+0.0137506900376814i
0.00599551065808135+0.00274562293245651i,-0.0306719395927769-0.0273016126360461i,-0.000839282477781257+0.01354653094512i,-0.015245387261332+0.00938540433523064i,-0.00926305410745985+0.00331423475047998i,0.0585315767332325+0.00154808348284596i,0.00250618615879269+0.00833683119580881i
-0.0140300378973799+0.000391932700384668i,-0.0268500670166876-0.0259357521716401i,-0.0321491918677855+0.00493032395550901i,-0.0219082407752616+0.00657639355096203i,-0.0281573750838561+0.00558759683316221i,-0.0214518111286337-0.00140155167422686i,0.0110298021619519+0.00912195473215275i
0.0199240837691606-0.00123951900445802i,0.0447779257488748+0.0422826233817054i,0.0148819245785795-0.02107140115499i,-0.0377292354939906-0.014479123907118i,0.0546165505192606-0.00784606553405352i,-0.000834307763627027+0.000551514466660544i,0.00149716061756374-0.00413006925677719i
-0.011176946595582-0.00176484199590257i,-0.00524456580389908+0.00368042651416012i,-0.0328522511107907+0.0131170501610847i,-0.0238118124611066-0.0119944745463789i,0.00698414344830702+0.0113140600637716i,-0.0162776123664381-0.00841985091143265i,-0.0351126517221267-0.0216895666223347i
0.00448201067981472+0.000982528718292791i,-0.0238838036338864-0.0273352999315044i,-0.0486894417450146-0.00362983281336822i,0.00396944891814484+0.0139784515788201i,0.0188549099034742+0.00969158742663906i,0.00774628897129186-0.00167963725953038i,-0.0150112742827155+0.00095462746965414i
0.0152825161968988+0.00297810387734009i,0.00260593509784419-0.0219422757373576i,0.0628248762676462+0.0304475883970967i,0.0116029018196591+0.00847337428662397i,-0.00447940334953232-0.0105901404457161i,0.0542900996024425+0.00757823263808207i,0.0357397783356613+0.014822630475588i
0.0130813746558659-0.00165174466560343i,0.0133683431113617+0.0233503463051146i,-0.000908773613969303-0.00201793186884344i,-0.0201209474705278+0.00531470372763521i,0.0383533170709878-0.00754863257741003i,0.059897384507195-0.00105021527017413i,-0.0522717689979164-0.0197313554802477i
-0.0324042801416056-0.00523358150902176i,0.0228423894565631+0.0514232881531972i,0.0310612594898436+0.00261760874948629i,-0.0703562256980169-0.00668207764224398i,-0.102463432967896-0.0199632979508097i,-0.0290308217128099-0.00700107385871994i,-0.0020032876808532-0.0239227309453301i
-0.0080768203059288-0.00442097988276489i,-0.0195633223247834+0.0320587746696191i,-0.00897890827689387-0.0417719022735559i,0.0240140614007788+0.0116005777125463i,0.0147580947126907-0.0131758146857664i,-0.064146557838079+0.002319682876955i,-0.0383575835149493+0.0074700122657982i
0.0028724118357202+0.00359531813382201i,-0.020009796375165-0.0372094584648036i,0.00255714935082366+0.0301537547941107i,-0.00590478474081533-0.00269922456478357i,-0.00403549576605987+0.00834272765809681i,0.0145901089665464+0.00111208280643178i,0.0210272407225511+0.00830772831297834i
0.0298325798379327+0.00370470726680262i,0.0326296238495496-0.0141251417987066i,-0.0101067741927079+1.62058588179864e-05i,-0.0306627490702409-0.0125370686539119i,0.0725820216878742+0.0141274312763853i,0.0421431985821471-0.00177394138013211i,0.0411850438853491+0.00931492176697098i
0.0217206559590131+0.0014820915072691i,-0.00533759225956187+0.00898323501890514i,0.0350886988345683-0.0331117789825818i,0.0283442068515175+0.00793542408013197i,0.0138005250140615-0.00767458911848358i,0.0271563844422111+0.00921680978601784i,0.0349974277327933+0.0294301901067395i
0.00878925694366609+0.00157648324694025i,-0.0352563193885445-0.0194168748096516i,-0.0544297662861069-0.0228003561766955i,-0.0280510459446593+0.00903377107677257i,0.04796981566768+0.00999560117934082i,0.00994693065613947-0.00147891413072832i,-0.00896590581221231+0.0168778668460253i
0.0191179234807021+0.00106778000297401i,0.0226516494725172+0.000914744889441397i,-0.0155509402180246-0.00230579704648425i,0.0194163292996593-0.00691102811949601i,0.0344182321635298+0.0147672323724679i,0.0420080571204714-0.00493839667341887i,0.0030998038590989-0.012807364671671i
0.022575693285425+0.00365673225621478i,0.00166970861263475-0.0346420663901961i,-0.00660676347415632+0.00182958205928322i,0.0232999240767641+0.00989760138340556i,0.0422788971340885+0.00849345935373299i,0.0358962805108798+0.00363453312393722i,0.025911797856374+0.0153958069102716i
0.0302283073574646+0.00371887743384815i,0.0398561648080448-0.00746122839688743i,-0.0193098756333952-0.00661981133273816i,0.0054482226548364-0.0112661035678214i,0.0639239855505201+0.0148552194645158i,0.0479104618694572-0.00175899864447485i,0.0250598965069985+0.000644100051329446i
-0.0043826627086505+0.00130834343753144i,-0.0206001711626912-0.0184285810760223i,-0.0112604214118208-0.00573937899363044i,-0.0325277963239446+0.00491840674797701i,-0.00660552988394491+0.00174134379548839i,-0.015755251024132-0.000215540446837366i,0.0359694396972041+0.0218720464135823i
0.00584449339793155-9.32830207547423e-05i,0.015071531591538+0.0076420142439543i,0.0037093538649334-0.00125630598851306i,0.0165393713691601+0.0109208066514828i,-0.00751225078274567-0.00401791941928538i,0.0530491646876395-7.85595996115967e-05i,-0.0176929596901606-0.0115483677424078i
-0.00355664209974908-0.00332577341765584i,0.0349235440067934+0.0392524536065567i,0.0638670254828074+0.00249771585035274i,0.0176086982047451-0.00266334450978818i,-0.0323823908524577-0.0215039599125807i,-0.0197493668344774+0.00323385560785638i,-0.00289867313386449-0.0102051292454683i
-0.00334793222699035-0.000558642431496729i,0.0256440588222445+0.00528836653438444i,0.0289544421367685+0.0298709446961623i,-0.049979222620574-0.0109818119586569i,-0.00806901597126117-0.00854131428296269i,-0.00963306931491059-0.000553794597803759i,0.00360437975695896-0.00858693604249978i
-0.00869383534415745-0.000492374057060144i,-0.0357648570882801-0.0161144100901609i,-0.0199011957972235-0.00389479488307706i,-0.0415848432637716+0.00114377070435587i,0.0127487275523811+0.00261629379440019i,-0.0390141251752939+0.000311974543310853i,0.00563685342674538+0.0203356819496657i
-0.000904363057070642+0.0016180971561687i,-0.0217575873255095-0.0105714037698277i,0.004241142468972-0.00546313056838659i,-0.0226373119861675+0.000199369601903967i,-0.00304123622916162-0.000555821364453108i,-0.0082195862251834+0.00251738436437418i,0.0324029653980849+0.0217527405149799i
0.00809489828785807+0.000302092556597053i,-0.00494304168649087+0.00441083645405798i,-0.0145486625032128-0.0293847470019867i,0.0152053487422106+0.0101084788812915i,0.0269319747315545-0.00351918761281814i,0.0124801885623779+0.00483519518760638i,-0.00283599339119543+0.0158722944331154i
-0.007131492611883-0.00100041188599625i,-0.0497259021944403+0.0178810064211094i,-0.00466091802769994-0.0320528912518123i,0.00126750011239587+0.021229370264209i,-0.0223897516150698-0.0136682392115207i,0.0509128017247435+0.00505435700461385i,-0.0369898961066142+0.00985415287129604i
-0.00313386451288082+0.000430560704310994i,-0.0397062589774964+0.00444990910197014i,0.0105299973540509-0.0289343745107111i,0.0263735951343511+0.0106007293139546i,-0.0386638943211145-0.00691369966095091i,0.00134320020977068+0.00762086637066036i,0.00879518336494577+0.0220134291078478i
0.00615042534069511+0.00191937120535968i,-0.0194058819841948-0.0552671541315946i,-0.0403929886434247+0.0304754350235846i,0.0465097528016947+0.00707154733367853i,0.045578814453624+0.0226524751404443i,0.010811353686934-0.00343268580899344i,-0.0238427493191253-0.00523827356315362i
0.0112161070795049+0.00146593456265197i,0.00218160130866102+0.0150188463677679i,0.0302189638173628-0.0200615286155026i,0.04044552057598+0.0115816422429189i,-0.0121420131405315-0.00936431572714418i,0.0998559000366016+0.00621773915260487i,0.0014885530395064+0.00641008258898825i
0.0229902045355034+0.00142984015523931i,0.00682290094818256-0.0166115151949392i,-0.00983099257708238-0.00259443842393143i,0.0539227549551809+0.01280222812108i,0.0495454877367928+0.00577017203596874i,0.0479828809407758+0.00216484499836786i,-0.016907294737083-0.00293125685429471i
0.00963830279300006+0.000123011463116357i,0.0246869206263466+0.00958531938631369i,-0.00479603271048131-0.00492903491305794i,0.0289304922658612-0.00689250923469619i,0.0231358567915472+0.00447866943433045i,0.00276861637758914-0.0014476133466755i,-0.00275206122205566-0.00930408857999699i
0.00849629346750804-0.00420816859853069i,0.0331330538848976+0.059538708968562i,-0.000950385828939133-0.0438435375301532i,0.0340168518309542+0.000710173011942784i,0.0386307132678627-0.00937720456579923i,-0.00843452596396342-0.00325127447902737i,-0.0374387457485762-0.0131837006305679i
0.00471458431394304-0.00407289436141404i,0.00742971935335497+0.0208091147372354i,-0.00770423480480595+0.000252576253162583i,-0.0298132575594311+0.0099027107074675i,0.0620124292973001-0.0114024781121899i,0.0181695242793564-0.00151011599604112i,-0.0702172216417327-0.0176219267120825i
0.0121699876181322+0.00119631082192567i,0.00537024775290556-0.0182184703753142i,0.0320613552178077+0.021822874161608i,0.0143322872230958+0.00646031510390249i,0.0190845225363846-0.00438483534034362i,0.0255854967263674+0.00543597073857674i,0.00527284667943948+0.00357076196533096i
-0.0380656406930211-0.00343813788192017i,-0.0452052245942231+0.000882321567562917i,-0.0485775021866537+0.017604592484172i,-0.0815430835484589-0.00777452945010641i,-0.0338634010171537+0.00251144192100346i,-0.0540429279360456-0.00753423767900906i,-0.0598042484167194-0.0183851431220976i
0.0108989485219882-0.00332140059030885i,0.0523667995352669+0.0251257140569276i,0.00380236440084119+0.0106718864096494i,0.0149437409346714-0.00567103191310236i,0.0512966175705231-0.00334598640550045i,-0.0185730451332819-0.00442330731562457i,-0.0366870616821713-0.0281039687031227i
0.0126363818919398+0.00356205000397592i,0.0234514063666732-0.0245403076945044i,0.00553975084810277+0.0291117525427668i,-0.011780198509735-0.0140409401231193i,0.00085871357730855+0.0192202274115716i,0.0494877580483165-0.00679321366582463i,0.0521810707721945-0.0033788878240541i
0.0161820627105106+0.00361239046994124i,-0.00990783850982698-0.00488143774151175i,-0.0127184314039408-0.0189251062226121i,-0.0504592445889234-0.00158606461368854i,0.0455799783232004-0.00189955628867845i,0.0284286883431146+0.00483420708940282i,0.0233306933373792+0.023503559547194i
0.00908570965148364+0.00208965926395545i,-0.0203984267264355-0.0330216481325442i,-0.0194780267943618+0.0226750745921198i,-0.0407793219099339-0.00297102048576527i,0.0494359006827447+0.013275295837057i,0.0184804328632388-0.00410794367071779i,0.000392190962678386+0.0051297065667233i
-0.00940856180249608-0.000301232679935277i,-0.00706708013895321-0.0201429980956308i,-0.0155863583747803+0.0164797704877773i,-0.0127651275207903+0.000858596974186883i,-0.0105896989238622+0.00518162299929042i,-0.0229014453211394+0.000457772241166731i,-0.0151013103971807-0.00711610578543979i
0.00655393202432772+0.000138135170335184i,0.0229644135871601-0.0144821807269081i,-0.0120747523248694+0.0286019364507022i,-0.0544828915301878-0.0107592725000953i,0.0384570289224694+0.00844097724991526i,-0.00098374113829172-0.0069816592143962i,0.00405180080944356-0.00975037250852689i
-0.00417958272858192+0.000173450613396279i,-0.0247873982707644-0.0087043006509687i,-0.0293390003163126+0.000148103194279071i,0.0174071124820552-0.00355585639979237i,0.022225302198094+0.0121697358568559i,0.000630016076902516-0.00213020543538684i,-0.0325450045907807-0.007919517951722i
-0.0141393135224671-0.00443460321056446i,0.016796095900134+0.0496293163451923i,0.0427688289481736-0.0101377733952712i,-0.014099283019436-0.00967652570971993i,-0.0384763729450541-0.0199910548919166i,-0.0550119043689076+0.0012362142237233i,-0.00581830925976237-0.00686429624035734i
0.0201491691360037+0.00539697670120521i,-0.0148611046121926-0.0620694425167522i,-0.0107766293119519+0.016377533299177i,0.0645169262046231+0.0171745708979102i,0.0362421596515284+0.0143128164234689i,0.0580531536522777+0.0058950736884272i,0.0209146929826677+0.0165285183589936i
-0.00423182930345261-0.00313276548815687i,0.0352818637965469+0.0279302923946552i,0.0141825327056072+0.00757267434682824i,0.0126770598184101-0.00492348699915707i,-0.00997657932085625-0.00143520268084429i,0.00707606467069838-0.00777129057736926i,-0.0186782388362283-0.0282578130498453i
-0.00389408231861917+1.01525471832887e-05i,-0.0177114783120997+0.0138490385712754i,-0.0160210344694587-0.0137173403176871i,-0.0383270390210216-9.78840934065747e-05i,0.00259986128003777-0.00486712366417351i,0.0234871515753878-7.3987280583027e-05i,-0.0239143438917303+0.000849825239666005i
