-2.03945132622572-0.0364705357278596i,-0.137149998627461+0.0219512507148459i,-0.120660055444016-0.0401951088264938i,-0.134179975637523+0.0153804525300982i,-0.0498218862533636-0.00979120775732305i,-0.0457279395136869-0.0108067318529739i,-0.0387439047131024+0.0232837587519571i
-0.00232337276793963+0.00121406551445434i,-0.00306682846002413-0.0286161614897934i,-0.0119545797652652+0.0396137827297926i,-0.0212510319753026+0.00333276432810271i,-0.00521466790725504+0.0101375540617585i,0.063305098109346-0.00404962342356283i,-0.0260790406249477-0.0207514004748929i
-0.00151413904331755+0.00114639190947662i,-0.0092319854394911-0.0194592591139225i,-0.043250546970162+0.00564294104420707i,0.0107084905952892-0.0077666261987142i,0.0369430141993306+0.0187858871804183i,-0.00649739480234863-0.0054196151462672i,-0.0153135377702981-0.00707211179752204i
-0.0058494586276651+0.00493900209213488i,-0.0522311529108911-0.0350508534369291i,-0.0480478451475869+0.0345913676602343i,-0.0844348102740374-0.000694891463244327i,-0.0165976665716262+0.0205056086325514i,0.145923285626419-0.0118274994105539i,-0.013845870341691-0.0117557986593317i
0.00363267185323418+0.00113512904447974i,-0.0220924057359063-0.0317781179310756i,-0.0136286852748601+0.0406737111615665i,0.0134411516561521+0.00264155844325953i,-0.00127872536822677+0.015383884558335i,0.0766026416659385-0.00426782452489082i,-0.0456454007894493-0.0238751080629188i
0.0205106565090519+0.000651287664958451i,0.0207490289237594+0.00835543094000578i,0.0292823059240991+0.00693466947755294i,-0.0188807562871961-0.00365346984398568i,0.0284709059476617-0.0074984441127014i,0.0281415235919488+0.00354417935473848i,0.00495660130800523+0.00319374244096006i
-0.00217047852882483+0.00168001002416957i,0.0110786865372828-0.046054111750474i,0.00524317391872225+0.035746716921932i,-0.00389892654781625-0.00576305711352817i,-0.00887123900628453+0.00891367090711143i,-0.0838917938502711-0.000417255950677152i,0.0613504385279176+0.0122460820134854i
0.0378463328339736+0.00121814227593338i,0.0388405878575711-0.00596751335982408i,0.0190087162671365+0.000111613320738999i,0.0370988349258524+0.00842046433360008i,0.0975225762346569-0.00132449743251757i,0.0483160388966131+0.00403697989482139i,-0.0039870484787148+0.00407033242407939i
-0.0217683540369275-0.00387821121368614i,0.00402118641346696+0.0433325594447889i,0.0117001250148511-0.0166576526597936i,0.00726136545671505-0.00453445217364025i,-0.0479564867478444-0.0127697340277605i,-0.0512984920378947-0.00103498295595818i,-0.0366093536135786-0.0188432927311334i
0.000900771512863155-0.00176353557197863i,0.000471223957399876+0.00770191361406913i,0.0229419534890448-0.0113299658356177i,0.0291742492898737+0.0145077149170552i,-0.00072696107248037-0.0154039910549128i,-0.0184244057903888+0.00636552951687987i,-0.00615334584969213+0.0113780856153549i
0.00628008813230767+0.00406915830505634i,-0.0251035371339327-0.0237067257337018i,0.0209539524543357+0.00620677591953221i,-0.0418581220715597+0.00177669638519289i,-0.012100402235957-0.00272915476397325i,0.0376114247804887+0.00659300387648282i,0.0471319983222725+0.0291427285689002i
0.0148191959076778+0.00226673308394923i,0.03530262146821-0.0279478438427212i,0.0301746959498528+0.0552426500177489i,-0.0122767158371194-0.00708073407360422i,0.00743581237083198+0.0085079478805868i,0.0722296849859785-0.0016157900979339i,0.00774633163750422-0.0215826697738679i
0.00777726557596571+0.00221750031127057i,0.00917969309174336-0.00239836970492874i,0.0298174699213482-0.0168220533201376i,-0.00088858495590238-0.00056688448552672i,-0.0189796921678972-0.0034943727875267i,-0.00220014432636262+0.00417271761470713i,0.0760655680071878+0.0301324627795481i
