0.00273386488040382-0.00131895244143593i,-0.0147339705251762-0.0125299707780981i,-0.00229674135055785+0.0102722630988659i,-0.00310173851680226-0.0134044247724004i,-0.0118650822308534+0.00482081406419838i,0.0178638285458163-0.00902645914037147i,0.0112406244028202+0.00596450337292324i
0.0016868172356193+0.00288270309645182i,0.00883772993074718+0.0238445876318054i,0.00240746357831629-0.0118801450233339i,0.00963866117766585+0.00869624450715469i,-0.00757011312028198+0.00132419702223317i,-0.0031520004792963-0.00272289222832i,0.0217512911148709-0.0162646279065359i
0.00122201974205135+0.00123172046476297i,-0.0177368525619942+0.0295251406212809i,-0.0112647371106065-0.0106143632581928i,-0.0360012083952218-0.0149529873396458i,-0.0381290611440149-0.015734162664044i,-0.03730176435735+0.0159289941666559i,-0.0179174490912486-0.00707612823998029i
0.00717936945483115+0.00249902850427891i,-0.016354549189433+0.00761557569148948i,-0.00229487099909249+0.0131223511130771i,0.00935146039703007+0.00302539818484956i,-0.0101578000508404+0.00990762674236452i,0.0129082803344725-0.00957357094861388i,0.00769676626784394-0.0233493909916352i
-0.00137860707540891+0.00168296566123575i,-0.00793810925626652+0.022542543559253i,-0.0100283407192617-0.0151187025449047i,-0.0112417467529856+0.0141455815021893i,0.025431575456368+0.00652123521556552i,0.0101925883696408-0.00422246632021301i,0.0118655951784124-0.022641585093768i
-0.000670351700322413+0.00105847579992236i,-0.00534224168936792+0.00787858932398384i,0.00311467447297346+0.00758542019638255i,-0.0351145220528022+0.00496399131261887i,0.0215574476863478+0.0080250429999704i,0.0124749474275372-0.00935846421731202i,-0.00293709812566913-0.0263988213511315i
0.00281923444526623-0.000313096016738725i,-0.00434511908292472-0.0107554350847615i,0.0231594121473358+0.0211535599572952i,0.0128055002805816-0.0156156176590236i,-0.0112055702186905-0.00795752630699591i,-0.0102595125652631+0.0110273333884054i,0.00675748094796321+0.00607438347451936i
-0.00179453471381937-0.000194858003056421i,0.0255848972861947+0.0122078542965359i,0.0245315220811784+0.00846354127490679i,-0.0283284806490456-0.0172347974203263i,0.0301899792605361+0.00168760027799967i,0.0186956110364102-0.00706509188914188i,0.0214826141121031-0.00089787948176739i
-0.00153359983748055-0.00182841820566102i,-0.0187755640635542+0.00209917013103347i,-0.0223933229841322-0.0013102984560574i,-0.00846247959656257-0.021692717710211i,0.0234671399065179+0.00610733310003747i,0.0254217606360748-0.000329402791922007i,-0.00776516628124409+0.00713618432016373i
-0.00170303706259473-0.00232670013633088i,0.0180848774005182-0.00119065659235968i,0.0164984920860456+0.0105251503424383i,0.0104332564702234-0.0190122233485141i,0.0225065481562628-0.00409490105887758i,0.00579583368329977+0.0074512006167807i,-0.000270130855493507+0.0134468437098827i
0.0104919345699919+0.000668653427590394i,0.00930764978702698-0.000320470086840582i,-0.0188938082568524+0.00259832411777013i,-0.0123317612072669-0.000180207161618449i,-0.0235134014555176+0.00378274687471439i,-0.0165375689751316-0.0113293236252251i,-0.0172774382193629+0.000559280550888626i
0.00202418181487965+0.00107876686781641i,0.0198340183262433-0.00856801989811855i,0.0215815788516237+0.0185828042850697i,0.0329801023196442+0.0126523837390668i,-0.00259607419670243+0.00238407194335174i,-0.0202872629599962+0.0038888329885429i,0.00301563236054678-0.00833855765241851i
-0.00458703482111155-0.000457448929862283i,-0.00718357717702982-0.0287403387620335i,0.0168446251806819+0.00473305589239564i,0.0384312695926828+0.0203306012116284i,0.0246897623586153+0.00359486413647469i,0.00669549834054499+0.00466755288267874i,0.0213949410456384+0.00265710742562005i
