0.0155695403441939+0.00100239769846533i,-0.00819037400873193+0.00797350724646996i,-0.00418656431854479-0.0135134782612376i,0.0689318937503875+0.0122707853811163i,0.00937641535508942-0.0109574081222679i,-0.0379335912558921+0.00394431928829998i,-0.0569527478884502+0.000589452827633473i
-0.009299295007263-8.96095994560604e-05i,0.0086400079617892+0.01427544172263i,-0.0134913864266371+0.0141790423622179i,-0.00510400208787844-0.0114388975661258i,-0.0118698962616693+0.00415875172371765i,0.0328298630490207-0.00642781480618055i,-0.0349693961695535-0.0191935279766011i
-0.0313110013193538+0.0017067976901736i,0.0255074654830946-0.0196762785722446i,0.0202988964968255+0.0374037832261051i,0.0377449599868415-0.0213298985645103i,0.00911411183276951+0.0131001931792229i,0.00432035056542002-0.00449925260934259i,0.0243939187099191-0.0135141274973814i
0.039268260061737-0.000199417922138336i,-0.0278707790215297-0.0138444911978902i,0.0123972493138647-0.0374070863394365i,0.016325564623415+0.0266322162322189i,0.0422690745957217-0.0110144248110567i,0.0329207240069708+0.00981748661083727i,0.0171997914496289+0.0343358256255221i
-0.0171659899956425-0.000472445887764406i,0.016901234207008+0.00403439668452414i,0.0195204174366101-0.00435247670484466i,-0.0143897484179736+0.00100728271559521i,0.0178580057576867-0.00688198823152351i,0.0370970762058339+0.00298129428582385i,0.0244969268576428+0.00812442381713152i
-0.0312203207828296+0.000341034637966703i,0.0296151250930874+0.00804866214707356i,0.0204250972102418+0.0230580983036393i,-0.0187452879940826-0.0242704906603002i,-0.0168139380669707+0.0118481765771837i,-0.0197806204342119-0.00613968175625623i,0.0516793474843259-0.0189040439729565i
0.00283609962990899-0.00159668281139624i,0.00413972484235735-0.0029425652930732i,0.0189778072024713+0.00274151247137585i,-0.0316171513077929+0.00322326606572366i,-0.00849735309571617-0.00226540726289008i,-0.0191753531934002+0.00264595053459558i,0.0350876596172197+0.00518263035057033i
-0.00172646426425007+0.00490376673697064i,-0.0178545047289433-0.0264412847972036i,-0.0216121979670333+0.0317009396247093i,-0.00559578015023238-0.0122895784942657i,-0.0560452634962924+0.00449992881167491i,-0.0346947215149717-0.00449449926183723i,-0.00355497957061345-0.0135134470266427i
0.0340783842353803+0.00115882612607827i,-0.0299061793661912-0.0219509731877521i,-0.0155351138455658+0.000532357093083524i,-0.0263120112342811+0.00298012456882386i,-0.0139596080484258+0.000966928058509053i,0.0319661772722441+0.000766823820337307i,0.00276294227495265+0.0118252175722173i
-0.00881131339789906+0.00101485148005069i,-0.0447440956063204-0.0248947481278226i,-0.0407298438398919+0.00177809453627228i,-0.0197763049680475+0.00557662984552095i,-0.0271481326386976+0.00794566869929847i,-0.041980564131275-0.00035484614298878i,-0.00392856390108035+0.00294700496393849i
0.0193400963578446-0.00576551196113924i,-0.00751257798345473+0.0159887355474105i,0.0154446366849089-0.0362348260004216i,-0.0345165520343361+0.0174045266763113i,0.0289473762078376-0.00868113175980991i,-0.000357046236138898+0.0101442973059303i,0.0187282012646841+0.028243049667602i
0.0113555871363725-0.000770884418646227i,0.00620239914298595-0.00215052249759977i,0.00261837796567066-0.0204519217314848i,0.0177943544998337+0.0211238356170178i,0.0336059061882504-0.00535122150096932i,-0.000152071324936547+0.00192365544742299i,0.00415944297440262+0.00904710469123791i
-0.0203371710145977-0.00565643869979859i,-0.0339059391148575-0.00442891796343725i,0.000978082465646618-0.024590237238865i,-0.0551269709434743+0.00504843683854191i,-0.00854328661265787+0.00353385361483399i,0.0181364101730233+0.010278332197879i,0.0465237921537969+0.0346429508941301i
0.004528792355828+0.00152816454641784i,0.00289009945135025-0.0177905436981676i,-0.00630236004740777+0.0224026490222238i,0.00939251246373067+0.00478897778399868i,-0.00446793503694077-0.00536651584211882i,-0.0239841950496225-0.000695140031465502i,-0.0300990766038945-0.00843252560405359i
0.0150757741531779+0.00142231027413503i,-0.0179313939900795+0.00340327209903836i,0.00506553220970953-0.0203668587471673i,0.0527634853113544+0.00919314475279014i,0.0253966655426449-0.00666982383379979i,0.0245895839733815+0.00318099302589561i,-0.0298779964974677+0.0107838458270732i
-0.00209031175950373-0.00180526055040996i,0.00157986080756515+0.00611565249566843i,0.00178159178916101+0.00320325963536507i,-0.0357609774981553+0.00331518568864182i,-0.0405025889429874-0.00829991710178337i,-0.0185040825604546+0.00325778835519506i,-0.00656236582112798+0.0019245510926467i
-0.0157003724778981+0.00209329157254617i,0.00723549476136917-0.00329042147349628i,-0.00964244211950268+0.0041401674904043i,0.00394090226262725-0.00559721397934103i,0.0259294091087952-0.000883215071328196i,0.00141596174162707-0.000531238201983576i,0.00295784721595203-0.00155558232203922i
0.0148712833309574+0.000842865537670321i,0.0140828643458281+0.0144128586722896i,-0.0028053767866397-0.00878979220091555i,-0.01400724411977+0.000786080061828349i,0.0198965320022459-0.00652543501139557i,-0.00147640381631054-0.000943253716790119i,-0.00782229241467417-0.00303506477487952i
