-1.98622646541535-0.0407367850954243i,-0.246523238445882+0.0142675778940397i,-0.225181240280203-0.0266086875154984i,-0.212474148100852+0.0332391260424369i,-0.163924630106819+0.00421486144042237i,-0.108222945044579-0.00633095033572317i,-0.16028641405132+0.0146845687270811i
0.00949810440919637-0.0021438175885524i,0.0304123569891152+0.0122162493272132i,0.0289090275353092+0.0167632931173274i,-0.031786864888621+0.0163682209366232i,0.00339236570672302+0.00367045279242i,0.0448842382980771-0.014258162025941i,0.00456805649586398-0.0170615272939959i
0.0112629651209886+0.00216914426681541i,-0.0103040627211134-0.0400081160740105i,-0.0429438457031367+0.0173849398219679i,-0.0225913434042151-0.0144275491036685i,0.0488915273923046+0.0198810039799099i,-0.0236996583401195-0.00839782982736564i,0.018283722336623+0.0189168728001483i
-0.00945463730349749-0.00215973717532068i,0.0143519923689737+0.0149684946007499i,0.0328644882307773+0.0275275564190211i,-0.00535546086300329-0.00408684185109601i,-0.0310388537727105+0.0022457712544437i,0.0406055650734481-0.0042892140429833i,-0.00821564155746072-0.0179639161415114i
-0.0108207541808436+0.000168335341783684i,-0.0264215000411203+0.0253678063958773i,-0.00946688159458533-0.0310094724482994i,-0.0313869778736824+0.00528383174410149i,-0.0274620402965966-0.0169109266341872i,-0.0199410080016175+0.00474151427918728i,-0.0322676318501838-0.00430713082800279i
0.00223215483154684-0.00106304295324331i,-0.00351562092623217+0.019924340385818i,-0.0219650142316127-0.0311416957806518i,-0.0178912314116897+0.0135002402230964i,0.0012678431925564-0.010973002193249i,-0.0220526228966863+0.00334782013310201i,-0.0234142708641994-0.00374520152209124i
-0.00242322911727539-0.000314357782268509i,0.0154750612266817+0.013032940110856i,0.00479701249305724-0.0155511980486301i,0.0116987558841+0.000724398152991865i,-0.0110243535969673-0.00280860912950109i,-0.0197749312481082-2.22355594225343e-05i,0.0165552779382136-0.00604073910149011i
0.015282701420108+4.53543406573882e-05i,0.0176156967389396-0.00727677738613183i,0.00792380074592437+0.00540367289675598i,0.0199955187451912+0.00864811439774823i,0.0486819237729489+0.00976410680936035i,0.04266967440448-0.0044755928282933i,0.0168084330889796-0.0124174779469551i
-0.0111335054635143-0.00233894358619735i,0.0322328247038493+0.0227067847329235i,0.0263217466861653+0.0185647702375671i,-0.019840207506618-0.0134165002656868i,-0.0498975370537516+0.00401488128240475i,-0.00833285479420124-0.0113832492594328i,0.026456090008186-0.00939654896769875i
-0.0101588977696456-0.00112389605211367i,0.0343363445865244+0.0457471553547097i,0.013621957063922-0.0129672252990327i,-0.0169512713119014-0.0319378412230802i,-0.0251614053065987-0.00935473026649377i,-0.0601205060685686+0.00360738224925485i,0.0206490669188546+0.00745842917664193i
-0.0127194070559265+0.00134923861515832i,-0.0301078663809509-0.0140074983483201i,0.00760951618657741-0.00610639553098784i,-0.000302376744319598+0.00759058328436241i,-0.0605169023969446-0.00931441203696931i,0.00234996199972648+0.00345236313898432i,0.0016950590464397+0.0207340959245861i
-0.0121276995264701-0.0017004770584123i,0.009557802306565+0.0297691364867521i,-0.00701522502607782-0.0261917442691209i,0.0124066955793717+0.00234880011043555i,-0.0222760103801004-0.015035883522604i,-0.0622396323029545+0.00833855258650691i,-0.0136447948386648+0.000120873570654366i
0.00678172381590674-0.000132722735316839i,-0.00514245554413197+0.0250667855286928i,-0.0514750596418809-0.0168120026473743i,-0.0361122497146451-0.0198742174426474i,0.0286450300226669+0.00913633841841583i,-0.0375074080884866-0.0081543148380919i,-0.0115230589203889-0.0033876462034227i
0.000780434636029456-0.00132495416984837i,0.0282573660483937+0.0236946017756034i,0.0251628758942616+0.00678327761140302i,0.0240292422313794-0.0114217806315103i,-0.00771986018243939+0.00441184597424055i,0.0264698941919331-0.00282645502587893i,0.0185683090491091-0.00602040964805126i
0.025735053329684+0.000549243520547655i,-0.00261958075409676+0.0184941619642529i,-0.00244394284417887-0.034540178503962i,0.00954056934408158+0.0234873363144301i,0.0718177781188094-0.00887760986143415i,0.0516309418606102+0.00739135255336254i,-0.0185234692494847-0.00474640493823763i
-0.0020088470915398-0.00103968611929938i,0.0142961387130958-0.00799048996696459i,-0.00100799268472812+0.0105307156101273i,0.0499901005737813-0.00423804843256576i,-0.00100680949368786+0.011440011474736i,-0.0082581894140516-0.0018493258533397i,0.0242407959729598-0.0084995658939308i
0.0211738370889174+0.000479109437214238i,0.00799207642685647-0.0128236394081561i,-0.00267083092243384-0.0101709499350191i,0.00469152445036582+0.0318612041737508i,0.0579451998011294-0.00382765003245596i,0.041352105607773-0.000709069779749057i,-0.0132233333069027+0.00973522749118434i
0.00196143269262657+0.00242457878004875i,0.00466919039768181-0.0356068276216195i,-0.0139973668710438+0.00880805937759483i,-0.0137299713821379-0.00989967081674567i,0.0146184818628213+0.00822151819676981i,-0.0109888110174766-0.0026610905426761i,0.0300765319881527+0.0211330051356296i
0.00315892443722553-0.000493988308586507i,-0.00427315672133701-0.00363393460085392i,-0.0101008608061871+0.0030464723912659i,-0.0125628551918909+0.0192598003305442i,0.00484713103786743+0.0029594488060744i,0.0384665811663355-0.00752947087042826i,-0.0245540717999376-0.0123423285530263i
-0.0127958950183258+0.000493464051942309i,-0.0234345195345079+0.0037767483175644i,-0.00268460475659537-0.00844685477244761i,-0.0156109437991351-0.00724276596891043i,-0.0237637301621344-0.0148640012504734i,-0.0413420322369867+0.0115215151580626i,-0.0216908295376052+0.00882243622515202i
0.00937805918322226+0.000854927527080406i,-0.00493151736137771-0.00276051124789384i,-0.0362487028175972-0.0061945383967056i,-0.00914347587501774-0.0100990333632922i,0.0379194967450741+0.013320724005523i,0.00605800440669485-0.00640103854959259i,0.008982526766277+0.0128979547613648i
-0.00066668872191175+0.000175951419064339i,0.00298979949145622+0.0289735512216207i,0.012401968596884-0.0338932129141187i,-0.00264564638927745+0.00317260585334585i,-0.0161567716703184-0.0150499510400599i,-0.00722147496175794+0.00650403933787064i,0.00670125187522467+0.0109532994504232i
-0.0123512323819171-0.0027617785928897i,-0.000587345943340297+0.00211652678355581i,-0.00463325927421376+0.0249130192833463i,0.012573537313074-0.00264683883554526i,-0.0405487346650503+0.00947725510917165i,0.00922792942984645-0.0051194555949527i,-0.0157378360049926-0.0269402933562633i
0.0229118311945933-0.000122635605809295i,-0.0197572728360031+0.00424573460370449i,0.00721722706834393-0.00102787870757074i,0.0212276078809373+0.00296224015526834i,0.0717551132145338+0.0034173401341369i,0.0370440857229806+0.00941191159313298i,-0.0134964569846772-0.0148752823584079i
-0.0190878830574475-0.00258791493091638i,-0.0162460558804481+0.0142112764395327i,-0.0164820993452697-0.00132363333211047i,-0.010139948356453+0.00473827671087072i,-0.0288855130567695-0.0122638105079607i,-0.0567574240674901+0.00837883806211979i,-0.0529484805485137-0.0160782496877884i
-0.0114380873696378+0.000426716519873922i,-0.00162618570334051-0.0184691336993448i,-0.000125766375487884+0.0370021417195542i,-0.0281920007721656-0.0127018128205753i,-0.0424117632958464+0.013895084118744i,0.0202445762601162-0.0145311173309568i,0.00450732047334866+0.00399023355069563i
0.0156536654899589+0.0017972539634112i,-0.0182906329033952+0.0187683061383871i,-0.00668446487945019-0.0365987719843311i,-0.0416413351660259+0.00140286937999477i,0.05528223812685-0.0222396340782596i,-0.0256035508283851+0.0164539012509177i,-0.020883165499332+0.020969058092818i
-0.0122427094796081-1.93513478889864e-05i,0.0186930639681103-0.000261586303588549i,0.0459407143994171+0.00688451826208836i,0.0511603185908347-0.00802114969735689i,-0.0185090450182097-0.0102532494571745i,-0.0345386577450664+0.0142668457866599i,0.0212070156921416+0.00133783186218842i
0.00572123435858329-0.000646043004986752i,0.0150978598933084+0.00165593657411482i,-0.00454318639450042+0.00254680088090087i,0.0169732054680816+7.67454001194636e-05i,0.0168067712024951+0.00983121935554116i,-0.00446969384364523-0.00678380879953984i,0.014609974171962-0.0129644364856229i
0.0214318274139407-0.000716000153893873i,0.0121879159951567+0.00956499164513584i,-0.00351810941046116+0.00284847628808084i,0.00640591439926434+0.00420542247447738i,0.0741345107822758+0.0140756675499058i,0.0598134040828189-0.00769844678027828i,-0.00147439309759956-0.0248506567985454i
0.0156223812246556+0.00299195562303783i,-0.0113514233473524-0.0322443826230328i,-0.00922490314611956+0.0323701844757539i,-0.00416901467270645-0.0229588793215073i,0.0410226209466572+0.0220245606982699i,0.06532345615987-0.00822587406895357i,0.0189999540711978+0.0120060189670194i
0.0152961421164254+0.00225716888859218i,-0.0188670654295688-0.00523304272595608i,0.00636434040888747+0.00318099121807093i,0.0238483873296758-0.0161644032042728i,0.0483096785003582+0.00264206314134717i,0.011055923491056+0.0105763654457834i,0.00431799281074625+6.65986645135659e-05i
0.0167557767357437-0.000298131864806312i,-0.0199931893726554+0.0132118822573999i,-0.0255681686567011-0.0373043583694452i,-0.00210352916932382+0.0266259109710935i,0.0335865912431213-0.00990479736392764i,0.0370108907200203+0.0057664046854111i,-0.0310848993132818+0.0047325899689537i
-0.00619240874971367+0.00090970234573607i,-0.0155085426504199-0.0301422784474885i,-0.0306803790097336-0.00756039252699023i,0.0591728909034607+0.00424667728756869i,-0.0123146666888924+0.00983062818528165i,-0.0449059006441231+0.000281156848927096i,0.0221911557275888+0.0132398042298674i
0.00218000638054942+0.0010074955959796i,0.0203739189323796-0.0108421394909375i,0.0180548063983784-0.00713738694225204i,0.0258512838506255+0.00621530400376768i,0.00972432566977864-0.00470806212027265i,-0.0127559560033317+0.00418788590760009i,0.0255447546968233+0.0159296321117418i
-0.00964888733274323-0.00259087589520548i,0.00854343999499019+0.041019146252988i,-0.00484939104710184-0.0261033585114137i,0.0184503670956188+0.00484619266659399i,-0.00523445717148354-0.0103178151958302i,-0.0369519538413005+0.00456655858507312i,-0.0235974465335808-0.0217687008850676i
-0.00183674024933594-0.00213676962141635i,-0.0240056029534353+0.00689788675320482i,-0.0361871561614514-0.0119297202580435i,0.00217690218290967+0.0206408211936026i,-0.00472470062287792+0.00286221955307141i,-0.0117477442216999-0.00255783096231245i,-0.0343237782796664-0.0249221208441265i
-0.0204920207854679+0.0013204338157698i,-0.00520458387397297-0.0494660105949294i,0.00611205376554712+0.0483259325623853i,-0.0334832805278715-0.00981350678256579i,-0.0620434121833549+0.010031989326815i,-0.0102324520974608-0.0119858484494494i,0.0163896363762143+0.0074394538881846i
-0.0173122794008226-0.000930669002578532i,-0.0265812211472018-0.00242614820992063i,-0.0070811333220289+0.0118037012630378i,0.00993163488623213-0.00718426584270951i,-0.0448896653839171-0.00149863771571758i,-0.0252494716398568+0.00493108873787808i,-0.0180947889061438-0.00145475303967403i
-0.00640174980469189+0.000888575019275921i,-0.0212426649755043-0.0172403098173097i,-0.0129163018792989-0.00918284832112743i,0.000509991690025466+0.0146147085587324i,-0.0222361413636514-0.00927828748265683i,-0.0173102470319705+0.00601672678987652i,-0.015503474258724+0.0187996545613656i
-0.0027509615256787+0.000479757163909384i,0.0252843568163828-0.020857855563758i,0.045168975500013+0.0196936650755367i,0.0130072736499098-0.00319335051728052i,-0.0140375513440732-0.00013063813006307i,-0.0140715169644172+0.00116325529315477i,0.0498584039832146+0.0172898979771333i
0.00697507753235335+0.00112139190319389i,0.017057517223196-0.00952814038387782i,0.0359234450553462+0.0212976518874599i,-0.00989303689006341-0.0137218972730898i,0.0132686350353178+0.00484755659645348i,0.0378786787467514-0.00207247567943358i,0.03757869325257+0.0146324276961467i
0.00752417945160875+0.00152520174492004i,-0.0456546684446872-0.000502326118755828i,-0.030701551670254-0.0139879158929162i,-0.0232374924960488-0.00652185488564956i,0.0155833734326561-0.00153031839105614i,0.0281463272696385+0.00697283500062745i,-0.0212585639263159+0.0149379249766772i
-0.00671402707857209+4.36419682039024e-05i,0.00902811946653148+0.0202048353052142i,0.00487310496965509-0.017283633599972i,-0.0047554950036775-0.0120460508589682i,-0.0278183136586017-0.00837000975405238i,-0.0178358259903895+0.00299510653565441i,0.0170066685337012+0.0211410451047795i
0.00472488296498674+0.00124393925934738i,-0.0321087442391769-0.0278646202948769i,-0.00771448767320335+0.0099009052728182i,-0.00581141289704975+0.0106588454387731i,-0.0182235247447082+0.00373759940071736i,0.0413839783305413-0.00199062817051062i,-0.00959290705600899+0.0116057003042782i
-0.0108250393009112-0.000136113350029051i,0.000473269822215869-0.0215400943274868i,-0.0121834698232544+0.00918899809483669i,-0.0320866412781987+0.0113298709312688i,-0.0342095754042286+0.00133879843903888i,-0.0252295254335648-0.00921015001772722i,-0.00291422669718265+0.00375969225602027i
0.0147001574623198-0.000447377552035772i,0.0250325605106791+0.0356610247095867i,0.00754465422931735-0.0117375073496375i,-0.0171701247081796-0.0187393960365574i,0.043460323007733-0.00099964778920658i,0.00901435454324643+0.00140942484960759i,0.00943954692832108-0.00461812826957787i
-0.00761131319997571-0.00185342557925618i,-0.0104803428580451+0.0107463016457985i,-0.0295848055116919+0.0187824407220042i,-0.0160907594964919-0.0170245413923833i,-0.018769958635851+0.0149377900413331i,-0.00714095707113569-0.00993915181925889i,-0.019395113940792-0.0204071881757599i
0.00212966333617966+0.000401018385229578i,0.000302578392030764-0.0173420394331278i,-0.022096764518219-0.00111235161076905i,-0.0178225442680299+0.0174364696002413i,-0.00242583585403746+0.00601814873472179i,0.0126465910897113-0.013257916296581i,-0.00253067955134448-0.00382386979774486i
0.0105191165472035+0.00167556595496292i,0.00682902597631362-0.0214181311960393i,0.024552968984789+0.00400183929017649i,0.0214250209290785+0.0132172333120841i,0.0151921026697175-0.00230771445241109i,0.0405461070756673+0.0021275679138463i,0.0242542006978207+0.0275912412442535i
0.00958785421424693-0.00185464369177136i,-0.00218573463115562+0.0154919263300041i,-0.00415934364242512+0.00608143947577715i,-0.00595467247299194+0.0113440675322241i,0.0234350841850907+0.00135518677604422i,0.0523172978914934-0.00234463193047737i,-0.038698713926525-0.02509367911654i
-0.0275425228922941-0.00412227956727746i,0.0462050604536312+0.0330141003115001i,0.0539629711339827+0.00711921301812903i,-0.0160605495493402+0.00908913025519801i,-0.0992369064063652-0.0150586358684603i,-0.0212963519019253-0.00444281442979552i,0.00946110578495951-0.0197294196919567i
-0.0026470244454574-0.00130615493681534i,-0.036560958173945+0.0269190216569354i,-0.0206193941161525-0.0407024929422564i,0.022563535343+0.00775994621469959i,-0.00392964413221822-0.0178352436756397i,-0.0521830167902995+0.0200162291507099i,-0.0339324105992508-0.00146237287770886i
0.00221347026362931+0.00192863282799551i,-0.0112687779824157-0.0265956051392429i,-0.00735947687038647+0.020271829265939i,-0.0034649137126519-0.0102201693393561i,-0.0114959418311835+0.011081170987144i,0.0133620417520921-0.00732010733270198i,0.0159998320313828+0.018810524040456i
0.0222364177512546+0.00245400696602602i,-0.000331889278917628-0.0160939029747593i,-0.0117329571037708-0.00294594243884301i,-0.0296016676793162-0.0076624942836342i,0.0672546524056765+0.00753202520375121i,0.0324295566259066-0.00292164790853596i,0.0214501912677+0.0132940656128787i
0.0146948747244228+0.00200117937020225i,0.00565345254875402+0.0143301104082305i,0.0176646748281536-0.0401069933104298i,0.0353152781744302+0.00125670357164794i,0.0343982293817347-0.0176686301903861i,0.0198919409682072+0.0195685603712979i,0.00922678047770424+0.0263756790798179i
0.0072223958614172+0.00155654300492616i,-0.0408659099265714-0.0131379796616422i,-0.0429010645759331-0.0177046039778894i,-0.0287773870203824+0.0063488799120859i,0.00720523770472194+0.000913125725250321i,0.0103066481228564-0.00178614913507081i,-0.0214953481388432+0.00950856020569924i
0.0157345576199271+0.000479479068962097i,0.000906008503975257+0.00484167067541988i,-0.0146336573489496-0.00555971185567073i,-0.00904693037288701-0.00493114688851263i,0.0384017528780877+0.012348065782511i,0.0368558858957123-0.00619891458557603i,0.0147766258534498-0.00751057922052184i
0.0171326860090788+0.00257007923956635i,-0.0117328185768892-0.0323582108194867i,-0.00740751402934009-0.0104898414651451i,2.21695530167585e-05+0.0168995630149507i,0.0473825304151025+0.000887548288404802i,0.0260370712914485+0.00167209568794796i,0.0166738429241423+0.0195627727358745i
0.0241012392782264+0.0024033946801767i,0.00642176852855866-0.015052302072315i,-0.0117928745916884+0.00655778132828809i,-0.0265529348863902-0.00784939084713866i,0.0786814498758859+0.0154941160536101i,0.0333100398071162-0.00939679312921763i,0.0185928203216049-0.00462970316049492i
-0.00249735548611424+0.00123727366543242i,-0.0240961642173549-0.0188272008425522i,-0.0101770271759421-0.0161108463085244i,-0.033785298479885+0.0089713742676195i,-0.0223700064160224-0.00626899729899411i,-0.016100626822816+0.000717865008055238i,0.0168310380859363+0.0274373118810252i
0.00385142999692214-0.000634434106756303i,0.00013067940442061-0.00500628307965947i,0.0162324587771573+0.000256146965460405i,0.00574557927421386+0.0261781328356533i,0.00909354913713241-0.002075093728808i,0.0372637806388735-0.000810814186230488i,-0.00939272916778206-0.0162915196776343i
-0.00258553432554788-0.00202658164593118i,0.0245386515982925+0.0240734987918385i,0.0483070590945561-0.0077379178539567i,0.0389081544945812+0.00337840638523771i,-0.00899636215036317-0.0140864410786411i,-0.015385890165705+0.0123224704656714i,0.0147598779526294-0.00228228357784278i
-0.00279901493014253-0.00102955530202622i,0.00660654775362098-0.00723116520299833i,0.0261691988520834+0.0241631321035179i,-0.00266839263453359+0.000536204831018568i,-0.00941382484985513-0.00336662270820231i,-0.0129513161376046+0.00257795374575719i,-0.00367292089862507-0.00450388034428346i
-0.00560664341785916-0.000169268992192503i,-0.0227612857813348-0.00359950887448523i,-0.0432198673877541-0.0102674901659955i,-0.0131936322995587-0.00448822635305342i,-0.0219931806624448-0.00315505256614312i,-0.0325125998770562+0.00393067779880992i,-0.0269613662808523+0.0202799377901069i
4.21907137267091e-05+0.00162453266177472i,-0.01979582903433-0.00567876389717134i,-0.0122972745599243-0.0137307933232924i,-0.0125939207987523-0.00697124326485078i,-0.0189018143424164-0.00272619192134198i,-0.00410080793127038+0.00248132673327448i,0.0112803575091325+0.0271024079931364i
0.00599138971539421+0.000436290066360761i,0.00401882994178543+0.00678176764139795i,-0.00674621767063061-0.0167602096977478i,-0.0120803180151682+0.00952593771642666i,0.035662562352306-0.00677640837659778i,0.00540749717529537+0.00313411636686633i,-0.0212701105952771-0.00222672966949438i
-0.00541078455166519-0.000611353089243069i,-0.0396708376628453+0.0141262575125472i,-0.00886401928237257-0.014167215350868i,-0.0018129329744422+0.0119566061112405i,-0.0336695206736922-0.00852293667390534i,0.0425923711817852+0.00551579136882761i,-0.0450303240914916-0.00392954890505268i
-0.00412811433721101+0.000955883226672183i,-0.00719460317894757+0.0180656381881482i,0.0229477238973237-0.0231334505551511i,0.0225132628285496-0.00559573291601171i,-0.0249881513955172-0.0170618485727125i,0.000959116751173767+0.0155522391923945i,-0.00450238661612173+0.0120555733458388i
0.00733957965605928+0.000862562784448626i,-0.0347056087674832-0.0407569610174085i,-0.0511186043897798+0.0162876554357138i,0.00938585979267489+0.00838429713300236i,0.0364440276704081+0.018343152589125i,0.00402443232660202-0.00602344057532607i,-0.0182060359922805-0.000990598339064667i
0.00709999914384276+0.00049267219266191i,-0.00171392578278669+0.00382275702583532i,0.0238153799311697-0.001404738127251i,0.00590002527404681+0.0102919688798347i,0.0344997243031083-0.00482674472755219i,0.0713979774835385+0.00553521100287487i,-0.0116981278569821-0.00512809507338288i
0.0173595667301543+0.000878879742738409i,-0.00409342747508963-0.0124381293064097i,-0.0109159748053872-0.00760242897569029i,0.0215842502124181+0.0161207812681308i,0.0576595587620341+0.00497563471227901i,0.041854001662217-0.0007268698103235i,-0.00250969232658046-0.00333141759089318i
0.00916316730743063+0.000216511351369162i,0.00316144358056827+0.00931369801786268i,0.000359309209537768-0.00363084947503251i,0.00189913925134534-0.00687220564489657i,0.0318688413025448+0.00630346320396931i,0.00703182388692538-0.00200004847009584i,0.0106476433865671-0.0106382227856241i
0.00901310888207801-0.00214741983101842i,0.0111782513135755+0.0516826895830985i,-0.0128653951168955-0.0370269394542039i,0.0105989055605383+0.0049877096009325i,0.0378211040145402-0.00265706577088036i,0.00028493148474034+0.00169274577128559i,-0.0185171826857184-0.0243353131789036i
0.00404487479194933-0.00330635927627189i,-0.000947923786524543+0.017296934385265i,-0.0348529458297834+0.00418749213708349i,-0.010015158728338+0.015031907861602i,0.0265572009346193+0.00302065752906007i,0.0223968773037945-0.00458841938135069i,-0.058902208304482-0.0232290583456567i
0.0092032100050943+0.000574810814413562i,-0.000419127170267571-0.0133789210161665i,0.00931963259092598+0.00248757832804335i,0.0188667907906735+0.00734303585489076i,0.0220662404101062-0.00200221726190176i,0.0262436870876757+0.00586715824946406i,0.00548181118303144+0.0144945439504956i
-0.0300369366684303-0.00297912962243823i,-0.0214583331534647+0.00582950624142595i,-0.0239706143674715+0.0369491888388409i,-0.0353718070880816-0.0156857390542494i,-0.0801623998089167+0.00373556024446944i,-0.0453527387502719-0.00710610380032125i,-0.0540481225998969-0.0264410063942681i
0.009634012202021-0.00255985575683058i,0.0398298906224708+0.0208097166886392i,-0.0109791097550958+0.00263111015951938i,0.00942018092258375+0.00703572650861162i,0.0435131683275683+0.0128235291910442i,-0.0047926151036509-0.0140350921612192i,-0.00320895994539788-0.0269747944345213i
0.00904144134363077+0.00150381498276078i,0.014654854635147-0.0206428989144216i,-0.00965380557494506+0.0124352688670754i,-0.0139843885244527-0.00722389654897812i,0.00989730656951858+0.020918289083745i,0.0407381505187339-0.0172262249688911i,0.0440773383125448+0.0134518335362722i
0.0124528335224279+0.00277465002598992i,-0.0245286285874407-0.0116110138708369i,-0.0089995553606332-0.000737163843677719i,-0.0573070217830641-0.012559649909305i,0.0265332092516798+0.00115474939495825i,0.0239604628655362-0.00207987005325087i,0.0108900845814119+0.0214958660863649i
0.00900370786503795+0.00110288390896131i,-0.0494614665997107-0.0260254260676051i,-0.0454589163912782+0.00215104658405706i,-0.0140665330564008-0.00132911828369372i,0.00433258641412679+0.0105448458140253i,0.017607538051265-0.0023719782952374i,-0.01397499613007+0.0187631755422808i
-0.00927531413794584-0.000433362498584753i,0.00170254111642179-0.0170131790700586i,0.0122788062889892+0.0164607621804211i,0.00793101874502676+0.00505227218769638i,-0.0125125123394149-0.00623468758544393i,-0.0216703282286343+0.00696788358361137i,-0.0147527686146702-0.00851353628718406i
0.00680055142972361-0.000685560668232129i,-0.00794139489458025-0.0186634423516035i,-0.0211693413441438+0.0155550044413755i,-0.0321207277380336+0.00398575728421876i,0.0141954224466813+0.00873278080405993i,-0.0045731493760522-0.00678037575942697i,-0.0042055770686303-0.000804121712878135i
-0.00274800981478196+7.74923776899704e-05i,-0.0281943155341955+0.00428960936934903i,-0.0275097582413196+0.00919023781070177i,0.00782915227132512-0.0186849855476368i,0.00735039081155916+0.00967309447753734i,0.00822393198357823+0.00106040838262174i,-0.0279903869874608-0.0120350117819857i
-0.0115824847785571-0.00238244131316354i,0.0311527874619226+0.0426379017042822i,0.0287831972523146-0.00972035494685156i,0.028184829824468-0.0118126465006801i,-0.0339989496495394-0.0142126339700332i,-0.0411290240800182+0.0101377101352283i,-0.000436827829577691-0.00697325299956316i
0.0162384254372105+0.00332215412699182i,-0.0232315764981748-0.053717780896445i,-0.0139153746990566+0.00460331162239231i,0.00765105000188791+0.0195608843767016i,0.0554145358273766+0.00797259311198072i,0.0421313051352372-0.000926006399146615i,0.0123957824267978+0.0208073446803106i
-0.00194636634130738-0.00258588220337033i,0.0115421843418777+0.0167485721395922i,0.00758374105248389+0.000293865853449475i,0.00572926593064829+0.00730211663556631i,-0.00455791088216001+0.00619173932735219i,0.0103744545699281-0.00618649121209578i,0.00953450312581749-0.0196772092032827i
-0.00304637865143003+7.76122696275772e-05i,-0.03180415682269+0.00575479778944694i,0.00391186720194167+0.00784197821132029i,-0.0280718445134381-0.00720046508779015i,-0.0117999914550347-0.00525570024321289i,0.017915380467899+0.0039619217098707i,-0.0282047538874998-0.0103129430364627i
