-1.98622646541535-0.0407367850954243i,-0.246523238445882+0.0142675778940397i,-0.225181240280203-0.0266086875154984i,-0.212474148100852+0.0332391260424369i,-0.163924630106819+0.00421486144042237i,-0.108222945044579-0.00633095033572317i,-0.16028641405132+0.0146845687270811i
0.0293403343414063+0.000998577305395166i,0.00562065344148577-0.00952475949480638i,-0.0124846090350862-0.0173148446226425i,0.0209224743280605+0.0187530334842694i,0.102323389848459+0.00260870926024245i,0.0413832339293215+0.00380931632872117i,0.000596720420866808+0.00752726458189999i
-0.0169313467617652-0.00172111171171928i,-0.00220590419583058+0.0309119951613909i,0.041380640165808-0.0026583824767193i,0.0259470673274279-0.00739876896152973i,-0.0401898594318347-0.0164880406450983i,-0.0387472433867933+0.0151637720514416i,-0.0102380685216902-0.0244132480196161i
0.00093912782723787-0.000840048379476471i,0.0108056529153001+0.00756191544404682i,0.0160014197115478-0.016475066599255i,0.0197645491041118+0.0185933982857337i,0.0157794049694377-0.0168245018509714i,-0.0209346205338274+0.0116838389280423i,-0.0139118238781424+0.00449171145223832i
0.00367209140033096+0.00238258951516157i,-0.0162828185549646-0.0234253319604282i,0.0110201437721446+0.00651994531333393i,-0.0257055929410455-0.0042319622427432i,-0.00611966133134476-0.00572870840420172i,0.0172103794599972+0.00576232639322668i,0.010767561341611+0.0322386267254504i
0.00750046219995999-0.000448640238307658i,0.0407000596865481-0.0255435234686942i,0.0228134413379512+0.0426251230028236i,0.0138033309496112+0.00394752800600899i,0.024928536452564+0.0140114862853992i,0.057526156970382-0.0112124441560639i,0.00927606496503746-0.00762931951021583i
0.00514519438044362+0.00221167096251831i,0.0189448835816104-0.00430263707848016i,0.0171730687480143-0.0266096078916533i,-0.00329103780499213+0.00200415416958625i,0.00681369901459346-0.00969646745150908i,-0.00833940708795113+0.0043500348296794i,0.0445331928918006+0.0344814638815726i
-0.00603248484242714+0.00192862397689534i,0.007025622392065-0.0222015755962088i,0.0145884972975568+0.0190091705196552i,-0.00200211758347024-0.0178577758914723i,-0.0400759317357419+0.00631287619379879i,0.00364159911940763-0.00422033912974835i,0.0360343600023897+0.02035940169215i
-0.00511753378374012+0.000406838656833394i,0.0135930084388181-0.0184574127940574i,0.0152396360041892+0.0154217157807868i,0.0230451101755165-0.00922856571316569i,-0.0131580175702157+0.00283814523492449i,-0.0221333845640424+0.00200754378315108i,0.0291090733939671+0.0144482249579591i
0.0046927507736846-0.00103346490401203i,0.00900609648365518+0.0196874981105958i,-0.0217185457212325-0.027981828884619i,-0.00865263122019187+0.0155328716211013i,0.0182705584263004-0.00193067184280007i,0.00845289155960436-0.00438791917242783i,-0.00994102406958424+0.00405693741025681i
-0.00556194255231676-0.000846533746478746i,-0.0260748692765764-0.00634203803037305i,-0.00587180599836103-0.00543301239555288i,0.0082570793166089+0.0156220907551877i,-0.0296312437317811-0.00620474400502359i,-0.0138130221484783+0.00545570214218682i,-0.016964838619529+0.00840826939331743i
-0.00813883666346966-0.00194480297386515i,0.025506715848273+0.00163378638396403i,0.0315593166054512+0.000297623394496634i,-0.000182215055239199+0.0256355252625394i,-0.0217103691307766-0.0127269187820345i,-0.0188766466392573-0.000644155858244794i,0.00238122004063889-0.0124407439706444i
-0.00222557757541555-0.00240450050165706i,-0.00640415404816133+0.0106298322293234i,-0.0340234650916627-0.00596403396798262i,-0.0261822819827224+0.0127090115884589i,-0.0114026589676296+0.00763438918952903i,-0.0128467433513508-0.0113956380637204i,-0.0165432389495511-0.0208713647320624i
