-0.0100852177893057-0.000500018688005797i,0.0217896697544835+0.00982509168611354i,0.0146235118365776+0.00106844105930759i,0.0317799044962345-0.00975523414081313i,0.0161550367889103-0.000517123511243828i,-0.0142519143931759+0.00749338246077693i,0.0148930250135693-0.00808895106261566i
-0.000396481440159893-0.00111445482262013i,-0.000720416820865949-0.00586193484008389i,0.00381558179134417-0.00372625322225334i,-0.0107798856591559+0.00632985817065285i,0.00227230070057147-0.0023092008536846i,0.00109714876857495+0.00400030911023661i,-0.00266115515543917+0.00298992370654914i
0.00657848815871678-0.00078870647433947i,-0.0145909176107938-0.0150679737395373i,-0.00101675181856651+0.00882716438325744i,0.00488452066150719-0.000852486529519963i,-0.0187394320052446+0.00242329520756914i,-0.000811205933405339+0.000557447968195795i,0.00246832175277246+0.00985893907744412i
0.0048042122373378+0.000884623653914847i,0.0118830429216673-0.0185025619122987i,8.0097692854109e-05+0.0182263416762982i,0.0211855451533852+0.00645682551546242i,-0.0163868579794382+0.00492871337600709i,-0.0213668908186375-0.00907578107048217i,0.0145739058598673-0.00277570525786915i
-0.00965924927819934-0.000326830319652106i,0.0106036620528133-0.0225091542308437i,-0.0227708909151489+0.026976835718692i,0.0132903347924562-0.0127676990679421i,0.0451305002522762+0.0289067579632179i,-0.00320861149432345-0.00710348757403158i,-0.00237454582365756-0.0224790622612723i
-0.00648155449593877-0.00201563126167485i,0.0249630876881127-0.0144983965085779i,0.0320877926000741+0.0195965943880706i,0.0172650161964442+0.000891081776096951i,-0.00924640759215743-0.000384614604776712i,-0.000691097734755566+0.00448225287766713i,0.0310332544202688+0.00842864663629281i
-0.00537122551135984-0.00163555563211956i,-0.0101181401911842-0.0248346444769374i,-0.0139965788958394+0.00596572263309453i,-0.0281967452307271+0.0116873373094993i,0.0165227242673298+0.0123245353914427i,0.0258567278433827-0.00461807082610123i,0.0036150395387607+0.00251871775685134i
0.0148236389664882-0.00152589285568632i,-0.0275153510007394-0.0417015193457716i,-0.00233253508222968+0.0313342388145667i,-0.017758711601442+0.00139199042381317i,-0.0406093899471631+0.0119925206927755i,0.026176957768128-0.00771174000637502i,0.00434134036319879+0.0160850632201984i
0.00686156259403808-0.000132145129503251i,-0.00234733291361217-0.0235256704909214i,0.0128459650412295+0.0209258749449273i,0.0323168272362788+0.0168271299481531i,-0.0339719155832874-0.00115723727705314i,0.00581007897226704-0.00314271222491823i,-0.00408855735781075+0.00316080115743381i
0.00549432864955164-0.00236735248712023i,-0.0182352662299097+0.0015689028866478i,-0.00582198774424993-0.0328078991834879i,-0.0193978999319639-0.00590637545014551i,-0.01810121073866-0.00863454464348265i,-0.00874786277575062+0.00630465800106698i,0.0265687345897357+0.0466713806243508i
-0.00333489281284356+0.000598099189021553i,0.0126892342527649-0.000656900828550527i,0.0163772799823581+0.00749596291798064i,0.0112375650234065+0.0208219653158355i,0.00764445527742329-0.00672340394690763i,0.0119864827816327-0.000690297811186636i,-0.0166395236058855-0.00917523085450678i
0.0154628488544352+0.00121260130146831i,-0.0239174638247764-0.00564581788892689i,-0.0283445798855407+0.00218554538846513i,-0.0486870211467813-0.00121916713929979i,-0.0168165249882641+0.00842047312989166i,0.0213751281632799-0.0166965169174894i,-0.0123737975468589+0.00243050292028673i
-0.0116669119857857-0.000691083231766711i,0.0409199053154966+0.0190720357074219i,0.02769265954358+0.00840636693784511i,-0.0109107537174329-0.00657273795023592i,0.00761987697166327+0.000977299912197686i,0.0233849824991425-0.00276585362611539i,0.0137015889531269-0.0137805544090086i
0.00552497741616027-0.00247233765938905i,-0.00702505360347258-0.0244401450699325i,-0.00114520919090629+0.026010725231931i,-0.0272597459322712-0.0177722958269794i,-0.011153134926314+0.0141146841842138i,-0.00153030371113403-0.00475681007892848i,0.0261398840076124+0.0174525645442326i
