-0.043632314396312-0.00152109927761702i,-0.0424522130714467-0.0303969174952364i,-0.00247560027653872+0.00400617845747387i,-0.0239757583064173+0.0045253945639201i,0.0175047305645355+0.0023506870779198i,0.0483136837379434+0.00079869859234288i,0.023981843126985+0.0161823133964128i
-0.00455684939824071-0.00101344181982486i,0.00128327115933747-0.00224307294974494i,-0.0189192916113934+0.00926954474815176i,-0.0311489925688737-0.00579246526249703i,-0.00929416150210905+0.000296694470771117i,0.0075414309104921-0.000929171476946013i,-0.00877395048781929-0.00674881602572674i
0.0112056757898801+0.00051937824824704i,0.0198475268007426+0.00721479285904452i,-0.00570763239120206+0.00145226322865262i,0.040755432639525-0.000382681311595984i,0.0262297812914512-0.00193150696394041i,-0.0244774830733785-8.0260113212779e-05i,-0.0384194116491578-0.00811898268477717i
0.0466738195415001+0.00307803996504221i,-0.0110513585270547+0.00187559837331155i,-0.0230558086454918-0.0277797926632442i,0.0216601530097709+0.0135300116445556i,0.0135716956147796+0.00669967854302775i,-0.0568460140682754+0.0034691049470704i,0.0122996275027272+0.0165191830757631i
0.00637393632886341-0.00176203457798435i,0.0034605621498552+0.00887422068102191i,-0.0176613628089687+0.00824201610184648i,-0.00480996956237494-0.00114019130638776i,0.00336444116585897-0.0107625751277789i,0.00444441342415403-0.00297660489787801i,-0.0715149690506077-0.0130801351788373i
-0.0117433725714485+0.000812409674322245i,-0.00457595597034872+0.016686308948246i,-0.00935707632465264-0.023867761444378i,0.0186428508760209+0.010978667568827i,0.0404016341643149-0.0108910835420469i,-0.00593925968004311+0.000901941700866529i,-0.0489416482512267+0.0100718475351282i
-0.014661200547061+0.0010986722708674i,-0.0156339300083126+0.0217834336674072i,-0.0236472359478789-0.0309928853946962i,0.00407927284717034+0.00742644670802289i,-0.00188766870379375-0.00234683092081843i,0.0134056218574464+0.00165966858040593i,-0.0278040334683172+0.010543309050828i
-0.00559814463155008-0.000137094311789619i,0.0117677449371007-0.00153668750509458i,-0.0150318517777907+0.00935709963223354i,-0.00307565281392176-0.00400739004175979i,-0.0302076991920323+0.00544457758910428i,-0.0134455646416442-0.0011254181200035i,-0.00259965333268161-0.013089138696702i
-0.0385358687458072-0.0013247147038516i,-0.0084082970543663-0.00403419918845914i,-0.0210034533659532-0.0129219684306605i,0.0235970892901471+0.00654461024546378i,-0.0115524079970967+0.00558700398649517i,-0.00394458697442335-0.00152516381613936i,-0.00408255289006289-0.000300248253148585i
-0.0138740375628962-0.00224529453665632i,-0.0224089541455385-0.021553244473833i,-0.00703432723266827-0.00328049826361495i,-0.0157592387596008+0.00581537491834278i,0.0132082565150022+0.00191111582788417i,0.0256802209023028-0.00236472607165777i,0.0177584006561274+0.00430298296749331i
-0.0198292012963213+0.000199907798416398i,-0.010851609415276-0.0117081180427107i,0.0158520058021659-0.00454047820604929i,0.019238570914159+0.0113323600580639i,-0.0195794069463641+0.00125504399519244i,0.0116576221809529+0.001091218137793i,0.0267826289562857+0.00708251436321738i
0.0624659205216927+0.000760103832349044i,-0.0274384124181994-0.0186827291511464i,0.0124449291193389+0.00530821536245493i,0.0147191083777085+0.00884680781724096i,-0.00828524232485883+0.00104225161334585i,0.0044232834393461+0.00133308693895503i,0.00865479096660139+0.0101205911750473i
