-2.39244338157913-0.00658958273446666i,-0.195804847742203-0.0304192576787718i,-0.25489903095493-0.0212586518199699i,-0.073028808961887+0.0443082917718123i,0.158783419696836+0.0232538913089417i,-0.345417278665802+0.0262812066592999i,-0.297175591419526+0.0127800629148262i
-0.014084480614619+0.00232811980947036i,0.00999076263154634-0.00307476320051998i,0.0183660291798774-0.00180742236266174i,0.000215052661921576+0.00219533247816426i,-0.062620864660609-0.00271437014244131i,-0.0531555064399969-0.0186487779615533i,-0.0268915866584549+0.00328099056190412i
0.0118016849133946-9.92588818255614e-05i,0.0285555335682205-0.00467521097920911i,-0.0222579566070549+0.0209726647902184i,0.015413241715266-0.00807398909430064i,-0.0105124102028323-0.0142990581997618i,-0.031704237966258+0.00790429081929886i,-0.0491970389426774-0.00249222979181401i
-0.0270871871996282+0.00179112796073775i,-0.0227726214577458-0.0181602708998727i,0.0401917644591557+0.0219889071870587i,0.0266791464877994-0.00441972575573769i,-0.000406423583408946-0.0217108340036121i,-0.054523128463415+0.000756534954084079i,-0.0336601452693974+0.00581196745098734i
0.0840715742904047-0.000771325198821608i,-0.0752249842586276+0.0310499428309534i,-0.0281892343606508-0.0279208374622436i,-0.0410792591531162-0.0442492260266653i,-0.0146934209825475-0.00642715400184882i,0.0413776673197312+0.000617556680584817i,-0.0519044854962762+0.0340534783234771i
0.0301549156182745+0.00161896090185673i,0.0126390261261138+0.0232274429503009i,0.0196946290771121+0.0341148188132068i,-0.0773819788679669+0.00297358126542609i,-0.114596848491265+0.0212716133704024i,-0.00877964175395251-0.0130569420887319i,0.00289640646744904-0.0575059395154198i
0.0299317209643782+0.00185796166627182i,0.0329150649691347+0.0532794758903398i,-0.0334186793909109-5.63377988963762e-05i,-0.030293431484424-0.0163472411443522i,-0.129917447491436-0.00183241796667636i,-0.0541455548010661-0.00075146853877346i,-0.0527421612197549-0.0312819391936231i
0.166849913909362-0.000634610351400134i,-0.110396517715388+0.00470232772938596i,-0.151368824408333-0.00664795820630168i,-0.113194545494366-0.0149540395498009i,-0.103219732285564+0.0068652962212385i,-0.0018755078290961-0.00233336074175923i,-0.0906561814720707+0.00632817621921818i
0.0164877918232532-0.000485183047029303i,-0.00322321979591083+0.0105329222142416i,-0.0295693581323578-0.00759154911874072i,-0.0605206923966293-0.024128085721508i,0.0142660251762227-0.00355302356826797i,-0.0125246251260448+0.00147063227258932i,-0.0365763359924827+0.0127532785772384i
-0.00686311609595006+0.000318875028831855i,-0.020007853681976+0.00803240237975224i,-0.00643145662627245-0.037239915720093i,0.0186989691719736-0.00424887342957915i,0.0337648847122217+0.000874131790304432i,0.0204918106238724-0.005997894357928i,0.0328771321639718+0.0296924361447272i
-0.146739495189052-0.00113172272806366i,0.0827652229595246-0.00675838208324103i,0.109346299819708+0.00546234386533431i,0.108247943141036-0.00333496138138778i,0.085381995498734+0.00255534196264312i,-0.0146565497143512-0.00623717307367846i,0.0650199995342628+0.00312868455368858i
-0.0910147011402108+0.00245178862885028i,0.0943972979937388+0.0221812565402577i,0.0814414195581982+0.000646122981703592i,0.0726179634378547-0.00526188260435994i,0.0344155684942551-0.00916655503230372i,-0.00322102415617564-0.0103565967823793i,0.0634771288014366-0.00220394593892928i
