-4.1096311951747-0.000605511274831327i,0.985676931832415+0.0637909840757338i,1.01778746886476+0.17385415914914i,0.862220900590883-0.078969670496694i,0.417383619791309-0.0104080418813866i,0.101908047530935+0.000771683460643893i,0.863899190512476-0.148778477190384i
0.111798183322504+6.9911747485607e-07i,0.0646604073819185+0.0653158228112168i,0.06679010766896-0.0329645808927232i,0.0569824281236579+0.010414404485629i,-0.00554932762336072-0.0183675918798796i,-0.0432783828184602-0.00114609007572438i,-0.0439868409821426-0.0236038971867215i
0.024796925757517+0.00374194054601226i,0.0241873710966018-0.00472215175460712i,-0.020608521631749+0.0250859235514932i,0.00135717840642652-0.0133852476222815i,-0.0113397045103748-0.0063247340592038i,-0.0249550199388501+0.00119490465237698i,-0.00341193590291051+0.000675515416321608i
0.0534915928765997+0.00310470379122889i,-0.000135285004264795+0.0157440459290591i,0.0657191137872205-0.0114575256000389i,0.0305822134981572+0.00339554613240754i,0.0439866085316057-0.0225245027897231i,-0.0617765147929823+0.0012399188720256i,0.00781148129807785+0.015637288573375i
-0.018540663464821+0.00202921666719917i,-0.00346806375788479+0.129808772342262i,0.021415905733903+0.000557544284879637i,0.000957264026099108-0.035203468763877i,-0.15207717867183-0.0438560475021623i,0.118121441489667-0.00306435806469084i,-0.242127670966531-0.0489588324878132i
0.0773523388507305-0.00834651623734094i,0.0600771389408008-0.0052469184523727i,0.0728021283990078+0.0815120637076617i,-0.0554360081492074-0.0222981305217159i,-0.152734992860735+0.017854910447203i,0.0508816853613413-0.00364752789170314i,0.0375610842231805-0.0741068352117188i
0.117487523963693-0.000252830790255593i,0.118495613314885+0.0568983033586531i,0.0439066060256467+0.0558138333869954i,0.00957703379255279-0.0368947362237704i,-0.147279517667677-0.00353416401494313i,0.0107046727621978-0.00144505106997667i,-0.019527459918009-0.070990572997105i
0.0693630241824112+0.00331792643253963i,-0.0510708666101836+0.0406396833548876i,-0.0794857172753294+0.0214519844428967i,-0.0442895657656287-0.0214986684947493i,-0.232852458446654-0.00589024236818223i,-0.180368612543319+0.000324334509905025i,-0.114351541995507-0.0335817109282874i
0.0314224776874611-0.0012805238255173i,0.0331496020378866+0.048132595590427i,-0.0230228968383625-0.0160564228404706i,-0.0694952066423388-0.0194240688082683i,0.0590356120575377-0.00864271695091955i,-0.103882159597167+0.000413071477802433i,-0.0425142894584895-0.00598824829173672i
-0.0377665530591008+0.00355171364405741i,-0.0397728406403129+0.0431758269921029i,-0.0219748611828438-0.0852169336712956i,0.00402329211520549+0.0161260232242391i,0.0479307618329483-0.0108375214831288i,-0.021061833832276+0.00178739894299672i,-0.00575554557351673+0.0380042685696276i
-0.0321324762858212-0.00101735190345908i,0.0503953295581541-0.0228946462660041i,0.0644144371221421-0.0280346670236569i,0.0907985303255364+0.0173962305915901i,0.213261467878198+0.00440316578476061i,0.114197785610333-0.000590085831941359i,0.0655491339857334+0.0293930137221631i
-0.0302094921138576+0.00293920690787611i,0.0438974635754306+0.0202140646250109i,0.0425763564876843-0.0456300967905619i,0.0387187186254881+0.013595523548888i,0.115616071189681-0.0200626187451907i,0.13328252554732+0.00105261464743535i,0.051105154186418+0.0336921009155424i
0.109155830018264-0.00155957659063966i,0.0531783867734172-0.0525754950638271i,0.107963563535018+0.0338673679346168i,0.142535293082637+0.0231795188598645i,0.128117824049307-0.00513858640385703i,-0.0177860112774839-0.000656249743891628i,0.0237511143993879-0.000558516837926473i
-0.120366974517741-0.000149353758146245i,-0.0822843629091212-0.0325474113427423i,-0.0883156144968231-0.0307810521594867i,-0.072417061012594+0.00690131343422793i,0.0477136071777945+0.0163000028844955i,0.106619116953407+0.000188761920644999i,0.0222386238216577+0.0404104433418352i
-0.101693669936804+0.00101259575751232i,-0.083040774108177-0.0124418354109464i,-0.042119171585907-0.0261165448667656i,-0.0713868970080913+0.0165681853290884i,-0.101931692458309+0.0118401878930086i,0.0833764941926584-0.000742983907930877i,0.0258186967153232+0.0110266088135419i
0.012540416884136+0.00235870255132599i,0.101414575089918+0.0568213907052567i,0.0369918799859249-0.00730216752182868i,0.0390739806884751-0.0123982463031109i,0.123026455415332-0.0356939652485379i,0.0743993380522462+6.88583920129575e-05i,-0.0648562271348672-0.000247273805947637i
0.0254633283605432+0.00288971487667001i,-0.0264234218550206-0.00791926683725747i,0.0276573963195813-0.020433158939126i,0.0136079604668475+0.0210220565563918i,0.0278477432796442-0.0120343052433529i,-0.0649720744926072+0.000822149440348995i,0.0133991915586332+0.01973238046216i
0.0282857723746801+0.000256792298545604i,0.0177982547604834+0.0210138409789085i,0.0446294807017292+0.022620839886155i,-0.0223533893081724-0.0253918797641068i,-0.0463142447411476-0.00974237232692457i,-0.00979921501086832+9.40754190075646e-05i,0.0286362585064022-0.00880718331989918i
0.10194462767237-0.00247073901352457i,0.0110891069206871+0.000927077501913127i,0.050567788704896-0.0273159634474938i,0.085655485742876+0.0141643923542212i,0.00796019144831984+0.0129074982474546i,-0.142150657065459+0.000200722504555966i,0.0513974166720025-0.00254901209111373i
0.0364093608160293+0.0062127078357908i,0.0126550257730521+0.0223171541447391i,-0.0396050727778795-0.0286137895946547i,-0.00196258484017666-0.0116322806482473i,0.0184241384485179-0.00354031223400718i,-0.0850349283796433+0.0029002377957883i,0.0369638583872624+0.0241539553366033i
-0.00145583410636741+0.00214506116869307i,-0.0377752835770833-0.0151547405178238i,-0.0595562874764906-0.0159829214053825i,0.0608060792340642+0.00918020079413461i,-0.0269915675002718+0.0126213221814329i,-0.0216245296114525+0.000176263148985676i,-0.0322224448050981+0.0105698622131609i
-0.0212549660102749-0.000360154182483752i,0.0524365402818046+0.0736019125677681i,-0.0284637589990986-0.0716493810142638i,-0.0185756469561991+0.0166516863936114i,-0.0137669135304538-0.00971465141735987i,0.091779406557312-0.000778672043421298i,-0.0354502998496841-0.00819973733888639i
0.0185832856502382+0.00281293034035058i,-0.0275805622533326-0.00810019738072109i,-0.0355403229391331+0.0191793028147709i,0.000112726137915051-0.00235738693709892i,-0.102085910448247+0.000932982504293076i,-0.0633228862189854+0.00102273978202999i,-0.0244596045788458-0.00822481271728935i
-0.0445661662735535-0.00381713862787245i,-0.0626719999941318-0.0454170951314111i,0.0562596977952535+0.0200034645506356i,-0.0172855830732817+0.00207063559968312i,0.0254290057391376+0.00643939609472661i,0.0595450026319008-0.000356255066660084i,0.0579023498650331+0.0156263683331174i
-0.0346402334318773-0.00225473837882419i,0.0161446146186788+0.00274218029828911i,-0.0182441983918977+0.00462838371974826i,-0.0427551122428486-0.000538543084393157i,0.0244040518463259-0.00481507891574157i,0.0122105484286685-0.000558646635322538i,-0.0190320195842315-0.00324673748772019i
0.0354819952084192+0.00113746314095525i,0.0174746259311132+0.00913226533199226i,-0.0250951121996219-0.00104597430981449i,0.0530597454772873-0.00162682478113028i,0.0526342540325057-0.00566010607365431i,-0.0277769451277344+0.000826395864091889i,-0.0738657260208835-0.00121269899570728i
-0.0014541702479408+0.00563822423858258i,-0.0279100366601867-0.00635469733099047i,-0.0757431865775036-0.0384419249730077i,0.0379771714980141+0.0155117474722704i,0.0184713818646867-0.00384284774745669i,-0.0680879551015346+0.00262129741935617i,-0.0188033825856104+0.0345109582150886i
-0.0157680655991737-0.00144185163614077i,0.0254018956279806+0.0145278524516339i,-0.0344247623057129-0.00803547805530742i,0.00653724357033191+0.0128206349170246i,0.0554825929083591-0.0124871866888642i,0.0125223251305405-0.000862280188047875i,-0.103171782514898-0.00747897793992301i
0.00377697306212043+0.00245961192761982i,0.00475162668515974+0.0280164186929226i,-0.020545525840493-0.0470922044051677i,0.049274649039312+0.0169154369117998i,0.0894213779277806-0.0188159737097592i,0.00180348165740312+0.000914843598810037i,-0.0772246056437335+0.0209705162050176i
-0.0266999277792657+0.0028782853920851i,-0.00997560270504229+0.0310825728543959i,-0.0290231192587054-0.0526514724720608i,0.0371893217443395+0.00944028036065205i,0.0304316234358761-0.00730682222983425i,0.0253971928332995+0.000542200124581867i,-0.033691689861874+0.0209415229692242i
-0.00154654017150609+0.000376682062367188i,0.0430476025005409+0.0061526088931059i,-0.039396853094392-0.0033139753241292i,0.000923501539346793+0.00210786937252743i,-0.0309333982458401+0.00691846913620595i,-0.0116268567758624+0.000163428489684402i,0.00618394090163083-0.0119581794849692i
0.00210276827013116-0.000755582525427801i,-0.00568912662842624-0.0126985411983169i,-0.0155852444137141-0.0277449923384289i,0.0776730330603461+0.0192786631451322i,-0.00880794326039767+0.0176762229695725i,0.00414393211622859-0.000239899552962569i,0.0199123026608648+0.00364451801549703i
-0.0287398209989406-0.0049962060147745i,-0.0189863923891565-0.0363844287029068i,0.013334442668176-0.00260218774427398i,-0.0208707899768917+0.0254875607824549i,0.00818409790702515+0.011455363552629i,0.0295144613427591-0.00125544467838569i,0.0365933139329938-0.00065500426286797i
