-0.00168496136015808-0.000385970707938889i,-0.000938769485247569-0.00115921449928954i,-0.00128877135514875+0.00207359881346053i,-0.000303766619549034-0.000914267300770781i,-0.00294257768854503-0.00201308860380273i,-0.00229252135200673-0.00085094754199613i,-0.00222822350681323-0.00029355317767656i
-0.00924623948591774-0.002292842408286i,-0.000250952555094807+0.0014535432226895i,-0.00383455418000911+0.0035662914726924i,0.000467283079376642-0.000299848112030164i,-0.00481029934832069-0.00843163306083861i,-0.000855636562367822+0.00322102411720459i,-0.00594840775216908-0.0012355040674302i
0.000192704878302187-3.53017463107054e-05i,-0.00238788812632582-0.00102785414063191i,-0.00265922181693329+0.00222163857471024i,-0.00179719779296536-0.00126211536956595i,-0.00464443064619614-0.00492663012245472i,-0.000295844391568976+0.000845760226137143i,-0.00496548083857188-0.00053330995237643i
0.00195388789122216+0.000150625508688954i,-0.00363822094355065-0.0040623381982394i,-0.001818162194063+0.00371834364781832i,-0.00350790097900644-0.00284265835277082i,-0.00675003547630063-0.00432165632708138i,-0.00312510831971745-0.00300914654499111i,-0.00466484530882655-0.00026173496469428i
0.00244785105363299-0.000348572481636529i,0.00314826682060671+0.00212795259786799i,0.002102612728892-0.00349625444074512i,0.00278170557428318+0.00247603195969229i,0.0073996996346969+0.00590172445266966i,0.002074645738907+0.000430765082983825i,0.00732989995485865-0.000390999099416232i
0.0265924971358278+0.00205014354963711i,-0.0084471974360855-0.00951024441089929i,-0.00509522363030609+0.0100016032150127i,-0.00676115461520791-0.00634835102553389i,-0.0171653305290483-0.0112241692414218i,-0.00886642918898943-0.00669092027288626i,-0.0122585071274084-0.000889693721435839i
0.000503583174263867+0.00140788344135631i,0.00531254832938978+0.00623547434599147i,0.00471301309314533-0.00775191417083761i,0.00365376009782995+0.00399146949200672i,0.0119921877248487+0.00964965281806991i,0.00666390776007156+0.00412344073240973i,0.00826839383587794+0.00137979167570387i
0.00166251573105149+0.000788480917999692i,-0.000554728832636531-0.000863310387619624i,0.000753404574879615-0.000409729860508351i,-0.000497703249653124-0.000165176849633399i,8.91247259990235e-05+0.0012245232636625i,0.000133253797232747-0.000612150987467647i,0.000409570145481165+0.000625568417689249i
-0.0012306219894385-0.00156347974090598i,-0.000455934927893162-0.000530792460662025i,-0.00137323125976055+0.00179896465589008i,5.66682811639362e-05-0.000319597152731377i,-0.00191032638207717-0.00336514546035649i,-0.00106658861628033-0.000237890141505248i,-0.00121869027603249-0.000739702392253215i
0.00299493837123866-0.000564145980841718i,-0.00441727024635384-0.00340782798040473i,-0.0035793182683765+0.00374640675951767i,-0.00432361807151026-0.00266014677263309i,-0.00714370942999806-0.00675003702677888i,-0.00130355568907033-0.0016468644870577i,-0.00588175197546324-0.00169311100517963i
0.000809114706014678-0.0010697616959777i,-0.000541248945560424-0.00103187761009778i,-0.000454534669028868+0.000808890147882398i,-0.000164935800999253-0.000266307792871739i,-0.000672794084515131-0.00130149694737182i,-0.000723338418381317-0.00145100802458168i,0.000499167956933595-0.000763755521867628i
-0.000411190932715353-0.00132994264074239i,0.00295499233623025+0.00366368236724847i,0.000584471701002534-0.002763644773523i,0.00283192806234266+0.00247391294807546i,0.00575879859688046+0.00169352363994891i,0.00321379287170567+0.00260753939578086i,0.00431720502807895-0.000849047716480365i
0.00100646046187809-0.000543608414328295i,0.00189032584699816+0.00219861568412605i,0.00106948519582268-0.00269494116709413i,0.00157513005856849+0.00172274029175334i,0.00503508269903923+0.0028346546107736i,0.00276541230496953+0.00122145757109247i,0.00411891959724195-0.000603178503436653i
