-1.82177027397442-0.139227124438015i,-9.72114661843561e-12-7.42929160666424e-13i,-9.72114656704666e-12-7.42929235929348e-13i,-9.72114658993469e-12-7.42929102023948e-13i,-9.72114638449026e-12-7.42929019700632e-13i,-9.72115164457644e-12-7.42929475238366e-13i,-9.7211464578472e-12-7.42929082351044e-13i
-1.71786460206345e-06-1.31309644173696e-07i,-5.05131498247108e-15-3.85508716222822e-16i,-5.05130498017938e-15-3.85523367179037e-16i,-5.051311284653e-15-3.85497444025655e-16i,-5.05126748434111e-15-3.85481173438738e-16i,-5.05703946207598e-15-3.85932810375819e-16i,-5.05131974262361e-15-3.85496289428389e-16i
2.48661980076966e-07+1.98981033866177e-08i,7.58502901053418e-16+6.0446853529404e-17i,7.58476392241534e-16+6.04858913366257e-17i,7.58487412762747e-16+6.04164815732227e-17i,7.58382281646538e-16+6.03742018154007e-17i,7.59432187377778e-16+6.04851648523956e-17i,7.58406978396249e-16+6.04056202110522e-17i
-0.00477812906478261-0.000367033658373962i,1.25774314281274e-13+9.66125579565982e-15i,1.25774328244195e-13+9.66123528086037e-15i,1.25774320275451e-13+9.66127162052387e-15i,1.25774379975779e-13+9.66129418892296e-15i,1.25768332555939e-13+9.66081503307941e-15i,1.25774323582281e-13+9.66127432397373e-15i
0.0542917744443523+0.00415017103262924i,1.46379670692116e-13+1.117817686777e-14i,1.46379609708152e-13+1.11782661587783e-14i,1.46379636770178e-13+1.1178107240575e-14i,1.46379393072146e-13+1.11780095769714e-14i,1.46385451245937e-13+1.11785361878431e-14i,1.46379478966654e-13+1.11780838838632e-14i
9.0482776791936e-07+6.92428234179754e-08i,2.63179146722224e-15+2.01083862863094e-16i,2.63176575030719e-15+2.01121644626588e-16i,2.63177721510564e-15+2.0105447026276e-16i,2.63167390950128e-15+2.01013321736798e-16i,2.63455311058485e-15+2.01260279877958e-16i,2.63171220454187e-15+2.01044853148067e-16i
1.76220522316545e-07+1.23040216248179e-08i,4.99010006773935e-16+3.54760221144067e-17i,4.98964714650281e-16+3.55421885069765e-17i,4.98983358047949e-16+3.54242520954364e-17i,4.98805993922371e-16+3.53518360801275e-17i,4.99279604665503e-16+3.54307116508189e-17i,4.98837024758882e-16+3.540441389885e-17i
0.132103513946845+0.010117049808281i,5.72228696397726e-13+4.38872008557492e-14i,5.72228497590215e-13+4.38874933517226e-14i,5.72228579730755e-13+4.38869730950628e-14i,5.72227793274334e-13+4.38866559981535e-14i,5.72233911539492e-13+4.38873318486295e-14i,5.72227964522934e-13+4.38868902633405e-14i
1.3851813051084e-06+1.08135596100565e-07i,4.10826854322995e-15+3.20809803837681e-16i,4.10819483655579e-15+3.20918251020285e-16i,4.10822647644737e-15+3.20725470149951e-16i,4.10793254046165e-15+3.206077273542e-16i,4.11320060537435e-15+3.21095285955866e-16i,4.10801893330681e-15+3.20696387537564e-16i
2.06164379707304e-07+1.08760249902017e-08i,6.25872224805376e-16+3.51731422772569e-17i,6.25874579204452e-16+3.51692384902325e-17i,6.25874230538907e-16+3.51760149739647e-17i,6.25883899024632e-16+3.51795172305087e-17i,6.2667157032123e-16+3.52196723220152e-17i,6.25888261036489e-16+3.5176934476843e-17i
-0.116003475535489-0.00887626821299982i,-4.82509881876401e-13-3.69418500977366e-14i,-4.82509729412101e-13-3.69420737257015e-14i,-4.8250979338726e-13-3.69416757025485e-14i,-4.82509190716826e-13-3.6941432113627e-14i,-4.82515284398725e-13-3.69420569948373e-14i,-4.82509333018508e-13-3.69416123931242e-14i
-0.0610375649020949-0.0046040674128916i,-1.92609555500509e-13-1.45194285538011e-14i,-1.92609415876669e-13-1.45196330733553e-14i,-1.92609474856217e-13-1.45192689596932e-14i,-1.92608923187176e-13-1.45190457178963e-14i,-1.92615031191128e-13-1.45196514991988e-14i,-1.92609056768605e-13-1.45192109055637e-14i
-0.0848229966026055-0.00650919381755506i,-3.11910744822793e-13-2.39530548151263e-14i,-3.11910675216655e-13-2.39531568912442e-14i,-3.11910705697133e-13-2.39529752933045e-14i,-3.11910427938745e-13-2.39528639193968e-14i,-3.11916478946576e-13-2.39534007958673e-14i,-3.11910519487123e-13-2.39529482821043e-14i
0.0159872741569962+0.00120815893017192i,-6.48572472160201e-14-4.89943222792441e-15i,-6.48571957894975e-14-4.89950790737454e-15i,-6.48572140722746e-14-4.89937307996184e-15i,-6.48570166749283e-14-4.89929144948617e-15i,-6.4851019165612e-14-4.89889179920878e-15i,-6.4857000950892e-14-4.89934749352931e-15i
0.0359185739868531+0.0027542810663333i,3.50105383987294e-14+2.69132093925138e-15i,3.50105298965835e-14+2.69133311971446e-15i,3.50105358572554e-14+2.69131147529171e-15i,3.50104983191468e-14+2.69129746552199e-15i,3.50165293634292e-14+2.69176877959783e-15i,3.50105514350387e-14+2.69131091330056e-15i
-0.0449852468517277-0.00349618734870025i,-9.84587454132319e-14-7.6587998460756e-15i,-9.84586653206027e-14-7.65891825300843e-15i,-9.84586994651411e-14-7.65870801419453e-15i,-9.8458378425563e-14-7.65858034920399e-15i,-9.84644532083184e-14-7.65913633764416e-15i,-9.8458476139032e-14-7.65867717015935e-15i
-5.45427648109128e-07-4.2940616756616e-08i,-1.591368561802e-15-1.24678142848857e-16i,-1.59137997356929e-15-1.24661671243566e-16i,-1.59137583829606e-15-1.24691162242198e-16i,-1.59141858707095e-15-1.24709420372144e-16i,-1.59309748496686e-15-1.24830234034998e-16i,-1.59142499383862e-15-1.24697369212806e-16i
-5.27537703219708e-07-3.60492975873638e-08i,-1.53994396472234e-15-1.06438307764705e-16i,-1.53995564697437e-15-1.06420275640904e-16i,-1.53995219629996e-15-1.06452041350915e-16i,-1.53999868744411e-15-1.06470149981494e-16i,-1.54176426864105e-15-1.06577263489638e-16i,-1.5400046731179e-15-1.06457211379969e-16i
