-2.01809805839304-0.0534340000535392i,-0.0588968162622085-0.00192252831124687i,-0.0530307656259401+0.0269028631886927i,-0.0531886304630317+0.030243254413638i,-0.0753296667622918+0.00696418361038925i,0.0548770405350723+0.0148778818237615i,-0.0993697628803457-0.00343329729348287i
-0.0165796696580211-0.00225453254199096i,0.025192884425563-0.0109815051746104i,0.0381636573902746+0.0607550560696629i,-0.00879713588652098-0.00563348820612565i,-0.0196872582291656+0.00633577106451474i,0.0264169901800846-0.00146743232070539i,-0.00570884977754709-0.0376219532827574i
-0.000597222203421644-0.00330888890388628i,-0.00470451208854415-0.0105400364654923i,0.0214168587798125+0.0331778638162238i,0.00703212468036922+0.00746805873162718i,-0.0323395012207891+0.00285325838303822i,0.0248615913932523+0.00868001997593554i,-0.0031429570960242-0.0211539993747095i
-0.00375971248969117-0.00271979926329851i,0.0141883289621039+0.00543694859715751i,0.028098618547808+0.00642512952915931i,-0.00555680976905557+0.00473976133944947i,-0.00319934051686605-0.00922610998007853i,0.0411109131476244+0.0110779583144088i,0.00974382005529413+0.00466522301215659i
0.0206230807263466+0.000633039081852233i,-0.0362923587557813-0.00176962567859955i,-0.00561539576341726-0.0239145233284085i,-0.0467061055781872+0.00173229991969369i,0.0147446172070941-0.00160098734256454i,-0.0366148595038514-0.00341038585442272i,0.0307267744680052+0.0174349910239783i
-0.0103090168938897-0.00208978450046792i,-0.00401620769787187-0.0222078147728402i,-0.0121700217357187-0.0134301363434691i,0.0702450229754736+0.0162063916066255i,0.00447195801912848+0.00683124596387649i,0.0100611418240936+0.00305943198165214i,0.00435436664335401+0.0315861418814697i
-0.0107300858597016-0.00288191401622814i,0.0118591516901365-0.0185916833912324i,-0.0087910168417341+0.0208243340881643i,0.0857661556461213+0.0191294899200259i,-0.014789324072811+0.00107653825605538i,0.0759987421051021+0.0211004002217145i,-0.0403293440050872-0.00358540868967819i
-0.011979541592626+0.00187152190592896i,0.0519104494307286+0.0136279265875212i,-0.00965016660133952+0.00965874263155824i,-0.0110386084792259-0.0187351718631113i,0.0280210582721953+0.00423431390696888i,-0.039979164929464-0.000612761031131002i,-0.0234176432345982-0.0139512254856202i
-0.0155995278156713-0.00509685709062972i,0.0277815402292701+0.0021366704795651i,0.000710973687158019+0.0144214511598935i,0.0265014551477347+0.0106621624552183i,-0.0212391065295872+0.00141708321501071i,0.0710096364794619+0.0213303631197545i,-0.00728345436474938-0.00537459912888912i
-0.00133740734916909-0.00137324899457145i,-0.0358143739376015-0.0207685555648697i,0.0162714432572704+0.0265624003110134i,0.0178920038584662+0.0177141428214097i,-0.0720957977276394-0.00345198619108033i,0.0830473942074554-0.0056539301739233i,-0.00264672294803465-0.00666204541622533i
0.00676986930839499-0.000462012459579999i,0.00293984309339751-0.00825974714318117i,-0.0330357050627102-0.0207935268563574i,0.0115277062980799+0.00601156764638552i,0.0320423941739051+0.00676477106474803i,-0.0241189584368945+0.0057933790093876i,0.0119533082989147+0.0223508879577711i
0.0310966318719314+0.0011995163440105i,-0.0438962590802527-0.0198717544417421i,-0.0200706040844676+0.0159330394637089i,-0.0536038776242208+5.61615214791904e-05i,-0.00831448028538991+0.0154661973741633i,-0.0434893770876821-0.00822452958242844i,0.0238548296377018-0.0197863190820019i
-0.00168780448831656-0.00269143622605348i,-0.00358926011989612+0.0145547392391057i,0.00177930589355626-0.0408515608737695i,5.77380079370298e-05+0.0106649838039313i,0.00397837193244187-0.0162800492902324i,0.0245082723669727+0.0168900890603958i,0.027324422949625+0.037321950503092i
0.0249379515351458+0.00400984334101305i,-0.0228263476245628-0.00425763872033457i,-0.031403112367576+0.000289875844785084i,-0.0427722277633278-0.00961557989349019i,-0.00302721562854858+0.0229241017509611i,-0.038011617028721-0.0326236609411766i,0.0101476256439526-0.0149546383375847i
0.0007899617524059+0.00323569251397626i,-0.00263418621854226+0.0181356970521077i,0.0174871312911047-0.00968120896178669i,0.0083591397005374-0.0041311022685324i,-0.00179406677550019-0.019047071195217i,0.034991401780424-0.00306621414843579i,-0.0507490836563554-0.0043573042915068i
0.0035228300820337+0.000566968625371385i,0.0017725037783819-0.00297296506414958i,0.00347226131940102+0.00759190476778461i,-0.0346148813250136-0.00862674068881675i,0.00447980294120746+0.0114772703984799i,-0.0497973541933725-0.0192913218600715i,0.023741751294708-0.00683049898469103i
-0.0172881422625678-0.00107441109964415i,0.0216334392570575+0.00156377497981389i,0.0111910589405832+0.0261563072427842i,0.0315709947674171-0.00185527932238707i,-0.0139339083565414-0.00215524422708371i,0.0356285342309724+0.0105862178827518i,-0.0244139853061954-0.0218328231097048i
0.0082679465241016+0.00218375718751005i,-0.0127405227927006+0.00869957159202221i,-0.0109715974637544-0.0106329538452613i,-0.0386095472907277-0.00235211580162153i,-0.0237776074899462-0.00478839361755648i,0.0167119938995761-0.0112684429016731i,-0.00613137568774757+0.00180687574368433i
0.000104427728057681-0.000623108002206682i,0.014375378877544-0.011039763243443i,-0.00886680315993987+0.0239044162978448i,0.00803364920518265+0.00170065482370333i,-9.02155018555804e-05+0.00929645038518893i,0.0147401095961445+0.00451162243874179i,-0.0136168102029113-0.0154262789658883i
-0.0132988918636924-0.00486441589245546i,0.0127566479734611+0.00601661438207507i,0.00854044837302326-0.0183211741320325i,0.00765098172132155+0.00400280216250925i,0.0163795920544564-0.00746890951786843i,-0.0275143376990082+0.0198328401971469i,0.0298952282720568+0.0271422500348502i
0.0268141666274735+0.000507943745243953i,-0.0830142425575641-0.0304422543735331i,-0.0263033864642947-0.00356293892698542i,-0.0269019633791959+0.00995448206381322i,-0.00702007676140441+0.00615181529975845i,-0.0459402623781481+0.00644463282693306i,0.0361339902978794+0.00689495658011073i
-0.0267814207724957-0.00584801062787081i,0.015682181498016-0.000754014236566527i,0.0153010507630104+0.0174103517231339i,0.0381666760566336+0.00916496232379657i,-0.03157223542982+0.000332933260408797i,0.0498290005563394+0.0173344106670402i,0.010661751882776-0.0033871606899604i
-0.0105797158512345+0.00344897481078507i,0.0197344478920397+0.00450331449673093i,-0.011355878567978-0.0173902886761545i,0.0302168821787894-0.00784590644099138i,0.0236799109955829+0.00268275118562787i,-0.048332860468266-0.0169373443228934i,-0.019092599350917+0.00852717880823812i
0.0143000486127915+0.00268089610636738i,-0.0294366865555861-0.028714049543424i,-0.00994846043951667+0.0571104309923113i,0.00682857542315959-0.00160734333245401i,-0.0482297413532778+0.0153558535757037i,0.0296394519522188-0.0113127304753173i,-0.0217665351484898-0.0459176968317484i
-0.00802508989371109-0.00225039710375664i,0.0390259642710166+0.0160692577470894i,-0.00763705865347386-0.0123248515733446i,0.00372197342668265-0.0021919566313307i,0.0474126644002636-0.00604865109012793i,0.0151710308966261+0.0259978040332584i,-0.00813684304103554+0.0077970892407064i
0.00513615156504329-0.00169321245777381i,-0.0105133534875714+0.00380090813232372i,0.0137158099060748-0.0110358083362816i,-0.0290359782951102+0.00335156924226094i,-0.00609251588613333-0.00498643574323185i,0.0170584404793976-0.00136060978459923i,0.0323906088611566+0.0180690745875568i
0.0249366231028198+4.74016178710346e-05i,-0.0660435443665855-0.0172761105829931i,0.000954242466519304-0.0140214507854085i,-0.0568822981112139+0.00560523908576211i,-0.0127057276307991+0.000943382486632898i,-0.028974545347397-0.01296778143504i,0.0620695566827398+0.022570148252819i
0.0177831307769804+0.00732283394106046i,-0.018898338289287+0.00840872966916153i,-0.0101496670687456-0.0176270411150633i,-0.0392156827534872-0.0160213387959033i,0.0134443755924511-0.0067265237885084i,-0.0422085102158436-0.0275863459894522i,-0.00279188671597337+0.00379303509190274i
0.0165947105785266+0.00196773102076125i,-0.030691803908711-0.00887891156375041i,-0.00419839439136245+0.00762943289736799i,-0.0372920987474863-0.00361415123312638i,0.00313012744311988-0.0048115127910239i,-0.0119051845929142+0.00348423026142222i,0.0145454796923266-0.00444979435325126i
0.0158126581755357+0.000460455955732949i,-0.0205836173039206-0.00444802781149581i,-0.01514492146686+0.011010789473583i,-0.0306744072447488-0.00172393366114267i,-0.0352263745420153+0.0117180962339887i,-0.0139941732027811-0.00921310416315411i,0.0201722303403368-0.0181183599060655i
-0.00932523198610751-0.00144497481280156i,0.0376661575800266+0.044063926976824i,0.015178860939714-0.0311310172010381i,-0.0521912663849503-0.00494229136384979i,0.00144892344865198-0.0243027652641742i,0.0453467214313956+0.0160982202236887i,-0.00561833378775296+0.0142578784424684i
0.00691647370406137+0.00136089934349109i,0.0243466782019993+0.0172915471927208i,-0.0133664185459701-0.012548371654445i,-0.018486854299453-0.00614567899794721i,0.0270228363515081-0.000407643100942028i,-0.000269483768757939+0.00276492927348496i,-0.0177761320031719-0.00298749923092577i
-0.012213844048411-0.00704068830960033i,0.0152982649182231-0.00854952524899347i,0.0207725652687508+0.0308611988737454i,-0.00861087790464098+0.00859947549824952i,-0.0166795529479391+0.0028034062153743i,0.0463704126170095+0.0188406506711255i,0.0348452218412365-0.00136584799234226i
-0.00757305570457026-0.00526849978361504i,-0.0145500342858381+0.00259333143160798i,0.0256985236591812-0.00155263964306377i,-0.0260645333621156+0.00884093059111597i,-0.0349257986325979-0.00618273018780211i,0.00517261155116877+0.0138204979337935i,0.0438395339772264+0.00997420171773973i
-0.0251683790677655+0.00286103512395602i,0.0404960083312981+0.027953469438474i,0.0395515741912944-0.0173764643631869i,0.0336117911750521-0.0126799802875539i,0.0214213688430221-0.0164495534755155i,0.00193135418167485-0.0136679586965679i,-0.035611700786946+0.0054724620698512i
-0.0210939594466122-0.00225485650905534i,0.0321718533171184+0.0107174306072232i,-0.00071094391588624-0.00150937058157903i,0.0091875043024088-0.0060850431645998i,-0.00238843068391683-0.00344655448660084i,0.00988411563062979+0.0104782818160601i,0.011988400719924+0.00997127576578319i
-0.00971850040468+0.00118551382233916i,0.0369994878614222+0.018052747579479i,-0.00140453981617513+0.00883472019460363i,-0.0117840217640104-0.0137294888127865i,-0.00594690078351821+0.00417579697410532i,0.0136272297832315-0.00912256263275616i,-0.0159681764161099-0.016108346971891i
0.00254928316851997+0.00278880423815119i,-0.00818521940839599+0.00120419820719699i,-0.0314337344449966-0.0433591144507364i,0.0554371967626918+0.0072393399440332i,0.0300022483040937-0.0020687236799768i,-0.00196776522065016+0.00507116195082596i,-0.0285603385350966+0.0245711551165379i
0.0155118392182958+0.00515133031755881i,-0.0242899709849031-0.0144059613672212i,-0.0425207074165991-0.0223386866048859i,0.0236046215561565-0.0011984537504601i,0.0370978222286899+0.00591509982772593i,-0.060267126387186-0.0081969171080584i,-0.0224126385324358+0.0119818777872954i
0.00513306947222593+0.00284905911909851i,-0.0215451408356839-0.00818653424253947i,-0.0128051769177501+0.0192728033788447i,-0.00828373217621916-0.00702505889657161i,-0.0292029190452197+0.000218490197885247i,-0.0136718799667182-0.00530875869665934i,-0.0122261473015625-0.0193274132268869i
-0.00694095745299615+1.64042543947982e-05i,0.0303373892520874+0.00369077688285518i,-0.0165005511072716+0.00445647667116045i,0.0274030222981531+0.00107709833178676i,-0.00282345425553918+0.000586012447210529i,0.0416304435656758+0.00525437717963372i,-0.0281527824253811-0.00237133099611361i
0.00447326301508061+0.00416543893882812i,0.000355243310900068+0.00386908369471379i,-0.0134896143163288-0.00748291818348184i,-0.00658146086174183-0.0121102806801121i,0.00339884868405225+0.00361998287296263i,-0.0532979839126349-0.0170228970502842i,-0.00281305224978436-0.0044739168781657i
-0.0142630732258893+0.000199822087147955i,0.031180826838195+0.0174800072286609i,0.0290745152638431+0.001440136211657i,0.00363607613867648-0.00637244216578298i,-0.00243849971032062-0.00372340873293433i,0.0063362634852622-0.0102206346612532i,-0.0213825120953151-0.00851019259317067i
0.0159349298280762-0.000263084383555791i,-0.0463245502453816-0.0302314065550248i,-0.00652022435848656+0.0165890404675605i,0.0370636425422979+0.0155740812622715i,-0.0295309063340435+0.00451052606157968i,0.037012341415506-0.000654692200885847i,0.00454103626935435-0.00120256517484063i
-0.0131422944279646-0.00291147652065524i,-0.00678586786702618-0.00278674860188502i,0.0190130029469784-0.00219145153791516i,0.0153460824787184+0.00736682017151139i,-0.0254231140109766-0.00697335579068679i,0.0137455099008467+0.00368465530014785i,0.0219178942277097+0.0155738500398881i
-0.00284926516384665+0.000762843435339289i,0.0125678991734767+0.0127026617264119i,0.044957707700274+0.00848749644425024i,-0.0274217012801322-0.00643491923461228i,-0.0218482292547228-0.00471479587140176i,0.0200214034770858-0.0237335273731215i,0.0159407650319867-0.00617189070935697i
0.0185638540021528+0.00610425767427315i,0.00311201544349241+0.00948233575831491i,-0.0613907955745628-0.0353175336132639i,-0.00529783720138426-0.0097760593210729i,0.0305221884743347+0.0150631087456947i,-0.0501119534802506-0.0166866130111272i,-0.0171003229080001+0.00187268084950654i
0.00984350047891744-0.00084780552061921i,-0.0381173882380412-0.0226659340985725i,-0.00696472144538565+0.00290838225945377i,0.00577852781029123+0.00633361898938433i,-0.0155152561016175+0.0117797160267463i,-0.0386571338795609-0.0100906710967605i,0.0448376989376217+0.0056792691955729i
-0.026538864249948-0.00635991408661191i,0.0301536513206742-0.0212743091786821i,0.00644519492230278+0.000724923044846941i,0.104608598959639+0.0193114110479436i,0.0301107784815835+0.00925658476920265i,0.00696376454405669+0.0225042337242592i,-0.000830503022700237+0.0234790040532514i
-0.00617274112644785-0.00582457447413091i,0.00509973384227796-0.00210744595890046i,-0.0026924548134785+0.0263297486090812i,-0.0129508322319936+0.00490853738563558i,-0.0320287685984553+0.00022599513485256i,0.0339723508748527+0.0332219359882019i,0.0128239590250315-0.0138352168201248i
0.000901814248102908+0.00493409804904082i,0.0115862497068853+0.0153949237338405i,-0.00887806103045105-0.0179471028230357i,-0.00251582463380298-0.0107648370032223i,-0.000168381736786758-0.00307098667327573i,-0.00274658303915063-0.0197091316865841i,-0.0150617367083096+0.00347326476552826i
0.0244393008084773+0.00504865640586808i,-0.0628412418518067-0.0130166169034801i,-0.0010709361931004-0.00284848877695502i,0.000231758447845891+0.00440364724740412i,-0.0230823618123772-0.00736683750777845i,-0.000208597966908901-0.0140419673751321i,-0.0255511652533512-0.00890955224122763i
0.0209104004333278+0.00230124659634064i,0.0151877916304929+0.00334977920228811i,-0.0302070692764546+0.014926697075299i,-0.0162014862038807-0.00636687939743479i,0.0197326404691691+0.00330238683747239i,-0.00534690788544465+0.0102318110475057i,-0.0305176678168368-0.0302673467735866i
0.000602107423451655+0.00207472522026166i,-0.0120572131945202+0.00351070840826582i,0.0309357411957633+0.0222901950565183i,-0.0106551522037387-0.00538556593002579i,-0.0490441462844431-0.008245330746142i,0.018081255617998-0.0130812596992994i,-0.00696473479695332-0.0242240242949687i
0.0179807260119815+0.000660224921499335i,-0.0382087041443172-0.00973528707426936i,0.00547716057092633-0.00350511555188994i,-0.0418810839694077+0.00205822883797528i,-0.00538445516751747-0.00625871645602777i,-0.0290899834629626-0.00279770368290632i,0.0172778863350898+0.00923796628680075i
0.0190933866736942+0.00468302803492273i,-0.0237557248130943+0.00909235471342414i,-0.00221203742024914-0.0084211124852146i,-0.0446023520072377-0.00913415308379646i,-0.00365054321926069-0.00395005215549837i,-0.0160080785250404-0.0151345930242631i,-0.00972988060802698-0.0104720016868987i
0.0269069108121168+0.00405621725025228i,-0.0666117100061911-0.0186997290748487i,0.0110424554737141+0.0056890742760852i,-0.0364963783111867+0.00169590962586672i,-0.00963845807886672-0.00304003525536505i,-0.0227118475557605-0.0197940750962213i,-0.00190253716641277-0.00649769849342073i
-0.00445193166056553+0.00218907068983837i,0.00378022721081018+0.00838094290424296i,0.00221636106523357+0.000664688006145436i,0.00879543084957858-0.00503850134157061i,-0.0161300452778753-0.00565228916217941i,0.00823318209635493-0.000807697618139746i,-0.0369381576836725-0.0105448508207051i
0.00783537345581618-0.000311130757415308i,-0.0234116717032505-0.0118084407019129i,0.000359969579365667-0.00349068672186486i,-0.0221099365327843-4.41017200681088e-05i,0.0203096348257864+0.00849490424768559i,-0.0601931365831258-0.0036069141789696i,0.0281669480024924+0.00399490078927106i
0.00337481147771899-0.00293629762643636i,-0.00163628830490679-0.0157255444470934i,-0.0379335346133539-0.0100638389815138i,0.0274682631974487+0.0107286118616527i,0.0266108020285918+0.0108464406388128i,-0.00308993657097558+0.021786264268497i,0.0132461738511052+0.0173732448397176i
-0.00307584648622715+0.000453942782956851i,-0.0237434814686663-0.00832579587783313i,-0.0173285739453362-0.0223820668734096i,0.0654897379039275+0.0127463964663414i,0.000505856857378589+0.00571515380154308i,0.00482832250972997+0.00287948398411444i,-0.00726608820283028+0.0106843119885763i
-0.0123142077109773+0.000165277954147304i,0.0238263497837953+0.0179041731585528i,-0.00792133558878657+0.00261716156990323i,0.0322917239883097-0.00024103795508074i,-0.0329485557258937-0.00441067926664843i,0.0420095751235388+0.0046200598472294i,-0.0404842550462054-0.0179481039945096i
-0.00141458596612336+0.0028233917723057i,0.0109095078737455+0.00545204204004058i,-0.0139520472395456+0.00257917146117271i,0.0128104609806494-0.00520756923986182i,-0.0120612237517242-0.001405476213914i,0.0153843545259464-0.0035978203140096i,-0.0372544735194772-0.0116072992499884i
0.00660757806958532+0.000300747314636285i,0.000423411517484206+0.00277962619489151i,0.0109975670601473+0.0197765406622112i,-0.0334750927337686-0.0048986854302151i,-0.00216489631388082+0.00489703676320605i,-0.00563841657783331-0.00624264525346281i,-0.00807257496869317-0.0276845569516573i
-0.00650343795887402-0.000444391169992405i,0.0226248982131125-0.00711733619589962i,-0.00804628499278498+0.0279508204492055i,-0.0191939280016582-0.0140349721495794i,0.00477795578296673+0.013598623545094i,-0.0537812566908497-0.00573265307343022i,0.0165945633573847-0.0180730744915659i
-0.00274479224219654-0.000244078022653721i,0.0548393152877038+0.0151288866989908i,0.00571891026012532+0.0251330525896251i,-0.0158907272622685-0.0135753840786978i,0.0239700380545558-0.000173404144276087i,0.00100449166639717+0.0114055592862237i,-0.0160529927010302-0.0276952657190676i
0.00414353964448766+0.00152269844204678i,-0.0148183200094325+0.0262757256694203i,0.00489761709196154-0.0259981172182422i,-0.0718523272655406-0.0107845935579977i,-0.0178169798959774-0.0110005581652709i,-0.0223268067067565-0.00890707735175956i,0.0207446050546097+0.00660708831399388i
0.0165872545281091+0.00191196998802615i,-0.0094040775087528-0.0151242202843214i,-0.03110128777954+0.0123412828075776i,-0.0563987430267445-0.0137625000296227i,0.0556583654986283+0.0164622542924637i,-0.106145622746432-0.00566811666490667i,0.0117321858428672-0.0122527784313322i
0.0194216558519421+0.00166427942426673i,-0.0255489990874788+0.00269029072224235i,0.00053033044441745-0.00349261003059664i,-0.064453419850964-0.0070446812845795i,0.000742627874719189+0.00105437333421697i,-0.025830918676315-0.0136134095866302i,0.0306189793383458-0.00117359678436316i
0.0104442717887287-0.000384769018847729i,-0.0296392793947081-0.00819455986967821i,0.00779745718247261+0.000644938055637216i,-0.0317033987239363+0.00452301190909053i,-0.00350267567282625-0.00263368322253119i,0.000865258939896033+0.000611753057857881i,0.0159898652733862+0.00559645859987038i
0.0107316349233031-0.00543329061209432i,-0.032293702881218-0.0253738489435038i,-0.00355968671117764+0.0224046444692888i,-0.02967777509274+0.0162538011715498i,-0.0183613865494595+0.00772208972078604i,0.00369363125478907+0.0184913269002693i,0.0330166908402185-0.00164072305949435i
0.000648121966315597-0.00276664543224096i,-0.030918741755276-0.0131618008901689i,-0.0183913204387964-0.00201891838891522i,0.0171072195349467+0.00965459602075732i,-0.0418448591750674+0.0147655110989535i,-0.00123052807642749-0.0088933277268685i,0.0423486991135451+0.00709064355596216i
0.0114862494130116+0.00270843657611479i,-0.00787030913975419+0.00827803579309114i,-0.0334904021115666-0.0231084966482123i,-0.0102934752228713-0.00483947266206076i,0.005502704849825+0.0054676005448903i,-0.010280841036796-0.00768277659744035i,0.00217659600187525+0.00504282659883674i
-0.0418774075097418-0.00494783719418539i,0.0351033922615393+0.00670109399957566i,0.0415107025775473+0.00875026796128061i,0.0741986783095746+0.00550748785265667i,-0.034455199672777-0.00625464704631749i,0.0354356150261792+0.00619827070106897i,0.0178198836217523+0.00745211107615166i
0.00938879127775914-0.00269363758317943i,-0.0390922925302958-0.0148634043972777i,-0.00402013114233429-0.0167643269402642i,-0.000610982270627878+0.0196200126150933i,-0.0243561315500622+0.00796489593956405i,0.027982078579014-0.00930869475101279i,0.041258420228952+0.0238737426571074i
0.0133738250661318+0.00469362557044466i,-0.0233025148050387-0.00128892161808453i,-0.0161851567555606-0.0285171491822233i,-0.00298086842281786+8.74722534502858e-05i,0.015913821644278-0.00449943729042684i,-0.0332806420387722-0.0152748453548292i,-0.0249791587077758+0.0146406402094582i
0.0104936169978133+0.0061255813896815i,-0.0330357282700369-0.0164432830900065i,0.00510494352513887+0.0239454852836388i,0.00470565132740801-0.0090409172618709i,-0.0333701215085271+0.00137491154674292i,0.00200031033591678-0.0280270142872025i,-0.0174606741983168-0.0177036108968311i
0.00421339608217139+0.00367247532401486i,-0.0321248171321677+0.00573134400814222i,-0.0168445536501267-0.0200647038947585i,0.0130860583133273-0.000123510595920795i,-0.0467027722408469-0.00773894270090798i,-0.000417570311428827-0.00966558249762244i,-0.0133731964052143+0.0022104692407277i
-0.0123564593837638-0.00164071424034826i,0.0129637818510151+0.0134397570670608i,0.0263276792556212-0.00547238051942953i,0.0241081596135147+0.000996041904723597i,0.00121035947219403-0.00918789662162852i,0.0243591229409139+0.00765316989298426i,0.00508256180604292+0.00107502920861662i
0.00386148715104742+0.00077860656823118i,-0.048346583277677-0.00464447476070745i,-0.0056049532093973-0.0250203523859125i,0.0345834025002673+0.0128566897411662i,-0.0342103296932537-0.00396222308572301i,0.00464904214430394-0.00156092609517178i,-0.00896115804071455+0.0116173891734148i
-0.0070100054761383-0.00104507354253416i,0.00316776402759208+0.00647383163335794i,0.0159390103590246+0.00899912910763513i,-0.025415115937853-0.00440576052921017i,-0.0150825118640209-0.00934086553308025i,0.010758453403948+0.00156630378329939i,0.0192121282163829-0.000762002026726284i
-0.00989755813573575-0.00486913794732539i,0.0267574412407276-0.0120615670797551i,-0.0213746098517652+0.00692525919403978i,0.0636702125827587+0.016470724447828i,0.00922586229933838+0.00794676286499612i,0.0394591041188201+0.0276166088944067i,-0.00525490880486895+0.00512848458216457i
0.0191733348215714+0.00629346876625828i,-0.0117454286537429+0.0237083600500407i,-0.00474188185135222-0.0179235246690749i,-0.0940043217251392-0.0231919429377035i,0.0135483230120847-0.00445844626064595i,-0.0493727167036139-0.0256741097032573i,-0.000878389024371897-0.00741797879095436i
0.00125277555666174-0.00381090761758907i,-0.0273977214563711-0.0188380712600907i,-0.011542407434716-0.0141842068076093i,-0.00334658501627187+0.0123325224403415i,0.00782471548630319+0.00244500091866729i,-0.0275753313599162+0.0136768830590409i,0.0326423063445096+0.0303839261163306i
-0.00580364662382777-3.67445895567311e-06i,-0.0149099193114257-0.0149788053907312i,0.0161801035913494+0.0236686785423443i,0.0153062974015988-0.00250799277891801i,-0.0144088472732595+0.00149769856101579i,-0.0180524293706549-0.0011452363604494i,0.0114998977865897-0.0115745838345981i
