-2.01809805839304-0.0534340000535392i,-0.0588968162622085-0.00192252831124687i,-0.0530307656259401+0.0269028631886927i,-0.0531886304630317+0.030243254413638i,-0.0753296667622918+0.00696418361038925i,0.0548770405350723+0.0148778818237615i,-0.0993697628803457-0.00343329729348287i
0.00638346575119008-0.000874680429603837i,-0.00885687819243511-0.00603703638253064i,-0.021281952695658+0.000487343062247767i,-0.0168926795718192+0.00587636684512711i,-0.0131692859795635+0.0109101085250755i,-0.00653963665901496-0.00216314146292319i,-0.00406327527188937-0.00669386943365797i
-0.00610187014096781-0.000266798777803339i,0.00145772016166429+0.00150489077681024i,-0.0313713755838098-0.0163210494549705i,0.0265415556460164+0.00412327482438579i,-0.00545703335783835+0.00683139069511154i,-0.0216482261307592+0.010297040394215i,-0.00642975675415986+0.000676309667546357i
-0.00755883225525216-0.00340394043310592i,0.00516213977445511-0.00647170006154925i,0.0115960937088569+0.00147690518569078i,0.0204799421851896+0.00523977499950419i,0.00786932893239883+0.0082411781868954i,0.00992618809960392+0.00272729301707546i,0.0211366755072608+0.00951771809680309i
-0.00558095421991973-0.00410328094333232i,-0.027251303446628-0.0142682069711032i,0.018612392753486+0.000665093504091285i,0.00894452154422677+0.0144018737434883i,-0.0356188939832492-0.00179664066910418i,-0.00234707360116775+0.00646413678531761i,0.025203141002629+0.01387048847597i
0.0159388043280112+0.000479894877858909i,-0.0406630027651201-0.0221559502636348i,0.0121382554118056+0.00771988749340403i,0.0165336525192135+0.0105074151811675i,-0.00444254663115283-0.0010829729880629i,0.0118809609168476-2.4201590653799e-05i,0.0128387157631441+0.00345244451897938i
0.00233353032133079+0.00100423248769032i,-0.0187462619094487+0.00379103486733863i,0.0363310297774994+0.0164087520016273i,-0.0114935726181951+0.00115492943501741i,-0.0557834669426028-0.0144651679077812i,0.056184414806049-0.00966273389623985i,-0.00874187553938636-0.0111661290396678i
-0.0110608368147312-0.00100373650679483i,0.030566217163062+0.00461662983789876i,0.0252498792784243+0.0373299481682142i,-0.000583757723598323-0.00292447752240478i,-0.0363134515881308-0.00359449607770325i,0.0599319676352478-0.00240031940792049i,-0.0214746850071619-0.0254780164209213i
0.00751978877917048+0.000185859699879363i,-0.0144408075064033-0.0108735606713714i,-0.00756949952579205+0.00289031521447373i,-0.0340854623419193-0.00641523579562916i,0.00673352778994334+0.0112321385112167i,-0.0427223181254248-0.0148417468767343i,0.0513972296481131+0.00846376893290289i
-0.0168805354357534-0.000818945715584962i,0.0391030522477943+0.0170310575608701i,0.0171772417041669-0.00701229543974331i,0.0101960617038488-0.00365991153996604i,0.0116039767756904-0.00847813730542136i,0.00994923620051344+0.0022955986457641i,-0.022185871492543+0.00616785601877399i
-0.0146041150686277-0.00190111850827904i,0.0217658999432536-0.00341952586786477i,0.0037184159690126-0.00632555859079284i,0.0372875976959786+0.00417887660562454i,0.0310195799627092+0.00130459193043747i,-0.00562304744762447+0.00576973052218569i,-0.0020698349210793+0.0161223935573308i
-0.00177673178835528-0.00642207328656733i,0.0284387816691209+0.0109638673144718i,-0.00120238422414878+0.00881213103143952i,-0.0419468309810789+0.00401118942891929i,-0.0104161158023445+0.00751756670803409i,0.0289562745180223+0.0188830952466311i,0.0496507168176377-0.00348921742308671i
-0.00562470159552785-0.0013658826310371i,-0.0270008104779495-0.0194536110195833i,0.00831686763407957-0.00491609162661156i,0.0100957795240769+0.00550612803698046i,-0.00180685745787311+0.00311686674949255i,-0.05654747606151-0.00517617383956376i,0.0398287883530484+0.0217245077032223i
-0.00422205327867176-0.000679742610775478i,0.0227081035625833+0.0184912064040213i,0.00106147997039038-0.0329987320205531i,0.00692677387592762+0.00157737757383204i,0.0470063743947078-0.00991130903403796i,0.00469136862383207+0.0105761909232903i,-0.00715386931738822+0.0240481482121024i
