-0.0797233114685141+0.00334212213954518i,0.0301461992827415+0.0105406891275737i,0.0364602622529372-0.0439539417462209i,0.0377002886341532+0.0178465495508315i,0.109207854436968-0.0119111494084952i,0.141714574028231+0.00177825727113464i,0.050722682339241+0.032123039697135i
-0.0328718375342484-0.00143377629995966i,0.0551210885225238-0.0385404434796162i,0.088118063190367+0.0237688287667918i,0.1202754933915+0.0155070193484018i,0.125279292541396-0.00553816760588637i,-0.0155249524866719-0.00126956984761357i,0.0312588948820386+0.00248525777252534i
0.00332484417936908+0.000327621908237668i,-0.0724672782797544-0.0314764810511751i,-0.0755396183364944-0.0306900170164816i,-0.0646851139397712+0.00934851889027077i,0.0393651147970268+0.0188099773957249i,0.113532452950278-2.06900989799044e-05i,0.0369139368369266+0.0351784105338494i
0.0059553249772298+0.00152215463574324i,-0.0725603468096203-0.00999912121142084i,-0.0375898777028991-0.0173844085901254i,-0.0674834161955417+0.00928096152738041i,-0.0823640714361319+0.00784115126775702i,0.0868193906598392-0.00064436941918921i,0.0135008480893471+0.0117232921668431i
-0.0665491016512965+0.000963315881744315i,0.0818027970886241+0.0440047231892112i,0.0340553718646735-0.00445588680616881i,0.0352153896928883-0.00855554908735446i,0.089658783789722-0.0251648860465435i,0.0779368611923959+0.000301382854343986i,-0.0478832360453877-0.00429176551252554i
0.00980475548366333+0.00320871710137908i,-0.0170146047364156-0.00544471711233354i,0.0191191330462643-0.0180244437215458i,0.0110382170777211+0.0155328759669454i,0.0259416826761127-0.00809245554666208i,-0.0692858568843259+0.00170161954067065i,0.0205509995989713+0.0175859584780577i
0.00468257108644442+0.00157236106288642i,0.0145198585245112+0.0188345795205477i,0.0365195089965316+0.0130788941770733i,-0.0126896943543024-0.0163471516286193i,-0.0316201511928489-0.00819491580775048i,-0.0105547741010573+0.000125717905986119i,0.011460705844499-0.00602598417706664i
0.0138778012166639-0.00286460855364268i,0.0142346610777043+0.00171388318587402i,0.0431400169977086-0.0236457636951938i,0.0724208708630971+0.0120015347821318i,0.0247990305906046+0.00407820151164698i,-0.150225555240292-2.19152916103875e-05i,0.0394631148684789+0.00216081434748037i
0.0367585784593132+0.00615557996183821i,0.0101872662983782+0.0135485366470712i,-0.0234379088585912-0.0262284535240973i,-0.00249954669824677-0.00386684989421558i,0.018022917566836+0.00499051936529015i,-0.0881900054526003+0.00370737838908411i,0.0431931236128346+0.0184981019929119i
0.0343770850763502+0.00148223009945515i,-0.0237254186410333-0.011109693152685i,-0.0443401173804011-0.00845806823897912i,0.0399270805157787+0.00538836115189227i,-0.0281473800762505+0.0114182760471647i,-0.0224625580725064+9.34699758181569e-06i,-0.0203850512188832+0.00466333653208696i
0.0103093926548607-0.00158205105697892i,0.0342486842821197+0.0593155924654693i,-0.0189741437850571-0.0565082047841554i,-0.00510854893454344+0.0119058227784117i,-0.00893964114937101-0.00944542969907785i,0.0978886697250624-0.000403388158026107i,-0.0335206279079387-0.00671896487195815i
0.053980883216548+0.00207057282262034i,-0.0187143435834248-0.00101021638885469i,-0.0251478991782566+0.0164510418037176i,-0.00480847329524212-0.00437778763377337i,-0.0942417832255551+0.00278840658962571i,-0.0657551877253013+0.00176240131808085i,-0.0234293196568764-0.0115368684299822i
